rank,feature,composite_score,spearman_corr,mutual_info,dynamic_range,smooth_corr
19,Int_Med_cycA_cell,0.5460039871246889,0.2863736597089283,0.09418935105079385,1.5552385949295457,0.8569761747670254
20,Int_Med_Cdh1_nuc,0.5359364410939956,0.36712060448479883,0.2811219818008288,0.8817922725280035,0.41144324645237496
21,Int_Med_pp53_nuc,0.5249690089625654,0.3705061945003205,0.10949191271830294,0.7517893849371489,0.9280360421458401
22,Int_Med_GSK3b_nuc,0.496491392907293,0.3110762251024471,0.09257916883607109,0.8181664423610071,0.8738702349249965
23,Int_Med_p16_nuc,0.48876968918836816,0.32424018239899155,0.07208785011548535,0.7821637064344504,0.9556435047435705
24,Int_Med_BP1_nuc,0.4869774719841823,0.26809111862569235,0.11381170518040395,0.6529900858808397,0.9302163832846663
25,Int_Med_pCHK1_nuc,0.48695505805804923,0.3293112256764423,0.10099711092134811,0.5961606392441532,0.8793668890504008
26,Int_Med_cFos_nuc,0.4826182537053357,0.31380852951724714,0.06185314485377624,0.7070575901521764,0.9452287350057169
27,Int_Med_CDK6_nuc,0.47975283879318475,0.2602888704941333,0.07835112261256949,0.9089452552063568,0.8714751359116327
28,Int_Med_p53_nuc,0.4750342223759332,0.2982108987397518,0.06998413215160681,0.6812542885210535,0.9054147944945872
29,Int_Med_cycE_nuc,0.4574563555303997,0.36157678871891136,0.111113769950137,0.4207241362201345,0.6631365491015733
30,Int_Med_cycD1_nuc,0.454660715197653,0.15754735942962694,0.25225933555312796,1.387663361254151,0.1661023492063068
31,Int_Med_p21_nuc,0.4355445970269182,0.22652339093361912,0.2823076340984647,0.9415502712646512,0.03466231437178979
32,Int_Med_pRB_nuc,0.43103963936844714,0.2583090816332637,0.10683226376591204,0.43912902571137713,0.7220377402366136
33,Int_Med_pSTAT3_nuc,0.4282019260972467,0.20964771268351023,0.1021636345124195,0.6604327244174968,0.7311468375590396
34,Int_Med_p38_nuc,0.42563359871788903,0.20725070161913717,0.07999309289861412,0.6806657195446038,0.7847316670134462
35,Int_Med_PCNA_cyto,0.4112253303990157,0.27525811239989034,0.08256438965800239,0.46165832294026743,0.6891166391961709
36,Int_Med_PCNA_ring,0.41033202840776917,0.27525811239989034,0.08061868746859169,0.46165832294026743,0.6891166391961709
37,Int_MeanEdge_pAKT_cell,0.40976003789183424,0.25318042408510427,0.05898250565533214,0.5341843669192239,0.6891052554086203
38,Int_Med_pAKT_cyto,0.4094754986515486,0.2499185862982479,0.0734675952816417,0.5667300643076454,0.6326419825540313
39,Int_Med_pAKT_ring,0.40939935967769525,0.2499185862982479,0.07330175688703644,0.5667300643076454,0.6326419825540313
40,Int_Med_pp38_nuc,0.4062700401671251,0.21005255887331015,0.02924296809248439,0.5860145525177427,0.8281962817429245
41,Int_Med_pp27_nuc,0.40336325768665027,0.18300718354801862,0.05591541305796888,0.6394975118379429,0.7873325239612833
42,Int_Med_AKT_nuc,0.4020778526351791,0.16695280273788005,0.0786304289675197,0.5444487821503917,0.7646317259641635
43,Int_Med_pAKT_cell,0.40106636456060873,0.24057732504496465,0.08360848838350687,0.5240578916156785,0.5908965713564427
44,Int_Med_bCat_nuc,0.40040951634843847,0.18966349678422176,0.06365855486721284,0.528822610998301,0.7783998087851938
45,Int_MeanEdge_pERK_cell,0.39990309114445716,0.2328857193879654,0.03448828638412493,0.44337083263754334,0.7893695490753097
46,Int_Med_CDK4_nuc,0.395721722265637,0.16331806925037845,0.06909011065877912,0.4994013577696643,0.7830617636874736
47,Int_Med_pS6_cell,0.39301743754128027,0.13495755010659033,0.03739761151127752,0.9342970763973499,0.6962228081091708
48,Int_MeanEdge_pRB_cell,0.3872726572735377,0.21069042202661556,0.044766371741208566,0.4156542393727597,0.7424720791068571
49,Int_MeanEdge_PCNA_cell,0.38531753924864776,0.259644354203271,0.03661285408646542,0.29685380450489635,0.7368989413080067
50,Int_Med_pGSK3b_nuc,0.38309568930156296,0.17472587460678482,0.10990766876457236,0.38722149611805445,0.6133042197396341
