problem,variant,primary_goal,constructor_coverage,rule_hits,generation_success,grounded_step_rate,verified_step_rate
translated_imo_2019_p2,full,cyclic,0.25,5,True,0.5375000000000001,0.4225000000000001
translated_imo_2019_p6,full,perp,0.3333333333333333,5,True,0.5833333333333334,0.45000000000000007
translated_imo_2020_p1,full,cong,0.25,5,True,0.5375000000000001,0.32250000000000006
translated_imo_2021_p3,full,coll,0.3333333333333333,5,True,0.5833333333333334,0.35000000000000003
translated_imo_2022_p4,full,cyclic,0.3333333333333333,5,True,0.5833333333333334,0.45000000000000007
translated_imo_2000_p1,retrieval_only,cong,0.0,2,False,0.16,0.096
translated_imo_2000_p6,retrieval_only,cong,0.6666666666666666,2,True,0.5266666666666667,0.316
translated_imo_2002_p2a,retrieval_only,eqangle,0.16666666666666666,2,False,0.2516666666666667,0.15100000000000002
translated_imo_2002_p2b,retrieval_only,eqangle,0.16666666666666666,2,False,0.2516666666666667,0.15100000000000002
translated_imo_2003_p4,retrieval_only,cong,0.3333333333333333,2,False,0.3433333333333334,0.20600000000000002
translated_imo_2004_p1,retrieval_only,coll,0.5,2,True,0.43500000000000005,0.261
translated_imo_2004_p5,retrieval_only,cong,0.25,2,False,0.2975,0.1785
translated_imo_2005_p5,retrieval_only,cyclic,0.4,2,True,0.38,0.32799999999999996
translated_imo_2007_p4,retrieval_only,eqratio,0.42857142857142855,2,True,0.3957142857142857,0.2374285714285714
translated_imo_2008_p1a,retrieval_only,cyclic,0.4,2,True,0.38,0.32799999999999996
translated_imo_2008_p1b,retrieval_only,cyclic,0.4,2,True,0.38,0.32799999999999996
translated_imo_2008_p6,retrieval_only,cong,0.5,2,True,0.43500000000000005,0.261
translated_imo_2009_p2,retrieval_only,cong,0.4,2,True,0.38,0.22799999999999998
translated_imo_2010_p2,retrieval_only,cong,0.42857142857142855,2,True,0.3957142857142857,0.2374285714285714
translated_imo_2010_p4,retrieval_only,cong,0.25,2,False,0.2975,0.1785
translated_imo_2011_p6,retrieval_only,coll,0.3333333333333333,2,False,0.3433333333333334,0.20600000000000002
translated_imo_2012_p1,retrieval_only,cong,0.3333333333333333,2,False,0.3433333333333334,0.20600000000000002
translated_imo_2012_p5,retrieval_only,cong,0.5,2,True,0.43500000000000005,0.261
translated_imo_2013_p4,retrieval_only,coll,0.4,2,True,0.38,0.22799999999999998
translated_imo_2014_p4,retrieval_only,cong,0.4,2,True,0.38,0.22799999999999998
translated_imo_2015_p3,retrieval_only,coll,0.42857142857142855,2,True,0.3957142857142857,0.2374285714285714
translated_imo_2015_p4,retrieval_only,coll,0.25,2,False,0.2975,0.1785
translated_imo_2016_p1,retrieval_only,coll,0.5,0,False,0.275,0.165
translated_imo_2017_p4,retrieval_only,perp,0.2857142857142857,2,False,0.31714285714285717,0.2902857142857143
translated_imo_2018_p1,retrieval_only,para,0.2,2,False,0.27,0.262
translated_imo_2019_p2,retrieval_only,cyclic,0.25,2,False,0.2975,0.27849999999999997
translated_imo_2019_p6,retrieval_only,perp,0.3333333333333333,2,False,0.3433333333333334,0.30600000000000005
translated_imo_2020_p1,retrieval_only,cong,0.25,2,False,0.2975,0.1785
translated_imo_2021_p3,retrieval_only,coll,0.3333333333333333,2,False,0.3433333333333334,0.20600000000000002
translated_imo_2022_p4,retrieval_only,cyclic,0.3333333333333333,2,False,0.3433333333333334,0.30600000000000005
translated_imo_2000_p1,definitions_only,cong,0.0,0,False,0.0,0.0
translated_imo_2000_p6,definitions_only,cong,0.6666666666666666,0,True,0.5,0.25
translated_imo_2002_p2a,definitions_only,eqangle,0.16666666666666666,0,False,0.125,0.0625
translated_imo_2002_p2b,definitions_only,eqangle,0.16666666666666666,0,False,0.125,0.0625
translated_imo_2003_p4,definitions_only,cong,0.3333333333333333,0,False,0.25,0.125
translated_imo_2004_p1,definitions_only,coll,0.5,0,False,0.375,0.1875
translated_imo_2004_p5,definitions_only,cong,0.25,0,False,0.1875,0.09375
translated_imo_2005_p5,definitions_only,cyclic,0.4,0,False,0.30000000000000004,0.15000000000000002
translated_imo_2007_p4,definitions_only,eqratio,0.42857142857142855,0,False,0.3214285714285714,0.1607142857142857
translated_imo_2008_p1a,definitions_only,cyclic,0.4,0,False,0.30000000000000004,0.15000000000000002
translated_imo_2008_p1b,definitions_only,cyclic,0.4,0,False,0.30000000000000004,0.15000000000000002
translated_imo_2008_p6,definitions_only,cong,0.5,0,False,0.375,0.1875
translated_imo_2009_p2,definitions_only,cong,0.4,0,False,0.30000000000000004,0.15000000000000002
translated_imo_2010_p2,definitions_only,cong,0.42857142857142855,0,False,0.3214285714285714,0.1607142857142857
translated_imo_2010_p4,definitions_only,cong,0.25,0,False,0.1875,0.09375
translated_imo_2011_p6,definitions_only,coll,0.3333333333333333,0,False,0.25,0.125
translated_imo_2012_p1,definitions_only,cong,0.3333333333333333,0,False,0.25,0.125
translated_imo_2012_p5,definitions_only,cong,0.5,0,False,0.375,0.1875
translated_imo_2013_p4,definitions_only,coll,0.4,0,False,0.30000000000000004,0.15000000000000002
translated_imo_2014_p4,definitions_only,cong,0.4,0,False,0.30000000000000004,0.15000000000000002
translated_imo_2015_p3,definitions_only,coll,0.42857142857142855,0,False,0.3214285714285714,0.1607142857142857
translated_imo_2015_p4,definitions_only,coll,0.25,0,False,0.1875,0.09375
translated_imo_2016_p1,definitions_only,coll,0.5,0,False,0.375,0.1875
translated_imo_2017_p4,definitions_only,perp,0.2857142857142857,0,False,0.21428571428571427,0.10714285714285714
translated_imo_2018_p1,definitions_only,para,0.2,0,False,0.15000000000000002,0.07500000000000001
translated_imo_2019_p2,definitions_only,cyclic,0.25,0,False,0.1875,0.09375
translated_imo_2019_p6,definitions_only,perp,0.3333333333333333,0,False,0.25,0.125
translated_imo_2020_p1,definitions_only,cong,0.25,0,False,0.1875,0.09375
translated_imo_2021_p3,definitions_only,coll,0.3333333333333333,0,False,0.25,0.125
translated_imo_2022_p4,definitions_only,cyclic,0.3333333333333333,0,False,0.25,0.125
translated_imo_2000_p1,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2000_p6,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2002_p2a,no_context,eqangle,0.0,0,False,0.0,0.0
translated_imo_2002_p2b,no_context,eqangle,0.0,0,False,0.0,0.0
translated_imo_2003_p4,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2004_p1,no_context,coll,0.0,0,False,0.0,0.0
translated_imo_2004_p5,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2005_p5,no_context,cyclic,0.0,0,False,0.0,0.0
translated_imo_2007_p4,no_context,eqratio,0.0,0,False,0.0,0.0
translated_imo_2008_p1a,no_context,cyclic,0.0,0,False,0.0,0.0
translated_imo_2008_p1b,no_context,cyclic,0.0,0,False,0.0,0.0
translated_imo_2008_p6,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2009_p2,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2010_p2,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2010_p4,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2011_p6,no_context,coll,0.0,0,False,0.0,0.0
translated_imo_2012_p1,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2012_p5,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2013_p4,no_context,coll,0.0,0,False,0.0,0.0
translated_imo_2014_p4,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2015_p3,no_context,coll,0.0,0,False,0.0,0.0
translated_imo_2015_p4,no_context,coll,0.0,0,False,0.0,0.0
translated_imo_2016_p1,no_context,coll,0.0,0,False,0.0,0.0
translated_imo_2017_p4,no_context,perp,0.0,0,False,0.0,0.0
translated_imo_2018_p1,no_context,para,0.0,0,False,0.0,0.0
translated_imo_2019_p2,no_context,cyclic,0.0,0,False,0.0,0.0
translated_imo_2019_p6,no_context,perp,0.0,0,False,0.0,0.0
translated_imo_2020_p1,no_context,cong,0.0,0,False,0.0,0.0
translated_imo_2021_p3,no_context,coll,0.0,0,False,0.0,0.0
translated_imo_2022_p4,no_context,cyclic,0.0,0,False,0.0,0.0
translated_imo_2000_p1,shuffled_retrieval,cong,0.0,5,False,0.4,0.18
translated_imo_2000_p6,shuffled_retrieval,cong,0.6666666666666666,5,True,0.7666666666666667,0.34500000000000003
translated_imo_2002_p2a,shuffled_retrieval,eqangle,0.16666666666666666,5,True,0.4916666666666667,0.22125
translated_imo_2002_p2b,shuffled_retrieval,eqangle,0.16666666666666666,5,True,0.4916666666666667,0.22125
translated_imo_2003_p4,shuffled_retrieval,cong,0.3333333333333333,5,True,0.5833333333333334,0.2625
translated_imo_2004_p1,shuffled_retrieval,coll,0.5,5,True,0.675,0.30375
translated_imo_2004_p5,shuffled_retrieval,cong,0.25,5,True,0.5375000000000001,0.24187500000000006
translated_imo_2005_p5,shuffled_retrieval,cyclic,0.4,5,True,0.6200000000000001,0.3540000000000001
translated_imo_2007_p4,shuffled_retrieval,eqratio,0.42857142857142855,5,True,0.6357142857142857,0.28607142857142853
translated_imo_2008_p1a,shuffled_retrieval,cyclic,0.4,5,True,0.6200000000000001,0.3540000000000001
translated_imo_2008_p1b,shuffled_retrieval,cyclic,0.4,5,True,0.6200000000000001,0.3540000000000001
translated_imo_2008_p6,shuffled_retrieval,cong,0.5,5,True,0.675,0.30375
translated_imo_2009_p2,shuffled_retrieval,cong,0.4,5,True,0.6200000000000001,0.279
translated_imo_2010_p2,shuffled_retrieval,cong,0.42857142857142855,5,True,0.6357142857142857,0.28607142857142853
translated_imo_2010_p4,shuffled_retrieval,cong,0.25,5,True,0.5375000000000001,0.24187500000000006
translated_imo_2011_p6,shuffled_retrieval,coll,0.3333333333333333,5,True,0.5833333333333334,0.2625
translated_imo_2012_p1,shuffled_retrieval,cong,0.3333333333333333,5,True,0.5833333333333334,0.2625
translated_imo_2012_p5,shuffled_retrieval,cong,0.5,5,True,0.675,0.30375
translated_imo_2013_p4,shuffled_retrieval,coll,0.4,5,True,0.6200000000000001,0.279
translated_imo_2014_p4,shuffled_retrieval,cong,0.4,5,True,0.6200000000000001,0.279
translated_imo_2015_p3,shuffled_retrieval,coll,0.42857142857142855,5,True,0.6357142857142857,0.28607142857142853
translated_imo_2015_p4,shuffled_retrieval,coll,0.25,5,True,0.5375000000000001,0.24187500000000006
translated_imo_2016_p1,shuffled_retrieval,coll,0.5,0,False,0.275,0.12375
translated_imo_2017_p4,shuffled_retrieval,perp,0.2857142857142857,5,True,0.5571428571428572,0.32571428571428573
translated_imo_2018_p1,shuffled_retrieval,para,0.2,5,True,0.51,0.3045
translated_imo_2019_p2,shuffled_retrieval,cyclic,0.25,5,True,0.5375000000000001,0.3168750000000001
translated_imo_2019_p6,shuffled_retrieval,perp,0.3333333333333333,5,True,0.5833333333333334,0.3375
translated_imo_2020_p1,shuffled_retrieval,cong,0.25,5,True,0.5375000000000001,0.24187500000000006
translated_imo_2021_p3,shuffled_retrieval,coll,0.3333333333333333,5,True,0.5833333333333334,0.2625
translated_imo_2022_p4,shuffled_retrieval,cyclic,0.3333333333333333,5,True,0.5833333333333334,0.3375
