dataset,mu_ev,exclusion_probability,alpha_mean
M33 X-7,6.309573444802e-19,0.00000000,7.39885272e-08
M33 X-7,6.860624286178e-19,0.00000000,8.04503649e-08
M33 X-7,7.459801523488e-19,0.00000000,8.74765517e-08
M33 X-7,8.111308307897e-19,0.00000000,9.51163752e-08
M33 X-7,8.819714875604e-19,0.00000000,1.03423428e-07
M33 X-7,9.589990607460e-19,0.00000000,1.12455982e-07
M33 X-7,1.042753888854e-18,0.00000000,1.22277401e-07
M33 X-7,1.133823501218e-18,0.00000000,1.32956580e-07
M33 X-7,1.232846739442e-18,0.00000000,1.44568433e-07
M33 X-7,1.340518238791e-18,0.00000000,1.57194414e-07
M33 X-7,1.457593300969e-18,0.00000000,1.70923094e-07
M33 X-7,1.584893192461e-18,0.00000000,1.85850777e-07
M33 X-7,1.723310905614e-18,0.00000000,2.02082180e-07
M33 X-7,1.873817422860e-18,0.00000000,2.19731163e-07
M33 X-7,2.037468528040e-18,0.00000000,2.38921532e-07
M33 X-7,2.215412212581e-18,0.00000000,2.59787905e-07
M33 X-7,2.408896728518e-18,0.00000000,2.82476656e-07
M33 X-7,2.619279344816e-18,0.00000000,3.07146945e-07
M33 X-7,2.848035868436e-18,0.00000000,3.33971830e-07
M33 X-7,3.096770996935e-18,0.00000000,3.63139485e-07
M33 X-7,3.367229575211e-18,0.00000000,3.94854516e-07
M33 X-7,3.661308835364e-18,0.00000000,4.29339401e-07
M33 X-7,3.981071705535e-18,0.00000000,4.66836046e-07
M33 X-7,4.328761281083e-18,0.00000000,5.07607486e-07
M33 X-7,4.706816559609e-18,0.00000000,5.51939728e-07
M33 X-7,5.117889550211e-18,0.00000000,6.00143755e-07
M33 X-7,5.564863876983e-18,0.00000000,6.52557714e-07
M33 X-7,6.050875007273e-18,0.00000000,7.09549280e-07
M33 X-7,6.579332246576e-18,0.00000000,7.71518244e-07
M33 X-7,7.153942654377e-18,0.00000000,8.38899309e-07
M33 X-7,7.778737048694e-18,0.00000000,9.12165145e-07
M33 X-7,8.458098281751e-18,0.00000000,9.91829701e-07
M33 X-7,9.196791985117e-18,0.00000000,1.07845182e-06
M33 X-7,1.000000000000e-17,0.00000000,1.17263913e-06
M33 X-7,1.087335672720e-17,0.00000000,1.27505236e-06
M33 X-7,1.182298865169e-17,0.00000000,1.38640991e-06
M33 X-7,1.285555731914e-17,0.00000000,1.50749296e-06
M33 X-7,1.397830606579e-17,0.00000000,1.63915087e-06
M33 X-7,1.519911082953e-17,0.00000000,1.78230721e-06
M33 X-7,1.652653539857e-17,0.00000000,1.93796621e-06
M33 X-7,1.796989148533e-17,0.00000000,2.10721979e-06
M33 X-7,1.953930404690e-17,0.00000000,2.29125525e-06
M33 X-7,2.124578231031e-17,0.00000000,2.49136357e-06
M33 X-7,2.310129700083e-17,0.00000000,2.70894848e-06
M33 X-7,2.511886431510e-17,0.00000000,2.94553632e-06
M33 X-7,2.731263722801e-17,0.00000000,3.20278672e-06
M33 X-7,2.969800477406e-17,0.00000000,3.48250425e-06
M33 X-7,3.229169999944e-17,0.00000000,3.78665110e-06
M33 X-7,3.511191734215e-17,0.00000000,4.11736082e-06
M33 X-7,3.817844026371e-17,0.00000000,4.47695330e-06
M33 X-7,4.151278002752e-17,0.00000000,4.86795103e-06
M33 X-7,4.513832659769e-17,0.00000000,5.29309680e-06
M33 X-7,4.908051271654e-17,0.00000000,5.75537297e-06
M33 X-7,5.336699231206e-17,0.00000000,6.25802234e-06
M33 X-7,5.802783448666e-17,0.00000000,6.80457094e-06
M33 X-7,6.309573444802e-17,0.00000000,7.39885272e-06
M33 X-7,6.860624286178e-17,0.00000000,8.04503649e-06
M33 X-7,7.459801523488e-17,0.00000000,8.74765517e-06
M33 X-7,8.111308307897e-17,0.00000000,9.51163752e-06
M33 X-7,8.819714875604e-17,0.00000000,1.03423428e-05
M33 X-7,9.589990607460e-17,0.00000000,1.12455982e-05
M33 X-7,1.042753888854e-16,0.00000000,1.22277401e-05
M33 X-7,1.133823501218e-16,0.00000000,1.32956580e-05
M33 X-7,1.232846739442e-16,0.00000000,1.44568433e-05
M33 X-7,1.340518238791e-16,0.00000000,1.57194414e-05
M33 X-7,1.457593300969e-16,0.00000000,1.70923094e-05
M33 X-7,1.584893192461e-16,0.00000000,1.85850777e-05
M33 X-7,1.723310905614e-16,0.00000000,2.02082180e-05
M33 X-7,1.873817422860e-16,0.00000000,2.19731163e-05
M33 X-7,2.037468528040e-16,0.00000000,2.38921532e-05
M33 X-7,2.215412212581e-16,0.00000000,2.59787905e-05
M33 X-7,2.408896728518e-16,0.00000000,2.82476656e-05
M33 X-7,2.619279344816e-16,0.00000000,3.07146945e-05
M33 X-7,2.848035868436e-16,0.00000000,3.33971830e-05
M33 X-7,3.096770996935e-16,0.00000000,3.63139485e-05
M33 X-7,3.367229575211e-16,0.00000000,3.94854516e-05
M33 X-7,3.661308835364e-16,0.00000000,4.29339401e-05
M33 X-7,3.981071705535e-16,0.00000000,4.66836046e-05
M33 X-7,4.328761281083e-16,0.00000000,5.07607486e-05
M33 X-7,4.706816559609e-16,0.00000000,5.51939728e-05
M33 X-7,5.117889550211e-16,0.00000000,6.00143755e-05
M33 X-7,5.564863876983e-16,0.00000000,6.52557714e-05
M33 X-7,6.050875007273e-16,0.00000000,7.09549280e-05
M33 X-7,6.579332246576e-16,0.00000000,7.71518244e-05
M33 X-7,7.153942654377e-16,0.00000000,8.38899309e-05
M33 X-7,7.778737048694e-16,0.00000000,9.12165145e-05
M33 X-7,8.458098281751e-16,0.00000000,9.91829701e-05
M33 X-7,9.196791985117e-16,0.00000000,1.07845182e-04
M33 X-7,1.000000000000e-15,0.00000000,1.17263913e-04
M33 X-7,1.087335672720e-15,0.00000000,1.27505236e-04
M33 X-7,1.182298865169e-15,0.00000000,1.38640991e-04
M33 X-7,1.285555731914e-15,0.00000000,1.50749296e-04
M33 X-7,1.397830606579e-15,0.00000000,1.63915087e-04
M33 X-7,1.519911082953e-15,0.00000000,1.78230721e-04
M33 X-7,1.652653539857e-15,0.00000000,1.93796621e-04
M33 X-7,1.796989148533e-15,0.00000000,2.10721979e-04
M33 X-7,1.953930404690e-15,0.00000000,2.29125525e-04
M33 X-7,2.124578231031e-15,0.00000000,2.49136357e-04
M33 X-7,2.310129700083e-15,0.00000000,2.70894848e-04
M33 X-7,2.511886431510e-15,0.00000000,2.94553632e-04
M33 X-7,2.731263722801e-15,0.00000000,3.20278672e-04
M33 X-7,2.969800477406e-15,0.00000000,3.48250425e-04
M33 X-7,3.229169999944e-15,0.00000000,3.78665110e-04
M33 X-7,3.511191734215e-15,0.00000000,4.11736082e-04
M33 X-7,3.817844026371e-15,0.00000000,4.47695330e-04
M33 X-7,4.151278002752e-15,0.00000000,4.86795103e-04
M33 X-7,4.513832659769e-15,0.00000000,5.29309680e-04
M33 X-7,4.908051271654e-15,0.00000000,5.75537297e-04
M33 X-7,5.336699231206e-15,0.00000000,6.25802234e-04
M33 X-7,5.802783448666e-15,0.00000000,6.80457094e-04
M33 X-7,6.309573444802e-15,0.00000000,7.39885272e-04
M33 X-7,6.860624286178e-15,0.00000000,8.04503649e-04
M33 X-7,7.459801523488e-15,0.00000000,8.74765517e-04
M33 X-7,8.111308307897e-15,0.00000000,9.51163752e-04
M33 X-7,8.819714875604e-15,0.00000000,1.03423428e-03
M33 X-7,9.589990607460e-15,0.00000000,1.12455982e-03
M33 X-7,1.042753888854e-14,0.00000000,1.22277401e-03
M33 X-7,1.133823501218e-14,0.00000000,1.32956580e-03
M33 X-7,1.232846739442e-14,0.00000000,1.44568433e-03
M33 X-7,1.340518238791e-14,0.00000000,1.57194414e-03
M33 X-7,1.457593300969e-14,0.00000000,1.70923094e-03
M33 X-7,1.584893192461e-14,0.00000000,1.85850777e-03
M33 X-7,1.723310905614e-14,0.00000000,2.02082180e-03
M33 X-7,1.873817422860e-14,0.00000000,2.19731163e-03
M33 X-7,2.037468528040e-14,0.00000000,2.38921532e-03
M33 X-7,2.215412212581e-14,0.00000000,2.59787905e-03
M33 X-7,2.408896728518e-14,0.00000000,2.82476656e-03
M33 X-7,2.619279344816e-14,0.00000000,3.07146945e-03
M33 X-7,2.848035868436e-14,0.00000000,3.33971830e-03
M33 X-7,3.096770996935e-14,0.00000000,3.63139485e-03
M33 X-7,3.367229575211e-14,0.00000000,3.94854516e-03
M33 X-7,3.661308835364e-14,0.00054407,4.29339401e-03
M33 X-7,3.981071705535e-14,0.01360174,4.66836046e-03
M33 X-7,4.328761281083e-14,0.13873776,5.07607486e-03
M33 X-7,4.706816559609e-14,0.45865071,5.51939728e-03
M33 X-7,5.117889550211e-14,0.77856366,6.00143755e-03
M33 X-7,5.564863876983e-14,0.94232862,6.52557714e-03
M33 X-7,6.050875007273e-14,0.98911861,7.09549280e-03
M33 X-7,6.579332246576e-14,0.99945593,7.71518244e-03
M33 X-7,7.153942654377e-14,1.00000000,8.38899309e-03
M33 X-7,7.778737048694e-14,1.00000000,9.12165145e-03
M33 X-7,8.458098281751e-14,1.00000000,9.91829701e-03
M33 X-7,9.196791985117e-14,1.00000000,1.07845182e-02
M33 X-7,1.000000000000e-13,1.00000000,1.17263913e-02
IRAS 09149-6206,1.000000000000e-21,0.00000000,8.96777287e-04
IRAS 09149-6206,1.087335672720e-21,0.00000000,9.75097935e-04
IRAS 09149-6206,1.182298865169e-21,0.00000000,1.06025877e-03
IRAS 09149-6206,1.285555731914e-21,0.00000000,1.15285718e-03
IRAS 09149-6206,1.397830606579e-21,0.00000000,1.25354274e-03
IRAS 09149-6206,1.519911082953e-21,0.00000000,1.36302174e-03
IRAS 09149-6206,1.652653539857e-21,0.00000000,1.48206216e-03
IRAS 09149-6206,1.796989148533e-21,0.00000000,1.61149905e-03
IRAS 09149-6206,1.953930404690e-21,0.00000000,1.75224041e-03
IRAS 09149-6206,2.124578231031e-21,0.00000000,1.90527350e-03
IRAS 09149-6206,2.310129700083e-21,0.00000000,2.07167185e-03
IRAS 09149-6206,2.511886431510e-21,0.00000000,2.25260270e-03
IRAS 09149-6206,2.731263722801e-21,0.00000000,2.44933527e-03
IRAS 09149-6206,2.969800477406e-21,0.00000000,2.66324962e-03
IRAS 09149-6206,3.229169999944e-21,0.00000000,2.89584631e-03
IRAS 09149-6206,3.511191734215e-21,0.00000000,3.14875700e-03
IRAS 09149-6206,3.817844026371e-21,0.00000000,3.42375581e-03
IRAS 09149-6206,4.151278002752e-21,0.00000000,3.72277183e-03
IRAS 09149-6206,4.513832659769e-21,0.00000000,4.04790261e-03
IRAS 09149-6206,4.908051271654e-21,0.00000000,4.40142891e-03
IRAS 09149-6206,5.336699231206e-21,0.00000000,4.78583066e-03
IRAS 09149-6206,5.802783448666e-21,0.00000000,5.20380440e-03
IRAS 09149-6206,6.309573444802e-21,0.00010000,5.65828216e-03
IRAS 09149-6206,6.860624286178e-21,0.00010000,6.15245204e-03
IRAS 09149-6206,7.459801523488e-21,0.00020000,6.68978058e-03
IRAS 09149-6206,8.111308307897e-21,0.00030000,7.27403706e-03
IRAS 09149-6206,8.819714875604e-21,0.00040000,7.90931998e-03
IRAS 09149-6206,9.589990607460e-21,0.00100000,8.60008576e-03
IRAS 09149-6206,1.042753888854e-20,0.00190000,9.35118004e-03
IRAS 09149-6206,1.133823501218e-20,0.00340000,1.01678716e-02
IRAS 09149-6206,1.232846739442e-20,0.00540000,1.10558895e-02
IRAS 09149-6206,1.340518238791e-20,0.00900000,1.20214631e-02
IRAS 09149-6206,1.457593300969e-20,0.01340000,1.30713657e-02
IRAS 09149-6206,1.584893192461e-20,0.02170000,1.42129622e-02
IRAS 09149-6206,1.723310905614e-20,0.03370000,1.54542608e-02
IRAS 09149-6206,1.873817422860e-20,0.05160000,1.68039691e-02
IRAS 09149-6206,2.037468528040e-20,0.07270000,1.82715550e-02
IRAS 09149-6206,2.215412212581e-20,0.09930000,1.98673135e-02
IRAS 09149-6206,2.408896728518e-20,0.13450000,2.16024387e-02
IRAS 09149-6206,2.619279344816e-20,0.18170000,2.34891023e-02
IRAS 09149-6206,2.848035868436e-20,0.23280000,2.55405388e-02
IRAS 09149-6206,3.096770996935e-20,0.29090000,2.77711389e-02
IRAS 09149-6206,3.367229575211e-20,0.35620000,3.01965500e-02
IRAS 09149-6206,3.661308835364e-20,0.42140000,3.28337861e-02
IRAS 09149-6206,3.981071705535e-20,0.48900000,3.57013469e-02
IRAS 09149-6206,4.328761281083e-20,0.55140000,3.88193480e-02
IRAS 09149-6206,4.706816559609e-20,0.61020000,4.22096619e-02
IRAS 09149-6206,5.117889550211e-20,0.66170000,4.58960711e-02
IRAS 09149-6206,5.564863876983e-20,0.71040000,4.99044353e-02
IRAS 09149-6206,6.050875007273e-20,0.75880000,5.42628728e-02
IRAS 09149-6206,6.579332246576e-20,0.79930000,5.90019573e-02
IRAS 09149-6206,7.153942654377e-20,0.84010000,6.41549329e-02
IRAS 09149-6206,7.778737048694e-20,0.87550000,6.97579471e-02
IRAS 09149-6206,8.458098281751e-20,0.90410000,7.58503043e-02
IRAS 09149-6206,9.196791985117e-20,0.92500000,8.24747417e-02
IRAS 09149-6206,1.000000000000e-19,0.94270000,8.96777287e-02
IRAS 09149-6206,1.087335672720e-19,0.95720000,9.75097935e-02
IRAS 09149-6206,1.182298865169e-19,0.96650000,1.06025877e-01
IRAS 09149-6206,1.285555731914e-19,0.97330000,1.15285718e-01
IRAS 09149-6206,1.397830606579e-19,0.97400000,1.25354274e-01
IRAS 09149-6206,1.519911082953e-19,0.97100000,1.36302174e-01
IRAS 09149-6206,1.652653539857e-19,0.96320000,1.48206216e-01
IRAS 09149-6206,1.796989148533e-19,0.94850000,1.61149905e-01
IRAS 09149-6206,1.953930404690e-19,0.93140000,1.75224041e-01
IRAS 09149-6206,2.124578231031e-19,0.90870000,1.90527350e-01
IRAS 09149-6206,2.310129700083e-19,0.88130000,2.07167185e-01
IRAS 09149-6206,2.511886431510e-19,0.84400000,2.25260270e-01
IRAS 09149-6206,2.731263722801e-19,0.80380000,2.44933527e-01
IRAS 09149-6206,2.969800477406e-19,0.75380000,2.66324962e-01
IRAS 09149-6206,3.229169999944e-19,0.70370000,2.89584631e-01
IRAS 09149-6206,3.511191734215e-19,0.64530000,3.14875700e-01
IRAS 09149-6206,3.817844026371e-19,0.58880000,3.42375581e-01
IRAS 09149-6206,4.151278002752e-19,0.52640000,3.72277183e-01
IRAS 09149-6206,4.513832659769e-19,0.47570000,4.04790261e-01
IRAS 09149-6206,4.908051271654e-19,0.42170000,4.40142891e-01
IRAS 09149-6206,5.336699231206e-19,0.37040000,4.78583066e-01
IRAS 09149-6206,5.802783448666e-19,0.32530000,5.20380440e-01
IRAS 09149-6206,6.309573444802e-19,0.28190000,5.65828216e-01
IRAS 09149-6206,6.860624286178e-19,0.24250000,6.15245204e-01
IRAS 09149-6206,7.459801523488e-19,0.20310000,6.68978058e-01
IRAS 09149-6206,8.111308307897e-19,0.16770000,7.27403706e-01
IRAS 09149-6206,8.819714875604e-19,0.13680000,7.90931998e-01
IRAS 09149-6206,9.589990607460e-19,0.10790000,8.60008576e-01
IRAS 09149-6206,1.042753888854e-18,0.08380000,9.35118004e-01
IRAS 09149-6206,1.133823501218e-18,0.06570000,1.01678716e+00
IRAS 09149-6206,1.232846739442e-18,0.05080000,1.10558895e+00
IRAS 09149-6206,1.340518238791e-18,0.03850000,1.20214631e+00
IRAS 09149-6206,1.457593300969e-18,0.02680000,1.30713657e+00
IRAS 09149-6206,1.584893192461e-18,0.01850000,1.42129622e+00
IRAS 09149-6206,1.723310905614e-18,0.01190000,1.54542608e+00
IRAS 09149-6206,1.873817422860e-18,0.00900000,1.68039691e+00
IRAS 09149-6206,2.037468528040e-18,0.00490000,1.82715550e+00
IRAS 09149-6206,2.215412212581e-18,0.00310000,1.98673135e+00
IRAS 09149-6206,2.408896728518e-18,0.00190000,2.16024387e+00
IRAS 09149-6206,2.619279344816e-18,0.00130000,2.34891023e+00
IRAS 09149-6206,2.848035868436e-18,0.00070000,2.55405388e+00
IRAS 09149-6206,3.096770996935e-18,0.00030000,2.77711389e+00
IRAS 09149-6206,3.367229575211e-18,0.00000000,3.01965500e+00
IRAS 09149-6206,3.661308835364e-18,0.00000000,3.28337861e+00
IRAS 09149-6206,3.981071705535e-18,0.00000000,3.57013469e+00
IRAS 09149-6206,4.328761281083e-18,0.00000000,3.88193480e+00
IRAS 09149-6206,4.706816559609e-18,0.00000000,4.22096619e+00
IRAS 09149-6206,5.117889550211e-18,0.00000000,4.58960711e+00
IRAS 09149-6206,5.564863876983e-18,0.00000000,4.99044353e+00
IRAS 09149-6206,6.050875007273e-18,0.00000000,5.42628728e+00
IRAS 09149-6206,6.579332246576e-18,0.00000000,5.90019573e+00
IRAS 09149-6206,7.153942654377e-18,0.00000000,6.41549329e+00
IRAS 09149-6206,7.778737048694e-18,0.00000000,6.97579471e+00
IRAS 09149-6206,8.458098281751e-18,0.00000000,7.58503043e+00
IRAS 09149-6206,9.196791985117e-18,0.00000000,8.24747417e+00
IRAS 09149-6206,1.000000000000e-17,0.00000000,8.96777287e+00
IRAS 09149-6206,1.087335672720e-17,0.00000000,9.75097935e+00
IRAS 09149-6206,1.182298865169e-17,0.00000000,1.06025877e+01
IRAS 09149-6206,1.285555731914e-17,0.00000000,1.15285718e+01
IRAS 09149-6206,1.397830606579e-17,0.00000000,1.25354274e+01
IRAS 09149-6206,1.519911082953e-17,0.00000000,1.36302174e+01
IRAS 09149-6206,1.652653539857e-17,0.00000000,1.48206216e+01
IRAS 09149-6206,1.796989148533e-17,0.00000000,1.61149905e+01
IRAS 09149-6206,1.953930404690e-17,0.00000000,1.75224041e+01
IRAS 09149-6206,2.124578231031e-17,0.00000000,1.90527350e+01
IRAS 09149-6206,2.310129700083e-17,0.00000000,2.07167185e+01
IRAS 09149-6206,2.511886431510e-17,0.00000000,2.25260270e+01
IRAS 09149-6206,2.731263722801e-17,0.00000000,2.44933527e+01
IRAS 09149-6206,2.969800477406e-17,0.00000000,2.66324962e+01
IRAS 09149-6206,3.229169999944e-17,0.00000000,2.89584631e+01
IRAS 09149-6206,3.511191734215e-17,0.00000000,3.14875700e+01
IRAS 09149-6206,3.817844026371e-17,0.00000000,3.42375581e+01
IRAS 09149-6206,4.151278002752e-17,0.00000000,3.72277183e+01
IRAS 09149-6206,4.513832659769e-17,0.00000000,4.04790261e+01
IRAS 09149-6206,4.908051271654e-17,0.00000000,4.40142891e+01
IRAS 09149-6206,5.336699231206e-17,0.00000000,4.78583066e+01
IRAS 09149-6206,5.802783448666e-17,0.00000000,5.20380440e+01
IRAS 09149-6206,6.309573444802e-17,0.00000000,5.65828216e+01
IRAS 09149-6206,6.860624286178e-17,0.00000000,6.15245204e+01
IRAS 09149-6206,7.459801523488e-17,0.00000000,6.68978058e+01
IRAS 09149-6206,8.111308307897e-17,0.00000000,7.27403706e+01
IRAS 09149-6206,8.819714875604e-17,0.00000000,7.90931998e+01
IRAS 09149-6206,9.589990607460e-17,0.00000000,8.60008576e+01
IRAS 09149-6206,1.042753888854e-16,0.00000000,9.35118004e+01
IRAS 09149-6206,1.133823501218e-16,0.00000000,1.01678716e+02
IRAS 09149-6206,1.232846739442e-16,0.00000000,1.10558895e+02
IRAS 09149-6206,1.340518238791e-16,0.00000000,1.20214631e+02
IRAS 09149-6206,1.457593300969e-16,0.00000000,1.30713657e+02
IRAS 09149-6206,1.584893192461e-16,0.00000000,1.42129622e+02
IRAS 09149-6206,1.723310905614e-16,0.00000000,1.54542608e+02
IRAS 09149-6206,1.873817422860e-16,0.00000000,1.68039691e+02
IRAS 09149-6206,2.037468528040e-16,0.00000000,1.82715550e+02
IRAS 09149-6206,2.215412212581e-16,0.00000000,1.98673135e+02
IRAS 09149-6206,2.408896728518e-16,0.00000000,2.16024387e+02
IRAS 09149-6206,2.619279344816e-16,0.00000000,2.34891023e+02
IRAS 09149-6206,2.848035868436e-16,0.00000000,2.55405388e+02
IRAS 09149-6206,3.096770996935e-16,0.00000000,2.77711389e+02
IRAS 09149-6206,3.367229575211e-16,0.00000000,3.01965500e+02
IRAS 09149-6206,3.661308835364e-16,0.00000000,3.28337861e+02
IRAS 09149-6206,3.981071705535e-16,0.00000000,3.57013469e+02
IRAS 09149-6206,4.328761281083e-16,0.00000000,3.88193480e+02
IRAS 09149-6206,4.706816559609e-16,0.00000000,4.22096619e+02
IRAS 09149-6206,5.117889550211e-16,0.00000000,4.58960711e+02
IRAS 09149-6206,5.564863876983e-16,0.00000000,4.99044353e+02
IRAS 09149-6206,6.050875007273e-16,0.00000000,5.42628728e+02
IRAS 09149-6206,6.579332246576e-16,0.00000000,5.90019573e+02
IRAS 09149-6206,7.153942654377e-16,0.00000000,6.41549329e+02
IRAS 09149-6206,7.778737048694e-16,0.00000000,6.97579471e+02
IRAS 09149-6206,8.458098281751e-16,0.00000000,7.58503043e+02
IRAS 09149-6206,9.196791985117e-16,0.00000000,8.24747417e+02
IRAS 09149-6206,1.000000000000e-15,0.00000000,8.96777287e+02
IRAS 09149-6206,1.087335672720e-15,0.00000000,9.75097935e+02
IRAS 09149-6206,1.182298865169e-15,0.00000000,1.06025877e+03
IRAS 09149-6206,1.285555731914e-15,0.00000000,1.15285718e+03
IRAS 09149-6206,1.397830606579e-15,0.00000000,1.25354274e+03
IRAS 09149-6206,1.519911082953e-15,0.00000000,1.36302174e+03
IRAS 09149-6206,1.652653539857e-15,0.00000000,1.48206216e+03
IRAS 09149-6206,1.796989148533e-15,0.00000000,1.61149905e+03
IRAS 09149-6206,1.953930404690e-15,0.00000000,1.75224041e+03
IRAS 09149-6206,2.124578231031e-15,0.00000000,1.90527350e+03
IRAS 09149-6206,2.310129700083e-15,0.00000000,2.07167185e+03
IRAS 09149-6206,2.511886431510e-15,0.00000000,2.25260270e+03
IRAS 09149-6206,2.731263722801e-15,0.00000000,2.44933527e+03
IRAS 09149-6206,2.969800477406e-15,0.00000000,2.66324962e+03
IRAS 09149-6206,3.229169999944e-15,0.00000000,2.89584631e+03
IRAS 09149-6206,3.511191734215e-15,0.00000000,3.14875700e+03
IRAS 09149-6206,3.817844026371e-15,0.00000000,3.42375581e+03
IRAS 09149-6206,4.151278002752e-15,0.00000000,3.72277183e+03
IRAS 09149-6206,4.513832659769e-15,0.00000000,4.04790261e+03
IRAS 09149-6206,4.908051271654e-15,0.00000000,4.40142891e+03
IRAS 09149-6206,5.336699231206e-15,0.00000000,4.78583066e+03
IRAS 09149-6206,5.802783448666e-15,0.00000000,5.20380440e+03
IRAS 09149-6206,6.309573444802e-15,0.00000000,5.65828216e+03
IRAS 09149-6206,6.860624286178e-15,0.00000000,6.15245204e+03
IRAS 09149-6206,7.459801523488e-15,0.00000000,6.68978058e+03
IRAS 09149-6206,8.111308307897e-15,0.00000000,7.27403706e+03
