filename,project,year,season,state,operator_affiliation,agent,apparatus,purpose,target_area,control_area,start_date,end_date,state_title,season_normalized,purpose_tokens,purpose_combo_normalized,agent_tokens,agent_combo_normalized,apparatus_tokens,apparatus_combo_normalized,start_date_inferred,end_date_inferred,duration_days_inferred,date_anomaly_flag
2018COESJM_ESJ17-4.pdf,eastern san juan mountains cloud seeding program,2018,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",eastern san juan mountains,northern new mexico along continental divide,11/1/18,4/15/19,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2018-11-01,2019-04-15,166.0,False
2018COPWSJ_PurgWSJ17-4.pdf,purgatory/western san juan program,2019,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",western san juan mountains and purgatory ski area,se utah mountains and northern nm mountains,11/1/18,3/31/19,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2018-11-01,2019-03-31,151.0,False
2018COTUSM_TellUSM17-4.pdf,telluride ski area/ upper san miguel basin,2019,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation","upper san miguel river basin, telluride ski area","uncompahgre plateaus, southeastern utah mountains",11/15/18,4/15/19,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2018-11-15,2019-04-15,152.0,False
2018COVBVC_vailbeavercrk17-4.pdf,central colorado program,2019,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",vail and beaver creek ski areas,flat top mountains of colorado,11/1/18,3/31/19,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2018-11-01,2019-03-31,151.0,False
2018NDCMP1_North DakotaCMPInitialReport-District1.pdf,north dakota cloud modification project - district 1,2018,summer,north dakota,weather modification inc,silver iodide,airborne,"increase precipitation, suppress hail",bowman county and part of slope county,,6/1/18,8/31/18,North Dakota,summer,"['increase precipitation', 'suppress hail']",increase precipitation | suppress hail,['silver iodide'],silver iodide,['airborne'],airborne,2018-06-01,2018-08-31,92.0,False
2018NDCMP2_North DakotaCMPInitialReport-District2.pdf,north dakota cloud modification project - district ii,2018,summer,north dakota,weather modification inc,silver iodide,airborne,"increase precipitation, suppress hail","burke, mckenzie, mountrail, ward, williams counties",,6/1/18,8/31/18,North Dakota,summer,"['increase precipitation', 'suppress hail']",increase precipitation | suppress hail,['silver iodide'],silver iodide,['airborne'],airborne,2018-06-01,2018-08-31,92.0,False
2018TXSWMA_STWMA.pdf,south texas weather modification association,2018,"summer, fall",texas,south texas weather modification association,"silver iodide, calcium chloride",airborne,increase precipitation,"area between san antonio and corpus christi in uvalde, medina, bandera, bexar, frio, atascosa, wilson, karnes, bee and mcmullen counties",,,10/31/18,Texas,"summer, fall",['increase precipitation'],increase precipitation,"['silver iodide', 'calcium chloride']",silver iodide | calcium chloride,['airborne'],airborne,,2018-10-31,,False
2018TXSWMA-1_2018 Seeding Doc.pdf,south texas weather modification association,2018,"spring, summer, fall",texas,south texas weather modification association,"silver iodide, calcium chloride",airborne,increase precipitation,"atascosa, bandera, bee, bexar, frio, karnes, mcmullen, medina, uvalde, and wilson counties in south texas",south texas,3/15/18,11/15/18,Texas,"spring, summer, fall",['increase precipitation'],increase precipitation,"['silver iodide', 'calcium chloride']",silver iodide | calcium chloride,['airborne'],airborne,2018-03-15,2018-11-15,246.0,False
"2018UTHUIN_High Uintas, Utah.pdf","high uintas, utah",2019,winter,utah,north american weather consultants,silver iodide,ground,augment snowpack,portions of duchesne and uinta counties,various sites in utah,11/1/18,4/30/19,Utah,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2018-11-01,2019-04-30,181.0,False
2018UTNUSN_NorthernUT17-4.pdf,northern utah cloud seeding program,2019,winter,utah,north american weather consultants,silver iodide,ground,augment snowpack,"portions of box elder and cache counties, utah","various sites in utah, nevada, and idaho",12/1/18,3/31/19,Utah,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2018-12-01,2019-03-31,121.0,False
2018UTSNOW_Snowbird.pdf,snowbird ski resort,2018,"fall, winter",utah,north american weather consultants,silver iodide,ground,augment snowpack,snowbird ski resort,,10/15/18,12/24/18,Utah,"fall, winter",['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2018-10-15,2018-12-24,71.0,False
2018UTSOCE_Southern and Central Utah.pdf,southern and central utah,2019,winter,utah,north american weather consultants,silver iodide,ground,augment snowpack,southern and central utah,"various sites in utah, nevada, arizona",11/1/18,4/15/19,Utah,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2018-11-01,2019-04-15,166.0,False
2018UTWUIN_WesternUintasUT17-4.pdf,western uintas cloud seeding program,2019,winter,utah,north american weather consultants,silver iodide,ground,augment snowpack,"weber/provo river basins over 7,000 feet elevation","various sites in idaho, nevada, and utah",12/1/18,3/31/19,Utah,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2018-12-01,2019-03-31,121.0,False
2018WYMBSM_MedicineBowSierraMadre17-4.pdf,medicine bow / sierra madre weather modification project,2019,winter,wyoming,weather modification inc,silver iodide,airborne,augment snowpack,"medicine bow and sierra madre ranges, south-central wyoming",,11/15/18,3/31/19,Wyoming,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['airborne'],airborne,2018-11-15,2019-03-31,137.0,False
2018WYWRRW_WRRwmp.pdf,wind river range weather modification project,2019,winter,wyoming,weather modification inc,silver iodide,ground,augment snowpack,"wind river range, west-central wyoming",,11/5/18,3/31/19,Wyoming,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2018-11-05,2019-03-31,147.0,False
2019COCMRB_CenCOMtnRvrBasings17-4.pdf,central colorado mountain river basin program,2020,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",eastern central colorado divide mountains,northern colorado continental divide and sangre de cristo,10/31/19,4/15/20,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2019-10-31,2020-04-15,168.0,False
2019COESJM_ESJ17-4.pdf,eastern san juan mountains,2019,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",eastern san juan mountains,northern new mexico along continental divide,1/1/19,12/31/19,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2019-01-01,2019-12-31,365.0,False
2019COPWSJ_PurgatoryWSJ17-4.pdf,purgatory western san juan program,2020,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",western san juan mountains and purgatory ski area,se utah mountains and northern new mexico mountains,11/1/19,3/31/20,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2019-11-01,2020-03-31,152.0,False
2019COTUSM_TellurideSMWDT17-4.pdf,telluride ski area / upper san miguel basin,2020,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation","upper san miguel river basin, telluride ski area","uncompahgre plateaus, southeastern utah mountains",11/1/19,4/15/20,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2019-11-01,2020-04-15,167.0,False
2019COVBVC_VailBvrCrk17-4.pdf,central colorado program,2020,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation","vail and beaver creek ski areas, central colorado mountains",flat tops mountains of colorado,11/1/19,3/31/20,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2019-11-01,2020-03-31,152.0,False
2020CACASP_NOAA 17-4 Kaweah WY21.pdf,kaweah river cloud seeding program,2021,winter,california,rhs consulting ltd,"silver iodide, hygroscopic aerosols",airborne,augment snowpack,kaweah river basin,"merced river, tule river, cottonwood creek",11/1/20,4/30/21,California,winter,['augment snowpack'],augment snowpack,"['silver iodide', 'hygroscopic aerosols']",silver iodide | hygroscopic aerosols,['airborne'],airborne,2020-11-01,2021-04-30,181.0,False
2020CAKESP_NOAA 17-4 Kern WY21.pdf,kern river cloud seeding program,2021,winter,california,rhs consulting ltd,"silver iodide, hygroscopic aerosols",airborne,augment snowpack,kern river basin,"merced river, tule river, cottonwood creek",11/1/20,4/30/21,California,winter,['augment snowpack'],augment snowpack,"['silver iodide', 'hygroscopic aerosols']",silver iodide | hygroscopic aerosols,['airborne'],airborne,2020-11-01,2021-04-30,181.0,False
2020CAKRIVinitial.pdf,kings river cloud seeding program,2021,winter,california,north american weather consultants,silver iodide,ground,increase precipitation,"kings river basin, california",various sites north of target area,11/15/20,4/15/21,California,winter,['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,['ground'],ground,2020-11-15,2021-04-15,152.0,False
2020CAMOKE_Mokelumne17-4.pdf,mokelumne,2021,winter,california,pacific gas and electric company,"silver iodide, ammonium iodide",ground,"augment snowpack, increase runoff",central sierra nevada range,,11/1/20,5/31/21,California,winter,"['augment snowpack', 'increase runoff']",augment snowpack | increase runoff,"['silver iodide', 'ammonium iodide']",silver iodide | ammonium iodide,['ground'],ground,2020-11-01,2021-05-31,212.0,False
2020CASBSOinitial.pdf,santa barbara and san luis obispo counties cloud seeding program,2021,winter,california,north american weather consultants,silver iodide,ground,increase precipitation,santa barbara and san luis obispo counties,various sites in southern california,12/1/20,3/31/21,California,winter,['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,['ground'],ground,2020-12-01,2021-03-31,121.0,False
2020CAUAMB_UARB NOAA 17-4 WY 2021_signed (1).pdf,upper american river basin project,2021,winter,california,rhs consulting ltd,silver iodide,airborne,augment snowpack,"alpine, amador, el dorado, and placer counties","consumnes, south forks of merced, yuba watershed",11/15/20,4/14/21,California,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['airborne'],airborne,2020-11-15,2021-04-14,151.0,False
2020CAUAMR_UpperAmRBP17-4.pdf,upper american river basin project,2020,winter,california,rhs consulting ltd,silver iodide,airborne,augment snowpack,"alpine, amador, el dorado and placer counties","consumnes, south forks of merced, yuba watersheds",12/15/19,4/14/20,California,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['airborne'],airborne,2019-12-15,2020-04-14,122.0,False
2020COCMRB_CCMB.pdf,central colorado mountain river basin program,2021,"winter, spring",colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",eastern central colorado divide mountains,northern colorado continental divide and sangre de cristo,11/1/20,4/15/21,Colorado,"winter, spring","['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2020-11-01,2021-04-15,166.0,False
2020COGUNRinitial.pdf,gunnison river basin cloud seeding program,2021,winter,colorado,north american weather consultants,silver iodide,ground,augment snowpack,"gunnison river basin, colorado","various sites in colorado, utah, and new mexico",11/15/20,4/15/21,Colorado,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2020-11-15,2021-04-15,152.0,False
2020COTUSM_SJM.pdf,san juan program,2021,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",western san juan mountains including telluride area,uncompahgre plateaus,11/1/20,4/15/21,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2020-11-01,2021-04-15,166.0,False
2020IDCCSN_NOAA Filing 20-21.pdf,clark county cloud seeding program,2021,winter,idaho,clark county,silver iodide,ground,augment snowpack,eastern idaho,,11/1/20,5/15/21,Idaho,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2020-11-01,2021-05-15,196.0,False
2020NDCMP1_InitialReport_NDCMP-District1.pdf,north dakota cloud modification project - district 1,2020,summer,north dakota,weather modification inc,silver iodide,airborne,"increase precipitation, suppress hail",bowman county and part of slope county,,6/1/20,8/31/20,North Dakota,summer,"['increase precipitation', 'suppress hail']",increase precipitation | suppress hail,['silver iodide'],silver iodide,['airborne'],airborne,2020-06-01,2020-08-31,92.0,False
2020NDCMP2_InitialReport_NDCMP-District2.pdf,north dakota cloud modification project - district ii,2020,summer,north dakota,weather modification inc,silver iodide,airborne,"increase precipitation, suppress hail","mckenzie, mountrail, ward, and williams counties",,6/1/20,8/31/20,North Dakota,summer,"['increase precipitation', 'suppress hail']",increase precipitation | suppress hail,['silver iodide'],silver iodide,['airborne'],airborne,2020-06-01,2020-08-31,92.0,False
2020TXPGCD Weather Modification Initial Report.pdf,pgcd weather modification program,2020,summer,texas,awms,"silver iodide, calcium chloride",airborne,increase precipitation,"texas panhandle including potter, carson, gray, armstrong, donley, wheeler, and roberts counties",areas west and south of target area,5/14/20,9/30/20,Texas,summer,['increase precipitation'],increase precipitation,"['silver iodide', 'calcium chloride']",silver iodide | calcium chloride,['airborne'],airborne,2020-05-14,2020-09-30,140.0,False
2020TXSWMA_STWMA_2020.pdf,south texas weather modification association,2020,"spring, summer, fall",texas,south texas weather modification association,"silver iodide, calcium chloride",airborne,increase precipitation,"uvalde, medina, bandera, bexar, frio, atascosa, wilson, karnes, bee, and mcmullen counties, south texas",area between san antonio and corpus christi,3/15/20,10/31/20,Texas,"spring, summer, fall",['increase precipitation'],increase precipitation,"['silver iodide', 'calcium chloride']",silver iodide | calcium chloride,['airborne'],airborne,2020-03-15,2020-10-31,231.0,False
2020TXTPWM_TPWM2020.pdf,west texas weather modification association,2020,"spring, summer, fall",texas,west texas weather modification association,silver iodide,airborne,increase precipitation,trans-pecos region of far west texas,mountainous regions of far west texas,4/1/20,10/31/20,Texas,"spring, summer, fall",['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,['airborne'],airborne,2020-04-01,2020-10-31,214.0,False
2020TXWTMA_WTWMA2020.pdf,west texas weather modification association,2020,"spring, summer, fall",texas,west texas weather modification association,"silver iodide, calcium chloride",airborne,increase precipitation,"sutton, crockett, reagan, irion, tom green, sterling, and schleicher counties in west texas",west texas north of i20 and south of i10,3/15/20,10/31/20,Texas,"spring, summer, fall",['increase precipitation'],increase precipitation,"['silver iodide', 'calcium chloride']",silver iodide | calcium chloride,['airborne'],airborne,2020-03-15,2020-10-31,231.0,False
2020UT6CRKinitial.pdf,six creeks cloud seeding program,2021,winter,utah,north american weather consultants,silver iodide,ground,augment snowpack,wasatch range in salt lake county,,11/15/20,4/15/21,Utah,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2020-11-15,2021-04-15,152.0,False
2020UTHUINinitial.pdf,high uintas cloud seeding program,2021,winter,utah,north american weather consultants,silver iodide,ground,augment snowpack,"portions of duchesne and uinta counties, utah",various sites in utah,11/1/20,4/30/21,Utah,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2020-11-01,2021-04-30,181.0,False
2020UTNORTinitial.pdf,northern utah cloud seeding program,2021,winter,utah,north american weather consultants,silver iodide,ground,augment snowpack,"portions of box elder and cache counties, utah","various sites in utah, nevada, and idaho",12/1/20,3/31/21,Utah,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2020-12-01,2021-03-31,121.0,False
2020UTSNOWinitial.pdf,snowbird ski resort,2020,"fall, winter",utah,north american weather consultants,silver iodide,ground,augment snowpack,snowbird ski resort,,10/15/20,12/24/20,Utah,"fall, winter",['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2020-10-15,2020-12-24,71.0,False
2020UTSOCEinitial.pdf,southern and central utah cloud seeding program,2021,winter,utah,north american weather consultants,silver iodide,ground,augment snowpack,southern and central utah,"various sites in utah, nevada, arizona",11/1/20,4/15/21,Utah,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2020-11-01,2021-04-15,166.0,False
2020UTWUINinitial.pdf,western uintas cloud seeding program,2021,winter,utah,north american weather consultants,silver iodide,ground,augment snowpack,"weber and provo river basins over 7,000 feet elevation","various sites in idaho, nevada, and utah",12/1/20,3/31/21,Utah,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2020-12-01,2021-03-31,121.0,False
2021CACSNR-1.pdf,mokelumne,2022,winter,california,pacific gas and electric company,"silver iodide, ammonium iodide",ground,"augment snowpack, increase runoff",central sierra nevada range,,11/19/21,5/31/22,California,winter,"['augment snowpack', 'increase runoff']",augment snowpack | increase runoff,"['silver iodide', 'ammonium iodide']",silver iodide | ammonium iodide,['ground'],ground,2021-11-19,2022-05-31,194.0,False
2021CAKAWEAH-1.pdf,kaweah river cloud seeding program,2022,winter,california,rhs consulting ltd,"silver iodide, hygroscopic aerosols",airborne,augment snowpack,kaweah river basin,"merced river, tule river, cottonwood creek",11/1/21,4/30/22,California,winter,['augment snowpack'],augment snowpack,"['silver iodide', 'hygroscopic aerosols']",silver iodide | hygroscopic aerosols,['airborne'],airborne,2021-11-01,2022-04-30,181.0,False
2021CAKERN-1.pdf,kern river cloud seeding program,2022,winter,california,rhs consulting ltd,"silver iodide, hygroscopic aerosols",airborne,augment snowpack,kern river basin,"merced river, tule river, cottonwood creek",11/1/21,4/30/22,California,winter,['augment snowpack'],augment snowpack,"['silver iodide', 'hygroscopic aerosols']",silver iodide | hygroscopic aerosols,['airborne'],airborne,2021-11-01,2022-04-30,181.0,False
2021CAKRB-1.pdf,kings river basin cloud seeding program,2022,winter,california,rhs consulting ltd,silver iodide,ground,augment snowpack,kings river basin,"merced river, tule river, cottonwood creek",11/15/21,4/15/22,California,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2021-11-15,2022-04-15,152.0,False
2021CANCPA-1.pdf,stanislaus weather modification program,2022,winter,california,weather modification inc,silver iodide,airborne,increase precipitation,east-central california mountainous region above new spicer dam and north fork diversion dam,,11/1/21,4/30/22,California,winter,['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,['airborne'],airborne,2021-11-01,2022-04-30,181.0,False
2021CASB-1.pdf,santa barbara and san luis obispo counties cloud seeding program,2022,winter,california,north american weather consultants,silver iodide,ground,increase precipitation,santa barbara and san luis obispo counties,various sites in southern california,12/1/21,3/31/22,California,winter,['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,['ground'],ground,2021-12-01,2022-03-31,121.0,False
2021CASLO-1.pdf,san luis obispo county cloud seeding program,2022,winter,california,north american weather consultants,silver iodide,ground,increase precipitation,"san luis obispo county, california",various sites in southern california,12/1/21,4/15/22,California,winter,['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,['ground'],ground,2021-12-01,2022-04-15,136.0,False
2021CATID-1.pdf,upper tuolumne river weather modification project,2022,winter,california,weather modification inc,silver iodide,airborne,increase precipitation,"upper tuolumne river watershed, east-central california",,11/1/21,4/30/22,California,winter,['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,['airborne'],airborne,2021-11-01,2022-04-30,181.0,False
2021COG-1.pdf,gunnison river basin cloud seeding program,2022,winter,colorado,north american weather consultants,silver iodide,ground,augment snowpack,"gunnison river basin, colorado",various sites in colorado,11/15/21,4/15/22,Colorado,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2021-11-15,2022-04-15,152.0,False
2021COMRB-1.pdf,central colorado mountain river basin program,2022,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",eastern central colorado continental divide mountains,northern colorado continental divide and sangre de cristo,11/1/21,4/15/22,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2021-11-01,2022-04-15,166.0,False
2021COSJM-1.pdf,san juan mountains program,2022,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",western san juan mountains and purgatory ski area,se utah mountains and northern nm mountains,11/1/21,3/31/22,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2021-11-01,2022-03-31,151.0,False
2021IDBRBA-1.pdf,bear river basin cloud seeding program,2022,winter,idaho,north american weather consultants,silver iodide,airborne,augment snowpack,"bear river watershed in idaho, utah and wyoming",,12/10/21,4/15/22,Idaho,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['airborne'],airborne,2021-12-10,2022-04-15,127.0,False
2021IDCC-1.pdf,clark county cloud seeding program,2022,winter,idaho,clark county,silver iodide,ground,augment snowpack,eastern idaho,,11/1/21,5/15/22,Idaho,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,2021-11-01,2022-05-15,196.0,False
2021IDCM-1.pdf,idaho power's southern idaho cloud seeding project,2022,winter,idaho,idaho power company,"silver iodide, liquid propane","ground, airborne","augment snowpack, increase precipitation","payette, boise, and wood basins",23 snotel sites northwest and north of target area,11/7/21,4/30/22,Idaho,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'liquid propane']",silver iodide | liquid propane,"['ground', 'airborne']",ground | airborne,2021-11-07,2022-04-30,175.0,False
2021IDUSRB-1.pdf,idaho power's southern idaho cloud seeding project,2022,winter,idaho,idaho power company,silver iodide,"ground, airborne","augment snowpack, increase precipitation",upper snake basin,23 snotel sites to the northwest and north,11/4/21,4/30/22,Idaho,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,['silver iodide'],silver iodide,"['ground', 'airborne']",ground | airborne,2021-11-04,2022-04-30,178.0,False
2021NDCMP1_InitialReport-Final.pdf,north dakota cloud modification project - district i,2021,summer,north dakota,weather modification inc,silver iodide,airborne,"increase precipitation, suppress hail","district i, northwest north dakota",,6/1/21,8/31/21,North Dakota,summer,"['increase precipitation', 'suppress hail']",increase precipitation | suppress hail,['silver iodide'],silver iodide,['airborne'],airborne,2021-06-01,2021-08-31,92.0,False
2021TXPGCD_NOAA Initial Report 2021.pdf,pgcd precipitation enhancement program,2021,"spring, summer, fall",texas,panhandle groundwater conservation district,"silver iodide, calcium chloride",airborne,increase precipitation,east central texas panhandle,east central texas panhandle,4/1/21,10/1/21,Texas,"spring, summer, fall",['increase precipitation'],increase precipitation,"['silver iodide', 'calcium chloride']",silver iodide | calcium chloride,['airborne'],airborne,2021-04-01,2021-10-01,184.0,False
2021TXSWMA_STWMA_2021.pdf,south texas weather modification association,2021,"spring, summer, fall",texas,south texas weather modification association,"silver iodide, calcium chloride",airborne,increase precipitation,"uvalde, medina, bandera, bexar, frio, atascosa, wilson, karnes, bee, and mcmullen counties, south texas",,3/15/21,10/31/21,Texas,"spring, summer, fall",['increase precipitation'],increase precipitation,"['silver iodide', 'calcium chloride']",silver iodide | calcium chloride,['airborne'],airborne,2021-03-15,2021-10-31,231.0,False
