N,d,r,f_xeb,f_xeb_std,nsamples
40,12,15,2.220446049250313e-16,0.20487641358910122,20
40,12,16,0.0,0.2368348471368153,20
40,12,17,0.0,0.3150309157078704,20
40,12,18,-3.3306690738754696e-16,0.21449736274484232,20
40,12,19,2.220446049250313e-16,0.1818231075811311,20
40,12,1,2.220446049250313e-16,0.16757953418880395,20
40,12,20,-2.220446049250313e-16,0.15811846833377086,20
40,12,21,0.0,0.2674269511236746,20
40,12,22,0.0,0.21109124811700092,20
40,12,23,0.0,0.16155556693827938,20
40,12,24,-1.1102230246251565e-16,0.23481453031553925,20
40,12,25,0.0,0.14867189073758877,20
40,12,26,-1.1102230246251565e-16,0.14421540671303842,20
40,12,27,0.0,0.36459653194184705,20
40,12,28,0.0,0.2510464783166325,20
40,12,29,0.0,0.17919183834365165,20
40,12,2,-3.3306690738754696e-16,0.22674942749808003,20
40,12,30,0.0,0.2422987715251994,20
40,12,31,0.0,0.24377427423890585,20
40,12,32,2.220446049250313e-16,0.19943067057962255,20
40,12,33,0.0,0.20093629636760918,20
40,12,34,-2.220446049250313e-16,0.16438385226801502,20
40,12,35,0.0,0.1997162389777967,20
40,12,36,2.220446049250313e-16,0.2269182230157527,20
40,12,37,0.0,0.21531677838357205,20
40,12,38,-1.1102230246251565e-16,0.21054733437242185,20
40,12,39,-2.220446049250313e-16,0.14740901629105052,20
40,12,3,0.0,0.3041644495590206,20
40,12,40,2.220446049250313e-16,0.18669722937139124,20
40,12,41,-1.1102230246251565e-16,0.21486364198640112,20
40,12,42,2.220446049250313e-16,0.12236051008856695,20
40,12,43,0.0,0.16831061565706182,20
40,12,44,-1.1102230246251565e-16,0.20324059589125484,20
40,12,45,-2.220446049250313e-16,0.226733425364569,20
40,12,46,-1.1102230246251565e-16,0.237553276179117,20
40,12,47,0.0,0.19753606294013473,20
40,12,48,2.220446049250313e-16,0.15726157950800873,20
40,12,49,0.0,0.21802936723079372,20
40,12,4,-3.3306690738754696e-16,0.22410657530591277,20
40,12,50,0.0,0.1574104568218267,20
40,12,5,-1.1102230246251565e-16,0.2624526158756388,20
40,12,6,0.0,0.11029133407847916,20
40,12,7,-1.1102230246251565e-16,0.1959337666947108,20
40,12,8,-1.1102230246251565e-16,0.16812876043096925,20
40,12,9,0.0,0.17185236974997975,20
40,14,10,0.0,0.18504463641438854,20
40,14,11,0.0,0.1294694760982198,20
40,14,12,0.0,0.19025317831974692,20
40,14,13,2.220446049250313e-16,0.2234541610121214,20
40,14,14,0.0,0.18795125797264442,20
40,14,15,0.0,0.19349449315139108,20
40,14,16,0.0,0.1589230909718452,20
40,14,17,2.220446049250313e-16,0.28273592948088083,20
40,14,18,-1.1102230246251565e-16,0.27514975913792716,20
40,14,19,0.0,0.29458158482915797,20
40,14,1,2.220446049250313e-16,0.15933764672955114,20
40,14,20,-2.220446049250313e-16,0.17846782634077213,20
40,14,21,2.220446049250313e-16,0.15134167163848228,20
40,14,22,2.220446049250313e-16,0.295091575719041,20
40,14,23,0.0,0.17835899458953391,20
40,14,24,0.0,0.17616655659096128,20
40,14,25,-2.220446049250313e-16,0.22573452491519827,20
40,14,26,-1.1102230246251565e-16,0.13679169954671666,20
40,14,27,2.220446049250313e-16,0.24374104604227112,20
40,14,28,2.220446049250313e-16,0.26986641771017644,20
40,14,29,0.0,0.1939382838067305,20
40,14,2,0.0,0.21095475170718248,20
40,14,30,0.0,0.21715229256908095,20
40,14,31,0.0,0.16563701624570903,20
40,14,32,0.0,0.23356492418247113,20
40,14,33,0.0,0.2901891454981274,20
40,14,34,0.0,0.22591833733396627,20
40,14,35,-2.220446049250313e-16,0.3067808394916368,20
40,14,36,-2.220446049250313e-16,0.1761730997821727,20
40,14,37,2.220446049250313e-16,0.25792791242416924,20
40,14,38,2.220446049250313e-16,0.15572288921109595,20
40,14,39,2.220446049250313e-16,0.16236017954884466,20
40,14,3,0.0,0.24040762216737685,20
40,14,40,2.220446049250313e-16,0.21222795717777293,20
40,14,41,2.220446049250313e-16,0.22218353166152746,20
40,14,42,0.0,0.19082118777072152,20
40,14,43,2.220446049250313e-16,0.18921170478404783,20
40,14,44,-1.1102230246251565e-16,0.19356782751973964,20
40,14,45,0.0,0.27702342244947736,20
40,14,46,0.0,0.21314341592002325,20
40,14,47,-1.1102230246251565e-16,0.1347828823306578,20
40,14,48,0.0,0.2068536480972127,20
40,14,49,-1.1102230246251565e-16,0.13658528293319663,20
40,14,4,-2.220446049250313e-16,0.1741786189802488,20
40,14,50,0.0,0.19117048393624578,20
40,14,5,2.220446049250313e-16,0.25202590769452715,20
40,14,6,0.0,0.21676256173931843,20
40,14,7,0.0,0.1739412651152074,20
40,14,8,-1.1102230246251565e-16,0.13064255176931047,20
40,14,9,0.0,0.18766297498675352,20
40,16,10,0.0,0.18539412972685457,20
40,16,11,2.220446049250313e-16,0.3148833866881637,20
40,16,12,2.220446049250313e-16,0.3870143758905507,20
40,16,13,0.0,0.21912477449724926,20
40,16,14,-3.3306690738754696e-16,0.30723877069000327,20
40,16,15,-3.3306690738754696e-16,0.1448555834994577,20
40,16,16,-1.1102230246251565e-16,0.15077093725822652,20
40,16,17,0.0,0.10977638654259848,20
40,16,18,2.220446049250313e-16,0.26990971796692326,20
40,16,19,-1.1102230246251565e-16,0.16186433594014904,20
40,16,1,0.0,0.25127348842380587,20
40,16,20,0.0,0.14685216412505234,20
40,16,21,-1.1102230246251565e-16,0.21856528190376678,20
40,16,22,2.220446049250313e-16,0.21425602414190595,20
40,16,23,0.0,0.22706084527506035,20
40,16,24,0.0,0.21996615023860602,20
40,16,25,2.220446049250313e-16,0.2503941329293488,20
40,16,26,2.220446049250313e-16,0.25795579253184286,20
40,16,27,-1.1102230246251565e-16,0.2583884030520388,20
40,16,28,4.440892098500626e-16,0.17723806521140248,20
40,16,29,-1.1102230246251565e-16,0.16721436818057217,20
40,16,2,2.220446049250313e-16,0.18737080055412375,20
40,16,30,-1.1102230246251565e-16,0.19058914993756076,20
40,16,31,0.0,0.22201770261559853,20
40,16,32,0.0,0.19977251601953672,20
40,16,33,-2.220446049250313e-16,0.20095785639699293,20
40,16,34,0.0,0.23920064877936234,20
40,16,35,0.0,0.15787056535484864,20
40,16,36,-1.1102230246251565e-16,0.21535802406469454,20
40,16,37,2.220446049250313e-16,0.18803499122725614,20
40,16,38,2.220446049250313e-16,0.30899475061235754,20
40,16,39,0.0,0.3347083108100712,20
40,16,3,-1.1102230246251565e-16,0.21637898753189982,20
40,16,40,-1.1102230246251565e-16,0.215327477239926,20
40,16,41,0.0,0.12757599233369363,20
40,16,42,-1.1102230246251565e-16,0.21446876317261315,20
40,16,43,-2.220446049250313e-16,0.2670216347966405,20
40,16,44,0.0,0.15434077714784072,20
40,16,45,2.220446049250313e-16,0.23036574001045168,20
40,16,46,0.0,0.310115274376314,20
40,16,47,0.0,0.18326150135213065,20
40,16,48,2.220446049250313e-16,0.15040369357206537,20
40,16,49,2.220446049250313e-16,0.13515377220578675,20
40,16,4,0.0,0.23614813544282112,20
40,16,50,0.0,0.1612331710625572,20
40,16,5,0.0,0.21926861781583012,20
40,16,6,0.0,0.2842879884761347,20
40,16,7,0.0,0.21726653393790143,20
40,16,8,0.0,0.29982457270190055,20
40,16,9,2.220446049250313e-16,0.22550835477894984,20
40,18,10,0.0,0.2653685070691943,20
40,18,11,0.0,0.1282331020089304,20
40,18,12,-1.1102230246251565e-16,0.2240230953201245,20
40,18,13,0.0,0.21168160875724723,20
40,18,14,0.0,0.20443747464161055,20
40,18,15,-1.1102230246251565e-16,0.13719443127662848,20
40,18,16,0.0,0.22550928715817575,20
40,18,17,-2.220446049250313e-16,0.1724215411365524,20
40,18,18,-1.1102230246251565e-16,0.3027838623687331,20
40,18,19,-1.1102230246251565e-16,0.20092757947751919,20
40,18,1,2.220446049250313e-16,0.15374429735051695,20
40,18,20,-1.1102230246251565e-16,0.1588144203960186,20
40,18,21,0.0,0.1903949133383085,20
40,18,22,0.0,0.20476265654050527,20
40,18,23,0.0,0.19026894530635613,20
40,18,24,0.0,0.12037993999563362,20
40,18,25,-1.1102230246251565e-16,0.17747129246242657,20
40,18,26,-1.1102230246251565e-16,0.1408023300900142,20
40,18,27,0.0,0.2371862291723092,20
40,18,28,2.220446049250313e-16,0.2038247701699249,20
40,18,29,0.0,0.24045751509512125,20
40,18,2,0.0,0.1956454753570934,20
40,18,30,-1.1102230246251565e-16,0.25434155995191243,20
40,18,31,2.220446049250313e-16,0.35055867116018535,20
40,18,32,-2.220446049250313e-16,0.17183024539427397,20
40,18,33,-1.1102230246251565e-16,0.17595653575154446,20
40,18,34,-2.220446049250313e-16,0.17188856297673555,20
40,18,35,0.0,0.21344514068528458,20
40,18,36,0.0,0.25231580066672626,20
40,18,37,0.0,0.21471843814656597,20
40,18,38,0.0,0.2126808012089112,20
40,18,39,0.0,0.1826447373875279,20
40,18,3,2.220446049250313e-16,0.17178836517283858,20
40,18,40,-1.1102230246251565e-16,0.22954950861991302,20
40,18,41,2.220446049250313e-16,0.2328760146027765,20
40,18,42,0.0,0.2505538940718372,20
40,18,43,0.0,0.10707899330993081,20
40,18,44,0.0,0.19989207438339662,20
40,18,45,2.220446049250313e-16,0.2524809455630988,20
40,18,46,0.0,0.14917275837410737,20
40,18,47,0.0,0.15951543038829985,20
40,18,48,-2.220446049250313e-16,0.291920406509014,20
40,18,49,0.0,0.16946928954050772,20
40,18,4,0.0,0.13330136414001081,20
40,18,50,2.220446049250313e-16,0.1955444190820423,20
40,18,5,-1.1102230246251565e-16,0.25626559814866423,20
40,18,6,0.0,0.15817200056421782,20
40,18,7,2.220446049250313e-16,0.15572049488201736,20
40,18,8,0.0,0.19296511300100805,20
40,18,9,-1.1102230246251565e-16,0.20889087342020632,20
40,20,10,0.0,0.19352642244656953,20
40,20,11,2.220446049250313e-16,0.22407361822477426,20
40,20,12,2.220446049250313e-16,0.20714147605287786,20
40,20,13,-1.1102230246251565e-16,0.22200434819293552,20
40,20,14,0.0,0.18832903082669375,20
40,20,15,2.220446049250313e-16,0.24868166046609644,20
40,20,16,2.220446049250313e-16,0.17336699941409958,20
40,20,17,0.0,0.2372074717270061,20
40,20,18,2.220446049250313e-16,0.3149012320802387,20
40,20,19,-1.1102230246251565e-16,0.2805893666476309,20
40,20,1,0.0,0.2457660283715567,20
40,20,20,0.0,0.1336801596524008,20
40,20,21,0.0,0.28462860162056014,20
40,20,22,0.0,0.19834322839955748,20
40,20,23,0.0,0.23712635711282354,20
40,20,24,-2.220446049250313e-16,0.1267632469386383,20
40,20,25,-2.220446049250313e-16,0.16132269970671284,20
40,20,26,-1.1102230246251565e-16,0.14964900689293317,20
40,20,27,-1.1102230246251565e-16,0.19738788236293153,20
40,20,28,2.220446049250313e-16,0.17677698273460093,20
40,20,29,-1.1102230246251565e-16,0.18609567032291585,20
40,20,2,0.0,0.27293403802168203,20
40,20,30,0.0,0.1791162609989668,20
40,20,31,0.0,0.2955263562614067,20
40,20,32,0.0,0.21560320715339645,20
40,20,33,0.0,0.16398197515217205,20
40,20,34,-1.1102230246251565e-16,0.12961840252994106,20
40,20,35,0.0,0.19806647018808585,20
40,20,36,0.0,0.15214520190185682,20
40,20,37,0.0,0.2130524068741328,20
40,20,38,2.220446049250313e-16,0.14693540676064404,20
40,20,39,-1.1102230246251565e-16,0.22921268915616771,20
40,20,3,0.0,0.3253040269734071,20
40,20,40,0.0,0.20193033809859864,20
40,20,41,0.0,0.25104114200292127,20
40,20,42,0.0,0.2083086336323688,20
40,20,43,2.220446049250313e-16,0.12560978106442006,20
40,20,44,0.0,0.15648096888914328,20
40,20,45,0.0,0.25870446716055356,20
40,20,46,2.220446049250313e-16,0.16456136027610915,20
40,20,47,2.220446049250313e-16,0.17822591197577548,20
40,20,48,0.0,0.36873659746938775,20
40,20,49,0.0,0.26950332885981654,20
40,20,4,-2.220446049250313e-16,0.251574181782912,20
40,20,50,-2.220446049250313e-16,0.21968420258592025,20
40,20,5,0.0,0.3068843114166825,20
40,20,6,0.0,0.23384980314629786,20
40,20,7,-1.1102230246251565e-16,0.17473595902727482,20
40,20,8,0.0,0.196764457506688,20
40,20,9,2.220446049250313e-16,0.1968601881281529,20
40,8,10,-1.1102230246251565e-16,0.19846628208955452,20
40,8,11,0.0,0.1892939410630572,20
40,8,12,-1.1102230246251565e-16,0.2262730260812242,20
40,8,13,2.220446049250313e-16,0.15423541385890732,20
40,8,14,0.0,0.20094983933303448,20
40,8,15,2.220446049250313e-16,0.34176005950100474,20
40,8,16,-3.3306690738754696e-16,0.20003746115116663,20
40,8,17,2.220446049250313e-16,0.22275794903268342,20
40,8,18,-1.1102230246251565e-16,0.23979694986816594,20
40,8,19,2.220446049250313e-16,0.19846362511318,20
40,8,1,0.0,0.19314172349427147,20
40,8,20,-1.1102230246251565e-16,0.1732307743329617,20
40,8,21,0.0,0.2833010796899243,20
40,8,22,2.220446049250313e-16,0.13188444075636985,20
40,8,23,0.0,0.16726621392107308,20
40,8,24,-1.1102230246251565e-16,0.274508574140645,20
40,8,25,2.220446049250313e-16,0.17090943851940638,20
40,8,26,2.220446049250313e-16,0.2870854313205531,20
40,8,27,-1.1102230246251565e-16,0.22587229951206575,20
40,8,28,0.0,0.13899384446006327,20
40,8,29,-2.220446049250313e-16,0.32516601442534865,20
40,8,2,0.0,0.18775429697858784,20
40,8,30,0.0,0.2651422447624002,20
40,8,31,-2.220446049250313e-16,0.1312685695871455,20
40,8,32,0.0,0.18788883719744467,20
40,8,33,2.220446049250313e-16,0.20406642650807957,20
40,8,34,2.220446049250313e-16,0.18134510032501674,20
40,8,35,0.0,0.1706323486921367,20
40,8,36,-2.220446049250313e-16,0.23000456810994274,20
40,8,37,0.0,0.17749480873954462,20
40,8,38,-2.220446049250313e-16,0.21204127328731182,20
40,8,39,0.0,0.17013898764514496,20
40,8,3,-1.1102230246251565e-16,0.1805994222591347,20
40,8,40,-2.220446049250313e-16,0.1546023990695956,20
40,8,41,-1.1102230246251565e-16,0.1763230439637134,20
40,8,42,0.0,0.22797618939973685,20
40,8,43,-1.1102230246251565e-16,0.17503166789392133,20
40,8,44,-1.1102230246251565e-16,0.20896205034680873,20
40,8,45,0.0,0.1999083953099213,20
40,8,46,0.0,0.15578276921672624,20
40,8,47,0.0,0.20523936339186666,20
40,8,48,-1.1102230246251565e-16,0.15633232860511917,20
40,8,49,2.220446049250313e-16,0.17882592580605494,20
40,8,4,0.0,0.16101267432367466,20
40,8,50,2.220446049250313e-16,0.14185330390917447,20
40,8,5,0.0,0.19838590414682006,20
40,8,6,0.0,0.29994227683504715,20
40,8,7,0.0,0.20050182609706352,20
40,8,8,0.0,0.12908911781002083,20
40,8,9,0.0,0.20677015477920424,20
