hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
10,180222.0390012853,345927.26833428064,283071.8600763087,145041.54218608074,-155736.5048595817,-310576.4665838317,-238626.6686016147,-94167.69955527928,51619.48574550368,45510.566463453804,39144.4246463161,32904.77800105528,29248.811278030582,23731.19996730335,17384.13356627653,13484.195818912272,8741.00276900759,4519.386050504292,-150000.0,-150000.0,77279.88162407972,150000.0,150000.0
11,175612.54339076142,350042.83548756666,282319.675643039,141555.30109832558,-156020.6348680562,-311147.3790455888,-231587.87565543887,-87354.49238395283,58147.43076243505,51445.55588166448,44436.62226850108,37370.304810207424,32517.364198275358,26376.208066886596,19527.615449399695,14872.092260759033,9599.466347704725,5041.80974617228,-150000.0,-150000.0,85687.87878266227,150000.0,150000.0
12,181148.20203099155,355763.16450034326,273807.8007695988,137596.0449469066,-157805.25731982745,-313574.246563712,-223495.6870571954,-81079.8109106071,62931.25181195259,53938.58715968985,46623.95703628535,38365.88144763281,35419.499947931625,27725.752311365664,19832.459304067997,14068.350606143522,8379.423509950775,4770.320368337125,-150000.0,-150000.0,91769.72646596283,150000.0,150000.0
13,185424.27599399915,365423.5848827446,282660.1190819519,133529.25763060417,-158624.8935911132,-315376.1002581548,-222153.5972960968,-80290.38030211235,63187.05160382754,53814.48023324596,45428.55898603509,36209.57413132607,32517.15271374151,24059.960178597263,17748.26487323903,14657.694221006346,9013.534136502922,5185.7292218182365,-150000.0,-150000.0,96069.75537878578,150000.0,150000.0
14,178245.39598056555,349496.2575975716,268388.0968845623,130007.59236138871,-158583.5323025904,-315607.0468355945,-223541.17167913867,-81847.90008439534,61723.89719915416,51990.78123228259,43450.66893210635,34184.48858582757,30550.644452174358,23860.047904381317,17673.044585394393,14532.978386659768,9183.180693099956,5342.85530448978,-150000.0,-150000.0,94744.0063681865,150000.0,150000.0
15,182063.33499511227,353417.4666500012,269378.0648241704,134156.25983789974,-157326.09191714533,-313560.5555750076,-219221.5725583586,-76568.9100572204,67822.36227628615,58791.40956508694,49873.09869283523,42067.3870689632,39079.907682683865,31508.31346158624,23390.67118328042,17510.4661707953,11265.298172422474,5910.505535359256,-150000.0,-150000.0,96602.1303728497,150000.0,150000.0
16,163760.2076485917,338419.2568019582,272971.7382143941,128578.40236127806,-156562.80185183883,-311854.2708742781,-233076.39176428952,-89053.27275487527,56120.88361937241,48785.06495992381,41528.86593680669,34691.971735557556,32416.38126739914,25945.395395117495,19232.965077531615,14540.94940410497,9179.160590670193,4542.338397156009,-150000.0,-150000.0,79625.70302379446,150000.0,150000.0
17,175372.3586118672,345029.5694995835,263038.06436140556,131448.0467741754,-156030.00282299618,-310453.4776872044,-229735.4346427015,-85513.8849162223,59861.4094569526,53118.82883443912,45713.08013424627,39320.77989715857,32590.592443347265,26395.47409130975,19447.8609804169,14673.880901059854,9359.935406721948,5224.384143508904,-150000.0,-150000.0,86512.30223194239,150000.0,150000.0
18,173664.46430608717,338153.0229979291,263830.3697484132,129599.19162792739,-156536.2344927044,-311912.95120038965,-235441.87722017633,-91767.32501652019,52975.920684827,45149.10243380818,38443.206785488044,31430.35408971937,29420.265880961462,22912.56786047828,15659.234001224446,11190.821002216955,6800.143287398457,4077.1760088702713,-150000.0,-150000.0,77958.82257965812,150000.0,150000.0
19,171887.16709834745,339037.9590161263,268739.9949630712,132123.15466442704,-157786.89134050565,-314229.96131117875,-228826.7649920439,-86134.36015653575,57807.26228228642,48845.729429504725,41157.6009375291,32413.617895496827,29041.353898509897,21593.786167243903,16202.143303295194,13299.782500510362,8360.87742648819,5087.209067205573,-150000.0,-150000.0,87693.45856565412,150000.0,150000.0
20,172231.9047183378,337691.24851381476,259730.1397341981,128968.63725343546,-158762.5306297262,-315871.38562036894,-227503.93770481186,-85926.64579801628,57006.82765310438,47181.778828569986,39982.817715428304,32107.52530063004,31109.68285768835,25467.070545320115,19334.22840618414,15501.845537959409,9855.480824017528,6100.745445437562,-150000.0,-150000.0,91316.19980405265,150000.0,150000.0
21,161534.46371953792,325409.8906358182,251992.8212684058,129944.35300722352,-158470.24840947875,-315708.0251456745,-234978.09357123304,-91840.85903272268,54301.15454029457,47589.56383891453,40794.70614938221,32764.594189070773,31325.93524353548,25476.42612209899,19072.138143877015,15387.445840555696,10002.655281183972,6206.958414818062,-150000.0,-150000.0,82411.37760971524,150000.0,150000.0
22,166895.00094718346,335887.57062549586,257302.71121728868,127357.98101554943,-157226.0035232791,-313747.0523064756,-217981.01017266585,-75397.99682389837,68718.08396458972,60098.447554439554,52355.644913624754,44216.528109534986,41052.44106487707,33518.67093010533,24904.666184182406,18666.12765003639,12173.059830899267,6590.691238091098,-150000.0,-150000.0,97575.41620590826,150000.0,150000.0
23,163970.49624310483,326422.71637294797,245615.6788697422,117488.61267023446,-156516.46107409152,-312075.2815129789,-225307.7658434361,-81790.95042007172,63330.14378441367,55779.40013917872,48574.612887137526,41278.27463024241,34054.53490397592,27657.154708423943,20844.295030580804,15543.513636778162,10129.359644252767,5668.002446964072,-150000.0,-150000.0,93167.4444574781,150000.0,150000.0
24,171382.06478404737,326154.6595948972,255969.80322170386,126033.00951604366,-155799.62607901552,-311009.40047669684,-228690.2822076212,-83820.46842629794,60870.60931830306,53645.12912470868,46215.074255443236,39244.48142123283,33038.98861645807,27198.813516194426,20545.939147726498,15549.8990832005,10220.992839325267,5702.198768370012,-150000.0,-150000.0,88554.59667406994,150000.0,150000.0
25,158962.32293645284,323430.43710525206,240853.96201267798,110314.0896260895,-156562.89236141008,-312334.78107592993,-222153.0093441271,-78531.9904446275,65924.51086847179,57789.789278905955,50168.102116443995,43028.7937292601,35399.76669999833,28891.260500812088,21424.827026408613,15816.466704751841,10325.75060718074,5746.863206490859,-150000.0,-150000.0,96816.92362232582,150000.0,150000.0
26,158121.70439756807,328035.818039081,241485.77082797722,119485.25987916243,-157261.37575275087,-313901.17244988156,-210267.21013666625,-67510.11542699642,76327.3655069823,67111.52234187924,58523.95416931056,49980.88306076888,40926.790546364704,33405.94171436086,24777.649628894178,18388.833841790758,12320.774115425562,6811.603347526112,-150000.0,-150000.0,111182.9187184138,150000.0,150000.0
27,161226.3778128998,331908.06518557994,249816.29222454136,121140.12347958633,-158643.98171773454,-316160.5318343254,-210612.9004628288,-68591.72448786686,74879.77397836727,64682.21686358375,56797.323360075316,47058.39040527955,42660.161739329305,34637.77381733224,25211.328469732936,18018.79681380033,11028.067714016797,6134.764766076979,-150000.0,-150000.0,108508.94124964235,150000.0,150000.0
28,166891.24553900075,326676.3933312675,249771.77065052555,126190.46797006768,-158208.9024674478,-315428.96257230616,-222378.73995713718,-80003.30398481205,63138.79185714177,53890.45271188797,46878.96242316939,37337.93096677888,33288.18339982662,25345.274926461054,19007.636938545253,15187.340357543078,10188.163356582201,5970.186909205124,-150000.0,-150000.0,95662.44239289538,150000.0,150000.0
29,162457.0287282665,322375.3371568116,244788.75730981553,119625.95498496488,-156907.59523857234,-313399.4343729016,-218486.9912551427,-74939.9578758482,68886.45865767135,60368.845308878284,52689.45495445378,44759.199975034666,39387.80337048267,32173.329372756838,23641.660521839935,17652.099451322665,11897.41496831246,6521.0754197868955,-150000.0,-150000.0,102170.4606613729,150000.0,150000.0
30,151693.6316437284,320541.36908668536,246116.09812390647,125983.7159994801,-156797.8278205781,-312699.9808123199,-221266.0573427849,-77768.19934910895,66653.532071145,59071.72698474102,51086.387183718136,43581.39546930201,36190.45717964104,29557.6200181199,22097.62688311792,16765.385152430572,11158.704042797111,5936.9250381060965,-150000.0,-150000.0,97868.04370386322,150000.0,150000.0
31,148005.33796855152,307506.54544394463,244069.17231511595,123703.4638786587,-156349.14882178238,-311861.7402999099,-226403.35360646003,-82476.3328504391,62313.58264676334,55232.201637729224,47714.517572032106,40704.8799997437,33801.767950978014,27606.71986198935,20639.110814843098,15658.8145797182,10422.192867473728,5545.068455043045,-150000.0,-150000.0,91467.83382615424,150000.0,150000.0
32,147947.05154992006,311943.7466804335,230975.7130480862,113843.96636468903,-156923.20022876307,-312934.20668863936,-219830.5651404188,-76452.62621842427,67866.22513722608,60144.5887418863,52028.57394627557,44385.167592730686,36857.91815242297,30102.75150713329,22505.17364226401,17074.58932267245,11364.504135855374,6046.419807448137,-150000.0,-150000.0,99656.42632799191,150000.0,150000.0
33,159442.2867425757,329373.8853117149,251390.77353530173,127081.11766096952,-156682.29609207477,-313203.8343674737,-215165.53921786783,-71798.71049915037,71845.3178171878,63913.6709784444,55689.37985654433,47451.02124149039,39027.76380742741,32381.223379462186,23877.44718022181,18152.637933329097,11871.4627053105,6408.965297070709,-150000.0,-150000.0,105107.39186062868,150000.0,150000.0
34,158271.14316597558,321773.33148576005,246393.7704323589,122808.20139327318,-158161.87293593955,-315148.3695897738,-213472.92925685126,-70915.75662826616,72207.51984750462,63034.65137117573,55245.961291726344,45991.03007434524,42661.291076107555,35069.75145585574,25973.807702041104,19836.32671614109,13627.980307832466,7484.960908832894,-150000.0,-150000.0,106501.74947025534,150000.0,150000.0
35,161624.83009051988,335817.16517353384,259603.364077548,132426.33747457332,-158060.64957359244,-315228.23143674724,-220310.0531208987,-77070.03909277279,66186.91968302018,57599.127713195296,50631.77354191372,41902.65372418291,38552.769697352116,31429.999744047527,22681.965571759698,16492.413523615058,10222.42742863916,4920.2567273871,-150000.0,-150000.0,96364.3643906377,150000.0,150000.0
36,162250.90789563078,318222.13919102575,255870.31016244294,130639.45614574285,-156345.7805535442,-311800.6544431853,-231662.1783575292,-87596.08715233114,56850.819358768815,49405.10870156802,43774.11505380138,36052.49994776706,34079.05912333175,28085.693181672534,20720.31522242703,15370.3920697718,10698.70038717064,5882.255851102621,-150000.0,-150000.0,85866.5289230173,150000.0,150000.0
37,148041.71217973353,314233.8399067443,245884.52375620854,123728.51753771999,-155990.90641133592,-311192.45713197545,-230505.16671029673,-86235.48605071669,58848.40164390983,52166.57828790519,45022.28838224652,38408.160433490266,31894.547445047072,26049.04683439395,19474.57600626925,14775.28646638634,9834.134278868514,5232.195226648998,-150000.0,-150000.0,86357.66236703124,150000.0,150000.0
38,148086.8885101335,310844.5462168865,257131.56646927356,135790.4064237616,-155545.9736699319,-310361.2155313132,-235599.56898037542,-90904.30886449988,54544.688744202576,48359.11116124808,41678.572286750416,35555.662507363086,29525.802641470596,24114.435771691038,18028.237857211454,13677.955234491357,9103.772623451438,4843.610460686217,-150000.0,-150000.0,80010.89121417282,150000.0,150000.0
39,148028.4120045742,313676.7598521482,256215.45274545375,126138.39389643523,-156121.89720546186,-311437.17950740166,-229005.34496904013,-84860.95738357262,60115.43982285752,53287.51881692863,46006.69790288246,39247.95246004904,32591.919730851623,26618.607614813554,19900.386393074892,15098.347181207078,10049.157010035324,5346.596848157206,-150000.0,-150000.0,88226.18881178141,150000.0,150000.0
40,150621.023728527,323186.5335285769,255774.16056993156,132400.42616294546,-157179.5430928835,-313413.11694374314,-216895.48406552942,-73762.73783579067,70345.75965649227,62338.21698603793,53955.017385839696,46028.60135301908,38222.643134008016,31217.355344125397,23338.464675075313,17706.804047947826,11785.293574732263,6270.298435813712,-150000.0,-150000.0,103313.04528146941,150000.0,150000.0
41,166960.15330039925,336776.28442581743,261808.55605238315,139246.38205426314,-157413.83133581546,-313970.02110196865,-216975.23562650307,-74123.76682199138,69578.755579203,61676.36917892302,54238.078361907705,45853.82155696823,38046.28072393647,31039.781177748704,23132.875172707863,17542.190958425905,12377.407428172055,6643.783597566039,-150000.0,-150000.0,103354.32951938233,150000.0,150000.0
42,159424.36381419466,334516.6205599484,262826.7278862692,134750.18926413363,-157433.05163223695,-313886.73199704033,-215455.35551477096,-72565.09093743625,71335.3785263209,63045.09078143287,55860.16057828486,47653.86403986775,39572.27866175279,32319.635259905957,24162.542198392184,18332.028518744894,12201.430440453327,6491.701689086042,-150000.0,-150000.0,105466.73383053992,150000.0,150000.0
43,148202.17247227312,326611.5656048761,256512.9364623478,133850.49218955473,-156228.9861779024,-311637.24751899333,-227779.19491638272,-83737.23824333286,61151.282208055934,54203.92191396359,46811.482733213634,39934.50807480068,33162.04286044744,27084.240937556275,20248.499381333328,15362.45917638132,10224.944655920379,5440.123665630099,-150000.0,-150000.0,89753.7662135482,150000.0,150000.0
44,148141.0568731354,326579.7277387434,271632.0741504942,135882.306518797,-155012.48017822005,-309364.52110375976,-241707.97639196052,-96502.42820552524,49384.35189206384,43793.79433253213,37669.31288846395,32135.394819468598,26685.575751791384,21794.753907666094,16294.016215302032,12362.207895644553,8228.03758868781,4377.680614828271,-150000.0,-150000.0,72400.83965278405,150000.0,150000.0
45,153497.93807291696,325681.1622350364,285210.66329764505,146099.8133230944,-154607.04479619663,-308607.0700902542,-246350.14078748823,-100756.79248344415,45462.68616320379,40324.32188110813,34622.42358048135,29536.11749330256,24527.108044237495,20031.881225384797,14976.071713964902,11362.288434097045,7562.511253527888,4023.59111235774,-150000.0,-150000.0,66617.48107401465,150000.0,150000.0
46,150480.04663712412,334291.05575832154,285413.5974091422,142572.97598259654,-155219.92166142145,-309752.0717928728,-241132.8075976951,-96125.6777909803,49590.87670831168,43768.95393418796,39228.2573349108,33465.318076537864,27789.95825650205,22696.729759114045,16968.344047199887,12873.8178472728,8568.554909564373,4558.850919235245,-150000.0,-150000.0,73559.90177380113,150000.0,150000.0
47,160712.4874772839,339008.0443678278,269930.2496404962,140528.60134932047,-156284.85452123912,-311741.62304998934,-227139.51213147023,-83150.99369069416,61691.681435913924,54682.00963572592,47231.33917770493,40292.68430836182,33459.47623778365,27327.161956883865,20430.110013173,15500.246469409358,10316.65311413824,5488.91662937495,-150000.0,-150000.0,90550.70372084089,150000.0,150000.0
48,178600.7578638148,351964.5768087758,273905.60203601746,139610.58610311538,-156781.3245981254,-311934.6078106018,-228375.80514195454,-84543.6668376862,60409.04337859738,53618.446379826084,45799.60652777414,38794.84758958956,32693.850313322182,26546.182819971462,19817.149518863684,15414.674766965076,10158.648292824693,5285.903777920599,-150000.0,-150000.0,89015.15227893108,150000.0,150000.0
49,167660.30411577597,346988.3904904314,274330.5863883174,136033.6857524447,-156489.00468307553,-312123.02475750336,-224802.02839265956,-81008.78017318215,63666.37019943398,56429.00408626029,48765.548999792845,41601.506651755306,34546.33631796864,28214.826821229464,21093.73878157647,16003.73908241104,10651.767697259274,5667.212437878807,-150000.0,-150000.0,93462.81658065447,150000.0,150000.0
50,159757.78495417887,337293.0864699447,274609.95286071487,137301.43971445854,-155288.04538977655,-309879.343336932,-240352.80279228723,-95410.83352912494,50249.81892859607,44351.91587904025,39740.21427983543,33902.064523292414,28152.637179685327,22992.93839076578,17189.793129290607,13041.830420412025,8680.380707903256,4618.34719940524,-150000.0,-150000.0,74531.65699366861,150000.0,150000.0
51,151916.14384589714,325082.2718572732,287190.5471221815,143212.4007131907,-154118.8593972914,-307695.0221004268,-251939.77844048303,-105879.47938792389,40740.60211947323,36146.72449373614,30953.6592392584,26406.323462976816,21928.09358827808,17909.203378859427,13389.132609367756,10158.28379401732,6761.149917498196,3597.231370025848,-150000.0,-150000.0,59653.72966016905,150000.0,150000.0
52,150965.21177309283,300491.9056764081,262715.1786444419,134528.9600085724,-153789.70312865207,-307080.07885586267,-255708.56029473722,-109333.42231753124,37556.76342310624,33330.00287324405,28480.01544781734,24296.077382405765,20175.722660385094,16477.999739724444,12319.14781384033,9346.490414613003,6220.836528791966,3309.760703761104,-150000.0,-150000.0,54958.45930539444,150000.0,150000.0
53,152656.91883027842,324516.8945116665,271344.64389074093,132503.03295920775,-154474.19986508315,-308358.88374004274,-249671.19207379606,-103950.77720823871,42377.71342352686,37387.5147615386,33624.0800264251,28684.438452326634,23819.864654453246,19454.258476056013,14544.234103695762,11034.65488784514,7344.444937491775,3907.5701688254985,-150000.0,-150000.0,62922.506175260234,150000.0,150000.0
54,168015.79561615593,340722.45722327457,270697.443738461,131675.55287189563,-155579.571392292,-310423.9841745582,-235214.8809205111,-90551.7571234186,54869.67033729846,48646.62028681392,41931.06268490142,35771.06008195469,29704.671092467004,24260.521953513457,18137.45361736779,13760.816814760656,9158.923629070268,4872.953239639703,-150000.0,-150000.0,80490.14804387704,150000.0,150000.0
55,172751.28951469882,346529.68131785025,264199.07781946735,128134.88387281996,-156198.4097766599,-311580.12343180855,-228129.28937652346,-84058.08628709344,60855.5250290296,53942.26743959282,46581.69787931779,39738.48042159286,32999.259399453396,26951.29175536128,20149.104997727354,15287.049037004967,10174.753179883526,5413.419576191053,-150000.0,-150000.0,89317.60720948857,150000.0,150000.0
56,156762.3382808186,333398.32959013304,264512.2536435751,127879.53258716769,-155799.9886115048,-310835.77666601166,-234491.14221254637,-90038.84812426505,55201.70590440543,48732.818442637865,43587.52114484903,37184.17177767577,30878.134166866876,25218.917573835108,18853.961536858573,14304.428637811525,9520.740753606213,5065.455983473973,-150000.0,-150000.0,81834.30336964311,150000.0,150000.0
57,154580.1790814553,317305.4145247766,265043.61699442874,128087.11707242933,-154634.71765534446,-308658.76966098114,-246033.29137780593,-100466.41224371573,45730.358172484135,40561.129586410796,34830.388011799565,29713.53031547442,24674.43355033453,20152.205522659577,15066.027584042447,11430.537609293511,7607.93653545599,4047.75937532158,-150000.0,-150000.0,67012.22231873008,150000.0,150000.0
58,150990.1826519365,311263.1246102648,269530.1686369915,129001.01591899,-153543.76988261758,-306620.61627631704,-260324.45305851175,-113714.0792189099,33377.918296794356,29425.453887539843,26631.80137710584,22719.380481958713,18866.416681390117,15408.657939965235,11519.695216266005,8739.948780964352,5817.134584698023,3094.9733798361067,-150000.0,-150000.0,49650.32900566628,150000.0,150000.0
59,148313.0212180997,304764.03353928536,268657.5497146052,134819.67030171052,-153318.83736236315,-306200.3881142194,-261099.89117570373,-114274.36872876185,33002.20745580778,29300.61649777545,24941.40995749069,21277.320844990645,17668.914926795256,14430.629349233353,10788.509455512409,8185.200935784096,5447.90554722205,2898.527169865882,-150000.0,-150000.0,48241.76488340006,150000.0,150000.0
60,150933.7540758637,300523.5059710348,250745.92647055048,124245.47346999697,-154099.52376575323,-307658.8984803513,-252161.1680484735,-106082.37440832524,40553.573836024596,35981.26177408441,30808.349945573227,26282.361246375272,21825.15403704293,17825.130162399593,13326.278476759851,10110.596603570704,6729.410280144912,3580.344476442111,-150000.0,-150000.0,59377.91532454241,150000.0,150000.0
61,155852.12169476654,321921.198224684,252090.71346979844,124211.11352053742,-155267.22339102766,-309840.4428246559,-238791.21104554203,-93829.325480247,51848.41342103422,45973.7337216706,39583.73478107474,33768.57309251648,28041.78446702384,22902.40230434493,17122.10727853675,12990.477423854492,8646.201183538842,4600.1621778103145,-150000.0,-150000.0,76034.64027921559,150000.0,150000.0
62,158749.83012229952,322442.3414776203,248524.88462537283,122950.65183488821,-155916.29074408556,-311053.0570813432,-233159.5030835296,-88818.45232203408,56326.664671592844,49728.06222974135,44461.54383741058,37929.793668624625,31497.30656430869,25724.61061767952,19232.02364718449,14591.262917559325,9711.651896292997,5167.029171428736,-150000.0,-150000.0,83493.30247532832,150000.0,150000.0
63,164165.13175532108,323085.145041955,262625.54726256523,128973.50251648319,-154370.3837063599,-308269.9664130561,-245684.65096811327,-100064.57218854332,46533.49099316595,40696.36867917859,35870.284162321295,31070.450672296673,26148.491470908208,21030.617555515288,15902.8135008288,11903.952010533894,7654.070917980704,4513.019743834309,-150000.0,-150000.0,67559.15017106745,150000.0,150000.0
64,154068.9155823977,314418.0552485475,261512.1974655366,127228.14621932754,-154432.25232078222,-308280.51561690005,-248351.4841382472,-102590.94632502775,43771.96628307311,38828.552875601024,33308.8398429247,28415.509528941646,23596.54319855845,19271.866452035243,14407.875665810814,10931.20026160781,7275.587613574395,3870.935021154748,-150000.0,-150000.0,64124.14278383559,150000.0,150000.0
65,148301.2262550588,297872.21952278144,248318.46659221523,116950.05195471112,-153435.0036200929,-306417.4146825801,-261569.80779002706,-114855.39870518236,32325.851942668174,28494.69754952531,25814.41153633349,22022.071631849947,18287.363950079074,14935.73159594064,11166.129878899668,8471.700109337797,5638.593649948292,2999.981690677834,-150000.0,-150000.0,48098.82579370355,150000.0,150000.0
66,151012.3027396971,300596.9205607261,252609.76827595657,121481.63968952274,-153325.91351402178,-306213.6080710441,-262818.8704736546,-116000.11638627655,31270.653138356283,27561.169952975204,24994.587977432544,21322.686595929852,17706.587131852208,14461.397148512344,10811.511826747474,8202.652747022237,5459.521122697746,2904.7071707521127,-150000.0,-150000.0,46542.70309504657,150000.0,150000.0
67,148222.5059313781,297696.66980951536,239173.9073649149,118159.88461678212,-154210.30451570268,-307865.86362213874,-250892.74778737355,-104919.91625552672,41625.12577686917,36929.256885363524,31640.878870076027,26992.585129851475,22414.931550271227,18306.8156947128,13686.392287057433,10383.813576609595,6911.258016650259,3677.0955306721407,-150000.0,-150000.0,60958.154319435474,150000.0,150000.0
68,148097.1845288512,308579.4593972425,253881.15303919875,121263.87997515034,-154590.12109049747,-308778.31342160935,-246347.71268328925,-100310.29003407451,46374.70010577725,40724.98293965969,35067.173252559645,29877.609435621758,24225.22232351156,19458.56058768837,14267.795083258843,10752.200256405868,7185.418007857575,4129.899581592171,-150000.0,-150000.0,67212.4067836905,150000.0,150000.0
69,150727.98770293643,307404.6819498717,238787.7905393743,121563.73738997054,-156126.07606835783,-311444.98663049995,-230757.49771788841,-86617.10722688871,58355.86082243319,51523.279015319524,46038.10249469117,39274.74347054359,32614.167272667608,26636.77771927148,19913.970578421762,15108.653450768372,10056.016656310918,5350.246483954512,-150000.0,-150000.0,86485.79846513309,150000.0,150000.0
70,150763.1008650019,305106.8943012042,241783.292488968,117865.86637979124,-155780.2534812013,-310798.9066859536,-232917.10601170675,-88445.9352141098,56810.813378500054,50363.93705253428,43439.20957615142,37057.64834385301,30773.067753442618,25133.107297682865,18789.808757846356,14255.756169295903,9488.345334934937,5048.22018516874,-150000.0,-150000.0,83352.79035868117,150000.0,150000.0
71,150870.58072298486,300280.8743577373,249196.83053358356,124909.97212234438,-154721.705621411,-308821.28414783,-246837.29434148836,-101353.61944897869,44771.76901246554,39505.52034571541,35484.11167648967,30271.216836857187,25137.542405717155,20530.437704322278,15348.798443822303,11645.074781052666,7750.72817334998,4123.730854356569,-150000.0,-150000.0,66453.06764725086,150000.0,150000.0
72,150962.70773838332,300486.3215711261,249130.8592442996,122845.16384838322,-153814.3648711621,-307126.1529349571,-255426.1876452649,-109074.63869622439,37795.30972346345,33541.04325115994,28665.351022613624,24454.18570489645,20307.017503361712,16585.231407447744,12399.315478961924,9407.313316078562,6261.319031896286,3331.299189356157,-150000.0,-150000.0,55310.24828691111,150000.0,150000.0
73,148262.81281435073,297786.55589506036,255177.84677748114,126303.46926086512,-153813.3299987448,-307124.2195438519,-255438.03675390812,-109085.49794640209,37785.2996851872,33532.1874346681,28657.573848141074,24447.551058466997,20301.508021966692,16580.731680993267,12395.951430158057,9404.761025094253,6259.6202782162445,3330.395377119724,-150000.0,-150000.0,55295.48628404262,150000.0,150000.0
74,148163.69332590373,297565.515165521,245134.082712546,127366.00581460961,-154789.5382328097,-308948.0118152482,-246060.6227744458,-100641.8299712763,45427.89533793247,40085.99108653076,35993.880847033484,30706.096910479002,25498.6714726782,20825.380530983704,15569.301195106773,11812.369376622068,7862.076100221064,4182.972885729276,-150000.0,-150000.0,67420.67021093192,150000.0,150000.0
75,150733.13781766893,311193.2541491409,249571.07461213093,128133.68943461531,-156075.3536071443,-311350.224847594,-231338.26105019526,-87149.35437808218,57865.2363070497,51089.22666159914,45656.917892659665,38949.55788190133,32344.129679918115,26416.23149855152,19749.087611086645,14983.557372937465,9972.755216341706,5305.947708239507,-150000.0,-150000.0,85762.26471795095,150000.0,150000.0
76,147962.35239969348,318886.66875838663,255072.25886602467,127092.7565900574,-156020.48531269093,-311594.3111560782,-229296.17885077774,-85048.21782950762,59717.31886597794,52785.67009257323,45664.476535221416,38562.720967997666,31661.456964165634,25973.98611869314,18879.05305593007,14055.809722560713,9821.456475683182,5488.906702348047,-150000.0,-150000.0,87937.59473277931,150000.0,150000.0
