hour,onshore wind,gas,nuclear,charge,discharge,load_shedding,demand,wind_available,wind_curtailment
33,122285.2684850183,0.0,0.0,3375.0,0.0,0.0,118910.26848501833,126577.41302801274,4292.1445429944415
34,120112.11437159257,0.0,8208.764942932641,0.0,843.75,0.0,129164.62931452514,120112.11437159257,0.0
35,102538.91857986232,2384.115379745691,16200.0,0.0,3375.0,0.0,124498.03395960807,102538.91857986232,0.0
36,98725.81785616509,0.0,5046.9530791477155,0.0,3375.0,0.0,107147.77093531284,98725.81785616509,0.0
37,92327.68630676817,0.0,0.0,3375.0,0.0,0.0,88952.68630676813,111777.7583308187,19450.07202405055
38,85721.34665525363,0.0,0.0,3375.0,0.0,0.0,82346.34665525361,120839.89499608739,35118.54834083373
39,94272.631231448,0.0,0.0,3375.0,0.0,0.0,90897.631231448,124658.66241617154,30386.031184723564
40,105448.38080198775,0.0,0.0,900.0,2053.125,0.0,106601.50580198779,144230.4361427975,38782.055340809726
41,116282.85213231116,0.0,0.0,300.0,0.0,0.0,115982.85213231116,116410.23898936108,127.38685704993259
42,112278.08823440978,0.0,0.0,2475.0,562.5,0.0,110365.58823440973,125531.05439551247,13252.966161102688
43,95862.6830730848,0.0,0.0,3375.0,0.0,0.0,92487.68307308482,126279.8407640695,30417.15769098468
44,77800.06130097857,0.0,0.0,3375.0,0.0,0.0,74425.06130097854,115027.73145207479,37227.670151096245
45,66830.17651583966,0.0,0.0,900.0,2475.0,0.0,68405.17651583963,96546.38573735167,29716.20922151198
46,79080.14232967075,0.0,0.0,2475.0,900.0,0.0,77505.14232967069,112904.82911202908,33824.686782358374
47,96692.21351106752,0.0,0.0,3375.0,0.0,0.0,93317.21351106753,121402.64775169364,24710.434240626135
48,105734.1715221246,0.0,0.0,3375.0,0.0,0.0,102359.1715221246,111092.47285696158,5358.301334837008
49,94773.42516060166,0.0,0.0,900.0,2475.0,0.0,96348.42516060165,118104.430917975,23331.005757373307
50,80091.64012689085,0.0,0.0,2475.0,900.0,0.0,78516.64012689084,108821.34888024486,28729.708753354014
51,62281.62351454547,0.0,0.0,2250.0,1125.0,0.0,61156.62351454551,98238.15457665954,35956.531062114045
52,54694.327285917796,0.0,0.0,900.0,2475.0,0.0,56269.327285917825,112646.52283938177,57952.19555346399
53,68007.70145556773,0.0,0.0,2475.0,900.0,0.0,66432.70145556775,103027.64105226305,35019.93959669531
54,86220.20399878774,0.0,0.0,3375.0,0.0,0.0,82845.20399878778,106792.45388404005,20572.24988525231
55,92708.68615819895,0.0,0.0,2025.0,1350.0,0.0,92033.6861581989,122632.40411212931,29923.71795393038
56,85442.94812314054,0.0,0.0,1350.0,2025.0,0.0,86117.94812314054,115134.0614069996,29691.113283859064
57,72191.06177926637,0.0,0.0,3375.0,0.0,0.0,68816.06177926637,105169.00126760417,32977.93948833778
58,49242.7224393596,0.0,0.0,0.0,3375.0,0.0,52617.72243935958,103312.59621143258,54069.87377207298
59,52652.935345286125,0.0,0.0,3375.0,0.0,0.0,49277.935345286154,82780.54885345754,30127.613508171413
60,59294.52900018203,0.0,0.0,900.0,2475.0,0.0,60869.52900018201,113099.42499569594,53804.89599551394
61,81582.47610465101,0.0,0.0,3375.0,0.0,0.0,78207.47610465092,109887.54584932236,28305.069744671375
62,89419.79651734792,0.0,0.0,2475.0,900.0,0.0,87844.79651734792,115949.30437204613,26529.507854698208
63,82313.05079525965,0.0,0.0,0.0,0.0,0.0,82313.05079525964,83235.13910502756,922.0883097678943
64,66934.86636295494,0.0,0.0,2250.0,1125.0,0.0,65809.8663629549,96154.86973862881,29220.003375673867
65,52577.76627633091,0.0,0.0,2475.0,900.0,0.0,51002.76627633094,92796.21534701461,40218.4490706837
66,48258.00170011331,0.0,0.0,1125.0,2250.0,0.0,49383.00170011338,113681.83306005727,65423.83135994392
67,63639.39617427725,0.0,0.0,2250.0,1125.0,0.0,62514.39617427728,128910.82186444385,65271.42569016654
68,84215.71314971332,0.0,0.0,3375.0,0.0,0.0,80840.71314971327,95444.71666847385,11229.003518760544
69,89834.67878398548,0.0,0.0,1125.0,2250.0,0.0,90959.67878398545,112785.12980618843,22950.451022202942
70,84249.92187058725,0.0,0.0,900.0,2475.0,0.0,85824.92187058723,117827.73181161811,33577.809941030886
71,68982.65485829391,0.0,0.0,1125.0,2250.0,0.0,70107.65485829388,107104.73341342233,38122.07855512843
72,57310.50363631494,0.0,0.0,2025.0,1350.0,0.0,56635.50363631498,108939.36592148061,51628.86228516565
73,57745.13790111873,0.0,0.0,2250.0,1125.0,0.0,56620.13790111875,112754.5059942388,55009.36809312003
74,72689.83016513863,0.0,0.0,2475.0,900.0,0.0,71114.83016513872,108202.72488694407,35512.89472180546
75,86831.5541528783,0.0,0.0,0.0,3375.0,0.0,90206.55415287826,115738.51606803565,28906.961915157357
76,103932.82680782859,0.0,0.0,3375.0,0.0,0.0,100557.82680782868,112598.06707136167,8665.240263533084
77,96680.64859477612,0.0,0.0,2250.0,1125.0,0.0,95555.64859477608,112085.05053634943,15404.401941573318
78,79214.74298166152,0.0,0.0,1125.0,2250.0,0.0,80339.74298166155,115008.85068191586,35794.10770025433
79,69006.41898237841,0.0,0.0,2250.0,1125.0,0.0,67881.41898237847,131384.76189445832,62378.34291207989
80,72473.82128232636,0.0,0.0,3375.0,0.0,0.0,69098.82128232636,137215.01428398688,64741.193001660555
81,86110.2839629204,0.0,0.0,2475.0,900.0,0.0,84535.28396292054,103439.85671049953,17329.572747579132
82,104612.29134829603,0.0,0.0,2025.0,1350.0,0.0,103937.29134829603,133786.38278436568,29174.091436069677
83,117428.45174477741,0.0,0.0,3375.0,0.0,0.0,114053.45174477737,127518.71653804557,10090.26479326815
84,112091.05971383529,0.0,0.0,3375.0,0.0,0.0,108716.05971383513,116770.44182947576,4679.382115640461
85,94864.70010335393,0.0,0.0,2250.0,914.0625,0.0,93528.76260335391,122521.36247095291,27656.662367598987
86,81225.36556926265,0.0,0.0,1125.0,1490.625,0.0,81590.99056926268,122859.56643282688,41634.20086356423
87,86889.80138557775,0.0,0.0,3375.0,0.0,0.0,83514.80138557771,127623.49531045131,40733.693924873536
88,102710.79087979857,0.0,0.0,3375.0,0.0,0.0,99335.7908797986,118403.84408617503,15693.05320637646
89,121852.49677507055,0.0,0.0,3375.0,0.0,0.0,118477.49677507051,122559.8638999946,707.367124924036
90,112272.4329699571,0.0,12149.01546806778,0.0,3375.0,0.0,127796.4484380248,112272.4329699571,0.0
91,106545.78594481292,0.0,11661.27845701907,0.0,3375.0,0.0,121582.06440183186,106545.78594481292,0.0
92,109272.09353348773,0.0,0.0,3375.0,0.0,0.0,105897.09353348776,131460.74748576427,22188.653952276516
93,97328.64653007095,0.0,0.0,3375.0,0.0,0.0,93953.64653007101,102444.06880071947,5115.422270648509
94,99420.74790747774,0.0,0.0,3375.0,0.0,0.0,96045.74790747778,109315.9682272151,9895.220319737382
95,115079.23495190936,0.0,0.0,3375.0,0.0,0.0,111704.23495190933,119813.31509695879,4734.08014504944
96,110203.6678203154,1393.9699705915218,16200.0,0.0,2250.0,0.0,130047.63779090693,110203.6678203154,0.0
97,112761.4332542651,6625.468222640789,16200.0,0.0,2475.0,0.0,138061.90147690583,112761.4332542651,0.0
98,102175.3575208662,8754.091138149484,16200.0,0.0,3375.0,0.0,130504.44865901557,102175.3575208662,0.0
99,90467.40608355867,4973.830061327074,16200.0,0.0,2250.0,0.0,113891.23614488583,90467.40608355867,0.0
100,100590.84237785309,0.0,4315.074993676644,3375.0,0.0,0.0,101530.91737152977,100590.84237785309,0.0
101,102973.56579589978,0.0,3788.770621336429,3375.0,0.0,0.0,103387.33641723628,102973.56579589978,0.0
102,85766.98356021434,14272.522059893901,16200.0,0.0,2250.0,0.0,118489.50562010828,85766.98356021434,0.0
103,103181.05490790101,15162.397493957307,16200.0,0.0,1125.0,0.0,135668.45240185832,103181.05490790101,0.0
104,100817.92267655629,23916.960085569564,16200.0,0.0,1125.0,0.0,142059.8827621259,100817.92267655629,0.0
105,96205.92938191965,18467.45072741098,16200.0,0.0,2025.0,0.0,132898.38010933058,96205.92938191965,0.0
106,107510.96976293741,0.0,11009.454394444969,3375.0,0.0,0.0,115145.42415738238,107510.96976293741,0.0
107,105563.70425681717,0.0,0.0,3375.0,0.0,0.0,102188.70425681712,111470.07140424635,5906.36714742917
108,107023.89640831495,0.0,0.0,3375.0,0.0,0.0,103648.896408315,118056.55326901359,11032.656860698655
109,106720.69368963735,0.0,14709.76237580867,3375.0,0.0,0.0,118055.45606544595,106720.69368963735,0.0
110,98369.30802627666,16024.075702506618,16200.0,0.0,3375.0,0.0,133968.38372878337,98369.30802627666,0.0
111,103269.43879469916,15847.352709995639,16200.0,0.0,3375.0,0.0,138691.79150469476,103269.43879469916,0.0
112,94249.49046112668,14541.757566628496,16200.0,0.0,2953.125,0.0,127944.3730277552,94249.49046112668,0.0
113,100749.70756763635,0.0,8373.540911939228,0.0,0.0,0.0,109123.24847957573,100749.70756763635,0.0
114,99050.93147498723,0.0,0.0,3375.0,0.0,0.0,95675.93147498724,106416.7258688247,7365.794393837465
115,100240.81793219049,0.0,0.0,3375.0,0.0,0.0,96865.81793219053,126374.55525086618,26133.737318675674
116,113599.16345752694,0.0,0.0,2875.0,0.0,0.0,110724.16345752699,125654.24388758432,12055.080430057376
117,128930.18407567035,0.0,0.0,3375.0,0.0,0.0,125555.1840756704,137126.57950344647,8196.39542777608
118,118252.20069408088,0.0,7220.9974540125695,0.0,3375.0,0.0,128848.19814809348,118252.20069408088,0.0
119,114785.68653688177,0.0,0.0,0.0,2025.0,0.0,116810.68653688178,116020.35636358974,1234.669826707981
120,100638.35196354467,0.0,0.0,3375.0,0.0,0.0,97263.35196354463,106106.08454967591,5467.732586131246
121,84367.71428987778,0.0,0.0,2025.0,1350.0,0.0,83692.71428987774,130703.81962646867,46336.105336590896
122,88364.80715061755,0.0,0.0,3375.0,0.0,0.0,84989.80715061747,116367.43364758273,28002.626496965215
123,100797.70176251655,0.0,0.0,2250.0,140.625,0.0,98688.32676251653,122412.45403917675,21614.75227666024
124,116225.94963468135,0.0,0.0,3375.0,0.0,0.0,112850.94963468135,124049.62388905238,7823.674254371012
125,116742.44877496788,0.0,0.0,2475.0,900.0,0.0,115167.44877496787,129752.36162925746,13009.912854289581
126,105711.8650318425,0.0,0.0,3375.0,0.0,0.0,102336.86503184249,116125.52892637967,10413.663894537174
127,83264.69784764656,0.0,0.0,2025.0,1350.0,0.0,82589.69784764646,128982.00259369123,45717.30474604468
128,68754.56219455293,0.0,0.0,1350.0,2025.0,0.0,69429.56219455296,114044.78514786539,45290.222953312485
129,74734.63267112598,0.0,0.0,3375.0,0.0,0.0,71359.63267112595,122702.49956588414,47967.8668947582
130,88791.55086329432,0.0,0.0,3375.0,0.0,0.0,85416.5508632944,105430.8092603758,16639.25839708148
131,94102.02207491116,0.0,1958.284987660969,0.0,3375.0,0.0,99435.30706257217,94102.02207491116,0.0
132,101995.47061430072,0.0,0.0,2025.0,1350.0,0.0,101320.4706143007,115167.30995696525,13171.839342664513
133,89389.21046624168,0.0,0.0,2250.0,1125.0,0.0,88264.21046624168,118927.52356274381,29538.313096502112
134,70467.06500471012,0.0,0.0,2475.0,900.0,0.0,68892.06500471015,112619.00136796123,42151.936363251065
135,60077.536222687486,0.0,0.0,3375.0,0.0,0.0,56702.53622268753,96503.33194375102,36425.79572106356
136,60470.83986745343,0.0,0.0,2025.0,1350.0,0.0,59795.83986745346,113639.16849062625,53168.32862317286
137,74037.74072834004,0.0,0.0,1350.0,2025.0,0.0,74712.7407283401,102769.3598757682,28731.61914742814
138,92449.80974788024,0.0,0.0,3375.0,0.0,0.0,89074.80974788018,101828.33157801685,9378.52183013656
139,91690.66282535727,0.0,0.0,2025.0,1350.0,0.0,91015.66282535729,109763.73828843472,18073.07546307747
140,77546.79973499005,0.0,0.0,1350.0,2025.0,0.0,78221.79973499007,96361.14311865153,18814.34338366146
141,63073.93163280253,0.0,0.0,3375.0,0.0,0.0,59698.93163280251,85861.40985695206,22787.478224149505
142,45543.813019062385,0.0,0.0,0.0,3375.0,0.0,48918.81301906227,85605.26787852688,40061.45485946452
143,54239.850054968556,0.0,0.0,2025.0,1350.0,0.0,53564.85005496858,98062.86192704481,43823.01187207627
144,70809.59771934325,0.0,0.0,2250.0,1125.0,0.0,69684.59771934318,103458.66571977013,32649.06800042687
145,85826.6679401342,0.0,0.0,2250.0,1125.0,0.0,84701.66794013423,120737.46776807333,34910.79982793914
146,90368.6396477588,0.0,0.0,3375.0,0.0,0.0,86993.63964775876,94379.39225638728,4010.7526086284724
147,74067.93040102781,0.0,0.0,1350.0,2025.0,0.0,74742.93040102781,106727.79223947738,32659.8618384496
148,53946.19107641729,0.0,0.0,0.0,3375.0,0.0,57321.191076417315,119270.48126530385,65324.29018888657
149,48828.08393059397,0.0,0.0,2025.0,1350.0,0.0,48153.08393059395,114522.05290250338,65693.9689719094
150,56068.27025809037,0.0,0.0,2475.0,900.0,0.0,54493.270258090415,108111.96209326333,52043.69183517292
151,70775.85190400333,0.0,0.0,1125.0,2250.0,0.0,71900.8519040033,122472.4007512434,51696.54884724006
152,88743.67213695304,0.0,0.0,2250.0,1125.0,0.0,87618.67213695297,121943.80511923696,33200.13298228393
153,89159.34394456481,0.0,0.0,1125.0,2250.0,0.0,90284.3439445648,121760.51761151206,32601.173666947227
154,81953.62909424726,0.0,0.0,3375.0,0.0,0.0,78578.62909424721,117220.0263384046,35266.397244157335
155,60650.941376196875,0.0,0.0,900.0,2475.0,0.0,62225.94137619687,119221.79205775473,58570.85068155792
156,56160.17079372586,0.0,0.0,2475.0,900.0,0.0,54585.170793725876,105786.7277725574,49626.55697883153
157,63147.51827543614,0.0,0.0,2025.0,1350.0,0.0,62472.51827543611,115783.23919234151,52635.72091690541
158,82090.69922625557,0.0,0.0,2250.0,1125.0,0.0,80965.69922625553,120133.69065540415,38042.991429148555
159,98720.84969868604,0.0,0.0,2475.0,900.0,0.0,97145.84969868607,119910.92361886846,21190.07392018243
160,100602.92236730369,0.0,0.0,2025.0,1350.0,0.0,99927.92236730369,116984.79548410285,16381.873116799145
161,89619.32528680332,0.0,0.0,2250.0,1125.0,0.0,88494.32528680332,133944.92202325005,44325.596736446714
162,74485.1094677017,0.0,0.0,2475.0,900.0,0.0,72910.10946770178,141461.16960902893,66976.06014132722
163,69826.31678324124,0.0,0.0,3375.0,0.0,0.0,66451.31678324127,113956.50453122241,44130.18774798113
164,73913.05600639625,0.0,0.0,900.0,2475.0,0.0,75488.0560063963,130671.78160866105,56758.7256022648
165,98000.81105969734,0.0,0.0,3375.0,0.0,0.0,94625.81105969734,119226.36656323154,21225.55550353421
166,111711.80690513308,0.0,0.0,2025.0,1117.8369467084995,0.0,110804.64385184164,111711.80690513308,0.0
167,114810.03081712821,0.0,0.0,2475.0,900.0,0.0,113235.03081712824,141280.44687985897,26470.416062730783
