acid,epoxide,tg,std
O=C(O)CCOc1cccc(NC(=O)C(=O)NC2CCN(CCC(=O)O)CC2)c1,Cn1c(CCC(=O)OCC(=O)N(CC2CO2)CC2CO2)nc2ccccc2c1=O,422.2629,25.1704
Cc1cc(CN(CCOCCOCC(=O)O)CCOCC(=O)O)c2ccccc2n1,O=C(NC1CCC(C(=O)N(CC2CO2)CC2CO2)CC1)C1CCCC1,383.7952,16.7297
CC(=O)Nc1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)c1C,CCNC(=O)CN1CCN(C(=O)c2ccc3ccc(OCC4CO4)cc3c2OCC2CO2)CC1,418.0028,33.0587
O=C(O)COCCCCCCn1cc(CCOCC(=O)O)cn1,O=C(CC1CCCC1)NCCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,390.0137,40.6119
O=C(O)CCN(CCC(=O)O)C(=O)CCC(=O)N1CCC(O)CC1,Cc1ccc(CN(C(=O)COC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)C2CC2)cc1,414.4912,23.2313
Cc1ccncc1C=CC(=O)N(CCC(=O)O)CCC(=O)O,CNC(=O)c1ccc(OC)c(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,462.0314,46.1812
O=C(O)CCCNC1CC(CNC(=O)COCCCC(=O)O)C1,CCN(C)C(=O)c1cccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,393.6485,15.6446
O=C(O)CCN(CC(=O)O)C(=O)c1ccc(C2CC2)cc1,COCCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,347.5235,11.4197
O=C(O)COCC(COCC(=O)O)NC(=O)c1ccc2ccccc2c1,Cc1cc(C)cc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,393.8696,6.626
O=C(O)COCCc1ccc(CCOCC(=O)O)nc1,CCc1cc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)ccc1O,407.417,19.3407
CC(C)NC(=O)Nc1ccccc1C(=O)N(CCOCCOCC(=O)O)CCOCC(=O)O,NC(=O)CN(Cc1ccccc1)C(=O)c1ccc(OCC2CO2)cc1OCC1CO1,409.0919,9.3221
CN(CCC(=O)O)c1nnc(Cc2ccc3ccccc3c2)n1CCC(=O)O,COc1cc(CCCNC(=O)Cc2ccccc2OCC2CO2)cc(OC)c1OCC1CO1,377.3138,20.1165
O=C(O)CCCC(=O)N1CC(O)(CNC(=O)CCCOCCC(=O)O)C1,O=C(NCc1ccc(NC(=O)C2CC2)cc1)C(=O)N(CC1CO1)CC1CO1,417.4112,29.6717
CC(C)c1nccc(N2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)n1,COc1ccc(CNC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,443.6983,20.8755
CN(Cc1ccccn1)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,NC(=O)c1ccc(CN(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)C2CC2)cc1,478.1764,31.1994
CC(C)c1nccc(N2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)n1,COc1cc(C(=O)NC2CCN(CC3CO3)CC2)cc(CC2CO2)c1OC,438.6607,36.2274
CC(C)C(NCc1ccccc1OCC(=O)O)C(=O)O,CCN1CCN(c2ccc(NC(=O)N(CC3CO3)CC3CO3)cc2)CC1,440.7574,12.4186
CN(C)c1ccccc1CNC(=O)C(CCC(=O)O)CCC(=O)O,COc1cc(CNC(=O)C=Cc2cccc(OCC3CO3)c2)ccc1OCC1CO1,417.4155,24.9177
CC(C)(CC(=O)O)C(=O)Nc1cccc(OCCC(=O)O)c1,Cc1cc(NC(=O)N(CC2CO2)CC2CO2)ccc1Oc1cccnc1,479.0648,39.17
CN(CCCCCCC(=O)O)CCCCCCC(=O)O,O=C(Cc1ccc(OCC2CO2)cc1)NCC(=O)N1CC=C(c2ccc(OCC3CO3)cc2)CC1,354.94,14.5007
CC(=O)Cc1ccc(OCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,COc1cc(C(=O)N2CCCC2c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,393.1031,32.5398
Cc1c(NC(=O)CC2(CC(=O)O)CCC2)cccc1C(=O)O,O=C(O)c1cccc(C#Cc2cccc(NC(=O)N(CC3CO3)CC3CO3)c2)c1,492.29,35.2468
Cn1c(C(=O)NC(COCC(=O)O)COCC(=O)O)cc2ccccc21,CN(CC(=O)NCCCCCCC1CO1)C(=O)C1CO1,406.5411,29.6324
O=C(O)CCN(CCC(=O)O)C(=O)Nc1cccc(COCc2ccco2)c1,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,409.0106,22.3365
O=C(O)Cc1cccc(C=C2CCc3c2nc2ccccc2c3C(=O)O)c1,CCCN(Cc1ccc(C#N)cc1)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,473.9688,19.2073
Cc1cc(C(=O)O)cc(C(=O)O)c1,O=C(OCC(=O)N1CCN(C(=O)C2CC2)CC1)c1ccc(OCC2CO2)cc1OCC1CO1,469.9715,34.2247
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2cccc(Oc3ccccc3)c2)c1=O,CCOc1nc(C)ccc1C(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,472.4211,22.831
O=C(O)COCC1(COCC(=O)O)CN(Cc2ccccc2)C1,O=C(c1c(OCC2CO2)cccc1OCC1CO1)N1CCC(Nc2ccccn2)CC1,418.2271,23.5676
O=C(O)CCN(CCC(=O)O)C(=O)CNC(=O)c1ccc2c(c1)OCO2,c1ccc(COc2ccc(CNCCc3ccc(OCC4CO4)cc3)c(OCC3CO3)c2)cc1,419.1292,40.6993
O=C(O)CCC(CCC(=O)O)C(=O)NCC1CC(NC(=O)C2CC2)C1,C=CCNC(=O)Nc1ccc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,431.0705,13.3702
Cc1ccccc1NC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,CCOc1ccccc1CNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,463.4417,23.3821
COCc1cncc(C(=O)NCCNCC(=O)N(CCC(=O)O)CCC(=O)O)c1,c1cc(CN2CCC(CCOCC3CO3)CC2)ccc1COCC1CO1,374.0719,11.2395
CN1CCC(=O)Nc2cc(C(=O)N(CCC(=O)O)CCC(=O)O)ccc21,CCOc1ccc(NC(=O)CN(CCOCC2CO2)CCOCC2CO2)cc1,411.5856,25.4175
CCc1ccc(CCC(=O)NC(C)(COCC(=O)O)COCC(=O)O)cc1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3ccc(OCC4CO4)cn3)cc12,411.2425,22.6516
COc1ccc(C(=O)NCC2(COCC(=O)O)CCC2)cc1OCCOCC(=O)O,COc1ccc(C)cc1CCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,401.1824,17.1421
Cc1ccc(N2CCC(C(=O)Nc3ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc3)CC2)nc1,c1ccc(CN(CC2CO2)CC2CO2)cc1,427.6817,25.6808
Cc1ccccc1CCNC(=O)C(CCC(=O)O)CCC(=O)O,CCOC(=O)c1cc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC)c2)ccc1OCC1CO1,417.9794,27.1967
O=C(O)COCc1ccc(NC(=O)Nc2cccc(N3CCOCC3)c2)cc1COCC(=O)O,O=C(NCc1cccc(OCC2CO2)c1)c1ccc2ccccc2c1OCC1CO1,437.9281,18.9128
COc1cc(COCC(=O)O)ccc1C(=O)Nc1ncccc1COCC(=O)O,O=C(NCc1cccc(OCc2ccccn2)c1)c1cccc(OCC2CO2)c1OCC1CO1,443.103,45.9487
CC(C)(CC(=O)O)CC(=O)N(CCNCCC(=O)O)CCc1ccccc1,COc1ccc(C=CC(=O)O)cc1OCC(=O)N(CC1CO1)CC1CO1,423.9657,31.1824
O=C(O)CNCCCNCC(=O)O,O=C(Nc1cccc(OCC(=O)N(CC2CO2)CC2CO2)c1)C1CC1,401.9324,26.4997
NC(=O)c1ccc(CN(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)C2CC2)cc1,O=C(NCc1cccnc1OCC1CO1)c1cccc(OCC2CO2)c1,467.3016,45.0811
O=C(O)CCC(CCC(=O)O)C(=O)N1CCC(C(=O)c2ccccc2)CC1,Cc1ccc(C(=O)N2CCN(C(=O)c3cccc(OCC4CO4)c3)CC2)c(OCC2CO2)n1,473.0246,30.7856
CCCN(CC)CC(=O)N(CCC(=O)O)CCC(=O)O,Cc1ccc(OCCN2CCN(C(=O)C(CC3CO3)CC3CO3)CC2)cc1,371.6888,17.9975
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)NCCCn1cnc2ccccc21,Cc1cc(OCC2CO2)ccc1NC(=O)c1cc(CC(C)C)nc(OCC2CO2)c1,417.3698,22.414
CCCN(CC(=O)O)c1ncc(C(=O)O)cn1,COC(=O)CN(C)CCNC(=O)c1cccc(OCC2CO2)c1OCC1CO1,382.5077,11.5789
O=C(O)COCC(COCC(=O)O)NC(=O)Cc1cccc(C2CC2)c1,Cc1cccc(C(=O)NCCNCC(=O)N(CC2CO2)CC2CO2)c1C,412.8944,13.8982
CC(C)(Oc1ccc2c(c1)CCC(=Cc1ccc(C(=O)O)cc1)C2=O)C(=O)O,COc1ccccc1CN1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1,433.3961,56.5163
CCN(Cc1ccc(OC)c(OC)c1)C(=O)CN(CCCOCC(=O)O)CCOCC(=O)O,C=CCCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,350.1998,18.6316
COc1ccc(OCCOc2c(COCC(=O)O)cc(OC)cc2COCC(=O)O)cc1,O=C(c1cc(OCC2CO2)cc(OCC2CO2)n1)N1CCCN(c2ccccc2)CC1,410.4169,18.9582
Cc1ccccc1OCCN(C)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(NC(=O)c2ccc3oc(OCC4CO4)nc3c2)cc1OCC1CO1,460.2689,31.6965
NC(CCCCCCC(=O)O)C(=O)O,Cc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1N1CCCC1,389.3924,22.4132
CC1CCC(N(C)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,CCCCn1cc(C(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c(C)n1,431.0553,21.4533
O=C(O)CCOc1ccc(NC(=O)CC2(CC(=O)O)CCCCC2)cc1,COc1cc(OCC2CO2)ncc1C(=O)N1CCN(Cc2ccc(OCC3CO3)cc2)CC1,425.7409,19.4481
COC(=O)COc1ccc(NC(=O)C(=O)N(CCOCC(=O)O)CCOCC(=O)O)cc1,CCNC(=O)c1cccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,406.524,16.9369
Cn1ccc(NC(=O)C(CCC(=O)O)CCC(=O)O)n1,O=C(NCC1CCN(Cc2ccccc2)CC1)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,442.3973,33.509
CCN(CC)C(=O)CN(CCCOCC(=O)O)CCOCC(=O)O,CCc1ccccc1NN=Cc1cccc(OCC2CO2)c1OCC1CO1,358.2256,34.3379
CC1(C(=O)O)CCN(CC(=O)Nc2cccc(C(=O)O)c2)C1,CC(NC(=O)CCC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccccc1,421.0496,28.3497
O=C(O)CCNC(=O)CN1CCN(C(=O)c2ncccc2OCCC(=O)O)CC1,COc1ccc(Cn2cc(C(=O)NCCc3ccc(OCC4CO4)c(OCC4CO4)c3)cn2)cc1,406.0203,22.2049
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)NCCCN1CCCCC1,COc1cccc(CC(=O)NC(C)Cc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,389.3082,26.1725
O=C(O)COCC(COCC(=O)O)NC(=O)CCc1ccc(O)cc1,O=C(CCOCC1CO1)N1CCC(CCCOCC2CO2)CC1,402.7238,13.5752
O=C(O)CC1CCCN(Cc2ccc(C(=O)O)cc2)C1,CCOc1cc(C=CC(=O)c2ccccc2OCC2CO2)ccc1OCC1CO1,421.5055,27.0898
CN(CCCNC(=O)C1CCCCCC1)CC(=O)N(CCC(=O)O)CCC(=O)O,O=Cc1cccc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)c1,429.8789,28.6608
Cn1ccc(CNCCCNC(=O)C(CCC(=O)O)CCC(=O)O)cc1=O,C(=NOCc1cccnc1)c1ccc(OCC2CO2)c(OCC2CO2)c1,379.6552,23.621
O=C(O)COCCN(CCOCC(=O)O)CCC(=O)NCC(=O)c1ccccc1,Cc1cc(C)cc(C2CCN(C(=O)c3ccc(OCC4CO4)cc3OCC3CO3)CC2)c1,393.5184,20.913
COc1cc(C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)ccc1O,O=C(CCCC1CO1)Nc1ccc(NC(=O)CCCC2CO2)c2cnccc12,453.9098,32.1505
COC(=O)c1cc(NC(=O)C(CCC(=O)O)CCC(=O)O)n(C)n1,O=C(CCC1CO1)N1CCN(C2CN(C(=O)CCC3CO3)C2)CC1,432.8075,17.3677
Cc1cccc(NC(=O)CN2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)c1C,CC(=O)Nc1c(C)ccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1C,427.6831,17.1043
O=C(O)CCN(CCC(=O)O)C(=O)C1CCN(C(=O)c2cccnc2)CC1,O=C(NCc1ccnc(OCc2ccccc2)c1)C(CC1CO1)CC1CO1,437.644,30.236
CCc1cccc(OCCOc2c(COCC(=O)O)cc(OC)cc2COCC(=O)O)c1,O=C(NCc1ccccc1OCC1CO1)c1nnc2ccccc2c1OCC1CO1,402.3267,24.8125
CN1CCN(CCOc2ccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,Cc1ccc2c(OCC(=O)N(CC3CO3)CC3CO3)cc(C)nc2c1,416.3197,20.5936
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)c2ccc(OCC3CC3)nc2)cc1,O=C(CC1CC(c2ccccc2)C1)NCc1cccc(OCC2CO2)c1OCC1CO1,413.8176,21.4134
Cc1cc(CNCC(C(=O)O)c2ccccc2)ccc1C(=O)O,O=C(OCCCCCCOCC1CO1)c1cccc(COCC2CO2)c1,399.766,8.555
CCc1cc(C)nc(NCCNC(=O)C(CCC(=O)O)CCC(=O)O)n1,NCC(=O)NCC(=O)NCc1cccc(OCC2CO2)c1OCC1CO1,384.9536,12.2324
CN(CCC(=O)O)c1nnc(COCCC(=O)O)n1Cc1ccccc1,CC(C)(NC(=O)c1ccc(OCC2CO2)cc1OCC1CO1)C(=O)Nc1ccccc1,399.7099,25.6555
CC(=O)Nc1cnn(CC(=O)N(CCC(=O)O)CCC(=O)O)c1,Cc1cc(C(C)(C)C)ccc1OCCCC(=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,441.0555,23.6494
O=C(O)CCC(CCC(=O)O)C(=O)NCc1ccnc(OCc2ccccc2)c1,CONC(=O)C1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1,444.7539,16.7388
O=C(O)CCC(CCC(=O)O)C(=O)NCCNCC(=O)NCCC1CCCCC1,Cc1ccc(OCC2CO2)cc1NC(=O)CC(O)CC(=O)Nc1cc(OCC2CO2)ccc1C,405.721,7.2967
CCNC(=O)CN(C)C(=O)C(CCC(=O)O)CCC(=O)O,CN1CCN(CC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1=O,429.1154,16.1935
O=C(O)CC1CCCN(C(=O)Cc2ccccc2C(=O)O)CC1,COc1cc(OC)cc(OCCCNC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,427.2148,39.2552
CC(=O)Nc1cccc(C(=O)O)c1C(=O)O,COc1cccc(C(=O)NCc2cc(C)cnc2OCC2CO2)c1OCC1CO1,491.0408,38.9541
O=C(O)COCCN(CCOCC(=O)O)CCC1CCCCCC1,O=C(Nc1ccccc1)Nc1cccc(CNC(=O)N(CC2CO2)CC2CO2)c1,416.0441,40.7228
Cc1cc(NC(=O)N(CCC(=O)O)CCC(=O)O)n(Cc2ccccc2)n1,COc1cccc(C(=O)Nc2ccc(OCC3CO3)c(COC(C)C)c2)c1OCC1CO1,446.9072,23.3162
CC(C)(O)CN1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,O=C(C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccc(C(=O)NC2CCOCC2)cc1,436.7943,17.0499
Cc1cc(C(=O)N(CCC(=O)O)CCC(=O)O)oc1C,CCOC(=O)c1ccc(CNC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)cc1,459.7407,29.0334
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)CN2CCCCCCC2=O)c1,O=C(O)c1ccc2c(c1)N(C(=O)Cc1ccc(OCC3CO3)c(OCC3CO3)c1)CCC2,444.7906,36.3145
COc1ccc2nc(C=Cc3cccc(OCCC(=O)O)c3)cc(C(=O)O)c2c1,CN(C)C(=O)c1cccc(NC(=O)COC(=O)C(CC2CO2)CC2CO2)c1,429.2775,42.7448
O=C(O)COCc1ccc(NC(=O)CC2CCC(c3ccccc3)CC2)cc1COCC(=O)O,Cc1ccc(OCc2ccccc2)c(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)c1,438.2649,26.5105
