acid,epoxide,tg,std,tg_calib_mean,tg_calib_std,z1,z2,score
NC(=O)NC(=O)CN1CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC1,O=C(O)c1cncc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)c1,462.6291,37.17,400.11278090079634,2.866912316079835,55.38921928062814,8.393283291152988,-1.5462370588362553
CC1(C(=O)O)CCN(C(=O)c2ccc(OCC(=O)O)cc2)C1,O=C(c1ccc(OCC2CO2)cc1)C1CCN(C(=O)c2cncc(OCC3CO3)c2)CC1,468.5368,23.0332,399.8831022779729,2.8747321188998294,58.445664825440076,-6.605966017867242,-1.554263781477005
Cc1ccncc1C=CC(=O)N(CCC(=O)O)CCC(=O)O,CNC(=O)c1ccc(OC)c(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,462.0314,46.1812,400.1234812767185,2.867482712493979,55.70959808250848,17.26425139970704,-1.557222632965497
COc1cccc(CNC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1OC,CC(C)c1ccc(C(=O)N2CCN(C(=O)c3cccc(OCC4CO4)c3)CC2)c(OCC2CO2)c1,468.5016,23.039,399.8593051305928,2.8747201241943423,58.40418587745228,-6.595607066692594,-1.5780549315043555
COc1cc(C(=O)N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)on1,O=C(CNC(=O)Nc1ccccc1)NC(COCC1CO1)COCC1CO1,464.3555,30.3496,399.81589105729194,2.8690395682973473,55.90392768320214,1.3743876543481761,-1.6186287268567383
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(NC(=O)CN2CCOCC2)cc1,O=C(c1cc(OCC2CO2)nc2ccccc12)N1CCc2ccc(OCC3CO3)cc2CC1,464.2462,31.8101,400.19178727814773,2.8684068178558526,56.194419044460574,2.858193965464565,-1.6259906870756549
Cc1ccc2nc(C3CC3)cc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)c2c1,CCC(=O)NC(C)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,462.5053,36.0043,399.80674627812556,2.8670711908020112,54.99626845516161,7.253198727566716,-1.626789317275447
COc1cc(CNC(=O)NCC(C)(C)CC(=O)O)cc(CCC(=O)O)c1OC,O=C(O)CCc1ccc(OCC2CO2)c(NC(=O)Cc2cncc(OCC3CO3)c2)c1,463.0975,33.7758,399.8017027290866,2.8676288402360948,55.24628478796558,4.964522877385736,-1.6321116910314193
O=C(O)CCC(CCC(=O)O)C(=O)NCc1ncccn1,O=C1Cc2cc(NC(=O)c3c(OCC4CO4)cccc3OCC3CO3)ccc2N1,473.9954,17.1048,400.20291697771876,2.882814136699709,62.22242179925388,-13.482255764562328,-1.6443240460686122
CCOc1ccc(CN(C)C(=O)C(CCC(=O)O)CCC(=O)O)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccc(N2CCCC2=O)c1,462.6736,35.1911,399.7809610497508,2.8672413299041324,55.03605712835781,6.425436225679647,-1.6526596152012942
O=C(O)CCC(CCC(=O)O)C(=O)Nc1ccc2ccccc2n1,O=C(COC(=O)c1cc(OCC2CO2)cc(OCC2CO2)c1)Nc1ccc2c(c1)OCCCO2,470.8386,19.9094,399.7855496815391,2.878470151809941,59.83182787319902,-10.137824892853,-1.6536853943658472
CCc1nc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)co1,O=C(Nc1ccc(C(=O)O)c(OCC2CO2)c1)c1ccc2c(OCC3CO3)ncnc2c1,466.7306,26.5622,400.220633717817,2.8715590294502937,57.62150425044649,-2.7586367380634726,-1.6564132325421557
Cc1nc(COc2ccc(C(=O)Nc3ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc3)cc2)no1,O=C(C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1cccc(N2CCCCCC2)c1,466.3432,26.2226,399.7665981302851,2.8717371915414382,57.003798601418,-3.0583141091606407,-1.6692704654856154
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)N1CCN(c2ncccn2)CC1,O=C(NCc1ccc(OCC2CO2)nc1)c1cc(Cc2ccccc2)ccc1OCC1CO1,464.5521,31.1899,400.2464891626221,2.86869268567646,56.40619657110483,2.1977255879629993,-1.6808355054603132
Cc1nc(N2CCC(C(=O)O)(C(=O)O)CC2)nc2ccccc12,CCN(CC)CC1CCN(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1,470.086,20.7713,399.7574628110243,2.877333095106805,59.32545945435584,-9.144706698255643,-1.6812037365290913
O=C(O)CCC(CCC(=O)O)C(=O)Nc1ccc(N2CCN(C(=O)C3CC3)CC2)nc1,CC(N)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,462.365,36.2766,399.74314627729564,2.8670141532147912,54.872607843726655,7.539864077892837,-1.690360799311759
CC(C)(C)c1ccc(CC(=O)Nc2cc(COCC(=O)O)cc(COCC(=O)O)c2)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C(=O)Nc1cccc(Cn2cccn2)c1,475.316,15.247,399.7517567665044,2.8859162095636166,62.75043222429758,-15.618041869651815,-1.6912013382774085
CN(C(=O)C1CC1)c1ccccc1C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccc(OC2CCOCC2)cc1,461.7654,39.6706,399.732801569295,2.8666906283052382,54.70496354305112,10.959079578321825,-1.7005437448575988
CC(C)c1cccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c1,CCc1cc(C(=O)Nc2ccc(OCC3CO3)cc2C)cc(OCC2CO2)n1,465.385,27.9147,399.7344547451109,2.8704777526210394,56.41153811404149,-1.216462427343167,-1.7007841311996246
