model_id,validation_loss,top_level_validation_loss,loss_difference,checkpoint_size_bytes,connectome_type,connectome_file,extent,n_syn_fill,dynamics_type,activation,dataset_type,tasks,n_frames,dt,vertical_splits,batch_size,n_iters,n_folds,fold,decoder_type,decoder_shape,decoder_kernel_size,bias_trainable,time_const_trainable,syn_strength_trainable,syn_count_trainable,sign_trainable,bias_groupby,time_const_groupby,syn_strength_groupby,syn_count_groupby
010,5.271915788451831,5.271915788451831,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
011,5.277487738264932,5.277487738264932,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
012,5.277920769320594,5.277920769320594,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
013,5.281195715069771,5.281195715069771,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
014,5.283142609728707,5.283142609728707,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
015,5.28523435195287,5.28523435195287,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
016,5.289695978164673,5.289695978164673,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
017,5.291881955332226,5.291881955332226,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
018,5.292151803771655,5.292151803771655,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
019,5.29551562666893,5.29551562666893,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
020,5.295636506544219,5.295636506544219,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
021,5.29688036441803,5.29688036441803,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
022,5.298010347617997,5.298010347617997,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
023,5.298870379726092,5.298870379726092,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
024,5.299407965607113,5.299407965607113,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
025,5.300875248180495,5.300875248180495,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
026,5.303517358170615,5.303517358170615,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
027,5.306977753837903,5.306977753837903,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
028,5.308157533407211,5.308157533407211,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
029,5.318766688307126,5.318766688307126,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
030,5.3195354839166,5.3195354839166,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
031,5.3196239637004,5.3196239637004,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
032,5.3243887854946985,5.3243887854946985,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
033,5.328959698478381,5.328959698478381,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
034,5.330954548385408,5.330954548385408,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
035,5.33160486486223,5.33160486486223,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
036,5.332136740287145,5.332136740287145,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
037,5.332739220725165,5.332739220725165,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
038,5.335818338725302,5.335818338725302,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
039,5.355444838603337,5.355444838603337,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
040,5.359657613767518,5.359657613767518,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
041,5.359666627314356,5.359666627314356,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
042,5.366370586885346,5.366370586885346,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
043,5.3715731253226595,5.3715731253226595,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
044,5.378605905506346,5.378605905506346,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
045,5.383891855676969,5.383891855676969,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
046,5.417977909247081,5.417977909247081,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
047,5.418262915478812,5.418262915478812,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
048,5.427841342157787,5.427841342157787,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
049,5.677851685219341,5.677851685219341,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
