cell_type,n_models,n_clusters,embedding_x_mean,embedding_y_mean,embedding_x_std,embedding_y_std,silhouette_proxy,cluster_entropy
T3,50,2,0.553434442933025,0.5365185414671385,0.34559354848383683,0.23627085226735917,0.688611650462744,0.9426831892526069
L4,50,2,0.6401018717717699,0.4281322565194972,0.2645630227472045,0.28911725328002374,0.6147918293230537,0.9248187049701447
R2,50,2,0.5771764469918352,0.5789025744065892,0.28915636426848323,0.25770266966338884,0.5393292811407013,0.9248187049701447
TmY9,50,2,0.4446231755411706,0.5599281451687325,0.3412846635255798,0.2840498722863638,0.6851916484512212,0.9248187049701447
Mi15,50,2,0.6505865637443675,0.5574144128748159,0.3021556163976507,0.28815879429687774,0.5174838456709305,0.9043814577216085
Tm5c,50,2,0.41674302903365257,0.4248212857290073,0.35508852543744496,0.33586130782915197,0.8568640799896889,0.9043814577216085
L2,50,2,0.6422606149134298,0.49866548785729625,0.37342317068062825,0.2781246056475639,0.7384091244601937,0.8267463724897326
Mi11,50,2,0.4735063025616565,0.4525994843604936,0.30384921514605806,0.25916191997889043,0.5806345906586349,0.8267463724897326
Mi1,50,2,0.4951437951258961,0.4431400361238116,0.2873630777338885,0.2597552091344314,0.5532893261355655,0.7950402793816368
Mi4,50,2,0.6103426517832176,0.45330663271419636,0.3353861320180091,0.2881483849291258,0.7347414992741735,0.7950402793816368
