fold,model,mae,rmse,r2
14,mean_baseline,0.4468661268556005,0.512864549490494,-0.00017439333645530297
14,linear_regression,0.46337646801320953,0.5322612367885491,-0.0772587936179141
14,rf_regressor,0.6478773024141793,0.7231519829409052,-0.9885180302518441
15,mean_baseline,0.5541572874493926,0.6307097924346843,-0.03754074257336759
15,linear_regression,0.550454383866544,0.6227038594400655,-0.01136781017057098
15,rf_regressor,0.5953032104323308,0.6728575318197296,-0.18084324146381459
16,mean_baseline,0.55029,0.6008499573147139,-0.029810228272314943
16,linear_regression,0.5505609273128773,0.5961039324352561,-0.013605842914259147
16,rf_regressor,0.660578855436508,0.7169839127613682,-0.466371308175636
17,mean_baseline,0.5917622727272727,0.6633955989440592,-0.08383955055685122
17,linear_regression,0.590504529545869,0.6616161447676318,-0.0780328910685022
17,rf_regressor,0.7219093327849928,0.8017291425176003,-0.5829790362336269
18,mean_baseline,0.48643252361673417,0.5369107989388584,-0.019794643589549743
18,linear_regression,0.5072124561828846,0.5600654925649577,-0.10965015676063161
18,rf_regressor,0.5999979343861547,0.6682949285357142,-0.5799552242026549
19,mean_baseline,0.5232297570850203,0.5725587940061482,-0.04863108164225349
19,linear_regression,0.5222137035953844,0.5910850458838716,-0.11758995959276297
19,rf_regressor,0.7101792866854637,0.7810414030586781,-0.9513297245597263
20,mean_baseline,0.45580242914979757,0.526111375103328,-0.0049710979913575315
20,linear_regression,0.4506660206895245,0.5209973554213193,0.014471413493974183
20,rf_regressor,0.5931639659252298,0.6900123375254101,-0.7286692252842599
21,mean_baseline,0.5831283116883117,0.6193484180970558,-0.003699827477212647
21,linear_regression,0.5677050761142416,0.6091442157528036,0.0291010455289209
21,rf_regressor,0.6933743795165945,0.7509072153794141,-0.4753883131470209
22,mean_baseline,0.5102583766233766,0.5718884632342379,-0.03168265452171615
22,linear_regression,0.5126818787888007,0.5749358575334638,-0.0427069032455023
22,rf_regressor,0.6497752052236652,0.7132625256430384,-0.6048050114818762
23,mean_baseline,0.5895939946018893,0.6379875568606364,-0.000691150455401468
23,linear_regression,0.5879018364451336,0.6346237626346113,0.009833334336100896
23,rf_regressor,0.7483017245870357,0.7966337411595289,-0.5602458496094866
24,mean_baseline,0.4844912955465587,0.5447447791912494,-0.028651926460385946
24,linear_regression,0.5008667574957797,0.5929437379944689,-0.21873494579733088
24,rf_regressor,0.701837653420483,0.7761923428099837,-1.0884351714253726
25,mean_baseline,0.44951018893387307,0.5229870818432545,-0.07626141092654604
25,linear_regression,0.459113851071167,0.5350864879922083,-0.12663649304338787
25,rf_regressor,0.5275399415584415,0.5933540664630905,-0.38536334314824594
26,mean_baseline,0.5629311038961038,0.6382747135161054,-0.016428434381724255
26,linear_regression,0.5604992995842004,0.6318897125096485,0.003805598075943939
26,rf_regressor,0.6748165176118326,0.7492654384446661,-0.4006606494567033
27,mean_baseline,0.5236021428571429,0.6059413862928072,-0.4051583203346225
27,linear_regression,0.5186914590614352,0.6164586495982868,-0.45436002250715957
27,rf_regressor,0.6436595645328282,0.7553239625065767,-1.18338615759196
28,mean_baseline,0.5075234143049933,0.5425351125293102,-0.18865190905062668
28,linear_regression,0.5232350176931253,0.5697077876563877,-0.31070001089974264
28,rf_regressor,0.6151404043233083,0.6790524196703778,-0.8621111173100793
29,mean_baseline,0.49348704453441306,0.5665888409796427,-0.7687124709334894
29,linear_regression,0.49413934866182335,0.5927652215441445,-0.9359165578572404
29,rf_regressor,0.6048154874905066,0.7069302911104567,-1.753432197004103
30,mean_baseline,0.5931755060728746,0.6270537815135668,-0.024204314237459057
30,linear_regression,0.5918160584808733,0.6245028022903424,-0.015887932252017567
30,rf_regressor,0.7833705432210335,0.8319701930427813,-0.8029868225510293
31,mean_baseline,0.5473753246753246,0.583343374043087,-0.03158711498500821
31,linear_regression,0.5634910693100758,0.5981939115206288,-0.08477919505663811
31,rf_regressor,0.7757574367469336,0.8033892408308067,-0.9566330857443761
32,mean_baseline,0.42086999999999997,0.4783586229157943,-0.010191123806764901
32,linear_regression,0.411589670648556,0.4682995895180359,0.03184723872503903
32,rf_regressor,0.5181420578742785,0.6037480478417765,-0.6091918089118007
33,mean_baseline,0.4989263157894738,0.5650367091526519,-0.06459865481527993
33,linear_regression,0.4920530908166274,0.5780312478046225,-0.11412833242733522
33,rf_regressor,0.695326160762702,0.799172080749795,-1.1296743094676884
34,mean_baseline,0.5941643724696356,0.65607277949439,-0.04214998748435983
34,linear_regression,0.6103593436301008,0.6647523774974196,-0.06990689846097098
34,rf_regressor,0.719542436212691,0.7902705369635123,-0.5120904509031632
35,mean_baseline,0.5637550607287448,0.6172864815206756,-0.0063154206762003895
35,linear_regression,0.559729772336541,0.6186921738548751,-0.010903826717622245
35,rf_regressor,0.6877195097553761,0.7650668125271699,-0.54582142493163
36,mean_baseline,0.4925598701298702,0.553030323258359,-0.023920865919090373
36,linear_regression,0.5167741656333125,0.5769711862847867,-0.11449148353899319
36,rf_regressor,0.6237207714808803,0.7074327344938621,-0.675478299018399
37,mean_baseline,0.5612242207792209,0.6130714136493556,-0.1380609879922703
37,linear_regression,0.5951334824103218,0.6583389030265314,-0.3123281437980099
37,rf_regressor,0.7065179293849205,0.7927575062486921,-0.9029357685084203
38,mean_baseline,0.5846017543859648,0.652483312999413,-0.13939733322716363
38,linear_regression,0.5905209651422565,0.6470381304315688,-0.1204594133036645
38,rf_regressor,0.7417939969545074,0.80917371140723,-0.7523461951476713
39,mean_baseline,0.49015991902834005,0.5557119299853095,-0.24564018069810833
39,linear_regression,0.47756343045948557,0.5582803532746354,-0.2571811410746663
39,rf_regressor,0.5797794476361359,0.6632579344642905,-0.7744267519828125
40,mean_baseline,0.5463328609986505,0.5978524346173494,-0.4316562925005958
40,linear_regression,0.5450358591869641,0.6078020577360598,-0.47970483974967415
40,rf_regressor,0.6204189891812866,0.7115117134256972,-1.0277521495359507
41,mean_baseline,0.5647502597402598,0.6216555429388704,-0.06930275773837824
41,linear_regression,0.5729855627173809,0.631593190638162,-0.10376328650661848
41,rf_regressor,0.7668059244769119,0.8116080767791286,-0.8226101594850317
42,mean_baseline,0.5384864935064935,0.600202753449987,-0.02867651490139611
42,linear_regression,0.5681907388291219,0.6513983516138147,-0.21164715925355915
42,rf_regressor,0.6753461588483045,0.7585470975270532,-0.6430393314996916
43,mean_baseline,0.5263099865047234,0.5842529950616305,-0.1398681728022826
43,linear_regression,0.5408218323858587,0.6006605728610749,-0.20478897497054938
43,rf_regressor,0.6782283678951166,0.734443624273227,-0.8012320372746065
44,mean_baseline,0.5395823886639676,0.5636768984886082,-0.1929029300200309
44,linear_regression,0.5350447180960781,0.5668664890939292,-0.20644131346942673
44,rf_regressor,0.6396063560862383,0.6967941333860531,-0.8228612120026373
45,mean_baseline,0.48571774628879893,0.5673703640686952,-0.08965082206263952
45,linear_regression,0.4773997449159882,0.5571043482173512,-0.05057521981681945
45,rf_regressor,0.6505240593358396,0.7439218935605604,-0.8733060545096212
46,mean_baseline,0.65352,0.6835983696586762,-0.12468413927753086
46,linear_regression,0.65473357774368,0.6897494119445371,-0.1450150941781272
46,rf_regressor,0.7715714086147186,0.8180659492413901,-0.610664795669636
47,mean_baseline,0.48175642857142853,0.53859263009614,-0.1040203518091618
47,linear_regression,0.4913519868349302,0.5662049152039246,-0.2201227835990549
47,rf_regressor,0.5482921482999641,0.6199937671800909,-0.4629548184106904
48,mean_baseline,0.5027463562753036,0.5532556764976333,-0.044480737766301015
48,linear_regression,0.5707542404551504,0.6438287447687042,-0.4144558727142109
48,rf_regressor,0.6643249216972356,0.741811990973492,-0.8777439717101219
49,mean_baseline,0.4250095816464237,0.47919143740521947,-0.0005065293503510038
49,linear_regression,0.40598814738930467,0.4673052227965236,0.048512474582201204
49,rf_regressor,0.6142658056495405,0.7064376397148581,-1.1744503246769007
50,mean_baseline,0.5837846153846153,0.6681007464998187,-0.263102728004186
50,linear_regression,0.6140678184312204,0.7144704144942283,-0.4445190004095112
50,rf_regressor,0.8030736273885472,0.8915063475967719,-1.2490734487004653
