sample_id,grid_row,grid_col,spectral_signal,spectral_signal_sq,spectral_signal_cu,rolling_mean_2,rolling_std_2,sin_position,cos_position,composition_token,graph_n_nodes,graph_n_edges,graph_density,graph_mean_degree,target_property,lag_1,lag_2,lag_3,lag_8,full_fit_prediction
19,2,1,-1.1,1.2100000000000002,-1.3310000000000004,-0.24000000000000005,1.318483977907961,-0.6118578909427189,-0.7909677119144168,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.5432,-0.3519799375000002
20,2,2,-0.6,0.36,-0.21599999999999997,-0.6000000000000001,0.7071067811865476,-0.7568024953079282,-0.6536436208636119,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.321,0.5390394750000024
21,2,3,-0.1,0.010000000000000002,-0.0010000000000000002,-0.10000000000000006,0.7071067811865476,-0.8715757724135882,-0.4902608213406994,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.0987,-0.12304059999999922
22,2,4,0.4,0.16000000000000003,0.06400000000000002,0.4,0.7071067811865476,-0.951602073889516,-0.30733286997841935,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.7654,0.7843137142857085
23,2,5,0.9,0.81,0.7290000000000001,0.9,0.7071067811865476,-0.9936910036334644,-0.11215252693505487,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.460294145833336
24,2,6,1.4,1.9599999999999997,2.7439999999999993,1.4,0.7071067811865475,-0.9961646088358407,0.0874989834394464,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.2407944583333316
25,2,7,1.9,3.61,6.858999999999998,1.0399999999999998,1.3184839779079607,-0.9589242746631385,0.28366218546322625,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.789,-0.6789,-0.6785607499999989
26,2,8,2.4,5.76,13.823999999999998,0.6799999999999998,1.5354478174135386,-0.8834546557201531,0.4685166713003771,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.9012,0.8991818041666683
27,3,0,-1.4,1.9599999999999997,-2.7439999999999993,0.32,1.5354478174135389,-0.7727644875559871,0.6346928759426347,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.3456,-0.33240213750000097
28,3,1,-0.9,0.81,-0.7290000000000001,-0.04000000000000001,1.3184839779079607,-0.6312666378723216,0.7755658785102496,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.5678,0.556621712500003
29,3,2,-0.4,0.16000000000000003,-0.06400000000000002,-0.3999999999999999,0.7071067811865476,-0.46460217941375737,0.8855195169413189,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.1234,-0.12556539166666578
30,3,3,0.1,0.010000000000000002,0.0010000000000000002,0.10000000000000002,0.7071067811865476,-0.27941549819892586,0.960170286650366,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.789,0.7864632809523745
31,3,4,0.6,0.36,0.21599999999999997,0.6,0.7071067811865476,-0.0830894028174964,0.9965420970232175,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.459424520833336
32,3,5,1.1,1.2100000000000002,1.3310000000000002,1.1,0.7071067811865476,0.11654920485049364,0.9931849187581926,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.23787541666666492
33,3,6,1.6,2.5600000000000005,4.096000000000001,1.6,0.7071067811865476,0.31154136351337786,0.9502325919585296,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.789,-0.6789,-0.6785607499999989
34,3,7,2.1,4.41,9.261000000000001,1.24,1.3184839779079607,0.49411335113860816,0.8693974903498253,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.9012,0.9002356708333349
35,3,8,2.6,6.760000000000001,17.576,0.8800000000000001,1.5354478174135389,0.6569865987187891,0.7539022543433046,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.3456,-0.339473887500001
36,4,0,-1.2,1.44,-1.7279999999999998,0.5199999999999999,1.5354478174135389,0.7936678638491531,0.6083513145322546,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.5678,0.5534044916666696
37,4,1,-0.7,0.48999999999999994,-0.3429999999999999,0.16000000000000006,1.3184839779079607,0.8987080958116269,0.43854732757439036,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.1234,-0.12822229583333253
38,4,2,-0.2,0.04000000000000001,-0.008000000000000002,-0.2,0.7071067811865476,0.9679196720314863,0.2512598425822557,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.789,0.7859312976190413
39,4,3,0.3,0.09,0.026999999999999996,0.30000000000000004,0.7071067811865476,0.998543345374605,0.05395542056264975,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.46387518750000256
40,4,4,0.8,0.6400000000000001,0.5120000000000001,0.8,0.7071067811865476,0.9893582466233818,-0.14550003380861354,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.24305793749999843
41,4,5,1.3,1.6900000000000002,2.197,1.3,0.7071067811865475,0.9407305566797731,-0.3391548609838345,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.789,-0.6789,-0.6783345833333323
42,4,6,1.8,3.24,5.832000000000001,1.8,0.7071067811865475,0.8545989080882804,-0.5192886541166856,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.9012,0.8990284583333341
43,4,7,2.3,5.289999999999999,12.166999999999998,1.44,1.3184839779079607,0.7343970978741133,-0.6787200473200125,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.3456,-0.33937110416666777
44,4,8,2.8,7.839999999999999,21.951999999999995,1.0799999999999998,1.5354478174135386,0.5849171928917617,-0.811093014061656,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.5678,0.5469417791666698
45,5,0,-1.0,1.0,-1.0,0.72,1.5354478174135389,0.4121184852417566,-0.9111302618846769,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.1234,-0.12843393452380863
46,5,1,-0.5,0.25,-0.125,0.36,1.3184839779079607,0.22288991410024764,-0.9748436214041636,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.789,0.786831047619041
47,5,2,0.0,0.0,0.0,0.0,0.7071067811865476,0.024775425453357765,-0.9996930420352065,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.46488595833333585
48,5,3,0.5,0.25,0.125,0.5,0.7071067811865476,-0.17432678122297965,-0.984687855794127,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.241421916666665
49,5,4,1.0,1.0,1.0,1.0,0.7071067811865476,-0.3664791292519284,-0.9304262721047533,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.789,-0.6789,-0.678730374999999
50,5,5,1.5,2.25,3.375,1.5,0.7071067811865476,-0.5440211108893698,-0.8390715290764524,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.9012,0.9010579750000016
51,5,6,2.0,4.0,8.0,2.0,0.7071067811865476,-0.6998746875935423,-0.7142656520272003,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.3456,-0.3446159166666676
52,5,7,2.5,6.25,15.625,1.64,1.3184839779079607,-0.8278264690856537,-0.5609842574272288,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.5678,0.5603082291666699
53,5,8,3.0,9.0,27.0,1.28,1.5354478174135389,-0.9227754216128066,-0.3853381907718296,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.1234,-0.12521188333333227
54,6,0,-0.8,0.6400000000000001,-0.5120000000000001,0.9200000000000002,1.5354478174135389,-0.9809362300664916,-0.1943299064553348,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.789,0.788699380952374
55,6,1,-0.3,0.09,-0.026999999999999996,0.5599999999999999,1.3184839779079607,-0.9999902065507035,0.004425697988050785,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.4600379166666692
56,6,2,0.2,0.04000000000000001,0.008000000000000002,0.19999999999999996,0.7071067811865476,-0.9791777291513174,0.2030048638187504,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.24598118749999848
57,6,3,0.7,0.48999999999999994,0.3429999999999999,0.7,0.7071067811865476,-0.9193285256646757,0.3934908663478909,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.789,-0.6789,-0.678730374999999
58,6,4,1.2,1.44,1.7279999999999998,1.2,0.7071067811865476,-0.8228285949687089,0.5682896297679736,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.9012,0.9008315583333352
59,6,5,1.7,2.8899999999999997,4.912999999999999,1.7,0.7071067811865477,-0.6935250847771224,0.7204324789908387,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.3456,-0.3458468125000008
60,6,6,2.2,4.840000000000001,10.648000000000001,2.2,0.7071067811865477,-0.5365729180004349,0.8438539587324921,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.5678,0.5630674625000033
61,6,7,2.7,7.290000000000001,19.683000000000003,1.8400000000000003,1.3184839779079607,-0.3582292822368287,0.9336336440746373,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.1234,-0.12365721666666561
62,6,8,3.2,10.240000000000002,32.76800000000001,1.4800000000000004,1.535447817413539,-0.1656041754483094,0.9861923022788637,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.789,0.7884102809523741
63,7,0,-0.6,0.36,-0.21599999999999997,1.1200000000000003,1.5354478174135389,0.033623047221136695,0.9994345855010047,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.4629067291666691
64,7,1,-0.1,0.010000000000000002,-0.0010000000000000002,0.76,1.318483977907961,0.23150982510153895,0.9728325656974354,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.24419160416666513
65,7,2,0.4,0.16000000000000003,0.06400000000000002,0.4,0.7071067811865476,0.4201670368266409,0.9074467814501962,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.789,-0.6789,-0.6788999999999988
66,7,3,0.9,0.81,0.7290000000000001,0.9,0.7071067811865476,0.592073514707223,0.8058839576404507,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.9012,0.9001358416666685
67,7,4,1.4,1.9599999999999997,2.7439999999999993,1.4,0.7071067811865475,0.7403758899524486,0.6721930835534681,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.3456,-0.3397291875000009
68,7,5,1.9,3.61,6.858999999999998,1.9,0.7071067811865476,0.8591618148564958,0.511703992453149,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.5678,0.553483650000003
69,7,6,2.4,5.76,13.823999999999998,2.4,0.7071067811865476,0.9436956694441048,0.33081487794904696,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.1234,-0.12576896249999908
70,7,7,2.9,8.41,24.389,2.04,1.3184839779079607,0.9906073556948704,0.1367372182078336,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.789,0.7864967142857081
71,7,8,3.4,11.559999999999999,39.303999999999995,1.6799999999999997,1.5354478174135386,0.9980266527163617,-0.06279172292408176,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.45937979166666915
72,8,0,-0.4,0.16000000000000003,-0.06400000000000002,1.3199999999999998,1.5354478174135389,0.9656577765492774,-0.25981735621375585,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.2500879166666653
73,8,1,0.1,0.010000000000000002,0.0010000000000000002,0.9600000000000002,1.3184839779079607,0.8947911721405042,-0.4464848914122656,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.789,-0.6789,-0.6785042083333321
74,8,2,0.6,0.36,0.21599999999999997,0.6,0.7071067811865476,0.7882520673753163,-0.6153524829547208,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.9012,0.8985468083333349
75,8,3,1.1,1.2100000000000002,1.3310000000000002,1.1,0.7071067811865476,0.6502878401571168,-0.7596879128588213,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.3456,-0.3439498333333343
76,8,4,1.6,2.5600000000000005,4.096000000000001,1.6,0.7071067811865476,0.48639868885379967,-0.8737369830110802,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.5678,0.5647806750000034
77,8,5,2.1,4.41,9.261000000000001,2.1,0.7071067811865476,0.30311835674570226,-0.9529529168871803,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.1234,-0.12128708869047519
78,8,6,2.6,6.760000000000001,17.576,2.6,0.7071067811865476,0.10775365229944406,-0.9941776251838151,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.789,0.7868418642857077
79,8,7,3.1,9.610000000000001,29.791,2.24,1.3184839779079607,-0.09190685022768164,-0.9957676088732885,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.45704825000000254
80,8,8,3.6,12.96,46.656000000000006,1.8800000000000003,1.535447817413539,-0.2879033166650653,-0.9576594803233847,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.23688585416666486
81,9,0,-0.2,0.04000000000000001,-0.008000000000000002,1.52,1.5354478174135389,-0.47242198639846616,-0.8813724903622346,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.789,-0.6789,-0.6786738333333322
82,9,1,0.3,0.09,0.026999999999999996,1.16,1.318483977907961,-0.6381066823479474,-0.7699479605420717,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.9012,0.9001234916666684
83,9,2,0.8,0.6400000000000001,0.5120000000000001,0.8,0.7071067811865476,-0.7783520785342984,-0.627828035246386,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.3456,-0.3441743333333342
84,9,3,1.3,1.6900000000000002,2.197,1.3,0.7071067811865475,-0.8875670335815046,-0.46067858741136253,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.5678,0.5666917833333368
85,9,4,1.8,3.24,5.832000000000001,1.8,0.7071067811865475,-0.9613974918795568,-0.27516333805159693,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.1234,-0.12316913333333229
86,9,5,2.3,5.289999999999999,12.166999999999998,2.3,0.7071067811865475,-0.9969000660415961,-0.07867819473184015,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.789,0.7883414476190409
87,9,6,2.8,7.839999999999999,21.951999999999995,2.8,0.7071067811865475,-0.9926593804706332,0.12094359992847414,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.45626164583333595
88,9,7,3.3,10.889999999999999,35.937,2.44,1.3184839779079607,-0.948844497918124,0.31574375491924334,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.2348190833333315
89,9,8,3.8,14.44,54.871999999999986,2.0799999999999996,1.5354478174135386,-0.8672021794855813,0.49795620278841546,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.789,-0.6789,-0.678730374999999
90,10,0,0.0,0.0,0.0,1.72,1.5354478174135389,-0.750987246771676,0.6603167082440802,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.9012,0.8994545333333349
91,10,1,0.5,0.25,0.125,1.3599999999999999,1.3184839779079607,-0.6048328224062841,0.7963524702919231,5.0,5,10,1.0,4.0,-0.3456,0.9012,-0.6789,0.2345,-0.3456,-0.3437562708333342
92,10,2,1.0,1.0,1.0,1.0,0.7071067811865476,-0.43456562207189675,0.9006401723847685,5.0,5,10,1.0,4.0,0.5678,-0.3456,0.9012,-0.6789,0.5678,0.5655044083333367
93,10,3,1.5,2.25,3.375,1.5,0.7071067811865476,-0.2469736617366209,0.9690221929390499,5.0,5,10,1.0,4.0,-0.1234,0.5678,-0.3456,0.9012,-0.1234,-0.12372175833333228
94,10,4,2.0,4.0,8.0,2.0,0.7071067811865476,-0.04953564087836742,0.9987723565872102,5.0,5,10,1.0,4.0,0.789,-0.1234,0.5678,-0.3456,0.789,0.7887092142857074
95,10,5,2.5,6.25,15.625,2.25,0.5590169943749475,0.14987720966295234,0.9887046181866692,5.0,5,10,1.0,4.0,-0.4567,0.789,-0.1234,0.5678,-0.4567,-0.4572527916666692
96,10,6,3.0,9.0,27.0,2.5,0.408248290463863,0.3433149288198954,0.9392203466968708,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.789,-0.1234,0.2345,0.2369091666666648
