dataset,map_id,map_path,agents,seed,method,success,collision_count,soc,makespan,runtime_sec,normalized_soc
maze,eval_map_maze_10,data/maze/maze_maps_125_25_25/eval_map_maze_10.npy,80,8,lns_pp,0,4,inf,inf,7.174073668196797,inf
maze,eval_map_maze_10,data/maze/maze_maps_125_25_25/eval_map_maze_10.npy,80,8,hybrid_marl_lns,0,10,inf,inf,4.698310751467943,inf
maze,eval_map_maze_100,data/maze/maze_maps_125_25_25/eval_map_maze_100.npy,80,9,pp,0,1,inf,inf,0.03988723270595074,inf
maze,eval_map_maze_100,data/maze/maze_maps_125_25_25/eval_map_maze_100.npy,80,9,rand_pp,0,1,inf,inf,0.07093457877635956,inf
maze,eval_map_maze_100,data/maze/maze_maps_125_25_25/eval_map_maze_100.npy,80,9,lns_pp,1,0,335.0,39.0,0.1682587545365095,0.1979905437352246
maze,eval_map_maze_100,data/maze/maze_maps_125_25_25/eval_map_maze_100.npy,80,9,hybrid_marl_lns,1,0,373.0,37.0,0.21973903104662895,0.22044917257683216
maze,eval_map_maze_11,data/maze/maze_maps_125_25_25/eval_map_maze_11.npy,80,10,pp,0,1,inf,inf,0.0971816461533308,inf
maze,eval_map_maze_11,data/maze/maze_maps_125_25_25/eval_map_maze_11.npy,80,10,rand_pp,0,1,inf,inf,0.1150620523840189,inf
maze,eval_map_maze_11,data/maze/maze_maps_125_25_25/eval_map_maze_11.npy,80,10,lns_pp,0,5,inf,inf,2.2146550361067057,inf
maze,eval_map_maze_11,data/maze/maze_maps_125_25_25/eval_map_maze_11.npy,80,10,hybrid_marl_lns,0,10,inf,inf,1.9436510652303696,inf
room,eval_map_room_1,data/room/room_maps_250_25_25/eval_map_room_1.npy,80,7,pp,0,1,inf,inf,0.6008947528898716,inf
room,eval_map_room_1,data/room/room_maps_250_25_25/eval_map_room_1.npy,80,7,rand_pp,0,1,inf,inf,0.7380851376801729,inf
room,eval_map_room_1,data/room/room_maps_250_25_25/eval_map_room_1.npy,80,7,lns_pp,0,1,inf,inf,10.378402255475521,inf
room,eval_map_room_1,data/room/room_maps_250_25_25/eval_map_room_1.npy,80,7,hybrid_marl_lns,0,10,inf,inf,8.324743872508407,inf
room,eval_map_room_10,data/room/room_maps_250_25_25/eval_map_room_10.npy,80,8,pp,0,1,inf,inf,0.0722836647182703,inf
room,eval_map_room_10,data/room/room_maps_250_25_25/eval_map_room_10.npy,80,8,rand_pp,0,1,inf,inf,0.11443698592483997,inf
room,eval_map_room_10,data/room/room_maps_250_25_25/eval_map_room_10.npy,80,8,lns_pp,0,7,inf,inf,1.9385134875774384,inf
room,eval_map_room_10,data/room/room_maps_250_25_25/eval_map_room_10.npy,80,8,hybrid_marl_lns,0,10,inf,inf,2.481792515143752,inf
room,eval_map_room_11,data/room/room_maps_250_25_25/eval_map_room_11.npy,80,9,pp,0,1,inf,inf,0.2697656415402889,inf
room,eval_map_room_11,data/room/room_maps_250_25_25/eval_map_room_11.npy,80,9,rand_pp,0,1,inf,inf,0.3151249848306179,inf
room,eval_map_room_11,data/room/room_maps_250_25_25/eval_map_room_11.npy,80,9,lns_pp,0,9,inf,inf,2.9157015457749367,inf
room,eval_map_room_11,data/room/room_maps_250_25_25/eval_map_room_11.npy,80,9,hybrid_marl_lns,0,10,inf,inf,3.830420296639204,inf
room,eval_map_room_12,data/room/room_maps_250_25_25/eval_map_room_12.npy,80,10,pp,0,1,inf,inf,0.9252541866153479,inf
room,eval_map_room_12,data/room/room_maps_250_25_25/eval_map_room_12.npy,80,10,rand_pp,0,1,inf,inf,1.0048807673156261,inf
room,eval_map_room_12,data/room/room_maps_250_25_25/eval_map_room_12.npy,80,10,lns_pp,0,3,2038.0,73.0,9.575262933969498,1.1247240618101546
room,eval_map_room_12,data/room/room_maps_250_25_25/eval_map_room_12.npy,80,10,hybrid_marl_lns,0,4,inf,inf,17.77400654181838,inf
warehouse,eval_map_warehouse_1,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_1.npy,80,7,pp,0,1,inf,inf,0.5488506760448217,inf
warehouse,eval_map_warehouse_1,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_1.npy,80,7,rand_pp,0,1,inf,inf,0.5358858946710825,inf
warehouse,eval_map_warehouse_1,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_1.npy,80,7,lns_pp,0,3,1621.0,44.0,5.135455671697855,1.0338010204081634
warehouse,eval_map_warehouse_1,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_1.npy,80,7,hybrid_marl_lns,0,1,inf,inf,15.14286134019494,inf
warehouse,eval_map_warehouse_10,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_10.npy,80,8,pp,1,0,1848.0,72.0,1.5946751851588488,1.3078556263269638
warehouse,eval_map_warehouse_10,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_10.npy,80,8,rand_pp,1,0,1836.0,72.0,1.642453595995903,1.2993630573248407
warehouse,eval_map_warehouse_10,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_10.npy,80,8,lns_pp,1,0,1836.0,72.0,1.6903343256562948,1.2993630573248407
warehouse,eval_map_warehouse_10,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_10.npy,80,8,hybrid_marl_lns,1,0,1836.0,72.0,1.6636095251888037,1.2993630573248407
warehouse,eval_map_warehouse_100,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_100.npy,80,9,pp,0,1,inf,inf,0.1925065815448761,inf
warehouse,eval_map_warehouse_100,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_100.npy,80,9,rand_pp,0,1,inf,inf,0.18219334073364735,inf
warehouse,eval_map_warehouse_100,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_100.npy,80,9,lns_pp,0,4,1432.0,52.0,2.60536172054708,0.8828606658446363
warehouse,eval_map_warehouse_100,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_100.npy,80,9,hybrid_marl_lns,0,4,inf,inf,6.98117733746767,inf
warehouse,eval_map_warehouse_11,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_11.npy,80,10,pp,0,1,inf,inf,0.16127940453588963,inf
warehouse,eval_map_warehouse_11,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_11.npy,80,10,rand_pp,0,1,inf,inf,0.1981434803456068,inf
warehouse,eval_map_warehouse_11,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_11.npy,80,10,lns_pp,1,0,495.0,29.0,0.2979041486978531,0.32759761747187294
warehouse,eval_map_warehouse_11,data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_11.npy,80,10,hybrid_marl_lns,0,2,inf,inf,9.35193339921534,inf
empty,eval_map_empty_1,data/empty/empty_maps_453_25_25/eval_map_empty_1.npy,80,7,pp,1,0,1315.0,38.0,1.4356134328991175,1.0099846390168972
empty,eval_map_empty_1,data/empty/empty_maps_453_25_25/eval_map_empty_1.npy,80,7,rand_pp,1,0,1315.0,38.0,1.4688426349312067,1.0099846390168972
empty,eval_map_empty_1,data/empty/empty_maps_453_25_25/eval_map_empty_1.npy,80,7,lns_pp,1,0,1315.0,38.0,1.5377312153577805,1.0099846390168972
empty,eval_map_empty_1,data/empty/empty_maps_453_25_25/eval_map_empty_1.npy,80,7,hybrid_marl_lns,1,0,1315.0,38.0,1.4938162919133902,1.0099846390168972
empty,eval_map_empty_10,data/empty/empty_maps_453_25_25/eval_map_empty_10.npy,80,8,pp,1,0,1293.0,37.0,1.4273299258202314,1.011737089201878
empty,eval_map_empty_10,data/empty/empty_maps_453_25_25/eval_map_empty_10.npy,80,8,rand_pp,1,0,1295.0,37.0,1.472439819946885,1.013302034428795
empty,eval_map_empty_10,data/empty/empty_maps_453_25_25/eval_map_empty_10.npy,80,8,lns_pp,1,0,1295.0,37.0,1.4776560422033072,1.013302034428795
empty,eval_map_empty_10,data/empty/empty_maps_453_25_25/eval_map_empty_10.npy,80,8,hybrid_marl_lns,1,0,1295.0,37.0,1.503053154796362,1.013302034428795
empty,eval_map_empty_11,data/empty/empty_maps_453_25_25/eval_map_empty_11.npy,80,9,pp,1,0,1373.0,40.0,1.5264361631125212,1.017037037037037
empty,eval_map_empty_11,data/empty/empty_maps_453_25_25/eval_map_empty_11.npy,80,9,rand_pp,1,0,1374.0,40.0,1.5496957134455442,1.0177777777777777
empty,eval_map_empty_11,data/empty/empty_maps_453_25_25/eval_map_empty_11.npy,80,9,lns_pp,1,0,1374.0,40.0,1.6050394270569086,1.0177777777777777
empty,eval_map_empty_11,data/empty/empty_maps_453_25_25/eval_map_empty_11.npy,80,9,hybrid_marl_lns,1,0,1374.0,40.0,1.6127504371106625,1.0177777777777777
empty,eval_map_empty_12,data/empty/empty_maps_453_25_25/eval_map_empty_12.npy,80,10,pp,1,0,1433.0,36.0,1.7790300082415342,1.0177556818181819
empty,eval_map_empty_12,data/empty/empty_maps_453_25_25/eval_map_empty_12.npy,80,10,rand_pp,1,0,1433.0,36.0,1.8363236151635647,1.0177556818181819
empty,eval_map_empty_12,data/empty/empty_maps_453_25_25/eval_map_empty_12.npy,80,10,lns_pp,1,0,1433.0,36.0,1.8669153936207294,1.0177556818181819
empty,eval_map_empty_12,data/empty/empty_maps_453_25_25/eval_map_empty_12.npy,80,10,hybrid_marl_lns,1,0,1433.0,36.0,1.874496478587389,1.0177556818181819
