frame,n_atoms,same_sign_mean_distance,opposite_sign_mean_distance,distance_gap_same_minus_opposite,forces_available
54,128,9.747465509431267,9.764992188305055,-0.01752667887378756,False
55,128,9.85332528655423,9.829978718539923,0.023346568014305902,False
56,128,10.082873047518737,10.108581762212685,-0.02570871469394831,False
57,128,9.918427000645922,9.880629399568264,0.03779760107765817,False
58,128,10.32524224725229,10.247404471886897,0.07783777536539205,False
59,128,9.716066485527557,9.735251618604504,-0.019185133076947025,False
60,128,9.98048562527679,9.976870103648725,0.0036155216280651103,False
61,128,9.961173250808985,9.920250825886965,0.040922424922019474,False
62,128,9.97341127742694,9.919004641820038,0.0544066356069024,False
63,128,9.907980965244633,9.913525585545319,-0.005544620300685921,False
64,128,9.915999372693655,9.964161106861436,-0.048161734167781134,False
65,128,10.00254101587236,9.96957175988658,0.03296925598577971,False
66,128,9.930788670641887,9.974653286429017,-0.043864615787130745,False
67,128,10.200480681417142,10.143840338014677,0.056640343402465376,False
68,128,10.008310189001156,10.008998780198493,-0.0006885911973366632,False
69,128,9.46532511126082,9.584660012769199,-0.11933490150837933,False
70,128,10.166281026231568,10.098216579795844,0.06806444643572362,False
71,128,9.940255119170915,9.908105930650374,0.03214918852054183,False
72,128,10.010203534818304,10.057688793194085,-0.047485258375781214,False
73,128,10.284664108592604,10.247623204567393,0.03704090402521132,False
74,128,10.236181491274008,10.148498769002384,0.08768272227162477,False
75,128,10.053271761125826,10.140211218696033,-0.08693945757020671,False
76,128,10.214317830304077,10.129166841222357,0.08515098908172014,False
77,128,10.14585395330059,10.138107820928317,0.007746132372272285,False
78,128,9.970239838074622,9.996361637042614,-0.02612179896799205,False
79,128,10.259187580390416,10.197308661249174,0.06187891914124144,False
80,128,10.11052699220658,10.085003212913975,0.025523779292605298,False
81,128,9.97340851569739,9.931276076783943,0.042132438913446535,False
82,128,10.118024788952162,10.039066323122922,0.07895846582924015,False
83,128,9.835872625316933,9.858688547225686,-0.022815921908753367,False
84,128,9.671957639656075,9.742224965142675,-0.07026732548660064,False
85,128,9.580057843624632,9.679926620276333,-0.09986877665170191,False
86,128,10.153966141818264,10.195967010528342,-0.04200086871007791,False
87,128,9.921327521019961,9.86627514657019,0.055052374449770625,False
88,128,10.646140736678154,10.627381491363526,0.01875924531462836,False
89,128,10.147762623277155,10.166343525075483,-0.018580901798328497,False
90,128,9.77561021741192,9.761793788094849,0.013816429317071055,False
91,128,10.239085239871057,10.228924391111871,0.010160848759186436,False
92,128,10.280156633307136,10.227709988962129,0.05244664434500734,False
93,128,10.158021846139965,10.086472156992594,0.07154968914737125,False
94,128,9.903816135585679,9.890950782308918,0.012865353276760416,False
95,128,10.271606167511615,10.263769619915998,0.007836547595617915,False
96,128,10.066612318977636,9.993797430385108,0.0728148885925286,False
97,128,9.966664867756512,9.945910644623304,0.020754223133208072,False
98,128,9.909921465429294,9.881567880277997,0.028353585151297267,False
99,128,10.110033402919147,10.156232384004067,-0.046198981084920376,False
