dataset,time,channel_index,channel_name,mean,std,min,max,p01,p50,p99
input,1,31,U300,-0.01636972278356552,9.980939865112305,-42.10720443725586,47.776405334472656,-23.22023582458496,-0.014125769957900047,23.17060089111328
input,1,32,U400,-0.009937080554664135,9.972230911254883,-45.852542877197266,39.627567291259766,-23.322467803955078,-0.04596478492021561,23.18612289428711
input,1,33,U500,-0.009011893533170223,9.979802131652832,-41.47979736328125,41.685176849365234,-23.22825050354004,-0.028146762400865555,22.964920043945312
input,1,34,U600,-0.024348096922039986,10.008576393127441,-41.798065185546875,40.42090606689453,-23.3094482421875,-0.023093331605196,23.18421173095703
input,1,35,U700,0.012368623167276382,9.992863655090332,-42.03981018066406,43.92184829711914,-23.276330947875977,-0.014274891465902328,23.28245735168457
input,1,36,U850,0.046961139887571335,10.039735794067383,-44.47943878173828,42.49198532104492,-23.282371520996094,0.06900925934314728,23.640281677246094
input,1,37,U925,-0.0824323371052742,9.975653648376465,-46.255653381347656,40.99163818359375,-23.227561950683594,-0.11536002904176712,23.256305694580078
input,1,38,U1000,0.041592348366975784,9.97116470336914,-47.794288635253906,41.11935043334961,-23.272403717041016,0.07477140426635742,23.169830322265625
input,1,39,V50,0.012066826224327087,10.003626823425293,-42.992637634277344,38.92133712768555,-23.253267288208008,-0.06100519746541977,23.295780181884766
input,1,40,V100,-0.07613283395767212,10.007223129272461,-44.37101364135742,43.15425491333008,-23.08431625366211,-0.1258503645658493,23.345989227294922
input,1,41,V150,-0.06318622082471848,9.994297981262207,-44.14529800415039,46.97844696044922,-23.25074577331543,-0.0798197016119957,23.216835021972656
input,1,42,V200,-0.017624439671635628,10.000831604003906,-42.669403076171875,46.898799896240234,-23.284975051879883,-0.03215242922306061,23.3075008392334
input,1,43,V250,-0.0511493943631649,9.986133575439453,-38.24154281616211,40.181007385253906,-23.44645118713379,-0.030290918424725533,23.36023712158203
input,1,44,V300,0.02728315256536007,10.0157470703125,-46.24935531616211,42.59312057495117,-23.387401580810547,0.0366675928235054,23.488788604736328
input,1,45,V400,-0.005663309246301651,9.940979957580566,-40.14310836791992,42.724021911621094,-23.19785499572754,0.008063177578151226,23.04785919189453
input,1,46,V500,-0.033250078558921814,10.032491683959961,-45.0494384765625,42.61552429199219,-23.381397247314453,-0.06638384610414505,23.236934661865234
input,1,47,V600,0.05795693024992943,10.012497901916504,-42.419837951660156,41.16193389892578,-23.095827102661133,0.05304532125592232,23.267351150512695
input,1,48,V700,-0.015078555792570114,10.032523155212402,-43.33633804321289,46.033905029296875,-23.306358337402344,0.01427002064883709,23.237621307373047
input,1,49,V850,0.03764306381344795,9.960197448730469,-43.689056396484375,40.188995361328125,-22.973047256469727,0.09427843987941742,22.966440200805664
input,1,50,V925,-0.03887864574790001,10.026323318481445,-41.026607513427734,41.45476531982422,-23.30533218383789,-0.05277654528617859,23.49394989013672
input,1,51,V1000,0.03349544480443001,9.965506553649902,-40.4039306640625,42.36164855957031,-23.156023025512695,0.06631545722484589,23.15690803527832
input,1,52,R50,-0.09148338437080383,10.011547088623047,-37.639488220214844,44.93152618408203,-23.297344207763672,-0.12500309944152832,23.40524673461914
input,1,53,R100,0.020153384655714035,10.017521858215332,-44.31568908691406,42.69504165649414,-23.269495010375977,0.03953064605593681,23.118629455566406
input,1,54,R150,-0.051441553980112076,10.00856876373291,-43.584442138671875,40.80937194824219,-23.28860092163086,-0.08095468580722809,23.28868865966797
input,1,55,R200,-0.0195559561252594,9.95251750946045,-41.061649322509766,41.398475646972656,-22.975940704345703,-0.025334075093269348,23.213104248046875
input,1,56,R250,0.03105621598660946,9.988726615905762,-50.3740348815918,42.0673828125,-23.445409774780273,0.06014397740364075,23.400659561157227
input,1,57,R300,-0.004349313210695982,9.993865013122559,-41.00109100341797,39.969627380371094,-23.332317352294922,0.025241564959287643,23.131105422973633
input,1,58,R400,0.030682696029543877,9.993355751037598,-47.70665740966797,39.725364685058594,-23.344507217407227,0.0343463197350502,23.279455184936523
input,1,59,R500,0.0203084759414196,9.98912525177002,-42.41339111328125,40.37186050415039,-23.0938777923584,0.02020331844687462,23.04335594177246
input,1,60,R600,-0.03578978404402733,10.017434120178223,-39.85114669799805,40.99253845214844,-23.027973175048828,-0.040464311838150024,23.497791290283203
input,1,61,R700,-0.047025591135025024,10.02159309387207,-44.33977508544922,43.17181396484375,-23.263385772705078,-0.05023714900016785,23.384580612182617
input,1,62,R850,0.07338117808103561,10.006590843200684,-41.80073547363281,42.7846565246582,-23.452600479125977,0.059980638325214386,23.21349334716797
input,1,63,R925,-0.02583896927535534,10.011123657226562,-40.371482849121094,39.92201232910156,-23.27817726135254,-0.0665351003408432,23.361675262451172
input,1,64,R1000,-0.05781950801610947,9.998883247375488,-45.55978775024414,40.004905700683594,-23.26995277404785,-0.05408451706171036,23.242116928100586
input,1,65,T2M,0.026625068858265877,9.997865676879883,-40.900970458984375,42.68275833129883,-23.021987915039062,0.07656647264957428,23.230314254760742
input,1,66,U10,-0.0358545146882534,9.997628211975098,-43.33992004394531,41.12761688232422,-23.41458511352539,-0.0007304329774342477,23.164960861206055
input,1,67,V10,-0.01453864760696888,9.970691680908203,-38.96654510498047,43.12171173095703,-23.192018508911133,-0.011665774509310722,23.381759643554688
input,1,68,MSL,-0.015547452494502068,10.037199020385742,-41.07908630371094,40.30305480957031,-23.225238800048828,-0.03763402998447418,23.42318344116211
input,1,69,TP,7.9850172996521,6.032466411590576,1.120058300330129e-06,45.069496154785156,0.13156992197036743,6.7578911781311035,25.76369285583496
