channel_index,channel_name,variable_group,rmse_vs_latest_input,bias_vs_latest_input,corr_vs_latest_input,forecast_mean,latest_input_mean
32,U400,U,14.11831283569336,-0.025708191096782684,-0.0014303892385214567,-0.022150101140141487,-0.009937080554664135
33,U500,U,14.029437065124512,0.04526912420988083,0.010696619749069214,0.05102070793509483,-0.009011893533170223
34,U600,U,14.2136812210083,0.04380558058619499,-0.006660824175924063,-0.011352526023983955,-0.024348096922039986
35,U700,U,14.15989875793457,-0.018094414845108986,-0.002181155374273658,0.02010262757539749,0.012368623167276382
36,U850,U,14.151269912719727,-0.06634284555912018,-0.0009012205409817398,-0.019658269360661507,0.046961139887571335
37,U925,U,14.139535903930664,0.011048532091081142,-0.003990843426436186,-0.056273315101861954,-0.0824323371052742
38,U1000,U,14.175786018371582,-0.05815264955163002,-0.003180790925398469,0.0047109294682741165,0.041592348366975784
39,V50,V,14.097702980041504,-0.05639434605836868,0.007780959829688072,-0.015613283030688763,0.012066826224327087
40,V100,V,14.115311622619629,0.10894779115915298,0.001270972192287445,0.04025449603796005,-0.07613283395767212
41,V150,V,14.122976303100586,0.10404924303293228,0.002010402036830783,0.01111222431063652,-0.06318622082471848
42,V200,V,14.160140991210938,0.00281335087493062,0.000444706529378891,-0.0040975878946483135,-0.017624439671635628
43,V250,V,14.111673355102539,0.11346881091594696,0.0035548130981624126,0.06349650770425797,-0.0511493943631649
44,V300,V,14.139424324035645,-0.026226701214909554,0.001012448570691049,-0.012124791741371155,0.02728315256536007
45,V400,V,14.11331558227539,0.04686729982495308,0.0025117446202784777,0.06876176595687866,-0.005663309246301651
46,V500,V,14.18414306640625,-0.0025465553626418114,0.0010950391879305243,-0.041843898594379425,-0.033250078558921814
47,V600,V,14.160202980041504,-0.03757596015930176,-0.002046233741566539,-0.00011849166185129434,0.05795693024992943
48,V700,V,14.120607376098633,-0.050195612013339996,0.0033666430972516537,-0.03340739756822586,-0.015078555792570114
49,V850,V,14.118667602539062,-0.012606019154191017,-0.004488156642764807,0.016654685139656067,0.03764306381344795
50,V925,V,14.097493171691895,0.0011212729150429368,0.0021310714073479176,-0.0306768286973238,-0.03887864574790001
51,V1000,V,14.132819175720215,0.030219942331314087,-0.0007008614484220743,0.04392887279391289,0.03349544480443001
52,R50,R,14.184760093688965,0.15662260353565216,-0.003920488990843296,0.05021030083298683,-0.09148338437080383
53,R100,R,14.195805549621582,-0.017649080604314804,-0.004520378075540066,0.003722110530361533,0.020153384655714035
54,R150,R,14.202067375183105,-0.01721867173910141,-0.007731520105153322,-0.06493566930294037,-0.051441553980112076
55,R200,R,14.061332702636719,0.04176492244005203,0.004040386062115431,-0.005072466097772121,-0.0195559561252594
56,R250,R,14.130361557006836,-0.010470492765307426,0.0018933725077658892,0.04492010921239853,0.03105621598660946
57,R300,R,14.123044967651367,-0.048119623214006424,0.006765890866518021,-0.025566667318344116,-0.004349313210695982
58,R400,R,14.090544700622559,-0.013420293107628822,0.006782516371458769,-0.014879454858601093,0.030682696029543877
59,R500,R,14.143078804016113,-0.0026001082733273506,0.0010376152349635959,0.018357329070568085,0.0203084759414196
60,R600,R,14.098051071166992,0.10641879588365555,0.01061332132667303,0.029222775250673294,-0.03578978404402733
61,R700,R,14.205899238586426,0.016435859724879265,-0.003567229490727186,-0.042219266295433044,-0.047025591135025024
62,R850,R,14.13127613067627,-0.10037457197904587,-0.0017849175492301583,-0.050005439668893814,0.07338117808103561
63,R925,R,14.073637008666992,0.06276874244213104,0.008310816250741482,-0.021136539056897163,-0.02583896927535534
64,R1000,R,14.09476089477539,0.0819544792175293,0.005625769030302763,0.03124673292040825,-0.05781950801610947
65,T2M,T2M,14.160837173461914,0.01834767684340477,-0.009654910303652287,0.03913299739360809,0.026625068858265877
66,U10,U10,14.20012378692627,-0.05129658058285713,-0.008335629478096962,-0.026647767052054405,-0.0358545146882534
67,V10,V10,14.104768753051758,-0.05856415256857872,-0.00034137038164772093,-0.07164433598518372,-0.01453864760696888
68,MSL,MSL,14.172306060791016,-0.055375028401613235,-0.00363996927626431,-0.014391899108886719,-0.015547452494502068
69,TP,TP,8.52109146118164,-0.031808726489543915,-0.0015602026833221316,7.982635974884033,7.9850172996521
