dataset,forecast_slice,channel_index,channel_name,mean,std,min,max,p01,p50,p99
forecast,0,59,R500,0.018357329070568085,10.022764205932617,-44.28752136230469,45.92869567871094,-23.193777084350586,0.026344992220401764,23.369382858276367
forecast,0,60,R600,0.029222775250673294,10.035920143127441,-45.620811462402344,42.4915771484375,-23.30269432067871,0.060333557426929474,23.36887550354004
forecast,0,61,R700,-0.042219266295433044,10.020256042480469,-41.25143051147461,41.026363372802734,-23.292123794555664,-0.06743514537811279,23.397090911865234
forecast,0,62,R850,-0.050005439668893814,9.980439186096191,-42.940616607666016,46.461647033691406,-23.092626571655273,-0.03864077851176262,23.24586296081543
forecast,0,63,R925,-0.021136539056897163,9.962719917297363,-38.212059020996094,40.741085052490234,-23.217418670654297,-0.01714855246245861,23.236501693725586
forecast,0,64,R1000,0.03124673292040825,10.01163387298584,-38.95969009399414,42.453285217285156,-23.048707962036133,-0.0015743034891784191,23.329553604125977
forecast,0,65,T2M,0.03913299739360809,9.969742774963379,-45.183773040771484,40.752845764160156,-23.050260543823242,0.03135305643081665,23.36705780029297
forecast,0,66,U10,-0.026647767052054405,10.015897750854492,-43.44953536987305,42.16276550292969,-23.38334846496582,-0.008475097827613354,23.083913803100586
forecast,0,67,V10,-0.07164433598518372,9.971844673156738,-38.305973052978516,40.118064880371094,-23.296358108520508,-0.06475044786930084,22.955747604370117
forecast,0,68,MSL,-0.014391899108886719,9.964982032775879,-42.273216247558594,41.78215789794922,-23.027402877807617,0.008323658257722855,23.081235885620117
forecast,0,69,TP,7.982635974884033,6.033872604370117,3.383265720913187e-05,43.5609130859375,0.1239430382847786,6.731565475463867,25.60643768310547
