region,region_label,method_family,years_compared,mean_abs_residual_gt,median_abs_residual_gt,rmse_gt,mean_abs_z,max_abs_z,method_uncertainty_mean,combined_uncertainty_mean,annual_variability_fraction,uncertainty_ratio_method_to_combined
south_asia_east,South Asia East,DEM diff. + glaciol.,24,1.5376186213494953,0.33106523684816047,3.1925578194273365,0.25400443009580265,1.6319032234560145,2.6544053463699755,5.764960489428701,1.0,0.4604377343500273
south_asia_east,South Asia East,altimetry,21,1.751157931747091,0.34279701214323666,3.4129494544273324,0.2691045001139315,1.6473175443518147,2.439551499022662,5.359787098960468,0.3333333333333333,0.4551582840847939
south_asia_west,South Asia West,DEM diff. + glaciol.,24,2.0755078627982204,1.1713945773029253,3.2672746763534994,0.24479514088588608,1.2400170836763629,6.284439590698212,7.465053054048004,1.0,0.8418479473887206
south_asia_west,South Asia West,altimetry,21,2.3577725108466168,1.1713945773029248,3.4926604513799706,0.2605806419558917,1.063463102804727,6.500107483385537,6.757023448523445,0.3333333333333333,0.9619779379048847
southern_andes,Southern Andes,DEM diff. + glaciol.,23,12.365419388235594,9.04531003216162,16.022141068673765,0.42836403256118283,1.0968640107919412,10.763892275762323,30.35667807043888,1.0,0.3545807038170005
southern_andes,Southern Andes,altimetry,9,16.410842316941945,11.415098386226985,21.266786134214495,0.5518693695444666,1.5565219293512749,14.474433739764581,24.762984382050163,1.0,0.5845189544381654
southern_andes,Southern Andes,gravimetry,20,16.0134100967519,13.835217131634032,20.72098215078424,0.4120680059997229,1.4319119700591405,28.01728009868496,28.639626084953555,0.9,0.9782697586755311
svalbard,Svalbard,DEM diff. + glaciol.,24,3.6545164571873854,3.6531916757480714,4.7642963190219465,0.5298336002008215,2.205922981536584,3.5283576719349963,6.860436478315505,1.0,0.5143051295770237
svalbard,Svalbard,altimetry,15,3.777552709489743,1.55354941508915,4.973015832324619,0.4679905472156314,1.3027556330174503,5.4974365204210205,5.800287551513597,0.6,0.947786893597448
svalbard,Svalbard,gravimetry,20,2.8693977728953284,2.6445778090295686,3.4044788629997518,0.39743881673612386,1.03514905694692,3.521602439362178,6.141892085815327,0.9,0.5733741964459622
western_canada_us,Western Canada Us,DEM diff. + glaciol.,24,1.3284288774129036,1.3586751589711255,1.3984258317753084,0.22121681799167195,0.46430029205366496,4.597457868625926,4.08749493763374,1.0,1.1247617278487456
western_canada_us,Western Canada Us,altimetry,10,1.2830383270761616,1.129144847494235,1.4484943694933963,0.27965988691678023,0.5221865418698124,3.343559213888863,3.0984827633012997,1.0,1.0790956314136293
