path,region_slug,region,method,dataset_name,n_rows,start_min,end_max,unit_values,author_label,method_label
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,caucasus_middle_east,Caucasus Middle East,gravimetry,caucasus_middle_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al,1,2003.0,2010.9166666666667,Gt,Jacob et al.,Gravimetry
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_gravimetry_Wouters_Wouters_et_al.csv,caucasus_middle_east,Caucasus Middle East,gravimetry,caucasus_middle_east_gravimetry_Wouters_Wouters_et_al,236,2002.1666666666667,2021.8333333333333,Gt,Wouters et al.,Gravimetry
data/glambie/input/13_central_asia/central_asia_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,central_asia,Central Asia,altimetry,central_asia_altimetry_Jakob_Gourmelen_Jakob_et_al,100,2011.0,2019.3333333333333,m,Jakob et al.,Altimetry
data/glambie/input/13_central_asia/central_asia_altimetry_Ke_Ke_et_al.csv,central_asia,Central Asia,altimetry,central_asia_altimetry_Ke_Ke_et_al,1,2000.0833333333333,2021.1666666666667,m,Ke et al.,Altimetry
data/glambie/input/13_central_asia/central_asia_altimetry_Treichler_ICESat_Treichler_et_al.csv,central_asia,Central Asia,altimetry,central_asia_altimetry_Treichler_ICESat_Treichler_et_al,1,2003.8333333333333,2008.8333333333333,m,Treichler et al.,Altimetry
data/glambie/input/13_central_asia/central_asia_altimetry_Treichler_snowfall_Treichler_et_al.csv,central_asia,Central Asia,altimetry,central_asia_altimetry_Treichler_snowfall_Treichler_et_al,1,2003.8333333333333,2008.8333333333333,m,Treichler et al.,Altimetry
data/glambie/input/13_central_asia/central_asia_combined_DUS-combined_Dussaillant_et_al.csv,central_asia,Central Asia,combined,central_asia_combined_DUS-combined_Dussaillant_et_al,25,1999.75,2024.75,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/13_central_asia/central_asia_combined_Huss_Huss_et_al.csv,central_asia,Central Asia,combined,central_asia_combined_Huss_Huss_et_al,31,1990.75,2021.75,mwe,Huss et al.,Hybrid / combined
data/glambie/input/13_central_asia/central_asia_combined_Miles2021_Miles_et_al.csv,central_asia,Central Asia,combined,central_asia_combined_Miles2021_Miles_et_al,1,2000.0,2017.0,mwe,Miles et al.,Hybrid / combined
data/glambie/input/13_central_asia/central_asia_demdiff_Brun_et_al_2017_Brun_et_al.csv,central_asia,Central Asia,demdiff,central_asia_demdiff_Brun_et_al_2017_Brun_et_al,1,2000.6666666666667,2016.6666666666667,m,Brun et al.,DEM differencing
data/glambie/input/13_central_asia/central_asia_demdiff_ETH_Hugonnet_et_al.csv,central_asia,Central Asia,demdiff,central_asia_demdiff_ETH_Hugonnet_et_al,4,2000.0,2020.0,m,Hugonnet et al.,DEM differencing
data/glambie/input/13_central_asia/central_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,central_asia,Central Asia,glaciological,central_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al,301,1999.6666666666667,2024.75,mwe,Zemp et al.,Glaciological
data/glambie/input/13_central_asia/central_asia_glaciological_WGMS-beta_WGMS.csv,central_asia,Central Asia,glaciological,central_asia_glaciological_WGMS-beta_WGMS,25,1999.75,2024.75,mwe,WGMS,Glaciological
data/glambie/input/13_central_asia/central_asia_gravimetry_Harig_Group_Harig_et_al.csv,central_asia,Central Asia,gravimetry,central_asia_gravimetry_Harig_Group_Harig_et_al,251,2002.25,2023.1666666666667,Gt,Harig et al.,Gravimetry
data/glambie/input/13_central_asia/central_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,central_asia,Central Asia,gravimetry,central_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al,1,2003.0,2010.9166666666667,Gt,Jacob et al.,Gravimetry
data/glambie/input/13_central_asia/central_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,central_asia,Central Asia,gravimetry,central_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,248,2002.25,2022.9166666666667,Gt,Sasgen et al.,Gravimetry
data/glambie/input/13_central_asia/central_asia_gravimetry_Wouters_Wouters_et_al.csv,central_asia,Central Asia,gravimetry,central_asia_gravimetry_Wouters_Wouters_et_al,236,2002.1666666666667,2021.8333333333333,Gt,Wouters et al.,Gravimetry
data/glambie/input/14_south_asia_west/south_asia_west_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,south_asia_west,South Asia West,altimetry,south_asia_west_altimetry_Jakob_Gourmelen_Jakob_et_al,100,2011.0,2019.3333333333333,m,Jakob et al.,Altimetry
data/glambie/input/14_south_asia_west/south_asia_west_altimetry_Ke_Ke_et_al.csv,south_asia_west,South Asia West,altimetry,south_asia_west_altimetry_Ke_Ke_et_al,1,2000.0833333333333,2021.1666666666667,m,Ke et al.,Altimetry
data/glambie/input/14_south_asia_west/south_asia_west_altimetry_Treichler_ICESat_Treichler_et_al.csv,south_asia_west,South Asia West,altimetry,south_asia_west_altimetry_Treichler_ICESat_Treichler_et_al,1,2003.8333333333333,2008.8333333333333,m,Treichler et al.,Altimetry
data/glambie/input/14_south_asia_west/south_asia_west_altimetry_Treichler_snowfall_Treichler_et_al.csv,south_asia_west,South Asia West,altimetry,south_asia_west_altimetry_Treichler_snowfall_Treichler_et_al,1,2003.8333333333333,2008.8333333333333,m,Treichler et al.,Altimetry
data/glambie/input/14_south_asia_west/south_asia_west_combined_DUS-combined_Dussaillant_et_al.csv,south_asia_west,South Asia West,combined,south_asia_west_combined_DUS-combined_Dussaillant_et_al,25,1999.75,2024.75,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/14_south_asia_west/south_asia_west_combined_Huss_Huss_et_al.csv,south_asia_west,South Asia West,combined,south_asia_west_combined_Huss_Huss_et_al,31,1990.75,2021.75,mwe,Huss et al.,Hybrid / combined
data/glambie/input/14_south_asia_west/south_asia_west_combined_Miles2021_Miles_et_al.csv,south_asia_west,South Asia West,combined,south_asia_west_combined_Miles2021_Miles_et_al,1,2000.0,2017.0,mwe,Miles et al.,Hybrid / combined
data/glambie/input/14_south_asia_west/south_asia_west_demdiff_Brun_et_al_2017_Brun_et_al.csv,south_asia_west,South Asia West,demdiff,south_asia_west_demdiff_Brun_et_al_2017_Brun_et_al,1,2000.6666666666667,2016.6666666666667,m,Brun et al.,DEM differencing
data/glambie/input/14_south_asia_west/south_asia_west_demdiff_ETH_Hugonnet_et_al.csv,south_asia_west,South Asia West,demdiff,south_asia_west_demdiff_ETH_Hugonnet_et_al,4,2000.0,2020.0,m,Hugonnet et al.,DEM differencing
data/glambie/input/14_south_asia_west/south_asia_west_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,south_asia_west,South Asia West,glaciological,south_asia_west_glaciological_UZH_GlaciolSineWave_Zemp_et_al,301,1999.6666666666667,2024.75,mwe,Zemp et al.,Glaciological
data/glambie/input/14_south_asia_west/south_asia_west_glaciological_WGMS-beta_WGMS.csv,south_asia_west,South Asia West,glaciological,south_asia_west_glaciological_WGMS-beta_WGMS,25,1999.75,2024.75,mwe,WGMS,Glaciological
data/glambie/input/14_south_asia_west/south_asia_west_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,south_asia_west,South Asia West,gravimetry,south_asia_west_gravimetry_Jacob_2012_dmdt_Jacob_et_al,1,2003.0,2010.9166666666667,Gt,Jacob et al.,Gravimetry
data/glambie/input/14_south_asia_west/south_asia_west_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,south_asia_west,South Asia West,gravimetry,south_asia_west_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,248,2002.25,2022.9166666666667,Gt,Sasgen et al.,Gravimetry
data/glambie/input/14_south_asia_west/south_asia_west_gravimetry_Wouters_Wouters_et_al.csv,south_asia_west,South Asia West,gravimetry,south_asia_west_gravimetry_Wouters_Wouters_et_al,236,2002.1666666666667,2021.8333333333333,Gt,Wouters et al.,Gravimetry
data/glambie/input/15_south_asia_east/south_asia_east_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,south_asia_east,South Asia East,altimetry,south_asia_east_altimetry_Jakob_Gourmelen_Jakob_et_al,100,2011.0,2019.3333333333333,m,Jakob et al.,Altimetry
data/glambie/input/15_south_asia_east/south_asia_east_altimetry_Ke_Ke_et_al.csv,south_asia_east,South Asia East,altimetry,south_asia_east_altimetry_Ke_Ke_et_al,1,2000.0833333333333,2021.1666666666667,m,Ke et al.,Altimetry
data/glambie/input/15_south_asia_east/south_asia_east_altimetry_Treichler_ICESat_Treichler_et_al.csv,south_asia_east,South Asia East,altimetry,south_asia_east_altimetry_Treichler_ICESat_Treichler_et_al,1,2003.8333333333333,2008.8333333333333,m,Treichler et al.,Altimetry
data/glambie/input/15_south_asia_east/south_asia_east_altimetry_Treichler_snowfall_Treichler_et_al.csv,south_asia_east,South Asia East,altimetry,south_asia_east_altimetry_Treichler_snowfall_Treichler_et_al,1,2003.8333333333333,2008.8333333333333,m,Treichler et al.,Altimetry
data/glambie/input/15_south_asia_east/south_asia_east_combined_DUS-combined_Dussaillant_et_al.csv,south_asia_east,South Asia East,combined,south_asia_east_combined_DUS-combined_Dussaillant_et_al,25,1999.75,2024.75,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/15_south_asia_east/south_asia_east_combined_Huss_Huss_et_al.csv,south_asia_east,South Asia East,combined,south_asia_east_combined_Huss_Huss_et_al,31,1990.75,2021.75,mwe,Huss et al.,Hybrid / combined
data/glambie/input/15_south_asia_east/south_asia_east_combined_Miles2021_Miles_et_al.csv,south_asia_east,South Asia East,combined,south_asia_east_combined_Miles2021_Miles_et_al,1,2000.0,2017.0,mwe,Miles et al.,Hybrid / combined
data/glambie/input/15_south_asia_east/south_asia_east_demdiff_Brun_et_al_2017_Brun_et_al.csv,south_asia_east,South Asia East,demdiff,south_asia_east_demdiff_Brun_et_al_2017_Brun_et_al,1,2000.6666666666667,2016.6666666666667,m,Brun et al.,DEM differencing
data/glambie/input/15_south_asia_east/south_asia_east_demdiff_ETH_Hugonnet_et_al.csv,south_asia_east,South Asia East,demdiff,south_asia_east_demdiff_ETH_Hugonnet_et_al,4,2000.0,2020.0,m,Hugonnet et al.,DEM differencing
data/glambie/input/15_south_asia_east/south_asia_east_demdiff_MountCryo_King_et_al.csv,south_asia_east,South Asia East,demdiff,south_asia_east_demdiff_MountCryo_King_et_al,1,2000.1666666666667,2015.5,m,King et al.,DEM differencing
data/glambie/input/15_south_asia_east/south_asia_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,south_asia_east,South Asia East,glaciological,south_asia_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al,301,1999.6666666666667,2024.75,mwe,Zemp et al.,Glaciological
data/glambie/input/15_south_asia_east/south_asia_east_glaciological_WGMS-beta_WGMS.csv,south_asia_east,South Asia East,glaciological,south_asia_east_glaciological_WGMS-beta_WGMS,25,1999.75,2024.75,mwe,WGMS,Glaciological
data/glambie/input/15_south_asia_east/south_asia_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,south_asia_east,South Asia East,gravimetry,south_asia_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al,1,2003.0,2010.9166666666667,Gt,Jacob et al.,Gravimetry
data/glambie/input/15_south_asia_east/south_asia_east_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,south_asia_east,South Asia East,gravimetry,south_asia_east_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,248,2002.25,2022.9166666666667,Gt,Sasgen et al.,Gravimetry
data/glambie/input/15_south_asia_east/south_asia_east_gravimetry_Wouters_Wouters_et_al.csv,south_asia_east,South Asia East,gravimetry,south_asia_east_gravimetry_Wouters_Wouters_et_al,236,2002.1666666666667,2021.8333333333333,Gt,Wouters et al.,Gravimetry
data/glambie/input/16_low_latitudes/low_latitudes_combined_DUS-combined_Dussaillant_et_al.csv,low_latitudes,Low Latitudes,combined,low_latitudes_combined_DUS-combined_Dussaillant_et_al,24,2000.0,2024.0,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/16_low_latitudes/low_latitudes_combined_Huss_Huss_et_al.csv,low_latitudes,Low Latitudes,combined,low_latitudes_combined_Huss_Huss_et_al,31,1990.25,2021.25,mwe,Huss et al.,Hybrid / combined
data/glambie/input/16_low_latitudes/low_latitudes_demdiff_Dussaillant2019_Dussaillant_et_al.csv,low_latitudes,Low Latitudes,demdiff,low_latitudes_demdiff_Dussaillant2019_Dussaillant_et_al,1,2000.25,2018.25,m,Dussaillant et al.,DEM differencing
data/glambie/input/16_low_latitudes/low_latitudes_demdiff_ETH_Hugonnet_et_al.csv,low_latitudes,Low Latitudes,demdiff,low_latitudes_demdiff_ETH_Hugonnet_et_al,4,2000.0,2020.0,m,Hugonnet et al.,DEM differencing
data/glambie/input/16_low_latitudes/low_latitudes_demdiff_FAU-GLACIER_Braun_et_al.csv,low_latitudes,Low Latitudes,demdiff,low_latitudes_demdiff_FAU-GLACIER_Braun_et_al,1,2000.1666666666667,2012.9166666666667,m,Braun et al.,DEM differencing
data/glambie/input/16_low_latitudes/low_latitudes_demdiff_Seehaus_Seehaus_et_al.csv,low_latitudes,Low Latitudes,demdiff,low_latitudes_demdiff_Seehaus_Seehaus_et_al,1,2000.1666666666667,2016.75,m,Seehaus et al.,DEM differencing
data/glambie/input/16_low_latitudes/low_latitudes_glaciological_WGMS-beta_WGMS.csv,low_latitudes,Low Latitudes,glaciological,low_latitudes_glaciological_WGMS-beta_WGMS,25,2000.0,2025.0,mwe,WGMS,Glaciological
data/glambie/input/16_low_latitudes/low_latitudes_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,low_latitudes,Low Latitudes,gravimetry,low_latitudes_gravimetry_Jacob_2012_dmdt_Jacob_et_al,1,2003.0,2010.9166666666667,Gt,Jacob et al.,Gravimetry
data/glambie/input/16_low_latitudes/low_latitudes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,low_latitudes,Low Latitudes,gravimetry,low_latitudes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,248,2002.25,2022.9166666666667,Gt,Sasgen et al.,Gravimetry
data/glambie/input/16_low_latitudes/low_latitudes_gravimetry_Wouters_Wouters_et_al.csv,low_latitudes,Low Latitudes,gravimetry,low_latitudes_gravimetry_Wouters_Wouters_et_al,236,2002.1666666666667,2021.8333333333333,Gt,Wouters et al.,Gravimetry
data/glambie/input/17_southern_andes/southern_andes_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,southern_andes,Southern Andes,altimetry,southern_andes_altimetry_Jakob_Gourmelen_Jakob_et_al,120,2010.6666666666667,2020.6666666666667,m,Jakob et al.,Altimetry
data/glambie/input/17_southern_andes/southern_andes_combined_DUS-combined_Dussaillant_et_al.csv,southern_andes,Southern Andes,combined,southern_andes_combined_DUS-combined_Dussaillant_et_al,25,1999.25,2024.25,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/17_southern_andes/southern_andes_combined_Huss_Huss_et_al.csv,southern_andes,Southern Andes,combined,southern_andes_combined_Huss_Huss_et_al,31,1990.25,2021.25,mwe,Huss et al.,Hybrid / combined
data/glambie/input/17_southern_andes/southern_andes_demdiff_DLR-IMF_Krieger_et_al.csv,southern_andes,Southern Andes,demdiff,southern_andes_demdiff_DLR-IMF_Krieger_et_al,2,2000.1666666666667,2016.1666666666667,m,Krieger et al.,DEM differencing
data/glambie/input/17_southern_andes/southern_andes_demdiff_Dussaillant2019_Dussaillant_et_al.csv,southern_andes,Southern Andes,demdiff,southern_andes_demdiff_Dussaillant2019_Dussaillant_et_al,1,2000.25,2018.25,m,Dussaillant et al.,DEM differencing
data/glambie/input/17_southern_andes/southern_andes_demdiff_ETH_Hugonnet_et_al.csv,southern_andes,Southern Andes,demdiff,southern_andes_demdiff_ETH_Hugonnet_et_al,4,2000.0,2020.0,m,Hugonnet et al.,DEM differencing
data/glambie/input/17_southern_andes/southern_andes_demdiff_FAU-GLACIER_Braun_et_al.csv,southern_andes,Southern Andes,demdiff,southern_andes_demdiff_FAU-GLACIER_Braun_et_al,1,2000.1666666666667,2012.75,m,Braun et al.,DEM differencing
data/glambie/input/17_southern_andes/southern_andes_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,southern_andes,Southern Andes,glaciological,southern_andes_glaciological_UZH_GlaciolSineWave_Zemp_et_al,301,1999.1666666666667,2024.25,mwe,Zemp et al.,Glaciological
data/glambie/input/17_southern_andes/southern_andes_glaciological_WGMS-beta_WGMS.csv,southern_andes,Southern Andes,glaciological,southern_andes_glaciological_WGMS-beta_WGMS,25,1999.25,2024.25,mwe,WGMS,Glaciological
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Harig_Group_Harig_et_al.csv,southern_andes,Southern Andes,gravimetry,southern_andes_gravimetry_Harig_Group_Harig_et_al,251,2002.25,2023.1666666666667,Gt,Harig et al.,Gravimetry
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,southern_andes,Southern Andes,gravimetry,southern_andes_gravimetry_Jacob_2012_dmdt_Jacob_et_al,1,2003.0,2010.9166666666667,Gt,Jacob et al.,Gravimetry
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Richter_Richter_et_al.csv,southern_andes,Southern Andes,gravimetry,southern_andes_gravimetry_Richter_Richter_et_al,184,2002.1666666666667,2017.5,Gt,Richter et al.,Gravimetry
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,southern_andes,Southern Andes,gravimetry,southern_andes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,248,2002.25,2022.9166666666667,Gt,Sasgen et al.,Gravimetry
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Velicogna_Sutterley_et_al.csv,southern_andes,Southern Andes,gravimetry,southern_andes_gravimetry_Velicogna_Sutterley_et_al,251,2002.25,2023.1666666666667,gt,Sutterley et al.,Gravimetry
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Wouters_Wouters_et_al.csv,southern_andes,Southern Andes,gravimetry,southern_andes_gravimetry_Wouters_Wouters_et_al,236,2002.1666666666667,2021.8333333333333,Gt,Wouters et al.,Gravimetry
data/glambie/input/18_new_zealand/new_zealand_combined_DUS-combined_Dussaillant_et_al.csv,new_zealand,New Zealand,combined,new_zealand_combined_DUS-combined_Dussaillant_et_al,25,1999.25,2024.25,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/18_new_zealand/new_zealand_combined_Huss_Huss_et_al.csv,new_zealand,New Zealand,combined,new_zealand_combined_Huss_Huss_et_al,31,1990.25,2021.25,mwe,Huss et al.,Hybrid / combined
data/glambie/input/18_new_zealand/new_zealand_demdiff_ETH_Hugonnet_et_al.csv,new_zealand,New Zealand,demdiff,new_zealand_demdiff_ETH_Hugonnet_et_al,4,2000.0,2020.0,m,Hugonnet et al.,DEM differencing
data/glambie/input/18_new_zealand/new_zealand_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,new_zealand,New Zealand,glaciological,new_zealand_glaciological_UZH_GlaciolSineWave_Zemp_et_al,301,1999.1666666666667,2024.25,mwe,Zemp et al.,Glaciological
data/glambie/input/18_new_zealand/new_zealand_glaciological_WGMS-beta_WGMS.csv,new_zealand,New Zealand,glaciological,new_zealand_glaciological_WGMS-beta_WGMS,24,2000.25,2024.25,mwe,WGMS,Glaciological
data/glambie/input/18_new_zealand/new_zealand_gravimetry_Harig_Group_Harig_et_al.csv,new_zealand,New Zealand,gravimetry,new_zealand_gravimetry_Harig_Group_Harig_et_al,251,2002.25,2023.1666666666667,Gt,Harig et al.,Gravimetry
data/glambie/input/18_new_zealand/new_zealand_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,new_zealand,New Zealand,gravimetry,new_zealand_gravimetry_Jacob_2012_dmdt_Jacob_et_al,1,2003.0,2010.9166666666667,Gt,Jacob et al.,Gravimetry
data/glambie/input/18_new_zealand/new_zealand_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,new_zealand,New Zealand,gravimetry,new_zealand_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,248,2002.25,2022.9166666666667,Gt,Sasgen et al.,Gravimetry
data/glambie/input/18_new_zealand/new_zealand_gravimetry_Wouters_Wouters_et_al.csv,new_zealand,New Zealand,gravimetry,new_zealand_gravimetry_Wouters_Wouters_et_al,236,2002.1666666666667,2021.8333333333333,Gt,Wouters et al.,Gravimetry
data/glambie/input/19_antarctic_and_subantarctic/antarctic_and_subantarctic_altimetry_Gardner2013_icesat_Gardner_et_al.csv,antarctic_and_subantarctic,Antarctic And Subantarctic,altimetry,antarctic_and_subantarctic_altimetry_Gardner2013_icesat_Gardner_et_al,1,2003.75,2009.75,m,Gardner et al.,Altimetry
data/glambie/input/19_antarctic_and_subantarctic/antarctic_and_subantarctic_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,antarctic_and_subantarctic,Antarctic And Subantarctic,altimetry,antarctic_and_subantarctic_altimetry_Jakob_Gourmelen_Jakob_et_al,120,2010.6666666666667,2020.6666666666667,m,Jakob et al.,Altimetry
data/glambie/input/19_antarctic_and_subantarctic/antarctic_and_subantarctic_altimetry_Khan_Khan_et_al.csv,antarctic_and_subantarctic,Antarctic And Subantarctic,altimetry,antarctic_and_subantarctic_altimetry_Khan_Khan_et_al,3,2003.0833333333333,2023.3333333333333,m,Khan et al.,Altimetry
data/glambie/input/19_antarctic_and_subantarctic/antarctic_and_subantarctic_combined_DUS-combined_Dussaillant_et_al.csv,antarctic_and_subantarctic,Antarctic And Subantarctic,combined,antarctic_and_subantarctic_combined_DUS-combined_Dussaillant_et_al,25,1999.25,2024.25,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/19_antarctic_and_subantarctic/antarctic_and_subantarctic_combined_Huss_Huss_et_al.csv,antarctic_and_subantarctic,Antarctic And Subantarctic,combined,antarctic_and_subantarctic_combined_Huss_Huss_et_al,31,1990.25,2021.25,mwe,Huss et al.,Hybrid / combined
