temperature_K,D_s_experimental,D_s_bcs,D_s_nodal,D_s_power_n2,D_s_power_n2_5,D_s_power_n3,resistance_proxy_ohm,resonance_freq_proxy_GHz
2.545454549999999760e-01,8.956667679000000248e+01,9.353128830999999366e+01,7.454545455000000231e+01,9.353128830999999366e+01,9.248474238999999386e+01,8.988136341999999956e+01,2.232973324096018587e+03,6.151578735883578730e+00
2.666666670000000239e-01,8.923636571000000117e+01,9.290173192000000313e+01,7.333333333000000209e+01,9.290173192000000313e+01,9.175677652999999623e+01,8.894504806000000485e+01,2.241238741725086129e+03,6.140225119038795754e+00
2.787878790000000162e-01,8.885388942999999529e+01,9.224311919000000159e+01,7.212121211999999559e+01,9.224311919000000159e+01,9.099580108000000678e+01,8.797057526000000394e+01,2.250886272767631908e+03,6.127052169206248955e+00
2.909090910000000085e-01,8.848261691999999812e+01,9.155548081999999965e+01,7.090909091000000330e+01,9.155548081999999965e+01,9.020192332000000590e+01,8.695804237000000114e+01,2.260330977561688542e+03,6.114237945050879475e+00
3.030303030000000009e-01,8.806065508000000364e+01,9.083884885999999881e+01,6.969696969999999681e+01,9.083884885999999881e+01,8.937525462000000687e+01,8.590755079999999566e+01,2.271161846551187409e+03,6.099641528098188381e+00
3.151515149999999932e-01,8.772162269999999751e+01,9.009325669000000403e+01,6.848484847999999658e+01,9.009325669000000403e+01,8.851591046999999435e+01,8.481920601000000204e+01,2.279939584382540033e+03,6.087888434486131040e+00
3.272727269999999855e-01,8.732940266999999324e+01,8.931873903000000325e+01,6.727272727000000430e+01,8.931873903000000325e+01,8.762401047999999548e+01,8.369311754000000292e+01,2.290179411346247434e+03,6.074263134576489698e+00
3.393939389999999778e-01,8.696873582999999996e+01,8.851533193999999583e+01,6.606060605999999780e+01,8.851533193999999583e+01,8.669967837999999460e+01,8.252939897000000258e+01,2.299676982668175242e+03,6.061706928594865929e+00
3.515151519999999974e-01,8.656179563000000599e+01,8.768307280999999875e+01,6.484848485000000551e+01,8.768307280999999875e+01,8.574304204000000595e+01,8.132816896999999301e+01,2.310488114813151242e+03,6.047508466606309696e+00
3.636363639999999897e-01,8.623125512000000015e+01,8.682200038000000575e+01,6.363636363999999901e+01,8.682200038000000575e+01,8.475423345999999469e+01,8.008955029000000536e+01,2.319344647386595625e+03,6.035951067412658411e+00
3.757575759999999820e-01,8.584777126999999552e+01,8.593215469000000439e+01,6.242424241999999879e+01,8.593215469000000439e+01,8.373338877999999852e+01,7.881366979000000583e+01,2.329705210062817059e+03,6.022514704139376285e+00
3.878787879999999744e-01,8.549012215999999853e+01,8.501357713000000160e+01,6.121212120999999939e+01,8.501357713000000160e+01,8.268064830999999515e+01,7.750065843000000143e+01,2.339451564072955080e+03,6.009956456797336699e+00
4.000000000000000222e-01,8.509568149000000403e+01,8.406631038000000444e+01,6.000000000000000000e+01,8.406631038000000444e+01,8.159615653999999552e+01,7.615065131000000065e+01,2.350295532018307313e+03,5.996075835871741866e+00
4.121212120000000145e-01,8.476724140999999690e+01,8.309039842999999337e+01,5.878787879000000061e+01,8.309039842999999337e+01,8.048006211999999948e+01,7.476378766000000553e+01,2.359402012773368369e+03,5.984493253043652317e+00
4.242424240000000069e-01,8.439167636999999900e+01,8.208588656000000583e+01,5.757575758000000121e+01,8.208588656000000583e+01,7.933251789999999914e+01,7.334021083999999746e+01,2.369901969041784014e+03,5.971221254176151128e+00
4.363636359999999992e-01,8.403429162999999846e+01,8.105282135999999582e+01,5.636363636000000099e+01,8.105282135999999582e+01,7.815368089999999768e+01,7.188006839000000525e+01,2.379980792610151184e+03,5.958564274527463844e+00
4.484848479999999915e-01,8.364543727999999589e+01,7.999125073999999813e+01,5.515151515000000160e+01,7.999125073999999813e+01,7.694371237999999380e+01,7.038351199999999608e+01,2.391044945231231395e+03,5.944762169405938046e+00
4.606060610000000111e-01,8.331141587999999842e+01,7.890122388999999714e+01,5.393939394000000220e+01,7.890122388999999714e+01,7.570277776999999730e+01,6.885069753999999875e+01,2.400631388717193204e+03,5.932880683892100215e+00
4.727272730000000034e-01,8.294215814999999736e+01,7.778279132000000118e+01,5.272727273000000281e+01,7.778279132000000118e+01,7.443104673000000560e+01,6.728178506999999797e+01,2.411318977718208771e+03,5.919718052270310338e+00
4.848484849999999957e-01,8.258906768999999315e+01,7.663600481000000286e+01,5.151515152000000342e+01,7.663600481000000286e+01,7.312869310000000667e+01,6.567693884000000537e+01,2.421628014384478774e+03,5.907104290515362344e+00
4.969696969999999880e-01,8.221219578000000183e+01,7.546091744000000290e+01,5.030303030000000319e+01,7.546091744000000290e+01,7.179589495000000454e+01,6.403632733000000599e+01,2.432729087241513298e+03,5.893611177966358028e+00
5.090909089999999804e-01,8.188352057999999545e+01,7.425758358000000214e+01,4.909090908999999670e+01,7.425758358000000214e+01,7.043283456000000342e+01,6.236012320999999758e+01,2.442493905774367704e+03,5.881818379128175067e+00
5.212121210000000282e-01,8.152750109999999495e+01,7.302605886000000623e+01,4.787878787999999730e+01,7.302605886000000623e+01,6.903969840999999974e+01,6.064850341999999728e+01,2.453159943596014273e+03,5.869017738493385039e+00
5.333333329999999650e-01,8.118218312999999853e+01,7.176640020000000675e+01,4.666666666999999791e+01,7.176640020000000675e+01,6.761667722999999341e+01,5.890164912000000186e+01,2.463594748120196527e+03,5.856575140167246118e+00
5.454545450000000129e-01,8.081901917000000424e+01,7.047866578000000004e+01,4.545454544999999769e+01,7.047866578000000004e+01,6.616396598999999412e+01,5.711974577000000153e+01,2.474665023826964898e+03,5.843460926482268114e+00
5.575757580000000324e-01,8.050132829000000356e+01,6.916291506000000311e+01,4.424242423999999829e+01,6.916291506000000311e+01,6.468176391000000081e+01,5.530298307000000335e+01,2.484431055342527543e+03,5.831964609162593405e+00
5.696969699999999692e-01,8.015982058999999538e+01,6.781920877000000303e+01,4.303030302999999890e+01,6.781920877000000303e+01,6.317027448000000334e+01,5.345155505000000318e+01,2.495015564255768368e+03,5.819581101700962655e+00
5.818181820000000171e-01,7.982758348000000126e+01,6.644760891999999330e+01,4.181818181999999950e+01,6.644760891999999330e+01,6.162970545000000300e+01,5.156566004999999819e+01,2.505399653618576394e+03,5.807508417583223448e+00
5.939393939999999539e-01,7.948071873000000664e+01,6.504817877000000692e+01,4.060606061000000011e+01,6.504817877000000692e+01,6.006026888000000241e+01,4.964550071000000031e+01,2.516333561091842057e+03,5.794877363967679607e+00
6.060606060000000017e-01,7.918175019000000248e+01,6.362098284000000348e+01,3.939393938999999989e+01,6.362098284000000348e+01,5.846218113999999844e+01,4.769128400999999684e+01,2.525834545461440939e+03,5.783968313820105678e+00
6.181818180000000496e-01,7.886434509000000048e+01,6.216608686000000006e+01,3.818181818000000050e+01,6.216608686000000006e+01,5.683566294999999968e+01,4.570322127000000023e+01,2.536000264400344349e+03,5.772363969858882449e+00
6.303030299999999864e-01,7.854965966000000321e+01,6.068355782999999803e+01,3.696969697000000110e+01,6.068355782999999803e+01,5.518093932000000024e+01,4.368152820000000247e+01,2.546159981668849923e+03,5.760835981552504315e+00
6.424242420000000342e-01,7.822608918999999617e+01,5.917346394999999859e+01,3.575757576000000171e+01,5.917346394999999859e+01,5.349823966000000297e+01,4.162642490000000350e+01,2.556691790052658689e+03,5.748958399812526210e+00
6.545454550000000538e-01,7.793726146000000199e+01,5.763587468000000058e+01,3.454545455000000231e+01,5.763587468000000058e+01,5.178779772000000037e+01,3.953813588999999951e+01,2.566166635231937562e+03,5.738335382918116068e+00
6.666666669999999906e-01,7.763590578999999536e+01,5.607086069999999722e+01,3.333333333000000209e+01,5.607086069999999722e+01,5.004985167000000246e+01,3.741689013999999958e+01,2.576127604422968943e+03,5.727230586965657899e+00
6.787878790000000384e-01,7.733067875000000413e+01,5.447849393999999990e+01,3.212121212000000270e+01,5.447849393999999990e+01,4.828464406999999881e+01,3.526292109999999980e+01,2.586295675052509523e+03,5.715961141564470438e+00
6.909090909999999752e-01,7.703228570000000275e+01,5.285884756000000095e+01,3.090909090999999975e+01,5.285884756000000095e+01,4.649242189999999653e+01,3.307646672999999993e+01,2.596313976439621456e+03,5.704922498005560172e+00
7.030303030000000231e-01,7.675392831999999999e+01,5.121199596999999670e+01,2.969696970000000036e+01,5.121199596999999670e+01,4.467343658000000062e+01,3.085776951000000068e+01,2.605729822272633101e+03,5.694605755906198219e+00
7.151515149999999599e-01,7.646668538999999498e+01,4.953801480999999995e+01,2.848484848000000014e+01,4.953801480999999995e+01,4.282794401999999678e+01,2.860707647999999992e+01,2.615518104125318587e+03,5.683940057501926546e+00
7.272727270000000077e-01,7.617904317999999364e+01,4.783698096999999905e+01,2.727272727000000074e+01,4.783698096999999905e+01,4.095620461000000034e+01,2.632463927999999953e+01,2.625393962056324199e+03,5.673239439998103428e+00
7.393939389999999445e-01,7.588730533000000378e+01,4.610897259000000048e+01,2.606060606000000135e+01,4.610897259000000048e+01,3.905848326000000270e+01,2.401071414999999831e+01,2.635486912208692956e+03,5.662365804319339446e+00
7.515151519999999641e-01,7.562418816999999649e+01,4.435406904999999966e+01,2.484848484999999840e+01,4.435406904999999966e+01,3.713504941000000059e+01,2.166556196999999884e+01,2.644656489407971094e+03,5.652540977456510518e+00
7.636363640000000119e-01,7.535069755000000669e+01,4.257235096000000141e+01,2.363636363999999901e+01,4.257235096000000141e+01,3.518617703000000319e+01,1.928944830000000010e+01,2.654255454865393858e+03,5.642310671602105643e+00
7.757575759999999487e-01,7.507333259000000680e+01,4.076390015999999861e+01,2.242424241999999879e+01,4.076390015999999861e+01,3.321214469000000236e+01,1.688264339999999919e+01,2.664061832611925183e+03,5.631916460608680453e+00
7.878787879999999966e-01,7.479580642999999895e+01,3.892879972000000066e+01,2.121212120999999939e+01,3.892879972000000066e+01,3.121323551000000052e+01,1.444542226999999990e+01,2.673946702976941197e+03,5.621496972931232072e+00
8.000000000000000444e-01,7.454479453999999805e+01,3.706713394999999878e+01,2.000000000000000000e+01,3.706713394999999878e+01,2.918973722000000137e+01,1.197806469000000007e+01,2.682950583392942008e+03,5.612056280290674160e+00
8.121212119999999812e-01,7.428478615000000218e+01,3.517898836999999901e+01,1.878787879000000061e+01,3.517898836999999901e+01,2.714194219000000174e+01,9.480855280000000107e+00,2.692341330782709520e+03,5.602260449887617177e+00
8.242424240000000291e-01,7.402287044999999921e+01,3.326444974000000343e+01,1.757575758000000121e+01,3.326444974000000343e+01,2.507014741000000058e+01,6.954083520000000185e+00,2.701867663117622214e+03,5.592375413464746536e+00
8.363636359999999659e-01,7.376007137999999941e+01,3.132360604000000137e+01,1.636363636000000099e+01,3.132360604000000137e+01,2.297465456000000117e+01,4.398043770000000130e+00,2.711494122201051596e+03,5.582439445085812579e+00
8.484848480000000137e-01,7.352262865999999519e+01,2.935654647000000139e+01,1.515151514999999982e+01,2.935654647000000139e+01,2.085576998000000160e+01,1.813035310000000067e+00,2.720250943758897847e+03,5.573446923480118720e+00
8.606060610000000333e-01,7.327620926999999540e+01,2.736336144999999931e+01,1.393939394000000043e+01,2.736336144999999931e+01,1.871380478000000025e+01,0.000000000000000000e+00,2.729398832069251057e+03,5.564099066028120433e+00
8.727272729999999701e-01,7.302871197000000336e+01,2.534414259000000058e+01,1.272727272999999926e+01,2.534414259000000058e+01,1.654907481000000047e+01,0.000000000000000000e+00,2.738648876652232957e+03,5.554694483707002917e+00
8.848484850000000179e-01,7.278096725000000333e+01,2.329898276000000124e+01,1.151515151999999986e+01,2.329898276000000124e+01,1.436190073000000034e+01,0.000000000000000000e+00,2.747971173741167604e+03,5.545264525982958048e+00
8.969696969999999547e-01,7.255754129999999691e+01,2.122797601999999983e+01,1.030303029999999964e+01,2.122797601999999983e+01,1.215260806000000038e+01,0.000000000000000000e+00,2.756432982935159089e+03,5.536746445273613482e+00
9.090909090000000026e-01,7.232571419999999307e+01,1.913121766000000079e+01,9.090909090000000248e+00,1.913121766000000079e+01,9.921527199999999880e+00,0.000000000000000000e+00,2.765268234295569982e+03,5.527894196662956894e+00
9.212121210000000504e-01,7.209356017000000350e+01,1.700880418999999932e+01,7.878787879999999966e+00,1.700880418999999932e+01,7.668993470000000201e+00,0.000000000000000000e+00,2.774172887680821987e+03,5.519015235694226362e+00
9.333333329999999872e-01,7.186187116000000685e+01,1.486083331000000030e+01,6.666666669999999684e+00,1.486083331000000030e+01,5.395347150000000092e+00,0.000000000000000000e+00,2.783117065720446590e+03,5.510139795422617226e+00
9.454545450000000351e-01,7.165269922999999608e+01,1.268740393999999938e+01,5.454545450000000351e+00,1.268740393999999938e+01,3.100933540000000210e+00,0.000000000000000000e+00,2.791241671971274172e+03,5.502114632091465118e+00
9.575757580000000546e-01,7.143582852000000116e+01,1.048861619000000012e+01,4.242424240000000069e+00,1.048861619000000012e+01,7.861029600000000173e-01,0.000000000000000000e+00,2.799715550915821950e+03,5.493781716604692278e+00
9.696969699999999914e-01,7.121933266000000629e+01,8.264571339999999822e+00,3.030303029999999787e+00,8.264571339999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.808226257255132168e+03,5.485450578471198213e+00
9.818181820000000393e-01,7.100399611999999649e+01,6.015371860000000126e+00,1.818181819999999949e+00,6.015371860000000126e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.816742872640447786e+03,5.477151482358325829e+00
9.939393939999999761e-01,7.081078261999999768e+01,3.741121389999999991e+00,6.060606099999999996e-01,3.741121389999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.824428605362023063e+03,5.469694292823868764e+00
1.006060610000000022e+00,7.061042098000000067e+01,1.441924720000000049e+00,0.000000000000000000e+00,1.441924720000000049e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.832443104349269561e+03,5.461950463346403772e+00
1.018181819999999904e+00,7.041096666999999343e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.840466612784255631e+03,5.454230781519516569e+00
1.030303030000000009e+00,7.021224949999999865e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.848505800971381632e+03,5.446528749006104952e+00
1.042424239999999891e+00,7.003518253999999388e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.855707556495218796e+03,5.439656664087356930e+00
1.054545449999999995e+00,6.985142910999999799e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.863219873211839513e+03,5.432515881152580661e+00
1.066666670000000039e+00,6.966832565999999360e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.870745035212319181e+03,5.425391008153236605e+00
1.078787879999999921e+00,6.948576597999999649e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.878287332366254304e+03,5.418277966895939990e+00
