n_eff_m^-2,D_s_conv,D_s_geom,D_s_exp_hole,D_s_exp_electron,D_s_exp_avg,ratio_exp_to_conv,ratio_exp_to_geom,hole_electron_asymmetry,resistance_proxy_ohm,resonance_freq_proxy_GHz
1.418367350000000000e+15,1.919504260000000000e+09,8.248661410000000000e+09,7.389612110000000000e+10,7.020131500000000000e+10,7.204871805000000000e+10,3.753506546007874078e+01,8.734595162634999355e+00,5.128205192264347068e-02,3.165411303248024979e+03,3.372377444684491632e+00
1.510204080000000000e+15,1.976439910000000000e+09,8.506185460000000000e+09,7.861836630000000000e+10,7.468744800000000000e+10,7.665290715000000000e+10,3.878332286358253356e+01,9.011431447204772738e+00,5.128205108134636231e-02,2.975279542284130912e+03,3.478462792974619688e+00
1.602040820000000000e+15,2.030624130000000000e+09,8.755031980000000000e+09,8.147318000000000000e+10,7.739952100000000000e+10,7.943635050000000000e+10,3.911917982576125752e+01,9.073222197413377543e+00,5.128205128205128027e-02,2.871025985767058046e+03,3.541055133760396600e+00
1.693877550000000000e+15,2.082171480000000000e+09,8.995692580000000000e+09,8.597091970000000000e+10,8.167237370000000000e+10,8.382164670000000000e+10,4.025684123768711231e+01,9.317975903974256013e+00,5.128205146559116495e-02,2.720822549767445707e+03,3.637484414921522635e+00
1.785714290000000000e+15,2.131177270000000000e+09,9.228547930000000000e+09,8.941665520000000000e+10,8.494582240000000000e+10,8.718123880000000000e+10,4.090754909374572890e+01,9.446907515817605017e+00,5.128205175263006455e-02,2.615973684696024520e+03,3.709663909703446727e+00
1.877551020000000000e+15,2.177720570000000000e+09,9.453887900000000000e+09,9.424929500000000000e+10,8.953682030000000000e+10,9.189305765000000000e+10,4.219690024326674660e+01,9.720134046649738124e+00,5.128216233644936062e-02,2.481839567997006270e+03,3.808591538964336110e+00
1.969387760000000000e+15,2.221866330000000000e+09,9.671926980000000000e+09,9.769043860000000000e+10,9.280591670000000000e+10,9.524817765000000000e+10,4.286854540434932659e+01,9.847900821310791031e+00,5.128205095900855576e-02,2.394416692548657920e+03,3.877496233575753237e+00
2.061224490000000000e+15,2.263667300000000000e+09,9.882814860000000000e+09,1.020497820000000000e+11,9.694729430000000000e+10,9.949853815000000000e+10,4.395457678343456109e+01,1.006783386712153749e+01,5.128203685070924917e-02,2.292132434711554652e+03,3.963066839666695262e+00
2.153061220000000000e+15,2.303165900000000000e+09,1.008664820000000000e+10,1.061070940000000000e+11,1.008017390000000000e+11,1.034544165000000000e+11,4.491835195198053299e+01,1.025657031440830913e+01,5.128205425623370839e-02,2.204486132305429692e+03,4.041081085696417219e+00
2.244897960000000000e+15,2.340395890000000000e+09,1.028311220000000000e+10,1.100864500000000000e+11,1.045821270000000000e+11,1.073342885000000000e+11,4.586159502271215871e+01,1.043791863906726647e+01,5.128205605983962578e-02,2.124799350582176430e+03,4.116160378639206918e+00
2.336734690000000000e+15,2.375383760000000000e+09,1.047236460000000000e+10,1.143877280000000000e+11,1.086683420000000000e+11,1.115280350000000000e+11,4.695158604603746255e+01,1.064974714497621733e+01,5.128204760354650171e-02,2.044901324586235205e+03,4.195802836886453058e+00
2.428571430000000000e+15,2.408150000000000000e+09,1.065464350000000000e+10,1.181918200000000000e+11,1.122822290000000000e+11,1.152370245000000000e+11,4.785292631272968578e+01,1.081566215706794942e+01,5.128205128205128027e-02,1.979084651738816547e+03,4.265000289713440473e+00
2.520408160000000000e+15,2.438710160000000000e+09,1.083018500000000000e+10,1.223513510000000000e+11,1.162337840000000000e+11,1.192925675000000000e+11,4.891625477133371191e+01,1.101482269231781430e+01,5.128204655331942280e-02,1.911802480904772210e+03,4.339400552655344967e+00
2.612244900000000000e+15,2.467075820000000000e+09,1.099922250000000000e+10,1.265257990000000000e+11,1.201995090000000000e+11,1.233626540000000000e+11,5.000359251220742607e+01,1.121557946482126411e+01,5.128205169775287148e-02,1.848726653530005933e+03,4.412806651209709941e+00
2.704081630000000000e+15,2.493255360000000000e+09,1.116198570000000000e+10,1.301673480000000000e+11,1.236589810000000000e+11,1.269131645000000000e+11,5.090259366774208161e+01,1.137012426919701191e+01,5.128204804947559398e-02,1.797006854241665224e+03,4.475858863859530246e+00
2.795918370000000000e+15,2.517254660000000000e+09,1.131870040000000000e+10,1.343559410000000000e+11,1.276381440000000000e+11,1.309970425000000000e+11,5.203964643767905329e+01,1.157350560316977806e+01,5.128205089057640692e-02,1.740984545509872760e+03,4.547301941767040390e+00
2.887755100000000000e+15,2.539077650000000000e+09,1.146958750000000000e+10,1.378525510000000000e+11,1.309599230000000000e+11,1.344062370000000000e+11,5.293506364407563325e+01,1.171848917844691407e+01,5.128205471595786297e-02,1.696824727709622493e+03,4.606093591079259753e+00
2.979591840000000000e+15,2.558726780000000000e+09,1.161486300000000000e+10,1.424651330000000000e+11,1.353418760000000000e+11,1.389035045000000000e+11,5.428618076213670918e+01,1.195911690908450709e+01,5.128205386639470703e-02,1.641886771114547173e+03,4.682520081037212734e+00
3.071428570000000000e+15,2.576203480000000000e+09,1.175473750000000000e+10,1.458819410000000000e+11,1.385878440000000000e+11,1.422348925000000000e+11,5.521104742083494443e+01,1.210021852891227923e+01,5.128205092150647793e-02,1.603430933798470051e+03,4.738338921060226028e+00
3.163265310000000000e+15,2.592508470000000000e+09,1.188941590000000000e+10,1.504375890000000000e+11,1.429157090000000000e+11,1.466766490000000000e+11,5.657711467380470793e+01,1.233674137011221816e+01,5.128205512794337118e-02,1.554874808327534083e+03,4.811755337566273383e+00
3.255102040000000000e+15,2.607642110000000000e+09,1.201909750000000000e+10,1.544954870000000000e+11,1.467507130000000000e+11,1.506231000000000000e+11,5.776218270995784820e+01,1.253198087460393673e+01,5.141823531715918744e-02,1.514135789928636541e+03,4.876057719279076608e+00
3.346938780000000000e+15,2.621604640000000000e+09,1.214397630000000000e+10,1.588212460000000000e+11,1.508801840000000000e+11,1.548507150000000000e+11,5.906715018630726632e+01,1.275123659455758407e+01,5.128204929502586107e-02,1.472798020338491824e+03,4.944013574654944065e+00
3.438775510000000000e+15,2.634396400000000000e+09,1.226424060000000000e+10,1.630234540000000000e+11,1.548722820000000000e+11,1.589478680000000000e+11,6.033559262379800003e+01,1.296026987598400559e+01,5.128204676516957133e-02,1.434834133792848434e+03,5.008992720378607544e+00
3.530612240000000000e+15,2.646018000000000000e+09,1.238007350000000000e+10,1.674713640000000000e+11,1.590977960000000000e+11,1.632845800000000000e+11,6.170954997282709087e+01,1.318930618626779605e+01,5.128205002578933164e-02,1.396726050310445771e+03,5.076865217698431465e+00
3.622448980000000000e+15,2.656470440000000000e+09,1.249165250000000000e+10,1.717555240000000000e+11,1.631677480000000000e+11,1.674616360000000000e+11,6.303914904470008196e+01,1.340588332888703071e+01,5.128205005712472425e-02,1.361887008556395585e+03,5.141391933849170925e+00
3.714285710000000000e+15,2.665755220000000000e+09,1.259915040000000000e+10,1.759018450000000000e+11,1.671067530000000000e+11,1.715042990000000000e+11,6.433610172204782884e+01,1.361237016426123425e+01,5.128204978698522321e-02,1.329784896529036814e+03,5.203080586298892030e+00
3.806122450000000000e+15,2.673874350000000000e+09,1.270273460000000000e+10,1.802393520000000000e+11,1.712473840000000000e+11,1.757433680000000000e+11,6.572611312120930904e+01,1.383508146348267331e+01,5.116533330577800048e-02,1.297709433336909797e+03,5.266990312534179708e+00
3.897959180000000000e+15,2.680830380000000000e+09,1.280256790000000000e+10,1.846041180000000000e+11,1.753739120000000000e+11,1.799890150000000000e+11,6.713927756966108973e+01,1.405882135567505919e+01,5.128205185188662585e-02,1.267098586544295358e+03,5.330231201180896328e+00
3.989795920000000000e+15,2.686626400000000000e+09,1.289880800000000000e+10,1.886139970000000000e+11,1.791832980000000000e+11,1.838986475000000000e+11,6.844965399729564126e+01,1.425702650198374855e+01,5.128204654142440311e-02,1.240160434023855487e+03,5.387810528478434335e+00
4.081632650000000000e+15,2.691266010000000000e+09,1.299160790000000000e+10,1.928789370000000000e+11,1.832349910000000000e+11,1.880569640000000000e+11,6.987676554500087889e+01,1.447526475918350286e+01,5.128204664624916309e-02,1.212738000492233823e+03,5.448384607313559336e+00
4.173469390000000000e+15,2.694753310000000000e+09,1.308111600000000000e+10,1.969966210000000000e+11,1.871467900000000000e+11,1.920717055000000000e+11,7.127617388472565096e+01,1.468312837375649060e+01,5.128205101505697860e-02,1.187388980101496600e+03,5.506235009078841003e+00
4.265306120000000000e+15,2.697092890000000000e+09,1.316747610000000000e+10,2.011885740000000000e+11,1.911291460000000000e+11,1.961588600000000000e+11,7.272973827757189724e+01,1.489722544474563293e+01,5.128204762201411804e-02,1.162648612966042037e+03,5.564511079415195738e+00
4.357142860000000000e+15,2.698289810000000000e+09,1.325082760000000000e+10,2.052857320000000000e+11,1.950214450000000000e+11,2.001535885000000000e+11,7.417794328771526580e+01,1.510498774431266433e+01,5.128205333175927388e-02,1.139444104945437857e+03,5.620885485037991458e+00
4.448979590000000000e+15,2.698349570000000000e+09,1.333130540000000000e+10,2.093746360000000000e+11,1.989059040000000000e+11,2.041402700000000000e+11,7.565375230459854095e+01,1.531284925780786565e+01,5.128205228689077660e-02,1.117191754963388576e+03,5.676588191469154943e+00
4.540816330000000000e+15,2.697278100000000000e+09,1.340904040000000000e+10,2.136329890000000000e+11,2.029513400000000000e+11,2.082921645000000000e+11,7.722309557179143269e+01,1.553371145783109064e+01,5.128204906622879644e-02,1.094922735319695676e+03,5.734024094624633250e+00
4.632653060000000000e+15,2.695081740000000000e+09,1.348415930000000000e+10,2.176962290000000000e+11,2.068114170000000000e+11,2.122538230000000000e+11,7.875598719317507346e+01,1.574097563501789843e+01,5.128205393973045423e-02,1.074486307367947802e+03,5.788297010614488869e+00
4.724489800000000000e+15,2.691767220000000000e+09,1.355678470000000000e+10,2.217677370000000000e+11,2.106793500000000000e+11,2.162235435000000000e+11,8.032772741024760421e+01,1.594947093170255847e+01,5.128205199356563465e-02,1.054759453149004685e+03,5.842174666984861986e+00
4.816326530000000000e+15,2.687341650000000000e+09,1.362703560000000000e+10,2.258768750000000000e+11,2.145830310000000000e+11,2.202299530000000000e+11,8.195085764402155348e+01,1.616125175456355478e+01,5.128205244633549098e-02,1.035571335294250275e+03,5.896051117043304757e+00
4.908163270000000000e+15,2.681812480000000000e+09,1.369502680000000000e+10,2.298884520000000000e+11,2.183940300000000000e+11,2.241412410000000000e+11,8.357826756030310378e+01,1.636661572652052143e+01,5.128204853652969936e-02,1.017500507637503461e+03,5.948177681366838776e+00
5.000000000000000000e+15,2.675187470000000000e+09,1.376086970000000000e+10,2.339116170000000000e+11,2.222160360000000000e+11,2.280638265000000000e+11,8.525153061516095931e+01,1.657335847748053226e+01,5.128205195662627336e-02,1.000000000000000000e+03,6.000000000000000000e+00
