repetition,cell_ids,unique_presented_mutations,n_unique_mutations,n_presentations,selected_mutation_hits,covered_ge_1,covered_ge_2,covered_ge_3,cell_p_response,num_presented_peptides
0,95,"['mut12', 'mut15', 'mut33']",3,32,3,True,True,True,0.974807130083192,19
0,96,"['mut12', 'mut15', 'mut20', 'mut26']",4,34,4,True,True,True,0.9782333516247572,21
0,97,"['mut15', 'mut20']",2,22,2,True,True,False,0.919004513514669,13
0,98,"['mut12', 'mut15', 'mut19', 'mut28', 'mut33']",5,20,5,True,True,True,0.8828725056998217,17
0,99,"['mut11', 'mut12', 'mut19', 'mut26', 'mut28', 'mut33']",6,31,6,True,True,True,0.970240923284648,19
1,0,"['mut12', 'mut20', 'mut28', 'mut39']",4,33,4,True,True,True,0.9611529960353076,24
1,1,"['mut12', 'mut19', 'mut28']",3,25,3,True,True,True,0.926285199984765,14
1,2,"['mut12', 'mut19', 'mut33']",3,22,3,True,True,True,0.9488987668816736,11
1,3,"['mut15', 'mut19', 'mut20', 'mut33', 'mut39']",5,36,5,True,True,True,0.9744217241432924,24
1,4,"['mut11', 'mut15', 'mut19', 'mut26', 'mut28']",5,36,5,True,True,True,0.9836917341127144,14
1,5,"['mut15', 'mut19', 'mut39']",3,26,3,True,True,True,0.941465862364652,12
1,6,"['mut11', 'mut15', 'mut19', 'mut28']",4,28,4,True,True,True,0.9361662611867532,21
1,7,"['mut11', 'mut12', 'mut15', 'mut44']",4,23,4,True,True,True,0.9049866952824064,15
1,8,"['mut12', 'mut19', 'mut20', 'mut28', 'mut33', 'mut39']",6,31,6,True,True,True,0.9648914461980856,20
1,9,"['mut12', 'mut15', 'mut28']",3,29,3,True,True,True,0.9436929189146086,19
1,10,"['mut15', 'mut19', 'mut20', 'mut28']",4,30,4,True,True,True,0.9531885985066508,20
1,11,"['mut11', 'mut12', 'mut15', 'mut19', 'mut33']",5,18,5,True,True,True,0.8237229764155991,16
1,12,"['mut15', 'mut19', 'mut28']",3,42,3,True,True,True,0.9880351230822702,23
1,13,"['mut19', 'mut20', 'mut28', 'mut33']",4,30,4,True,True,True,0.951730658421507,21
1,14,"['mut15', 'mut19', 'mut33']",3,31,3,True,True,True,0.9515562904374936,25
1,15,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33']",5,29,5,True,True,True,0.9435812791863458,22
1,16,"['mut15', 'mut19', 'mut28', 'mut33']",4,24,4,True,True,True,0.909137181348411,17
1,17,"['mut15', 'mut26']",2,28,2,True,True,False,0.947023638947257,13
1,18,"['mut15', 'mut19', 'mut28', 'mut33', 'mut39']",5,27,5,True,True,True,0.9328690129935612,18
1,19,"['mut15', 'mut20', 'mut26', 'mut28', 'mut33']",5,36,5,True,True,True,0.9746775119100852,23
1,20,"['mut12', 'mut26', 'mut28', 'mut39']",4,24,4,True,True,True,0.9294891789319574,16
1,21,"['mut11', 'mut12', 'mut15', 'mut28']",4,22,4,True,True,True,0.9020683106553476,16
1,22,"['mut12', 'mut19', 'mut28']",3,28,3,True,True,True,0.9548393586560848,14
1,23,"['mut12', 'mut28', 'mut44']",3,26,3,True,True,True,0.9999999765375406,14
1,24,"['mut20', 'mut28', 'mut33']",3,29,3,True,True,True,0.946600338982029,19
1,25,"['mut12', 'mut15', 'mut20', 'mut28']",4,34,4,True,True,True,0.965814642749899,23
1,26,"['mut15', 'mut19', 'mut33']",3,35,3,True,True,True,0.9776114014362736,16
1,27,"['mut19', 'mut20', 'mut28', 'mut39']",4,21,4,True,True,True,0.8790616645659101,14
1,29,['mut33'],1,20,1,True,False,False,0.8887015933210841,9
1,30,"['mut11', 'mut12', 'mut20', 'mut28', 'mut33', 'mut44']",6,29,6,True,True,True,0.9421068008586156,23
1,31,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33']",5,38,5,True,True,True,0.981885861784822,22
1,32,"['mut11', 'mut12', 'mut20', 'mut28', 'mut33']",5,28,5,True,True,True,0.9414857497424552,20
1,33,"['mut12', 'mut28']",2,20,2,True,True,False,0.8735373710923637,12
1,34,"['mut11', 'mut12', 'mut15', 'mut19', 'mut20', 'mut28']",6,33,6,True,True,True,0.9719796987607484,21
1,35,"['mut19', 'mut20', 'mut28', 'mut33', 'mut39']",5,31,5,True,True,True,0.9595457014949068,20
1,36,"['mut15', 'mut19', 'mut28', 'mut33']",4,32,4,True,True,True,0.9714460164528332,18
1,37,"['mut12', 'mut15', 'mut19', 'mut28', 'mut39']",5,30,5,True,True,True,0.9489330075450604,21
1,38,"['mut12', 'mut15', 'mut19', 'mut28', 'mut39']",5,22,5,True,True,True,0.8896897713208649,15
1,39,"['mut19', 'mut20', 'mut28', 'mut33']",4,31,4,True,True,True,0.9567462735181304,19
1,40,"['mut11', 'mut12', 'mut15', 'mut19', 'mut28']",5,34,5,True,True,True,0.9677206152409052,21
1,41,"['mut15', 'mut20', 'mut28', 'mut8']",4,31,3,True,True,True,0.9488117337182912,21
1,42,"['mut11', 'mut12', 'mut15', 'mut19', 'mut28', 'mut33']",6,37,6,True,True,True,0.9760702487968128,23
1,43,"['mut12', 'mut20', 'mut28', 'mut33']",4,23,4,True,True,True,0.8961567807236757,17
1,44,"['mut15', 'mut33', 'mut39']",3,35,3,True,True,True,0.9735597665269534,22
1,45,"['mut15', 'mut19', 'mut26', 'mut28', 'mut39']",5,30,5,True,True,True,0.95194030449643,19
1,46,"['mut19', 'mut20', 'mut28']",3,36,3,True,True,True,0.9812754363131082,20
1,47,"['mut12', 'mut15', 'mut19', 'mut33']",4,25,4,True,True,True,0.9187715398381692,16
1,48,"['mut12', 'mut15', 'mut19', 'mut28']",4,36,4,True,True,True,0.9783731343801104,19
1,49,"['mut28', 'mut33', 'mut39']",3,26,3,True,True,True,0.9396740875292384,15
1,50,"['mut15', 'mut19', 'mut26', 'mut28', 'mut33', 'mut39']",6,35,6,True,True,True,0.9718639024662026,23
1,51,"['mut11', 'mut15', 'mut20', 'mut28', 'mut33']",5,28,5,True,True,True,0.9348701519609816,23
1,52,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33']",5,37,5,True,True,True,0.976979551447602,24
1,53,"['mut11', 'mut12', 'mut26', 'mut33']",4,29,4,True,True,True,0.9496517574375436,18
1,54,"['mut15', 'mut19', 'mut26', 'mut39', 'mut8']",5,25,4,True,True,True,0.9084009698215156,16
1,55,"['mut12', 'mut19']",2,26,2,True,True,False,0.9499208005940626,11
1,56,"['mut15', 'mut19', 'mut20', 'mut28', 'mut39']",5,37,5,True,True,True,0.979108950691601,22
1,57,"['mut12', 'mut15', 'mut19', 'mut26', 'mut28', 'mut33']",6,19,6,True,True,True,0.8483234715893684,14
1,58,"['mut11', 'mut15', 'mut19', 'mut28', 'mut33', 'mut39']",6,26,6,True,True,True,0.9244776407715698,18
1,59,"['mut11', 'mut15', 'mut28', 'mut33']",4,25,4,True,True,True,0.9301943028683112,15
1,60,"['mut15', 'mut19', 'mut20', 'mut33']",4,28,4,True,True,True,0.9391744497368524,19
1,61,"['mut15', 'mut19', 'mut20', 'mut33']",4,34,4,True,True,True,0.9677206152409052,21
1,62,"['mut12', 'mut15', 'mut26', 'mut33']",4,25,4,True,True,True,0.9214765746915786,17
1,63,"['mut11', 'mut12', 'mut15', 'mut19', 'mut28', 'mut33']",6,28,6,True,True,True,0.9368046110735306,20
1,64,"['mut11', 'mut20', 'mut26', 'mut28', 'mut33', 'mut39', 'mut44']",7,37,7,True,True,True,0.9819817305841588,19
1,65,"['mut19', 'mut28', 'mut33']",3,37,3,True,True,True,0.9873080489113716,16
1,66,"['mut11', 'mut33']",2,28,2,True,True,False,0.9424293263221672,16
1,67,"['mut12', 'mut15', 'mut19', 'mut28']",4,35,4,True,True,True,0.982595665173206,18
1,68,"['mut11', 'mut12', 'mut15', 'mut19']",4,30,4,True,True,True,0.95133955845132,19
1,69,"['mut19', 'mut26', 'mut28']",3,29,3,True,True,True,0.9702683692134104,12
1,70,"['mut11', 'mut19', 'mut28']",3,29,3,True,True,True,0.9474347084559832,19
1,71,"['mut11', 'mut19', 'mut28', 'mut39']",4,26,4,True,True,True,0.9395308256313474,14
1,72,"['mut15', 'mut28', 'mut33']",3,38,3,True,True,True,0.9780259311650964,25
1,73,"['mut12', 'mut15', 'mut19', 'mut28']",4,23,4,True,True,True,0.9049866952824064,15
1,74,"['mut19', 'mut26', 'mut28', 'mut33']",4,23,4,True,True,True,0.8984644275899393,16
1,75,"['mut19', 'mut33']",2,25,2,True,True,False,0.9255405913188024,15
1,76,"['mut11', 'mut15', 'mut19', 'mut20', 'mut28', 'mut33']",6,32,6,True,True,True,0.9559602547857398,26
1,77,"['mut15', 'mut28']",2,25,2,True,True,False,0.9195838403443184,15
1,78,"['mut12', 'mut28', 'mut33']",3,25,3,True,True,True,0.9365402602631429,16
1,79,"['mut12', 'mut15', 'mut19', 'mut20', 'mut28', 'mut39']",6,30,6,True,True,True,0.949443687468526,20
1,80,"['mut11', 'mut15', 'mut19', 'mut28']",4,37,4,True,True,True,0.9766020256018784,22
1,81,"['mut11', 'mut19', 'mut28', 'mut33', 'mut44']",5,19,5,True,True,True,0.8464275154534846,14
1,82,"['mut11', 'mut15', 'mut19', 'mut20', 'mut28']",5,21,5,True,True,True,0.8701959794742047,17
1,83,"['mut11', 'mut12', 'mut19', 'mut20', 'mut33']",5,32,5,True,True,True,0.9655218967053104,21
1,84,"['mut15', 'mut19', 'mut28', 'mut33']",4,34,4,True,True,True,0.9710383929290534,21
1,85,"['mut15', 'mut20', 'mut26', 'mut28', 'mut33']",5,28,5,True,True,True,0.9382089650817632,19
1,86,"['mut15', 'mut20', 'mut28']",3,34,3,True,True,True,0.969241793186014,19
1,87,"['mut11', 'mut19', 'mut20', 'mut28']",4,23,4,True,True,True,0.9029270164781824,14
1,88,"['mut12', 'mut15', 'mut28']",3,40,3,True,True,True,0.9876967152443642,19
1,89,"['mut19', 'mut20', 'mut26', 'mut28']",4,29,4,True,True,True,0.9593857643346289,16
1,90,"['mut12', 'mut19', 'mut20', 'mut26', 'mut33']",5,28,5,True,True,True,0.9428920407580096,18
1,91,"['mut11', 'mut15', 'mut19', 'mut20', 'mut28', 'mut39']",6,31,6,True,True,True,0.9624533608227712,19
1,92,"['mut15', 'mut19', 'mut20', 'mut28']",4,23,4,True,True,True,0.9026964876841088,13
1,93,['mut28'],1,26,1,True,False,False,0.9496346439213124,10
1,94,"['mut11', 'mut12', 'mut15', 'mut19', 'mut28', 'mut33']",6,36,6,True,True,True,0.973778270801516,24
1,95,"['mut11', 'mut15', 'mut19', 'mut20', 'mut39']",5,32,5,True,True,True,0.9655394301762548,17
1,96,"['mut11', 'mut12', 'mut26', 'mut28', 'mut33']",5,29,5,True,True,True,0.9496256595424004,16
1,97,"['mut19', 'mut28', 'mut33']",3,14,3,True,True,True,0.7444939468310185,11
1,98,"['mut11', 'mut15', 'mut19', 'mut28', 'mut33']",5,29,5,True,True,True,0.9461676708504746,17
1,99,"['mut11', 'mut12', 'mut15', 'mut19', 'mut26', 'mut28', 'mut33']",7,24,7,True,True,True,0.9046434695855922,19
2,0,"['mut11', 'mut12', 'mut26', 'mut33']",4,35,4,True,True,True,0.9499273886251156,20
2,1,"['mut11', 'mut19', 'mut33']",3,32,3,True,True,True,0.944040301002697,14
2,2,"['mut11', 'mut15', 'mut19', 'mut20', 'mut26', 'mut39']",6,28,6,True,True,True,0.9028894889398488,20
2,3,"['mut15', 'mut19', 'mut26', 'mut28', 'mut33']",5,41,5,True,True,True,0.9687908273338004,23
2,4,"['mut11', 'mut15', 'mut19', 'mut28', 'mut33']",5,25,5,True,True,True,0.8703470080731617,19
2,5,"['mut33', 'mut44']",2,28,2,True,True,False,0.9180106435730306,11
2,6,"['mut11', 'mut19', 'mut20']",3,30,3,True,True,True,0.9249941309500658,19
2,7,"['mut19', 'mut26', 'mut33']",3,27,3,True,True,True,0.8997635752194014,13
2,8,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33']",5,20,5,True,True,True,0.8103092682662669,15
2,9,"['mut12', 'mut19', 'mut20', 'mut28', 'mut39']",5,29,5,True,True,True,0.9151161616804592,17
2,10,"['mut11', 'mut12', 'mut15', 'mut33']",4,32,4,True,True,True,0.9306487329478615,19
2,11,"['mut11', 'mut19', 'mut28', 'mut39']",4,30,4,True,True,True,0.9266435945461629,17
2,12,"['mut12', 'mut15', 'mut19', 'mut20', 'mut26', 'mut28']",6,26,6,True,True,True,0.884276666463323,19
2,13,"['mut11', 'mut15', 'mut19', 'mut28', 'mut39']",5,24,5,True,True,True,0.8597292960904017,19
2,14,"['mut12', 'mut15', 'mut19', 'mut20', 'mut33']",5,29,5,True,True,True,0.9096125056682464,21
2,15,"['mut11', 'mut15', 'mut28']",3,28,3,True,True,True,0.905684625451732,17
2,16,"['mut12', 'mut19']",2,28,2,True,True,False,0.9325384541489022,13
2,17,"['mut11', 'mut15', 'mut19', 'mut28', 'mut44']",5,22,5,True,True,True,0.8367373338152759,17
2,18,"['mut15', 'mut33', 'mut39', 'mut44']",4,38,4,True,True,True,0.9561911424391404,28
2,19,"['mut12', 'mut15', 'mut19', 'mut33']",4,24,4,True,True,True,0.8660656774343718,15
2,20,"['mut12', 'mut15', 'mut19', 'mut20', 'mut28', 'mut33']",6,34,6,True,True,True,0.9399249494395367,26
2,21,['mut15'],1,21,1,True,False,False,0.8331672116169433,10
2,22,"['mut19', 'mut26', 'mut28', 'mut33']",4,28,4,True,True,True,0.9108291169845056,16
2,23,"['mut20', 'mut33', 'mut39']",3,35,3,True,True,True,0.9476924188617244,21
2,24,"['mut19', 'mut20', 'mut33', 'mut39', 'mut44']",5,25,5,True,True,True,0.8773900412875449,16
2,25,"['mut11', 'mut19', 'mut28', 'mut33']",4,25,4,True,True,True,0.8765326044824516,17
2,26,"['mut19', 'mut20']",2,31,2,True,True,False,0.9331218353233348,16
2,27,"['mut12', 'mut26', 'mut28', 'mut33']",4,22,4,True,True,True,0.8378711345105742,16
2,28,"['mut11', 'mut12', 'mut20', 'mut28', 'mut33']",5,32,5,True,True,True,0.9473984772962056,19
2,29,"['mut11', 'mut19', 'mut28', 'mut33']",4,27,4,True,True,True,0.9019120298421774,16
2,30,"['mut19', 'mut20', 'mut28']",3,35,3,True,True,True,0.949421604804666,20
2,31,"['mut11', 'mut15', 'mut19', 'mut20', 'mut28', 'mut39', 'mut8']",7,24,6,True,True,True,0.8457022275229609,20
2,32,"['mut20', 'mut28', 'mut33', 'mut39']",4,29,4,True,True,True,0.9187436587909774,18
2,33,['mut19'],1,20,1,True,False,False,0.8661650766486317,7
2,34,"['mut11', 'mut19', 'mut26', 'mut28', 'mut33']",5,29,5,True,True,True,0.9148541916489216,16
2,35,"['mut12', 'mut19', 'mut20']",3,41,3,True,True,True,0.9719210291655695,23
2,36,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33']",5,28,5,True,True,True,0.9047319451509384,17
2,37,"['mut15', 'mut19', 'mut20', 'mut33']",4,29,4,True,True,True,0.9151161616804592,17
2,38,"['mut15', 'mut28', 'mut33']",3,30,3,True,True,True,0.9181483591683102,19
2,39,"['mut19', 'mut33']",2,28,2,True,True,False,0.9099284012310016,16
2,40,"['mut11', 'mut15', 'mut19', 'mut26', 'mut28', 'mut33', 'mut39']",7,32,7,True,True,True,0.9286883371629064,23
2,41,"['mut28', 'mut33']",2,25,2,True,True,False,0.896074872535765,13
2,42,"['mut15', 'mut19', 'mut20', 'mut33']",4,20,4,True,True,True,0.8024521785857957,17
2,43,"['mut19', 'mut26']",2,26,2,True,True,False,0.9116696304690796,9
2,44,"['mut15', 'mut19', 'mut33']",3,30,3,True,True,True,0.9181483591683102,19
2,45,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33']",5,38,5,True,True,True,0.9568549214869068,27
2,46,"['mut15', 'mut19', 'mut33', 'mut39']",4,26,4,True,True,True,0.8839195190258793,18
2,47,"['mut19', 'mut26', 'mut33']",3,25,3,True,True,True,0.8872979366774036,15
2,48,"['mut11', 'mut19', 'mut39']",3,30,3,True,True,True,0.920854213724244,18
2,49,"['mut12', 'mut19', 'mut20', 'mut26', 'mut28', 'mut39']",6,29,6,True,True,True,0.9105884694783454,18
2,50,"['mut12', 'mut15', 'mut19', 'mut28', 'mut33']",5,33,5,True,True,True,0.9362652130691248,22
2,51,"['mut19', 'mut20']",2,39,2,True,True,False,0.966131991822932,18
2,52,"['mut15', 'mut19', 'mut33']",3,22,3,True,True,True,0.8441123200622005,13
2,53,"['mut15', 'mut19']",2,23,2,True,True,False,0.8550973531367702,15
2,54,"['mut19', 'mut28', 'mut33']",3,30,3,True,True,True,0.925515019824832,18
2,55,"['mut15', 'mut19', 'mut20', 'mut28']",4,31,4,True,True,True,0.9320226384705848,20
2,56,"['mut15', 'mut28', 'mut33']",3,27,3,True,True,True,0.8920994337139513,20
2,57,"['mut12', 'mut26', 'mut28', 'mut33']",4,31,4,True,True,True,0.9398096498348152,16
2,58,"['mut15', 'mut19', 'mut20', 'mut28']",4,28,4,True,True,True,0.90190857494433,20
2,59,"['mut28', 'mut44']",2,29,2,True,True,False,0.9428411723139114,13
2,60,"['mut11', 'mut12', 'mut15', 'mut33']",4,33,4,True,True,True,0.9362652130691248,22
2,61,['mut26'],1,2,1,True,False,False,0.1479439762004031,2
2,62,"['mut15', 'mut19', 'mut28', 'mut33', 'mut39', 'mut44']",6,29,6,True,True,True,0.9072948596339628,22
2,63,"['mut15', 'mut19', 'mut28', 'mut33']",4,27,4,True,True,True,0.8920994337139513,20
2,64,"['mut15', 'mut20', 'mut28', 'mut33']",4,24,4,True,True,True,0.862814006962077,17
2,65,"['mut11', 'mut15', 'mut28']",3,28,3,True,True,True,0.9154734494557056,15
2,66,"['mut15', 'mut19']",2,28,2,True,True,False,0.9069900497434388,15
2,67,"['mut15', 'mut19', 'mut28']",3,16,3,True,True,True,0.7279051588729601,13
