coord,shell_type,core_element,shell_element,core_size,shell_size,formula,mismatch,target_mismatch,mismatch_error,in_optimal_window,estimated_energy,path_index
"(2, 0)",Ch1,Rb,Cs,13,32,Rb13@Cs32,0.06854838709677424,0.14,0.07145161290322577,False,-2.864516129032258,5
"(1, 2)",Ch1,Rb,Cs,13,32,Rb13@Cs32,0.06854838709677424,0.14,0.07145161290322577,False,-2.864516129032258,6
"(2, 1)",Ch1,Rb,Cs,13,32,Rb13@Cs32,0.06854838709677424,0.14,0.07145161290322577,False,-2.864516129032258,7
"(2, 2)",Ch1,Rb,Cs,13,32,Rb13@Cs32,0.06854838709677424,0.14,0.07145161290322577,False,-2.864516129032258,8
"(0, 1)",BG,K,Cs,13,30,K13@Cs30,0.1674008810572687,0.09,0.0774008810572687,False,,1
"(1, 0)",BG,K,Cs,13,30,K13@Cs30,0.1674008810572687,0.09,0.0774008810572687,False,,2
"(1, 1)",BG,K,Cs,13,30,K13@Cs30,0.1674008810572687,0.09,0.0774008810572687,False,,3
"(0, 3)",Ch2,Cu,Ag,13,42,Cu13@Ag42,0.125,0.20500000000000002,0.08000000000000002,False,,9
"(3, 0)",Ch2,Cu,Ag,13,42,Cu13@Ag42,0.125,0.20500000000000002,0.08000000000000002,False,,10
"(1, 3)",Ch2,Cu,Ag,13,42,Cu13@Ag42,0.125,0.20500000000000002,0.08000000000000002,False,,11
"(3, 1)",Ch2,Cu,Ag,13,42,Cu13@Ag42,0.125,0.20500000000000002,0.08000000000000002,False,,12
"(2, 3)",Ch2,Cu,Ag,13,42,Cu13@Ag42,0.125,0.20500000000000002,0.08000000000000002,False,,13
"(3, 2)",Ch2,Cu,Ag,13,42,Cu13@Ag42,0.125,0.20500000000000002,0.08000000000000002,False,,14
"(3, 3)",Ch2,Cu,Ag,13,42,Cu13@Ag42,0.125,0.20500000000000002,0.08000000000000002,False,,15
"(0, 2)",Ch1,Na,K,13,32,Na13@K32,0.22043010752688175,0.14,0.08043010752688173,False,-2.954301075268817,4
"(2, 0)",Ch1,Na,K,13,32,Na13@K32,0.22043010752688175,0.14,0.08043010752688173,False,-2.954301075268817,5
"(1, 2)",Ch1,Na,K,13,32,Na13@K32,0.22043010752688175,0.14,0.08043010752688173,False,-2.954301075268817,6
"(2, 1)",Ch1,Na,K,13,32,Na13@K32,0.22043010752688175,0.14,0.08043010752688173,False,-2.954301075268817,7
"(2, 2)",Ch1,Na,K,13,32,Na13@K32,0.22043010752688175,0.14,0.08043010752688173,False,-2.954301075268817,8
"(0, 3)",Ch2,Ag,Na,13,42,Ag13@Na42,0.29166666666666674,0.20500000000000002,0.08666666666666673,False,,9
"(3, 0)",Ch2,Ag,Na,13,42,Ag13@Na42,0.29166666666666674,0.20500000000000002,0.08666666666666673,False,,10
"(1, 3)",Ch2,Ag,Na,13,42,Ag13@Na42,0.29166666666666674,0.20500000000000002,0.08666666666666673,False,,11
"(3, 1)",Ch2,Ag,Na,13,42,Ag13@Na42,0.29166666666666674,0.20500000000000002,0.08666666666666673,False,,12
"(2, 3)",Ch2,Ag,Na,13,42,Ag13@Na42,0.29166666666666674,0.20500000000000002,0.08666666666666673,False,,13
"(3, 2)",Ch2,Ag,Na,13,42,Ag13@Na42,0.29166666666666674,0.20500000000000002,0.08666666666666673,False,,14
"(3, 3)",Ch2,Ag,Na,13,42,Ag13@Na42,0.29166666666666674,0.20500000000000002,0.08666666666666673,False,,15
"(0, 2)",Ch1,Ni,Cu,13,32,Ni13@Cu32,0.032258064516129004,0.14,0.10774193548387101,False,-3.22741935483871,4
"(2, 0)",Ch1,Ni,Cu,13,32,Ni13@Cu32,0.032258064516129004,0.14,0.10774193548387101,False,-3.22741935483871,5
"(1, 2)",Ch1,Ni,Cu,13,32,Ni13@Cu32,0.032258064516129004,0.14,0.10774193548387101,False,-3.22741935483871,6
"(2, 1)",Ch1,Ni,Cu,13,32,Ni13@Cu32,0.032258064516129004,0.14,0.10774193548387101,False,-3.22741935483871,7
"(2, 2)",Ch1,Ni,Cu,13,32,Ni13@Cu32,0.032258064516129004,0.14,0.10774193548387101,False,-3.22741935483871,8
"(0, 3)",Ch2,K,Rb,13,42,K13@Rb42,0.09251101321585908,0.20500000000000002,0.11248898678414093,False,,9
"(3, 0)",Ch2,K,Rb,13,42,K13@Rb42,0.09251101321585908,0.20500000000000002,0.11248898678414093,False,,10
"(1, 3)",Ch2,K,Rb,13,42,K13@Rb42,0.09251101321585908,0.20500000000000002,0.11248898678414093,False,,11
"(3, 1)",Ch2,K,Rb,13,42,K13@Rb42,0.09251101321585908,0.20500000000000002,0.11248898678414093,False,,12
"(2, 3)",Ch2,K,Rb,13,42,K13@Rb42,0.09251101321585908,0.20500000000000002,0.11248898678414093,False,,13
"(3, 2)",Ch2,K,Rb,13,42,K13@Rb42,0.09251101321585908,0.20500000000000002,0.11248898678414093,False,,14
"(3, 3)",Ch2,K,Rb,13,42,K13@Rb42,0.09251101321585908,0.20500000000000002,0.11248898678414093,False,,15
"(0, 1)",BG,Cu,Ni,13,30,Cu13@Ni30,-0.03125,0.09,0.12125,False,,1
"(1, 0)",BG,Cu,Ni,13,30,Cu13@Ni30,-0.03125,0.09,0.12125,False,,2
"(1, 1)",BG,Cu,Ni,13,30,Cu13@Ni30,-0.03125,0.09,0.12125,False,,3
"(0, 3)",Ch2,Na,Rb,13,42,Na13@Rb42,0.33333333333333326,0.20500000000000002,0.12833333333333324,False,,9
"(3, 0)",Ch2,Na,Rb,13,42,Na13@Rb42,0.33333333333333326,0.20500000000000002,0.12833333333333324,False,,10
"(1, 3)",Ch2,Na,Rb,13,42,Na13@Rb42,0.33333333333333326,0.20500000000000002,0.12833333333333324,False,,11
"(3, 1)",Ch2,Na,Rb,13,42,Na13@Rb42,0.33333333333333326,0.20500000000000002,0.12833333333333324,False,,12
"(2, 3)",Ch2,Na,Rb,13,42,Na13@Rb42,0.33333333333333326,0.20500000000000002,0.12833333333333324,False,,13
"(3, 2)",Ch2,Na,Rb,13,42,Na13@Rb42,0.33333333333333326,0.20500000000000002,0.12833333333333324,False,,14
"(3, 3)",Ch2,Na,Rb,13,42,Na13@Rb42,0.33333333333333326,0.20500000000000002,0.12833333333333324,False,,15
"(0, 1)",BG,Na,K,13,30,Na13@K30,0.22043010752688175,0.09,0.13043010752688175,False,,1
"(1, 0)",BG,Na,K,13,30,Na13@K30,0.22043010752688175,0.09,0.13043010752688175,False,,2
"(1, 1)",BG,Na,K,13,30,Na13@K30,0.22043010752688175,0.09,0.13043010752688175,False,,3
"(0, 3)",Ch2,Rb,Cs,13,42,Rb13@Cs42,0.06854838709677424,0.20500000000000002,0.13645161290322577,False,,9
"(3, 0)",Ch2,Rb,Cs,13,42,Rb13@Cs42,0.06854838709677424,0.20500000000000002,0.13645161290322577,False,,10
"(1, 3)",Ch2,Rb,Cs,13,42,Rb13@Cs42,0.06854838709677424,0.20500000000000002,0.13645161290322577,False,,11
"(3, 1)",Ch2,Rb,Cs,13,42,Rb13@Cs42,0.06854838709677424,0.20500000000000002,0.13645161290322577,False,,12
"(2, 3)",Ch2,Rb,Cs,13,42,Rb13@Cs42,0.06854838709677424,0.20500000000000002,0.13645161290322577,False,,13
"(3, 2)",Ch2,Rb,Cs,13,42,Rb13@Cs42,0.06854838709677424,0.20500000000000002,0.13645161290322577,False,,14
"(3, 3)",Ch2,Rb,Cs,13,42,Rb13@Cs42,0.06854838709677424,0.20500000000000002,0.13645161290322577,False,,15
"(0, 2)",Ch1,Ag,Na,13,32,Ag13@Na32,0.29166666666666674,0.14,0.15166666666666673,False,-3.666666666666667,4
"(2, 0)",Ch1,Ag,Na,13,32,Ag13@Na32,0.29166666666666674,0.14,0.15166666666666673,False,-3.666666666666667,5
"(1, 2)",Ch1,Ag,Na,13,32,Ag13@Na32,0.29166666666666674,0.14,0.15166666666666673,False,-3.666666666666667,6
"(2, 1)",Ch1,Ag,Na,13,32,Ag13@Na32,0.29166666666666674,0.14,0.15166666666666673,False,-3.666666666666667,7
"(2, 2)",Ch1,Ag,Na,13,32,Ag13@Na32,0.29166666666666674,0.14,0.15166666666666673,False,-3.666666666666667,8
"(0, 1)",BG,Cs,Rb,13,30,Cs13@Rb30,-0.0641509433962264,0.09,0.1541509433962264,False,,1
"(1, 0)",BG,Cs,Rb,13,30,Cs13@Rb30,-0.0641509433962264,0.09,0.1541509433962264,False,,2
"(1, 1)",BG,Cs,Rb,13,30,Cs13@Rb30,-0.0641509433962264,0.09,0.1541509433962264,False,,3
"(0, 2)",Ch1,Cu,Ni,13,32,Cu13@Ni32,-0.03125,0.14,0.17125,False,-3.8625,4
"(2, 0)",Ch1,Cu,Ni,13,32,Cu13@Ni32,-0.03125,0.14,0.17125,False,-3.8625,5
"(1, 2)",Ch1,Cu,Ni,13,32,Cu13@Ni32,-0.03125,0.14,0.17125,False,-3.8625,6
"(2, 1)",Ch1,Cu,Ni,13,32,Cu13@Ni32,-0.03125,0.14,0.17125,False,-3.8625,7
"(2, 2)",Ch1,Cu,Ni,13,32,Cu13@Ni32,-0.03125,0.14,0.17125,False,-3.8625,8
"(0, 3)",Ch2,Ni,Cu,13,42,Ni13@Cu42,0.032258064516129004,0.20500000000000002,0.172741935483871,False,,9
"(3, 0)",Ch2,Ni,Cu,13,42,Ni13@Cu42,0.032258064516129004,0.20500000000000002,0.172741935483871,False,,10
"(1, 3)",Ch2,Ni,Cu,13,42,Ni13@Cu42,0.032258064516129004,0.20500000000000002,0.172741935483871,False,,11
"(3, 1)",Ch2,Ni,Cu,13,42,Ni13@Cu42,0.032258064516129004,0.20500000000000002,0.172741935483871,False,,12
"(2, 3)",Ch2,Ni,Cu,13,42,Ni13@Cu42,0.032258064516129004,0.20500000000000002,0.172741935483871,False,,13
"(3, 2)",Ch2,Ni,Cu,13,42,Ni13@Cu42,0.032258064516129004,0.20500000000000002,0.172741935483871,False,,14
"(3, 3)",Ch2,Ni,Cu,13,42,Ni13@Cu42,0.032258064516129004,0.20500000000000002,0.172741935483871,False,,15
"(0, 1)",BG,Rb,K,13,30,Rb13@K30,-0.08467741935483875,0.09,0.17467741935483874,False,,1
"(1, 0)",BG,Rb,K,13,30,Rb13@K30,-0.08467741935483875,0.09,0.17467741935483874,False,,2
"(1, 1)",BG,Rb,K,13,30,Rb13@K30,-0.08467741935483875,0.09,0.17467741935483874,False,,3
"(0, 2)",Ch1,Na,Rb,13,32,Na13@Rb32,0.33333333333333326,0.14,0.19333333333333325,False,-4.083333333333332,4
"(2, 0)",Ch1,Na,Rb,13,32,Na13@Rb32,0.33333333333333326,0.14,0.19333333333333325,False,-4.083333333333332,5
"(1, 2)",Ch1,Na,Rb,13,32,Na13@Rb32,0.33333333333333326,0.14,0.19333333333333325,False,-4.083333333333332,6
"(2, 1)",Ch1,Na,Rb,13,32,Na13@Rb32,0.33333333333333326,0.14,0.19333333333333325,False,-4.083333333333332,7
"(2, 2)",Ch1,Na,Rb,13,32,Na13@Rb32,0.33333333333333326,0.14,0.19333333333333325,False,-4.083333333333332,8
"(0, 1)",BG,Ag,Cu,13,30,Ag13@Cu30,-0.11111111111111105,0.09,0.20111111111111105,False,,1
"(1, 0)",BG,Ag,Cu,13,30,Ag13@Cu30,-0.11111111111111105,0.09,0.20111111111111105,False,,2
"(1, 1)",BG,Ag,Cu,13,30,Ag13@Cu30,-0.11111111111111105,0.09,0.20111111111111105,False,,3
"(0, 1)",BG,Ag,Na,13,30,Ag13@Na30,0.29166666666666674,0.09,0.20166666666666674,False,,1
"(1, 0)",BG,Ag,Na,13,30,Ag13@Na30,0.29166666666666674,0.09,0.20166666666666674,False,,2
"(1, 1)",BG,Ag,Na,13,30,Ag13@Na30,0.29166666666666674,0.09,0.20166666666666674,False,,3
"(0, 2)",Ch1,Cs,Rb,13,32,Cs13@Rb32,-0.0641509433962264,0.14,0.20415094339622641,False,-4.191509433962263,4
"(2, 0)",Ch1,Cs,Rb,13,32,Cs13@Rb32,-0.0641509433962264,0.14,0.20415094339622641,False,-4.191509433962263,5
"(1, 2)",Ch1,Cs,Rb,13,32,Cs13@Rb32,-0.0641509433962264,0.14,0.20415094339622641,False,-4.191509433962263,6
"(2, 1)",Ch1,Cs,Rb,13,32,Cs13@Rb32,-0.0641509433962264,0.14,0.20415094339622641,False,-4.191509433962263,7
"(2, 2)",Ch1,Cs,Rb,13,32,Cs13@Rb32,-0.0641509433962264,0.14,0.20415094339622641,False,-4.191509433962263,8
"(0, 3)",Ch2,Na,Cs,13,42,Na13@Cs42,0.42473118279569877,0.20500000000000002,0.21973118279569875,False,,9
"(3, 0)",Ch2,Na,Cs,13,42,Na13@Cs42,0.42473118279569877,0.20500000000000002,0.21973118279569875,False,,10
"(1, 3)",Ch2,Na,Cs,13,42,Na13@Cs42,0.42473118279569877,0.20500000000000002,0.21973118279569875,False,,11
"(3, 1)",Ch2,Na,Cs,13,42,Na13@Cs42,0.42473118279569877,0.20500000000000002,0.21973118279569875,False,,12
"(2, 3)",Ch2,Na,Cs,13,42,Na13@Cs42,0.42473118279569877,0.20500000000000002,0.21973118279569875,False,,13
"(3, 2)",Ch2,Na,Cs,13,42,Na13@Cs42,0.42473118279569877,0.20500000000000002,0.21973118279569875,False,,14
"(3, 3)",Ch2,Na,Cs,13,42,Na13@Cs42,0.42473118279569877,0.20500000000000002,0.21973118279569875,False,,15
"(0, 2)",Ch1,Rb,K,13,32,Rb13@K32,-0.08467741935483875,0.14,0.22467741935483876,False,-4.396774193548387,4
"(2, 0)",Ch1,Rb,K,13,32,Rb13@K32,-0.08467741935483875,0.14,0.22467741935483876,False,-4.396774193548387,5
"(1, 2)",Ch1,Rb,K,13,32,Rb13@K32,-0.08467741935483875,0.14,0.22467741935483876,False,-4.396774193548387,6
"(2, 1)",Ch1,Rb,K,13,32,Rb13@K32,-0.08467741935483875,0.14,0.22467741935483876,False,-4.396774193548387,7
"(2, 2)",Ch1,Rb,K,13,32,Rb13@K32,-0.08467741935483875,0.14,0.22467741935483876,False,-4.396774193548387,8
"(0, 1)",BG,Ag,Ni,13,30,Ag13@Ni30,-0.13888888888888884,0.09,0.22888888888888884,False,,1
"(1, 0)",BG,Ag,Ni,13,30,Ag13@Ni30,-0.13888888888888884,0.09,0.22888888888888884,False,,2
"(1, 1)",BG,Ag,Ni,13,30,Ag13@Ni30,-0.13888888888888884,0.09,0.22888888888888884,False,,3
"(0, 1)",BG,Cs,K,13,30,Cs13@K30,-0.1433962264150943,0.09,0.2333962264150943,False,,1
"(1, 0)",BG,Cs,K,13,30,Cs13@K30,-0.1433962264150943,0.09,0.2333962264150943,False,,2
"(1, 1)",BG,Cs,K,13,30,Cs13@K30,-0.1433962264150943,0.09,0.2333962264150943,False,,3
"(0, 3)",Ch2,Cu,Ni,13,42,Cu13@Ni42,-0.03125,0.20500000000000002,0.23625000000000002,False,,9
"(3, 0)",Ch2,Cu,Ni,13,42,Cu13@Ni42,-0.03125,0.20500000000000002,0.23625000000000002,False,,10
"(1, 3)",Ch2,Cu,Ni,13,42,Cu13@Ni42,-0.03125,0.20500000000000002,0.23625000000000002,False,,11
"(3, 1)",Ch2,Cu,Ni,13,42,Cu13@Ni42,-0.03125,0.20500000000000002,0.23625000000000002,False,,12
"(2, 3)",Ch2,Cu,Ni,13,42,Cu13@Ni42,-0.03125,0.20500000000000002,0.23625000000000002,False,,13
"(3, 2)",Ch2,Cu,Ni,13,42,Cu13@Ni42,-0.03125,0.20500000000000002,0.23625000000000002,False,,14
"(3, 3)",Ch2,Cu,Ni,13,42,Cu13@Ni42,-0.03125,0.20500000000000002,0.23625000000000002,False,,15
"(0, 1)",BG,Na,Rb,13,30,Na13@Rb30,0.33333333333333326,0.09,0.24333333333333326,False,,1
"(1, 0)",BG,Na,Rb,13,30,Na13@Rb30,0.33333333333333326,0.09,0.24333333333333326,False,,2
"(1, 1)",BG,Na,Rb,13,30,Na13@Rb30,0.33333333333333326,0.09,0.24333333333333326,False,,3
"(0, 3)",Ch2,Cu,Na,13,42,Cu13@Na42,0.453125,0.20500000000000002,0.24812499999999998,False,,9
"(3, 0)",Ch2,Cu,Na,13,42,Cu13@Na42,0.453125,0.20500000000000002,0.24812499999999998,False,,10
"(1, 3)",Ch2,Cu,Na,13,42,Cu13@Na42,0.453125,0.20500000000000002,0.24812499999999998,False,,11
"(3, 1)",Ch2,Cu,Na,13,42,Cu13@Na42,0.453125,0.20500000000000002,0.24812499999999998,False,,12
"(2, 3)",Ch2,Cu,Na,13,42,Cu13@Na42,0.453125,0.20500000000000002,0.24812499999999998,False,,13
"(3, 2)",Ch2,Cu,Na,13,42,Cu13@Na42,0.453125,0.20500000000000002,0.24812499999999998,False,,14
"(3, 3)",Ch2,Cu,Na,13,42,Cu13@Na42,0.453125,0.20500000000000002,0.24812499999999998,False,,15
"(0, 2)",Ch1,Ag,Cu,13,32,Ag13@Cu32,-0.11111111111111105,0.14,0.25111111111111106,False,-4.6611111111111105,4
"(2, 0)",Ch1,Ag,Cu,13,32,Ag13@Cu32,-0.11111111111111105,0.14,0.25111111111111106,False,-4.6611111111111105,5
"(1, 2)",Ch1,Ag,Cu,13,32,Ag13@Cu32,-0.11111111111111105,0.14,0.25111111111111106,False,-4.6611111111111105,6
"(2, 1)",Ch1,Ag,Cu,13,32,Ag13@Cu32,-0.11111111111111105,0.14,0.25111111111111106,False,-4.6611111111111105,7
"(2, 2)",Ch1,Ag,Cu,13,32,Ag13@Cu32,-0.11111111111111105,0.14,0.25111111111111106,False,-4.6611111111111105,8
"(0, 3)",Ch2,Cs,Rb,13,42,Cs13@Rb42,-0.0641509433962264,0.20500000000000002,0.2691509433962264,False,,9
"(3, 0)",Ch2,Cs,Rb,13,42,Cs13@Rb42,-0.0641509433962264,0.20500000000000002,0.2691509433962264,False,,10
"(1, 3)",Ch2,Cs,Rb,13,42,Cs13@Rb42,-0.0641509433962264,0.20500000000000002,0.2691509433962264,False,,11
"(3, 1)",Ch2,Cs,Rb,13,42,Cs13@Rb42,-0.0641509433962264,0.20500000000000002,0.2691509433962264,False,,12
"(2, 3)",Ch2,Cs,Rb,13,42,Cs13@Rb42,-0.0641509433962264,0.20500000000000002,0.2691509433962264,False,,13
"(3, 2)",Ch2,Cs,Rb,13,42,Cs13@Rb42,-0.0641509433962264,0.20500000000000002,0.2691509433962264,False,,14
"(3, 3)",Ch2,Cs,Rb,13,42,Cs13@Rb42,-0.0641509433962264,0.20500000000000002,0.2691509433962264,False,,15
"(0, 1)",BG,K,Na,13,30,K13@Na30,-0.1806167400881057,0.09,0.27061674008810566,False,,1
"(1, 0)",BG,K,Na,13,30,K13@Na30,-0.1806167400881057,0.09,0.27061674008810566,False,,2
"(1, 1)",BG,K,Na,13,30,K13@Na30,-0.1806167400881057,0.09,0.27061674008810566,False,,3
"(0, 2)",Ch1,Ag,Ni,13,32,Ag13@Ni32,-0.13888888888888884,0.14,0.27888888888888885,False,-4.938888888888888,4
"(2, 0)",Ch1,Ag,Ni,13,32,Ag13@Ni32,-0.13888888888888884,0.14,0.27888888888888885,False,-4.938888888888888,5
"(1, 2)",Ch1,Ag,Ni,13,32,Ag13@Ni32,-0.13888888888888884,0.14,0.27888888888888885,False,-4.938888888888888,6
"(2, 1)",Ch1,Ag,Ni,13,32,Ag13@Ni32,-0.13888888888888884,0.14,0.27888888888888885,False,-4.938888888888888,7
"(2, 2)",Ch1,Ag,Ni,13,32,Ag13@Ni32,-0.13888888888888884,0.14,0.27888888888888885,False,-4.938888888888888,8
"(0, 2)",Ch1,Cs,K,13,32,Cs13@K32,-0.1433962264150943,0.14,0.2833962264150943,False,-4.983962264150943,4
"(2, 0)",Ch1,Cs,K,13,32,Cs13@K32,-0.1433962264150943,0.14,0.2833962264150943,False,-4.983962264150943,5
"(1, 2)",Ch1,Cs,K,13,32,Cs13@K32,-0.1433962264150943,0.14,0.2833962264150943,False,-4.983962264150943,6
"(2, 1)",Ch1,Cs,K,13,32,Cs13@K32,-0.1433962264150943,0.14,0.2833962264150943,False,-4.983962264150943,7
"(2, 2)",Ch1,Cs,K,13,32,Cs13@K32,-0.1433962264150943,0.14,0.2833962264150943,False,-4.983962264150943,8
"(0, 2)",Ch1,Na,Cs,13,32,Na13@Cs32,0.42473118279569877,0.14,0.28473118279569876,False,-4.997311827956988,4
"(2, 0)",Ch1,Na,Cs,13,32,Na13@Cs32,0.42473118279569877,0.14,0.28473118279569876,False,-4.997311827956988,5
"(1, 2)",Ch1,Na,Cs,13,32,Na13@Cs32,0.42473118279569877,0.14,0.28473118279569876,False,-4.997311827956988,6
