ell2,ell3,ell4,ell5,ell6,ell7,ell8
2.822826066792527523e-04,1.027626905175089197e-03,4.478845964353342910e-04,5.953627649246040140e-04,2.376507027310821932e-03,7.395051069059227012e-04,6.946391834766913256e-03
6.393853640786967881e-04,2.214889035814006108e-04,6.335265938380398639e-04,6.775499104942919737e-03,7.756728565802186413e-03,3.586330345259460331e-04,6.937060342814290294e-04
4.112446598933819711e-04,1.007544912454780978e-04,1.079594720171562702e-03,1.385318482067479651e-03,1.247746694697166427e-03,9.421681048656857516e-04,9.729868695407987295e-03
1.797719426830063187e-04,4.204328693215046361e-04,1.082839961718554773e-03,1.053998589821586104e-03,1.832047666952589732e-04,1.617173971000056363e-03,4.314001616620217919e-04
7.581102001229622460e-04,7.674126153555697535e-04,4.526060946615449157e-04,2.564089979700904468e-03,2.849063470143310337e-03,3.823053588931074782e-03,2.464379873351104852e-02
5.524148602480545263e-04,1.132448279118483626e-03,6.031159606345465069e-04,1.447769433431549124e-03,3.784089749187889273e-03,2.372164263958769729e-03,1.526659879677587156e-03
4.013489812999096506e-04,4.174159971298651954e-04,1.799989928940034373e-03,1.632064614272256669e-03,3.740688350111108442e-04,9.808397392862265238e-03,2.816929420862545469e-03
2.678803499022548110e-04,4.305761400896356440e-04,1.201088283746347494e-03,8.707724387397520333e-03,1.827193885273247463e-03,6.973747107206571937e-04,2.994618668071847840e-04
1.856870734896040771e-04,1.101381497234046490e-03,3.626592470534053224e-03,9.515777817645426412e-04,2.339761598505224645e-03,4.740916827254776367e-03,2.241441227798392829e-03
2.490563277189834562e-04,1.794928038228302465e-04,1.938351148308382552e-03,9.196653531116965241e-04,1.459580487158435805e-03,2.059514739177216534e-03,3.085763556352878311e-03
5.170588948242212666e-04,4.365346142636275712e-04,1.890333208840062765e-03,1.301771596256416381e-03,7.651004102801961049e-04,3.934724129442687159e-03,2.182978923840666642e-03
7.697575750076176204e-04,6.178430561608258542e-04,3.211779272855977722e-04,2.794563833319854002e-03,3.889533120084289874e-03,1.269542735883809857e-03,1.291855494310586126e-03
6.489815180984098491e-04,7.216291538358209252e-04,1.448386549855094690e-03,3.553102488786887198e-04,1.084266647237235124e-03,5.736515798633276021e-03,8.472561302726775269e-04
2.349464847547328924e-04,4.058956556995232446e-04,8.175634253666803474e-04,2.461088356135436193e-04,4.095395014295887112e-04,2.638990365665037224e-03,8.323210175723698770e-03
1.713955011257937966e-04,5.626426735828416554e-04,5.769848346262884415e-04,7.413896688518035452e-04,2.464536320600448668e-04,9.957357812094851015e-04,2.482724599239603640e-03
3.218950620297613666e-04,1.238391721236039081e-04,9.544296947904438392e-04,3.208841662553797019e-04,4.848697909690976096e-03,1.940891919039656370e-03,1.306969709170300968e-02
1.239109040811863774e-04,3.713076964734611800e-04,1.644433652497736013e-03,8.441696609245543173e-04,2.715410685978611287e-03,1.545914723932623712e-03,1.344924862363380304e-03
3.526113051665594102e-04,7.234890161086606408e-04,1.204819881958509248e-03,1.772627750388215684e-03,1.687286843954389961e-03,3.203839707405307501e-03,1.487645359959530829e-03
2.786568736812348448e-04,3.056998432886981368e-04,4.587803634597420075e-04,5.815049483923587269e-04,1.048854331390083883e-03,6.037439462640945432e-04,5.886269329499922535e-03
2.376417348340683472e-04,5.709894138244812380e-04,1.426849983857105810e-03,3.787049140940598291e-04,9.683584660323054120e-04,1.907550477171197998e-03,4.026032389004068567e-04
1.351561722117280236e-04,7.206140078695138064e-04,5.430448786916904948e-04,1.253491707173981506e-03,5.920185234825210393e-04,2.916776012697656125e-03,6.316998245536666621e-04
3.878359837437391410e-04,4.487431236326434934e-04,9.875048703579039633e-04,2.364338032747446798e-03,1.057212310979965819e-03,2.030323125703672842e-03,8.026127887284047538e-03
2.298511797249337121e-04,6.104878547517777641e-04,6.861924983912861056e-04,3.055886210008125427e-04,2.312784542087705474e-04,7.554269444774018571e-03,6.612266655723876780e-04
1.671387083851395806e-04,3.093089444533209977e-04,7.279969577558684972e-04,2.285647175718052114e-03,8.037141085292330957e-04,4.259681628898670525e-03,3.244942769604922876e-04
7.135385472312507358e-05,4.868778980715961278e-04,1.450804237235485362e-03,2.280302834911744885e-03,1.178334338781813649e-03,1.949729902953866497e-03,1.874353033801610946e-02
2.959010246220182896e-04,7.948153619588617944e-04,4.096764253407499654e-04,2.543984048490057458e-03,2.698882156437293345e-03,2.439665027122920812e-03,5.180255698440089764e-04
7.277141157981023003e-04,6.055662152913206687e-04,3.311444564513299146e-03,3.143219098520081464e-03,1.503824923704133107e-03,2.640153870919915297e-03,2.938796299321078370e-03
6.884289255185367445e-04,3.876339145702600397e-04,2.371618921057923974e-04,6.903816904425488614e-03,3.187944753191914934e-03,2.940181319017072352e-03,2.589493895180125342e-03
2.387064003532696481e-04,6.304979975275819574e-04,5.584336813414680521e-04,8.918918970361426482e-04,5.249680529763120149e-03,3.164828113993655399e-04,1.090201653202346982e-04
2.219997918979707140e-04,8.461917689802407475e-04,1.099544814840629475e-03,1.294494870344370342e-03,4.040218251320277024e-03,1.453021748753400080e-03,1.788576428087478498e-03
3.792401337367171024e-04,1.610984018136105774e-04,1.277324790017784302e-03,8.498567669963642780e-04,2.380723638636653497e-03,4.451840798455908581e-04,3.930329685413805341e-03
1.821061493164442672e-04,1.104805494954004801e-03,7.908989746546152104e-04,1.187731005897425590e-03,1.575577765012891023e-03,7.052996739050152418e-03,3.543833521964983527e-03
3.488626963409684699e-04,4.504410859134934885e-04,8.151154449012771057e-04,4.042090376140565662e-03,6.448332137900811625e-04,1.848403194777715206e-03,6.484025194696410935e-03
4.400210707564483560e-04,7.114279139260210614e-04,1.131034868260127587e-03,4.043201381493000015e-04,3.034040637641668200e-03,1.619035657316646648e-03,1.567102371667999233e-03
5.540467594907127124e-04,1.130401649972909758e-03,7.218047054779375051e-04,5.954865692085025948e-04,7.068994666348110689e-03,4.816121713627482225e-03,5.255229224559303594e-03
2.853468438848056916e-04,2.420092427187820643e-04,2.250100421658130390e-03,3.568723763598450737e-03,2.120901139904396351e-03,2.996654338559899804e-03,1.124351879425808864e-03
2.709530610899801265e-04,3.600761494609058095e-04,1.526980638128633315e-03,2.681811499968066604e-03,8.753720957487999901e-03,6.354239494300523497e-04,5.086244160785563214e-04
1.934059177937742574e-04,4.635206421017150943e-04,1.563184383571730599e-03,8.868831655839281734e-04,3.949212470251117464e-04,1.829909086095007431e-03,5.757783646688520700e-04
1.984113295161132428e-04,3.443739132356981409e-04,4.314680825271624142e-04,2.348988698295460288e-03,5.516721073480663215e-04,1.404954158976900579e-03,4.805361768665677188e-04
2.678810473227296435e-04,1.560781727839510250e-03,8.026601094297417058e-04,1.558051446056681576e-03,3.365669777538960687e-03,3.432276874655423231e-04,7.286426997232600677e-03
3.604903644465860682e-04,3.296122226143547536e-04,6.875792402136962763e-04,3.938039382044443773e-03,1.977447393572732363e-03,9.850089172354734458e-04,4.535897505511847982e-04
4.737002737243648106e-04,3.949077009543248626e-04,4.197176748515662375e-04,1.258689334112643703e-03,5.085277435457440966e-03,1.634981233661792800e-03,3.244338450598011417e-03
2.007766305488838891e-04,6.230417654464015347e-04,1.091838415561101946e-03,2.693843500913268348e-03,1.537290039997381676e-03,1.751058945993511171e-03,1.791318827799966455e-03
6.327824986915184463e-04,2.679205338811917474e-04,5.823963414724009184e-04,9.816580284796651637e-03,7.137430526858372197e-04,4.461679736824415579e-04,2.143747158731567053e-03
2.619675586465827636e-04,4.346633005976490490e-04,1.342496106766741162e-03,1.913516440173094460e-03,1.286225178863004918e-03,6.214201464213839170e-03,1.075570984647538503e-02
2.968119660860351326e-04,6.667746238698451849e-04,4.011635307250190617e-04,1.233586556663430036e-03,3.924014150502378438e-04,1.773701470923409350e-03,1.481712677752879473e-03
2.064744415654780590e-04,4.513593892811096527e-04,2.826605143148503731e-03,2.113659661167463597e-03,5.645163246058422469e-04,2.039540882803594826e-03,4.703140396501351468e-03
8.926971963269187196e-05,5.211031576480079034e-04,4.530807585241374003e-04,8.853595962297126877e-04,3.740222968152327049e-03,2.932376794220852272e-03,2.501244539670446909e-03
4.667553165064303438e-04,4.011682315384089751e-04,9.893170746810764013e-04,8.011175127758408607e-03,3.419363086449539717e-03,8.932358658526854843e-04,2.030430706336750976e-03
4.336355449830249943e-04,2.221378091708285044e-04,1.477053882291955948e-03,1.369601913656777427e-03,2.161169445200484228e-03,3.100389105599828197e-03,3.012739148876183992e-02
2.606344096560223597e-04,6.684329308076553990e-04,5.690993049853203039e-04,9.532449645172182736e-04,3.312028868454569390e-04,1.360832986599248883e-03,4.916406660263143973e-04
3.102187932688930277e-04,1.579620614537346687e-03,1.541068515275447349e-03,6.076915100710501144e-04,1.129056593161049601e-03,8.013849246457783841e-04,9.909696837849727921e-03
3.882898448338312518e-04,5.572539804635223953e-04,3.589111005475080431e-04,2.852624497273409301e-03,5.175991017979200172e-04,3.485526614780797526e-03,4.940744159317886526e-03
1.373468593457084124e-04,6.308944706842758510e-04,2.344870920784757236e-03,2.373138222480767213e-03,4.494370245900259492e-03,8.730699627250280981e-03,1.416219848215226167e-03
2.302708295522836661e-04,8.351520381464818798e-04,8.569741295953196489e-04,7.965859836186028452e-04,9.218209317029140999e-04,4.055204110867588300e-03,1.440707069475102853e-02
4.462658338437216609e-04,2.573357979638237359e-04,5.589249798348694138e-04,1.880662991229867893e-03,5.867084203924104657e-04,4.943873896988498773e-03,3.142858407598277289e-04
1.602344031891975618e-04,1.530713019575069816e-03,6.881975991727460164e-04,3.547359812157693457e-04,1.601214137296154373e-03,1.167122177933518001e-03,1.351919472822264885e-03
3.474293867432043121e-04,6.222720737298633549e-04,1.494798559700643127e-03,1.374980780969088049e-03,8.761715424739788477e-04,3.975446274992098746e-04,6.351705793017305059e-04
1.522450771907094620e-04,1.467175314229795646e-03,5.636224098444730891e-04,1.703471751141027871e-03,5.925796734030901701e-03,8.717296631372623700e-03,3.776359871568539094e-03
3.787958728302061903e-04,3.550151055815356765e-04,5.021771083256827608e-04,4.647489313175327992e-03,8.046207914238172462e-04,1.532808149295981741e-02,7.054624216524841033e-04
2.947011327593722580e-04,1.640599971756239676e-03,7.266374262409866546e-04,6.400610294253405649e-04,4.424800923322115163e-04,9.188736331566619078e-03,3.864526167408621326e-03
1.337826631867317551e-04,8.774969093620755113e-04,3.722738601258016424e-04,4.264676309420039734e-04,2.245455862757463332e-04,1.404084809543965388e-03,1.954997041134883245e-03
5.370827351836895665e-04,7.680111016601604088e-04,3.034748947784004797e-03,5.793322827539392969e-04,1.516246353768886971e-03,6.191159594554082948e-04,1.416486345209469087e-03
2.077814250878683698e-04,6.342193099881732535e-04,5.707932338015224080e-04,4.070612934314456568e-04,9.400788974377324251e-04,6.767109533859448070e-04,3.680250085876999016e-03
2.000677894061085225e-04,4.747854254012260473e-04,1.518737984811595375e-03,3.454885028056698879e-03,4.308184457497991264e-04,3.647434974344101240e-04,1.786011552899316283e-03
3.316456478851368024e-04,1.132631688578737911e-03,9.825314015025840304e-04,4.093395124523278514e-03,4.546007811744387332e-03,1.764368842309271693e-03,7.246767468197066065e-04
5.327760405996546022e-04,5.995600035163478701e-04,4.259531697910846947e-04,1.532095729284538820e-03,2.841881296935295023e-03,9.784990270305061674e-03,5.229909285816967957e-02
1.805254139135666536e-04,1.693111784907613208e-04,8.449985818292688085e-04,3.150304925924751406e-03,1.519755607866610150e-03,1.704904362087403822e-03,1.404364427995212364e-03
3.093961205942352580e-04,2.819326632981268566e-04,1.468953014551037731e-03,1.319997704985586672e-03,5.321947184066220214e-03,2.657788932545493421e-03,2.093178747146682260e-04
3.717385277791650277e-04,4.929820114780233834e-04,7.437614196815936322e-04,1.098970656985348397e-03,2.829862315585330267e-03,7.773873909007093276e-03,9.504308970882504107e-04
4.242552497755616801e-04,6.637990888899248992e-04,1.956049794520086944e-03,9.084941759778457186e-04,7.433229419818856510e-04,1.311375172465760897e-03,5.953917898147173364e-04
3.276687705607174818e-04,5.327365602187864166e-04,1.734655338426799700e-03,9.251036445201376007e-04,6.117983654866354084e-04,1.503984639147428783e-02,5.954986376114202937e-03
2.497020869585755152e-04,1.145232108961554123e-03,1.614440351072304663e-03,3.437715463887929738e-04,3.254794105055888991e-03,1.440054504070428960e-02,3.418789916588777737e-03
1.983409192235100014e-04,1.709410941318776690e-04,6.150745653355304101e-04,1.465017377789697411e-03,2.227045656688539464e-03,1.722988545862890646e-03,3.721224643397455512e-03
3.132039000103320654e-04,6.007223806159761679e-04,3.984625562360462987e-04,1.148200765347504385e-03,1.816149534998277642e-03,1.102562906099660220e-03,1.597506577980788720e-03
1.755129744500045293e-04,1.851548684400481282e-04,5.522450736437821894e-04,2.152762438955797396e-03,7.276738103469401276e-04,3.944845124350527046e-03,1.765057849186640274e-03
6.962385361024133682e-05,8.694036476225233548e-04,9.734747663801186519e-04,1.277981769052150820e-03,2.694192253375389014e-03,1.387698619937795036e-03,1.595910665375429313e-03
3.731805596830702629e-04,5.207681370031708645e-04,1.243336716446712771e-03,1.041123410158212434e-03,7.897780154215426097e-04,6.179278544877437945e-04,2.194943344000854259e-03
4.714202257081782314e-04,7.089224350351937005e-04,1.855646357698312722e-04,5.906739354343706980e-04,1.422132690395206929e-03,7.073888310604980502e-03,6.015476207323550324e-03
9.204855935570385554e-05,3.282089211908281799e-04,8.437227997787884268e-04,1.256318831970693918e-03,5.732750083901948755e-03,6.630094355492703422e-03,3.473461652629204321e-03
1.810760524507665616e-04,1.187563604089658491e-03,9.478210354117269946e-04,2.140529178500316914e-03,8.600152274510546252e-04,2.294886190715445060e-03,4.160323559343270111e-03
4.088546055375399230e-04,1.029691925732865044e-03,6.987005593213314533e-04,4.751104862414112263e-04,3.784222275339478494e-04,5.556075355377175333e-04,4.157789390127629263e-03
8.392681058826665687e-04,7.821970716866005497e-04,2.095180388210477959e-03,1.271811543645201201e-03,6.045040894082249214e-04,5.744428854133053772e-04,6.349368876730077625e-03
3.031353266753016680e-04,5.099281271857149635e-04,1.139960962603233426e-03,1.428889622245766008e-03,3.814518989188776278e-03,2.186716135198675179e-03,3.295090992990155898e-03
2.084670518479644745e-04,7.804685995869060401e-04,2.123110652474815598e-03,6.676517769146828778e-04,1.960508056824946787e-03,1.191604375628882570e-03,3.561570564215737079e-03
2.737825707888613550e-04,3.606271488855523530e-04,7.294792192396693875e-04,7.409502829724498195e-04,1.388127876461439734e-03,1.396653078576133101e-03,8.874265777703430405e-03
5.965843765330520717e-04,9.208650796769250919e-04,1.635555024497814926e-03,1.426112160032452997e-03,9.858620961241137699e-04,5.458285904028257855e-03,1.154789674683538887e-03
2.171960463518021289e-04,1.482772126789570419e-03,2.665240887085524972e-03,4.788951873113397395e-04,2.412755717425630990e-03,4.089206599724484227e-03,9.362730728154268099e-04
2.011772723445850097e-04,1.047693617899402583e-03,2.125343382326361132e-03,1.568943190572799021e-03,7.259684392461855521e-04,7.793689197051201223e-03,6.511306134803485340e-04
2.356648606036078938e-04,3.557465912070391541e-04,3.950467570191262302e-04,5.793663889408028457e-04,2.052471425519923707e-03,7.294593942853010334e-04,2.934904038973493168e-03
1.862552734206651759e-04,6.845971254296647065e-04,7.104723220732589830e-04,2.775265027134823752e-03,8.072002637020355732e-04,1.393725084856554030e-03,3.123481874555202888e-04
3.189765638890703693e-04,2.536854745579890640e-04,6.663985744577227222e-04,7.696190681786957942e-03,6.949274564517696337e-04,4.196090858411664209e-03,3.990187582759210753e-03
6.759517541469854673e-04,7.769797774055380718e-04,1.195095550862170950e-03,5.956261058964818292e-04,8.782771604504489415e-04,3.074831150763394482e-03,2.128369797501478231e-03
3.525957128509705617e-04,7.222289432451624216e-04,1.371898373852461659e-03,1.818168332103499429e-03,1.111909632557731139e-03,9.093428692870048416e-03,8.360952927611721430e-03
2.644377102577171856e-04,1.794847656146786612e-04,4.716694269948965533e-04,6.630331895339589953e-04,1.491822872150054503e-03,2.991300833975948318e-03,1.146094064732390951e-03
2.592717761227785042e-04,2.744886275692208521e-04,8.897942046322700714e-04,2.727066890476393789e-03,1.926790844835987032e-03,1.246943877322882581e-02,1.919027646021402404e-03
1.373025754335653343e-04,4.650276186511184164e-04,2.063459466630622886e-04,4.309585204422965751e-04,5.638325094686514076e-05,3.370932627490829357e-03,8.247353854407274767e-03
4.665370149510393713e-04,4.601094005705336611e-04,2.328232673590418210e-03,1.741823756486795931e-03,7.535650958831628318e-04,5.682203490687954932e-03,1.098925468780744506e-02
2.885487000831078210e-04,2.667452213193335551e-04,5.927906356364058636e-04,5.898258943070116764e-04,1.095852554659676936e-03,1.421420468622927417e-03,1.135758983101959815e-03
2.741135722747534468e-04,6.960123291195551530e-04,8.823669418985495951e-04,1.004887527393085464e-03,6.040588635602328962e-03,1.992636946479118491e-03,2.931247479088925321e-03
1.480797774832156178e-03,6.408941445545015408e-04,6.831732212916380356e-04,5.197762093723655875e-04,5.897499067172812075e-04,4.884739962552991227e-03,3.317891904765238754e-03
3.483330034995275317e-04,4.904967522267655649e-04,1.892629759346490690e-03,2.289523392139926772e-03,1.804823106360788337e-03,9.856684150574453185e-03,3.620048717199938603e-03
2.060022208606909799e-04,3.502002860685786033e-04,1.164251685427164967e-04,6.070640405767656215e-04,5.986296302408865636e-03,4.073117178073411282e-03,1.797929117148250712e-03
2.424034960048548134e-04,1.034014845864987195e-03,8.387192331862822724e-04,1.844179938584045598e-03,4.782000840109459005e-04,1.807599779341777972e-03,9.825592637650221867e-03
5.327249923834152887e-04,1.488053850620642531e-03,7.879464378276572478e-04,9.004909817551794236e-04,2.222256968574793864e-03,7.787397157644889920e-03,3.002304013381950081e-04
3.174809066296954479e-04,4.123379361478449320e-04,6.176721247422392071e-04,1.082080304282792994e-03,7.572218362834814628e-04,2.194113483807312766e-04,1.510174910780879296e-03
1.461514606216681583e-04,3.817171871067147836e-04,2.840859219400485459e-03,1.334648577545459068e-03,9.898273555600611926e-04,4.737560022116304916e-04,3.928244144225086741e-03
4.750390171092218252e-04,7.400403680029231336e-04,4.559451988341189010e-04,6.446830722207301089e-04,7.566502738826425727e-04,3.883768216229861389e-03,3.968610488345677284e-03
2.148006592763401887e-04,4.445944458425878164e-04,1.456454839240008689e-03,1.403202303610388444e-03,8.067625040377735804e-04,1.992280584010640548e-03,1.062812374393335563e-02
7.654250977040111389e-04,5.069142293603177583e-04,1.088853076214020641e-03,4.033889088456811024e-03,1.805940427911172444e-02,3.599105345871102604e-03,8.966690625054837133e-03
5.148144309685542949e-04,8.590026679456098328e-04,2.051992850804070304e-03,6.363461929604639954e-04,3.333277031191466452e-03,2.095053669297467207e-03,1.753077736013762544e-03
2.398758569547194150e-04,1.752768080096929069e-04,5.319081830272165282e-04,3.028027471742945897e-03,4.201786131462754634e-03,3.476817427507014266e-03,1.002745774997477329e-02
5.692334638577967263e-04,1.215561673571823520e-03,5.079713336226010815e-04,3.931186938573322069e-03,2.427203488415473169e-03,8.700268788541724689e-04,1.094199252170481237e-03
3.103529598407602169e-04,5.757010130799213379e-04,1.827587702196237446e-03,6.172626247555224217e-04,3.672599096560965845e-04,3.475219819745505295e-03,6.682183854353875366e-03
4.595139554206258505e-04,4.305589507707098767e-04,1.142790275922547696e-03,3.702486801525851825e-04,2.224223357702629234e-03,5.309969952764239352e-03,1.758495072146610758e-02
3.822783022621491222e-04,5.224031690569339850e-04,2.877370674302965757e-04,1.509882772372443498e-03,4.094244805976333772e-03,6.657354958904226731e-03,9.133118978053966774e-03
1.964885474985624979e-04,5.388502752381402281e-04,5.817202926414865444e-04,7.653188575595755092e-04,7.231678703445014759e-04,1.471291887789127374e-02,2.696126623795785070e-03
2.174583979623952060e-04,1.950506668378510216e-04,1.112061860478290526e-03,5.287501715494241118e-03,3.716341174819497595e-03,2.507459506873825107e-03,1.666144189642748815e-03
5.020817140548992268e-04,1.351463114789453563e-03,1.525287507192619454e-03,1.219339508765791705e-03,2.938350053564701882e-03,2.583338966471276400e-03,4.466492408309683665e-04
2.537614896152721794e-04,5.649716292567474527e-04,5.274435198593805307e-04,6.241926445970073659e-04,8.254691199734700766e-03,4.282702678481630464e-04,3.377251925681043487e-03
2.451715680047491662e-04,7.189425235434691863e-04,1.103353155904620816e-04,4.736605678824344244e-04,1.070302070396506738e-03,1.154607255106604013e-03,7.037935537004865860e-04
1.860882800391883965e-04,9.754608238284451747e-04,1.223853144036900036e-03,2.835979161398354941e-03,5.804774900815917694e-04,1.619454840517887701e-03,1.003025174009879476e-03
3.707700308418281987e-04,2.986530889839701100e-04,3.611447193172040914e-04,7.508991785866188763e-04,1.125784729969805855e-03,5.615278581115202422e-03,6.476844614338534084e-04
8.413812900983326038e-04,7.322070112538034631e-04,2.067201790642890578e-04,1.228171322037348518e-03,5.674369878195703945e-03,1.066274208951932014e-03,1.446341365254634557e-03
1.759176552276543227e-04,4.693719301852512554e-04,1.168481347409494397e-04,2.547482176378072956e-03,3.007067733155525751e-04,4.355814713183631462e-03,2.327285068206853044e-03
3.036550043903051823e-04,9.160240336584672726e-04,1.500104194435013163e-03,8.049755392425257238e-04,2.422966407634759962e-04,1.961187057414733211e-03,3.242824718352643916e-03
6.078284893970780202e-04,1.537985585217929089e-04,9.284675773338789320e-04,1.143072977942443790e-03,1.689447208245314826e-03,1.645432937205871344e-03,1.239752097672949371e-03
2.882885185049752718e-04,5.193217102179020642e-04,7.245449328813580257e-04,1.170239660218993843e-03,1.046671642455875711e-03,2.519512971457062156e-03,7.780968485098203880e-03
3.761426172917065112e-04,3.838637774199162782e-04,2.243562536536102166e-03,2.048530901227459643e-03,1.569725451691521322e-03,1.328453224267474005e-03,1.908739265247351219e-03
1.763702909226409516e-04,7.143249045307997758e-04,1.325613332288934007e-03,1.902290643563500942e-03,3.649996551460118425e-03,1.279071469610546094e-03,1.009014448368315050e-03
3.716438574525357920e-04,7.307026819970351920e-04,2.630458054988011121e-03,9.943881142734074894e-04,9.480322267615180027e-04,3.571446999362397671e-04,3.078339201684539977e-03
2.732016977950076910e-04,3.604685092491678646e-04,3.200855855824467997e-04,1.247800676292762324e-03,2.888754596658522173e-04,1.532985959623204414e-03,2.080881831369881668e-02
4.910998524003759190e-04,3.594862102585245738e-04,8.282522922250838910e-04,8.807689768679779823e-04,9.815659613991981405e-03,1.215558330198929010e-03,3.469967960193570070e-03
5.431988724234001770e-04,5.157287328336267011e-04,2.736374029333147207e-04,3.636270108941768299e-04,6.353623391333082342e-04,1.172561484850167092e-03,1.610150329894871699e-03
1.095059847124733431e-03,3.218207779680674137e-04,7.226576617944750454e-04,1.457239626544911803e-03,6.009835107768800224e-04,2.980361825223976340e-03,4.472047415814537252e-04
4.008547175408292383e-04,9.133967604854280158e-04,7.129933886990427695e-04,5.388228690989579905e-03,4.209288542051139483e-03,3.795452354373924676e-03,1.885353213068626096e-03
3.530750473092841520e-04,4.416226641944373727e-04,1.315711406127031751e-03,5.847844161525719061e-04,1.102858471533346620e-03,2.477787817579212189e-03,3.107721046039683705e-03
3.306216351910533108e-04,9.633071365920335531e-05,8.760279197554507631e-04,6.389299377517623042e-04,1.472401530298757298e-03,5.315286098591142858e-03,1.566947966433387702e-03
2.514387266511072740e-04,4.401373788526154619e-04,1.312761538826649928e-03,5.908938291458214415e-04,2.407181931616945905e-03,3.492904322531173878e-03,3.842528941251189623e-04
3.553219913913849152e-04,2.955546747636405886e-04,1.388405629564825727e-03,2.117289465154539082e-03,4.133689797170409831e-03,1.462453432529506846e-03,9.416202746893947116e-04
2.588067824501062144e-04,2.071026672871408773e-04,3.835109705053553475e-03,1.697661399847505198e-03,1.154688955159060421e-03,1.236537781492685244e-03,1.188718636979281887e-02
3.263638824768496575e-04,2.623092507003890630e-04,6.804780642348382457e-04,1.044599062505420549e-03,6.122083219824938152e-03,2.685840958813406378e-03,1.162165120349791837e-02
5.797408784734097136e-04,5.885284212450044277e-04,4.391264247186345260e-04,5.689561255496530497e-04,2.280308766746455269e-04,3.486640824810650387e-03,9.049873178813627262e-04
1.813649304868099105e-04,1.223125361576652553e-03,1.008038634947368934e-03,1.276809932372864739e-03,3.088711896220658077e-03,7.948760109617225914e-03,5.030408548973704271e-03
5.304479059548602559e-04,6.650690176015296206e-04,4.839140104139447195e-04,3.391765847064365951e-04,7.322530166818974921e-04,6.464622979521182644e-03,6.564154872008785271e-04
5.796010420519566528e-04,3.830165132892814875e-04,2.394370852818664911e-03,1.330034054737025363e-03,5.360138496367466629e-03,1.143048300882703542e-03,1.124829596666926390e-02
2.828023407843831554e-04,7.245296269757671090e-04,6.959310701119617026e-04,2.381386312515865276e-03,1.771427395320919994e-03,1.773873135866410383e-03,3.143158449608017112e-03
1.038403917055842369e-04,4.184368366940537792e-04,5.711202528863493872e-04,4.358330526086073571e-04,8.507226024363222271e-04,3.842754600589093090e-03,6.821465870833627945e-03
2.213779631255311832e-04,3.632967216295258689e-04,6.100752075848503127e-04,3.480005119881479517e-04,2.830639371310266200e-03,5.715429379674807388e-03,3.638062095191676331e-04
5.737993369110733124e-04,2.757135696948765269e-04,1.403038389163996716e-03,4.195504550077585118e-03,3.482725375507119206e-03,5.023571410573176264e-03,5.057486139492720252e-03
2.965893266859955728e-04,1.926514991494228943e-04,7.598190837415819306e-04,7.269159515398839573e-04,2.777775254770649144e-03,1.842814118677607148e-03,2.379825741869498901e-03
