N2vsN3,N2vsN4
5.848967835843358909e-05,6.114454220456806417e-05
2.596107882760036582e-05,8.624747026416875460e-05
4.450580202511486111e-05,1.472301686219225009e-05
4.058548610439522645e-05,7.701827749216684526e-05
3.319059872671462237e-05,3.802490676802027620e-05
1.035281722466558580e-05,7.017293688862053576e-05
2.379929088603492858e-05,2.096303832668369046e-05
8.562176909435814480e-06,2.477777791723523673e-05
2.035163446822297738e-05,2.045133858598776309e-04
2.784339582835535382e-05,1.415638749659587080e-05
1.071806877627771770e-04,1.546713923644282303e-05
5.397847695368440824e-06,4.699896107927421514e-05
3.237025367196721092e-05,1.980143787879627389e-05
8.796762641782912746e-05,1.728758556852931982e-05
4.271627688957569606e-05,5.671927901705024478e-05
4.600167074527755959e-05,8.214853985049135700e-06
3.599669668232847097e-05,1.491650508243732633e-05
7.326381005707448485e-05,5.881239381982451874e-04
6.741308903765020620e-06,8.678146623171153053e-05
5.001838813788963111e-06,2.041249029197387386e-05
1.987371755827503365e-05,8.258937987737432638e-05
2.303823582904923059e-06,9.877253475637391624e-05
6.846879388411870426e-05,1.648968801167123533e-04
6.779222203036473326e-05,4.292420002695808878e-05
1.296666350945453181e-05,1.613894275035404982e-04
1.380404516203710134e-05,4.331384234505876800e-06
1.860415231234298177e-05,1.407574704807775949e-05
2.106794990820268790e-05,6.086563243021821492e-05
2.271229011534750886e-05,7.426080171889389275e-05
3.495160465258494360e-05,1.674139274498687328e-05
1.682903924215325281e-05,6.826020829334440558e-05
5.136338564209366704e-05,2.365122018382450597e-05
3.123939787691471404e-05,3.586177956719762078e-05
1.090006581926293156e-05,1.710150503249961251e-04
7.600848215475349532e-05,1.488215596008987858e-04
5.142170607128732357e-06,1.511292915048627721e-05
1.823907850357270782e-05,1.405982234770068631e-05
5.259650510310352425e-05,3.052710357365348641e-05
9.705174225926423490e-06,4.842070173245416163e-05
2.725638812718072238e-05,2.270408397591169885e-05
3.443494426893892212e-05,1.743027860790936760e-04
8.458809186152316308e-06,7.586009704151381737e-05
1.860172938267079439e-05,8.139591905379541794e-05
1.710256484753134082e-05,1.093727205405209076e-05
1.151896055644658184e-05,2.029118942364210323e-04
1.998180346400700721e-04,1.695233380117476745e-06
9.324318876322562955e-06,1.360319177647372260e-04
5.463433698639835940e-05,1.534227358254696024e-04
1.350326160552344213e-05,2.975929680122400673e-05
6.746987336050908968e-06,2.303305073968746775e-04
2.216571036665244908e-05,4.635392368759141556e-05
3.827609913590517086e-05,5.388979077117022986e-05
5.021138775193080810e-05,7.514785330434516943e-05
9.539225438346375392e-05,2.289097466891246071e-03
3.803069019580497664e-04,2.509725812526822928e-04
2.569371674320150534e-05,1.159756721519742160e-04
1.030511217451511475e-05,1.672086969419249908e-05
3.145653023888801247e-05,5.940217227603472415e-05
1.532551862708453894e-05,1.884549876012990688e-05
5.048611779823202237e-05,1.340960081545083981e-04
5.466114184196591111e-06,5.917998398221974382e-05
2.135918211708769110e-04,1.296945516201765371e-05
4.707680271450566590e-05,5.511227706191726270e-05
3.712584466383564487e-06,1.804235486318265640e-05
9.842437277916462124e-06,5.994829681829704182e-05
4.523238522977003645e-05,1.783441871294319235e-05
6.484996231976105675e-05,5.167676007495958696e-05
5.604078556566682811e-06,1.230495155424223854e-04
4.080310265509986336e-05,4.691608662853917017e-05
2.853060851317928545e-06,3.127931713828341109e-05
1.829076720258062213e-05,6.381284297857389937e-05
6.081151215219701949e-05,1.154274449566882935e-04
1.152151945206789433e-05,1.324212560185790529e-05
4.431818402391957842e-06,6.836154036140792718e-05
2.314889552594174494e-05,2.430025624262704617e-04
1.092455935924665943e-05,9.952524806376654280e-05
3.753563091591052467e-05,5.358815106553946800e-05
8.251589441252920687e-06,1.077386097551127523e-04
9.235875244728791741e-06,8.605776464987032425e-05
2.650451367036656359e-06,1.235127434308832530e-04
2.370478637746182402e-05,4.407488703410062139e-06
1.702746000490239269e-05,7.751416842415671170e-06
6.094261573807582897e-06,1.669706393706234574e-04
2.427703853365303588e-05,8.212751390309579972e-06
5.585743126329003033e-05,8.095305091465435120e-05
1.612167000657077314e-05,3.277163708192639986e-05
2.615130839215161612e-05,1.512873492636056536e-05
2.628618518760783820e-05,7.606610113175763118e-05
5.997858245232307086e-06,6.364133686251117518e-05
1.563845587882165434e-04,6.291905726158153987e-04
1.248942696313059373e-05,2.362367908297841518e-05
3.854585129511516148e-05,2.815063906662321094e-04
4.316144201665551177e-05,7.631965469470315319e-05
1.739420572476252559e-05,2.261914671932159951e-05
3.669084609019716766e-05,1.304667955880160475e-04
2.557336794592504118e-05,9.858402308217117406e-05
4.845703889042870097e-06,5.219751869904846358e-05
1.434583379680948157e-05,6.882571455368433533e-05
1.083933200762522835e-05,2.442576623024424247e-05
1.260365980136626922e-05,1.856129419243260234e-05
5.428859612186005309e-06,1.243815197263517319e-04
6.169272349338773625e-05,3.821758294579140754e-05
9.925823894550730542e-05,4.541867697335921777e-05
5.318281136787070365e-05,6.995197397836496855e-05
7.125475100524997815e-05,6.874259482910491728e-05
1.416958033110351987e-05,8.996460662429421132e-06
1.058539730464637749e-05,2.340478330412310796e-04
9.181083506906326266e-06,5.782617846188425930e-05
3.808411235130827315e-05,3.920636437180231978e-05
2.509817982806582186e-05,8.385073145714653934e-05
1.851369191683879998e-05,6.641172603249918805e-05
7.303076697365491234e-05,1.255241578424224952e-04
2.998429148527544043e-05,9.535467988930095473e-05
8.645808491387737668e-06,1.183254028300257277e-04
1.012313546488480936e-05,2.529560333248686709e-04
3.955632370391039558e-05,1.443689916587044769e-04
5.668247761551423332e-05,4.124127358860735617e-05
3.472335467019324503e-05,1.299470046925431929e-05
1.333025052959223376e-04,3.699546849514229207e-04
1.025898950695437679e-04,3.759063527018535788e-05
3.108632800081146172e-05,2.834056326686630519e-05
8.646474054388225946e-06,6.221125407777367853e-06
5.396468519819313545e-06,7.505271488703037718e-05
1.357663809524071700e-05,5.978094293631967658e-05
4.247627649538691382e-05,8.116386817495359110e-06
1.242603986553466146e-04,8.613810290471259090e-05
3.036161991429355282e-05,2.750018413824857833e-05
6.435760235540643310e-05,1.261934341202750011e-03
1.564927808809831380e-05,2.524907635163685409e-05
3.728165560294509871e-05,2.965975293563173520e-05
4.556268649964459488e-05,1.750158654129832633e-05
2.762505333999244334e-06,2.317072753181696255e-04
1.322744015074196353e-05,3.196661420458789775e-05
5.169870112192994851e-05,2.094973549831216230e-05
2.631661816922677179e-05,1.167890151190257241e-04
6.044913806992441219e-06,9.541011269479167292e-06
1.760521193402722269e-06,1.058640433466732033e-04
1.387309743254921044e-05,4.239869452906780932e-04
1.861833002495650070e-05,9.868691901008065160e-05
8.263178532361195583e-06,1.075010897730502399e-04
2.307655600416532677e-05,1.420380906603369692e-04
3.318569869061704220e-05,3.890362939227220919e-04
3.911161353638903040e-05,2.135552875983967418e-04
1.896126931568294849e-06,8.474329873457132586e-05
5.373326494887092148e-06,1.479231210136431707e-04
1.474803163194779021e-05,1.726879464289216243e-05
3.544227811582263904e-05,1.269223287000164669e-04
3.262132733190631578e-05,1.495963898157750086e-05
3.205977796120018615e-05,3.218807695472167908e-05
1.363056001200252478e-05,1.237320797973349009e-06
1.441254252628932355e-05,8.094246524504069282e-05
9.654296072388122551e-06,2.308946821413929612e-05
4.311739024352670305e-05,1.896911576692481244e-04
7.966485949225362900e-06,7.985832587399947693e-05
4.679464010732540033e-05,1.926621388732205060e-04
2.462064975340158654e-05,1.362228632385400619e-05
1.911909922975207473e-05,1.738314671116191292e-04
1.037108736743431289e-05,6.258123830958061675e-04
5.156151213842766254e-06,1.250874340701295211e-04
1.046545169252182957e-05,1.290812196407481005e-04
1.437837590862875225e-05,6.128531269580118478e-05
1.871439576997276453e-06,2.664017643936945808e-05
1.641798069725796213e-05,1.246430251177533285e-04
5.040496295607316426e-05,8.204834165527521894e-06
3.526708804349126618e-05,3.028694784514564763e-05
1.217672567095941556e-05,5.970047254044551509e-06
2.096110488346359635e-05,2.149102385087501177e-05
1.146808206657306639e-05,1.080373624274756406e-04
2.320790624150749243e-05,9.169749457292422667e-05
9.330186503383325336e-05,5.315007097032588653e-05
5.267974709993049245e-05,6.134441906924541135e-05
3.366728449181320595e-05,5.201699837470267441e-06
1.221723135244510725e-05,3.197480563345936761e-05
4.233739196986503804e-05,2.207401395861315776e-05
3.701933764518241179e-06,2.267246917610224468e-05
1.553940089207961187e-05,1.026697328010338454e-04
3.585358970872251785e-05,1.780384087689431110e-05
4.193637075868267267e-05,2.420129115556788398e-05
3.908023200282713155e-05,4.085891371788770909e-06
2.685797944302095754e-05,3.513069286524872660e-05
1.644476672651886727e-05,1.355313584426907515e-05
3.425074250257260862e-05,5.498533535964151507e-05
7.712722460523597251e-06,1.596970275491727676e-05
8.593920290228479212e-06,5.668296360628052671e-05
2.127360175837926550e-05,4.203069112684088601e-05
2.378202198046064787e-05,3.718435246343116448e-04
3.222369939811789348e-06,9.080229693896960390e-05
3.152808243355727469e-05,5.498402295737120379e-06
4.331333916716796693e-05,1.095894910678126788e-05
1.851251585584786369e-05,5.342466956813069211e-05
2.149055344316917347e-04,1.638236526146154585e-05
1.010264395425874786e-05,1.419040429258415460e-06
1.393836500128691867e-05,2.525170022339911038e-04
1.347269934868541350e-05,1.186635082210116602e-04
1.853284683368701719e-05,9.342838935667984617e-05
1.439682160850422896e-05,2.412467922739929869e-05
4.898464207509187138e-06,8.353244595059960791e-05
1.157889422269832680e-05,2.147287726880153794e-05
1.813985729486697638e-05,6.393402969311993967e-05
6.832695574925223814e-05,1.656551515752053210e-05
1.809056359414829625e-04,3.084528964947302518e-04
7.603594366196318635e-05,7.596890512892182714e-06
9.210583873693231041e-06,2.193708333670542745e-04
9.973411110573468356e-06,5.239032825732193688e-05
1.705432259182145321e-05,2.778962114883076306e-05
1.191390338031841412e-04,6.109478504950653015e-05
1.695068458272277020e-05,1.205471079696431507e-04
5.302745912108271735e-06,2.577832432755515946e-04
1.211634220230260414e-05,7.280572798269237570e-05
4.263980792922714445e-05,1.717041256921981535e-05
3.987192931837373809e-05,5.345173803390149673e-05
1.637106761548225714e-05,4.423824986548439324e-04
3.961258802291448553e-05,2.519515250369753633e-04
2.059699443631572480e-06,1.487904855528193499e-04
2.218821980415217271e-05,1.299107179583508466e-04
4.729562019557927361e-05,1.157419465328809392e-04
8.696050859405167401e-06,2.008440641737835731e-04
8.665882262270514940e-06,2.890655721289734812e-05
3.093441177043046293e-06,9.834727325032774204e-06
9.806473956434073229e-05,5.431645427246595037e-05
9.733546261344948298e-06,1.874496346803711458e-05
2.545152216979690090e-05,1.409750877254322867e-05
3.658540224336095058e-05,2.106659716864696115e-05
9.072203058272063103e-05,9.867332257138784150e-04
1.714719321985716768e-05,5.887241038017827988e-05
1.166161267614166806e-05,7.719328018923962568e-05
2.377893065794005751e-05,1.153271335983409833e-05
7.222689981289487186e-05,5.471317544935135952e-06
1.687038540959565918e-05,1.871190278025462982e-05
7.697250536945689534e-06,2.808603884685789915e-04
4.284374063736003495e-06,7.467561238364509447e-05
5.896947764194911885e-06,1.025486289816073660e-04
4.747122656457210960e-05,1.213042985261126867e-04
1.451391431527530054e-05,2.459157118993535873e-05
1.089399111781818647e-05,2.644313592285505820e-04
9.774383651906282957e-06,2.339807809648001931e-05
2.177533993251817339e-05,2.702917244220827907e-04
1.574113232594609281e-05,8.501141935251992966e-05
1.521984441284150533e-05,5.842558617522144031e-06
7.709637027877172337e-05,2.037709796650823897e-05
9.310692420992281153e-05,5.871421487758274836e-06
3.997665639520400359e-06,2.019381706752279148e-04
2.775247442531380762e-05,4.853768470531698705e-05
9.196934067054058493e-06,3.448750796451145991e-06
1.560328017363223231e-05,7.848592140083053006e-05
2.724883202385284414e-05,2.624369817157887864e-05
1.616765039538353902e-05,8.427127607639018646e-06
2.518357897606331289e-05,3.744963324770326542e-04
3.920100873832686126e-05,5.686989100450314341e-05
2.685116137191018629e-05,3.515986814445274918e-05
1.047399972274350228e-05,3.096053312103450944e-05
1.066036508828972510e-05,8.134283352449358549e-06
4.739951847669905506e-06,1.044960653895376977e-05
8.514852367516896880e-06,2.336731040177199715e-04
1.422805247825735162e-04,2.831420328712303626e-05
9.058727878717070874e-06,5.134174924055510470e-05
6.063901841432349212e-06,4.300909164636012875e-06
2.754056848925333627e-05,1.028115453397751165e-05
1.791014862119077292e-05,1.039383598083052002e-04
1.644693333954992508e-05,7.867119809214325377e-05
8.184099176953990866e-05,4.099655959651197926e-04
3.463479972846382493e-05,2.505279781189142683e-04
1.177218260255040700e-05,3.790829063562460642e-05
1.308225008343851866e-05,8.819650029972534767e-05
1.209927773680911219e-05,3.419566473655248509e-05
4.796501519840035111e-05,5.886282252210692277e-04
1.469613661741429392e-05,1.985102310655659002e-04
3.328689793289565122e-06,6.129174170021347407e-05
1.905658278344227118e-05,6.359257684621788401e-05
4.300392391726691139e-06,2.831122182997029358e-04
1.776762146963346421e-04,1.002348990542166024e-04
7.614576414915038791e-06,3.245295599760353723e-04
1.701112442858517584e-05,3.595364920886362946e-06
2.589202505238280495e-05,8.696423300396258975e-05
1.498536581987562573e-05,2.693700974052073039e-05
1.496481639229598256e-05,4.114455088543863908e-04
3.049490314701063505e-05,3.198018003690847929e-04
9.201468946030697872e-05,5.200947826766866972e-05
4.308786295030451942e-05,3.156961435704538324e-04
8.772844157700259500e-05,4.248603086725501882e-04
7.022457060803812860e-06,5.466977578963882946e-05
2.747001117211089426e-05,9.710165693388246762e-04
2.335890602197340075e-05,4.815445330958031608e-05
2.841234021002859056e-05,3.865197467861901685e-05
7.919904527899372833e-05,1.413261177675884279e-04
1.603771480482969218e-05,3.270323910045516892e-05
1.333282323047895081e-05,5.539175391539496920e-05
3.411417786246672426e-05,2.713323122956590020e-04
3.378830169835006574e-06,5.116653106135083041e-05
1.578216057213976465e-05,6.540421767661320936e-06
1.748834369214446953e-05,7.769619384012326998e-05
7.967523025611981661e-06,2.168174604729332765e-05
5.755789350897499052e-05,1.412241570262930796e-04
6.913610163104378059e-06,1.152899966767404204e-04
1.745906896646077377e-05,2.922774210217906937e-04
2.681307117101871997e-05,1.485708228914131004e-04
7.741525351606186572e-05,1.849926594824415635e-04
1.978998177457935487e-05,2.240102895423449526e-05
5.100307207537390074e-05,1.312110112891123328e-04
4.029904094711462420e-05,5.306828389395722026e-04
2.262803964977179542e-05,2.188153466254223937e-05
6.727602673611970748e-06,4.334207457935785397e-04
4.764303767834176753e-06,2.586272895952479309e-05
2.224767869762771298e-05,1.798714815273624981e-05
1.162357542236282823e-05,7.134045354714735332e-05
5.014873878485036845e-05,1.180508548327986593e-04
4.216492826162476391e-05,1.493247036762540612e-04
1.662855301867310231e-05,1.576682581100847467e-05
6.284079362515522881e-06,8.422325932649359797e-05
3.333033099659460889e-05,2.196296266985721813e-05
7.226702362986878594e-06,8.375546238933497136e-06
9.367707014083673659e-06,1.640423325438287427e-05
7.510608857096133132e-06,2.030653115915456779e-05
1.741324723008016575e-05,9.349773373299961334e-05
6.445224794172839953e-05,1.992737287882897818e-04
1.989943627282510398e-05,8.534997382584099998e-06
1.283933596915096115e-05,7.627736943387348199e-05
4.349745525519126074e-06,1.218231344797385452e-05
3.473878750729782850e-05,1.063702035903935263e-04
9.164411500643372007e-06,2.368273515551148339e-05
2.249402892123500707e-05,1.416010047312694280e-05
1.403443086174287148e-05,1.305322632067857833e-04
4.624297188431619163e-05,2.472255238040793604e-05
1.709004074940935087e-05,3.422191621421332678e-05
1.885552395606515146e-05,3.483495000736794838e-06
3.250777921026572063e-05,1.556927695060360392e-04
1.644608348462112395e-04,1.339026750988572757e-04
4.862701321265780209e-05,5.032854537216041959e-05
1.830411992834722430e-05,7.995875736433591123e-06
2.006406219285375835e-05,2.134208460500857838e-04
1.183277014416199308e-05,2.247732316836904389e-05
7.734853701665219785e-06,2.902039519273842081e-05
1.150729850288917177e-05,8.014927071926746492e-04
9.240382767429195334e-06,2.149153791902610300e-05
3.844007969572747969e-05,1.218358881829743130e-04
6.851978314983205883e-06,9.815361190841008455e-05
7.586404334510668285e-05,7.985636926753480601e-05
4.242673292917000226e-05,7.013511925217961540e-05
2.041426666860608272e-05,7.854638010615583657e-05
2.000637324454185241e-05,6.929354212032791968e-05
1.145528234670884837e-05,4.697995281641743215e-05
2.620150062530232366e-05,3.066057604314043647e-04
5.937211886286664547e-05,1.034838358827625817e-05
9.900406444503624808e-06,1.703359613773811608e-04
4.316048068592802928e-06,1.341332573784486434e-04
4.040487832962988131e-05,1.155960690640000252e-04
2.766306826054719764e-05,1.910238555846247585e-04
6.524298723536605612e-06,4.474160060410334777e-05
9.605548522819820552e-06,5.308207005239540235e-06
8.470825787666553004e-06,4.584526004590523879e-05
9.691023110807741019e-06,1.521968939105254770e-05
1.446959453992111457e-05,2.077586452509087601e-05
1.532039533710023726e-05,1.125845494257876332e-05
1.043263233712229605e-05,2.819681914471950531e-05
9.370518716978345106e-06,2.443641829561900270e-05
1.591000138870304802e-05,2.883310777796732334e-06
2.365143544425877669e-05,1.158491946238531613e-04
1.457686579159672649e-05,7.179566814845938626e-04
6.371368004473900446e-05,1.034933787908393321e-04
3.324219451034329543e-05,3.919363094045949449e-05
4.075063855760369642e-06,4.682078979235603601e-05
3.376619111315790029e-05,3.016975594503711628e-05
3.664497298391468692e-05,5.570516692346982743e-05
1.294872471162903776e-05,4.782809807059826989e-05
4.484086008612354043e-06,1.822446439435644922e-05
2.016198766758132177e-05,3.767150522787491066e-04
1.984641967945805865e-05,8.393334866193924613e-06
6.514862055742969208e-06,1.183943328972918369e-04
4.685689409132328462e-06,4.428233560163436015e-05
1.832339625386410621e-05,4.893222074881554973e-04
1.584184855850831363e-05,7.526840997414164256e-05
1.317692123693799026e-05,3.246414861159775201e-05
1.839946409294621326e-05,3.714296431302591963e-05
6.638963817526352859e-06,5.245265949272404050e-05
1.294761576893111955e-05,1.268822212492350405e-05
3.409181425052657167e-05,1.992110206723823789e-05
1.409418348108449851e-05,5.871383185173677022e-06
3.757522391446764177e-06,1.651800052842253421e-05
1.246643703375450451e-05,5.596412068927454799e-05
6.859083347850299899e-06,7.168152650657372499e-05
2.612436934307789356e-05,4.649814709716141614e-06
2.751055301152141187e-05,4.240935445213299561e-05
3.807442288944446654e-06,9.830893776971539135e-05
4.272333440408932343e-05,4.112138791511004245e-05
6.576784659103415748e-06,2.337054877947492134e-05
9.509863004539069985e-05,3.049094125211349043e-05
1.904788380505553720e-05,2.613059838183837130e-05
5.750798846668706579e-06,2.328818928691774533e-05
6.383689379441950538e-06,6.159688097420778011e-05
2.832734422945334395e-05,7.973142392690957779e-04
1.352354693749519801e-05,2.048275075051388819e-05
