phase,annotated_age,state,batch,pseudotime
G2,14.13333333,unannotated,1,0.30604057682381774
S,10.93333333,cycling,1,0.2375001720692452
G2,16.26666667,cycling,1,0.3650274047745797
S,7.2,cycling,1,0.21556917893583577
G2,16.53333333,cycling,1,0.40257349954349975
G1,0.26666666699999997,cycling,1,0.14845630508488758
G0,6.666666667,arrested,1,0.14711426635386413
S,5.8666666670000005,cycling,1,0.22187170026034653
G0,0.8,arrested,1,0.12903463534670198
G2,16.53333333,unannotated,1,0.2856579010265274
G1,3.733333333,cycling,1,0.18675970232194372
G2,16.26666667,cycling,1,0.4982487442324307
G1,3.2,cycling,1,0.1293318323538979
S,6.933333332999999,cycling,1,0.19692562070561997
S,5.6,cycling,1,0.2965119134644961
G2,12.53333333,cycling,1,0.4614199892881558
S,9.6,cycling,1,0.311071739505727
G0,2.133333333,arrested,1,0.14979809649793596
S,6.933333332999999,cycling,1,0.23018484598472927
G1,6.4,cycling,1,1.0
G2,15.73333333,cycling,1,0.3214180203866007
G1,1.066666667,cycling,1,0.23066219213738204
G2,20.0,cycling,1,0.4297140860292311
G1,3.733333333,cycling,1,0.12855789020688208
S,6.666666667,cycling,1,0.21548380250456195
S,6.4,cycling,1,0.24850003893408695
S,21.6,cycling,1,0.3563120353776823
G1,2.4,cycling,1,0.1435272753883731
G0,1.066666667,arrested,1,0.13702226897976783
S,9.066666667,cycling,1,0.24912518645228046
G1,1.066666667,unannotated,1,0.15524245389831912
G1,4.533333333,cycling,1,0.15474858242504408
S,12.53333333,cycling,1,0.2140727569670074
G1,1.8666666669999998,cycling,1,0.16888189310770688
S,18.93333333,cycling,1,0.3618870547867641
G1,2.4,cycling,1,0.1289602076132223
G2,16.8,cycling,1,0.5467059219725019
G2,16.26666667,cycling,1,0.39945905023299977
G1,3.733333333,cycling,1,0.14927877369908263
G0,18.93333333,arrested,1,0.20432743977908036
S,8.8,cycling,1,0.34326437540157567
G1,3.733333333,unannotated,1,0.17340107853120162
S,6.1333333329999995,cycling,1,0.218293375313912
G1,3.2,cycling,1,0.20067403429426545
S,9.066666667,cycling,1,0.23815347597579747
G2,13.33333333,cycling,1,0.45041497095466665
G1,2.4,unannotated,1,0.1473590616970721
G0,1.066666667,arrested,1,0.1321607429827361
S,7.2,cycling,1,0.22587081090289812
S,6.933333332999999,cycling,1,0.17395873993791147
G2,12.53333333,cycling,1,0.37572869539024617
G1,0.533333333,cycling,1,0.11984762336165909
S,10.93333333,cycling,1,0.2685328661976974
G1,0.533333333,cycling,1,0.10320778928085832
G0,5.8666666670000005,arrested,1,0.22913000458736016
G1,2.4,cycling,1,0.15448781180541174
S,8.8,cycling,1,0.26011914004950876
G2,17.33333333,cycling,1,0.30786529290598574
G1,1.333333333,cycling,1,0.11271431656394572
G1,1.6,cycling,1,0.1648278854825886
S,8.266666667,cycling,1,0.19381728464571615
S,11.73333333,cycling,1,0.28708626492951966
S,10.13333333,cycling,1,0.38720373701837474
G0,2.133333333,arrested,1,0.21350622203601552
S,5.8666666670000005,cycling,1,0.21303568274887308
S,9.6,cycling,1,0.34701350142872694
G1,1.333333333,cycling,1,0.15270140182575684
S,5.8666666670000005,cycling,1,0.2964729379410024
G1,1.6,cycling,1,0.17484860055838397
G1,4.533333333,cycling,1,0.16569039361872326
G1,5.6,cycling,1,1.0
S,15.2,cycling,1,0.26642207745671354
G1,2.4,unannotated,1,0.1412351648454906
G1,4.533333333,cycling,1,0.18309923733546854
G2,12.8,cycling,1,0.37425474000413933
G1,1.333333333,cycling,1,0.10760278917779564
G1,1.8666666669999998,cycling,1,0.17641619148800514
S,8.266666667,cycling,1,0.28951771574156304
G0,3.4666666669999997,arrested,1,0.16475353524265354
G1,6.666666667,cycling,1,0.18571988002466686
G0,1.066666667,arrested,1,0.10215216923001326
S,5.6,cycling,1,0.22740206641469066
G2,17.33333333,cycling,1,0.28600741751666486
G0,2.4,arrested,1,0.16243320199210112
S,15.2,cycling,1,0.31405907202490885
G0,0.8,arrested,1,0.12660401357545373
G1,5.8666666670000005,cycling,1,0.18941973864605635
S,14.13333333,cycling,1,0.2614998766630044
S,8.533333333,cycling,1,0.2955489612882657
G1,2.4,cycling,1,0.10521492543006362
G1,2.933333333,cycling,1,0.13038113036112198
S,10.93333333,cycling,1,0.29378174809627
S,7.733333332999999,cycling,1,0.22919981082689214
G1,4.8,cycling,1,0.14512743130276626
G1,4.533333333,cycling,1,0.18386455157493514
S,14.93333333,cycling,1,0.29543883707901136
S,8.8,cycling,1,0.25967089648518765
G0,3.4666666669999997,arrested,1,0.15309160408835232
G1,2.133333333,cycling,1,0.14952425999868255
G1,2.4,cycling,1,0.15249730576071724
G0,1.066666667,arrested,1,0.10413471726111614
G1,1.6,cycling,1,0.17860318521866134
G2,16.26666667,cycling,1,0.3436501190565891
G1,4.533333333,cycling,1,0.18717995191488523
S,7.733333332999999,cycling,1,0.21317991797267616
S,6.666666667,cycling,1,0.1962126263695507
G1,2.4,unannotated,1,0.17674796034406223
S,17.06666667,cycling,1,1.0
G1,2.133333333,cycling,1,0.1675197991320439
G2,20.0,cycling,1,0.28071937510964007
G1,1.066666667,cycling,1,0.16258610790559458
G2,15.46666667,cycling,1,0.3431848626456151
S,10.93333333,cycling,1,0.23530159947829854
G1,3.2,cycling,1,0.15416260743299878
S,13.06666667,cycling,1,1.0
S,16.8,cycling,1,0.3146906321657192
G0,1.333333333,arrested,1,0.13423372618088303
S,10.13333333,cycling,1,0.2900275635001274
S,8.266666667,cycling,1,0.21573098732452184
G2,15.2,cycling,1,0.23447900336215474
G1,1.8666666669999998,cycling,1,0.17004291291388374
G1,2.666666667,cycling,1,0.17006250797975697
G0,1.066666667,arrested,1,0.1181678157717896
G0,1.6,arrested,1,0.1897601501941505
G2,14.66666667,cycling,1,0.2847434220061039
G2,16.8,cycling,1,0.3728903390414703
S,9.6,cycling,1,0.28996817734031277
G2,18.66666667,cycling,1,0.3487021901389086
G1,1.6,cycling,1,0.16252460483782666
G1,2.4,cycling,1,0.1282950352914464
G1,1.066666667,cycling,1,0.16094782483325937
G0,6.933333332999999,arrested,1,1.0
G1,5.066666667,cycling,1,0.18896239238711324
G2,14.66666667,cycling,1,0.24231902623784207
S,11.46666667,cycling,1,0.26140768789467744
G1,4.8,cycling,1,0.18653055198017718
S,11.73333333,cycling,1,0.2479762503489801
S,8.8,cycling,1,0.23993684302240256
S,8.266666667,cycling,1,0.23657957616879424
G2,18.13333333,cycling,1,0.3166134498220515
G1,6.933333332999999,cycling,1,0.14939674571849565
G2,15.73333333,cycling,1,0.26281687546984867
S,10.4,cycling,1,0.2825063173173704
S,14.4,cycling,1,0.28508501671672476
G2,14.13333333,cycling,1,0.2534357946650754
G2,15.2,cycling,1,0.3663196379135041
S,11.46666667,cycling,1,0.3122350265703461
G2,18.4,cycling,1,0.30197975211981887
G0,2.133333333,arrested,1,0.16738830721946096
G0,1.6,arrested,1,0.1711582084737786
S,6.933333332999999,cycling,1,0.1959449039797222
S,11.46666667,cycling,1,0.2970273031862297
G1,4.533333333,cycling,1,0.12407614926551223
G0,1.333333333,arrested,1,0.17530139851704726
G1,0.0,cycling,1,0.1094020427001753
G1,0.533333333,cycling,1,0.17772611235727692
S,5.6,cycling,1,0.19697245206462696
S,6.1333333329999995,cycling,1,0.22191921843611434
S,8.266666667,cycling,1,0.29053288636215047
S,5.333333333,cycling,1,0.21734071800965724
G0,1.066666667,arrested,1,0.16378600006695643
S,4.8,cycling,1,0.20956188670377335
S,8.266666667,cycling,1,0.258029903199239
S,7.2,cycling,1,0.23730305574302055
G1,2.4,unannotated,1,0.1727276404140379
G2,15.2,cycling,1,0.47538763212691043
G0,1.333333333,arrested,1,0.16133559690120403
S,15.2,cycling,1,0.2548383359973058
G1,1.333333333,cycling,1,1.0
G0,6.666666667,arrested,1,0.16720626498567404
G0,13.6,arrested,1,0.20376115661908886
G1,0.533333333,cycling,1,0.17284919584989158
G0,2.4,arrested,1,0.1925284614891327
G2,16.26666667,cycling,1,0.4395849387405417
G2,22.13333333,cycling,1,0.43901113564096844
G1,2.133333333,cycling,1,0.1936040631938057
G0,1.6,arrested,1,0.15207831531982036
G2,15.2,cycling,1,0.28685485209501876
S,4.8,cycling,1,0.21063449095691636
G0,1.066666667,arrested,1,0.16202074110480116
G1,1.333333333,unannotated,1,0.16933548120158157
G2,16.0,cycling,1,0.3409098428608179
G1,3.733333333,cycling,1,0.1628081427398526
G1,2.133333333,unannotated,1,0.16066271999253126
G1,2.133333333,cycling,1,0.1587091805468878
G1,0.26666666699999997,cycling,1,0.11694136560610152
S,10.13333333,cycling,1,0.2577772360603037
G1,5.333333333,cycling,1,0.23059937499329855
G1,1.6,unannotated,1,0.17411225922673515
G1,1.6,unannotated,1,0.17599778374481473
G2,12.53333333,cycling,1,0.3078760679432067
G1,2.933333333,cycling,1,0.15915617414945832
G1,3.733333333,cycling,1,0.26368948665749775
G1,3.733333333,cycling,1,0.25236171468124663
G1,2.666666667,cycling,1,0.15231986316020252
G2,15.2,cycling,1,0.34819059782303824
G1,4.8,cycling,1,0.19919122727142624
G1,1.6,unannotated,1,0.10800718145130785
G2,15.2,cycling,1,0.26258608457213667
G1,5.6,cycling,1,0.15696108343010085
S,13.6,cycling,1,0.20026033941001414
G1,2.4,cycling,1,1.0
G2,12.53333333,cycling,1,0.3614996938052292
G1,1.6,unannotated,1,0.20994724811538998
G2,15.2,cycling,1,0.35682518130141033
G2,16.53333333,cycling,1,0.3769588340653831
G0,1.066666667,arrested,1,0.17460043242929793
S,13.6,cycling,1,0.2621251470737606
S,6.4,cycling,1,0.3093283758205969
G1,5.066666667,cycling,1,0.1483206471677987
S,12.0,cycling,1,0.2507676711184499
G1,3.733333333,cycling,1,0.233067712751236
G1,2.133333333,cycling,1,0.1834225890046117
S,11.73333333,cycling,1,0.31913767278209476
G1,3.2,unannotated,1,0.11032774901641222
S,12.0,cycling,1,0.25032504973405734
G2,15.2,cycling,1,0.3063367309236685
S,12.0,cycling,1,0.28446262031341474
G1,0.8,unannotated,1,0.19391970110047344
S,11.46666667,cycling,1,0.23286392183708468
S,6.666666667,cycling,1,0.22303949975370332
S,10.66666667,cycling,1,0.2549287098773439
G0,2.133333333,arrested,1,0.18106651813128688
G1,2.4,unannotated,1,0.19469807898260497
G1,0.8,unannotated,1,0.1607331697704784
G2,15.73333333,cycling,1,0.3920324707074168
S,10.4,cycling,1,0.26569578408360484
G0,0.8,arrested,1,0.14441184751031488
G0,0.533333333,arrested,1,0.13629408459262704
G1,1.333333333,unannotated,1,0.1524163823615435
G2,15.73333333,cycling,1,0.33213646998118357
S,7.466666667,cycling,1,0.23432839117667864
G1,2.133333333,unannotated,1,0.16309704900379482
G1,2.4,cycling,1,0.18724253267913238
S,4.533333333,cycling,1,0.19387526562538182
G1,0.0,cycling,1,0.05734213361317939
G0,2.4,arrested,1,0.1477238975541123
G1,0.533333333,unannotated,1,0.15363223991117728
G1,0.533333333,cycling,1,0.16950226958005915
G1,0.533333333,cycling,1,0.14946075012607082
S,4.266666667,cycling,1,0.2594584034216326
G1,3.4666666669999997,cycling,1,0.15733886435315128
G1,0.0,cycling,1,0.07126544920027479
G2,22.13333333,cycling,1,0.33526638136555903
G2,14.93333333,cycling,1,0.34382881708575047
S,5.6,cycling,1,0.2456525787310108
G1,1.6,unannotated,1,0.13696962750891842
S,13.86666667,unannotated,1,0.21624235599758074
G0,0.8,arrested,1,0.14624188651914058
S,12.0,cycling,1,0.2649235252311283
S,5.333333333,cycling,1,0.310210747992595
G1,0.26666666699999997,cycling,1,0.1545078755489472
G0,5.6,arrested,1,0.188623694457941
G1,4.266666667,cycling,1,0.1499695208028864
G2,16.0,cycling,1,0.2586686988713071
S,10.4,cycling,1,0.2614710790771485
G2,22.93333333,cycling,1,0.5023638762936627
S,5.6,cycling,1,0.1994793273257969
G1,4.266666667,unannotated,1,0.1927932813495334
G1,4.0,cycling,1,0.1703150636569012
G1,2.133333333,cycling,1,0.18461609695776013
G1,2.4,unannotated,1,0.14904365005979545
S,8.266666667,cycling,1,0.24328301584823506
S,15.2,cycling,1,0.2570113808463214
G1,7.2,cycling,1,0.1953649777854532
G0,10.93333333,arrested,1,0.3217043693248219
G1,3.2,cycling,1,0.1286658215662315
S,5.6,cycling,1,0.24294705451198864
S,12.0,cycling,1,0.21586535455902126
G1,5.066666667,cycling,1,0.19803543557873018
S,10.13333333,cycling,1,0.2535387430824908
S,5.6,cycling,1,0.19268801235121347
G1,2.4,unannotated,1,0.1474490768439014
G0,1.6,arrested,1,0.18834669746419683
G0,2.666666667,arrested,1,0.22203965452131802
G2,15.2,cycling,1,0.2870303934338397
S,7.2,cycling,1,0.2354602954647032
G0,2.666666667,arrested,1,0.14932767185001883
S,8.8,cycling,1,0.2245754659775866
S,10.13333333,cycling,1,0.25810152827199256
G1,4.266666667,cycling,1,0.14238477221391935
G1,3.4666666669999997,cycling,1,0.14483534183519223
G1,4.266666667,cycling,1,0.18142471620241682
G1,1.066666667,cycling,1,0.1822916850414412
G0,13.86666667,arrested,1,0.2256250113637702
G0,18.66666667,arrested,1,0.21179786519705754
S,12.0,cycling,1,0.26094257749855726
G1,3.2,cycling,1,0.24577399083072635
G1,0.533333333,cycling,1,0.1120462649295409
G1,5.066666667,unannotated,1,0.19645978572163994
G1,4.266666667,cycling,1,0.12484813867410952
S,8.0,cycling,1,0.22676265715873067
G0,1.6,arrested,1,0.17293688243057537
G0,0.533333333,arrested,1,0.16184428673965148
G1,4.533333333,cycling,1,0.1252912184589232
S,5.6,cycling,1,0.26066657148865147
G1,1.066666667,cycling,1,0.18283551969450135
G1,4.533333333,cycling,1,0.16472069652979768
G1,6.666666667,unannotated,1,0.17661987933504786
G2,13.06666667,cycling,1,1.0
S,5.6,cycling,1,0.2504920457553744
G1,0.26666666699999997,cycling,1,0.08187928899157443
S,5.6,cycling,1,0.23908364495179873
G0,0.8,arrested,1,0.12464023005899892
G2,16.26666667,cycling,1,0.293682072679028
G0,10.93333333,arrested,1,0.35764555519289576
G1,2.666666667,cycling,1,0.1278515579282351
G1,19.73333333,unannotated,1,0.19496447947874623
G1,0.26666666699999997,cycling,1,0.10198411426262972
S,7.2,cycling,1,0.2392123007509149
G1,2.933333333,cycling,1,0.19543251815579465
G1,1.066666667,unannotated,1,0.15135536488707801
S,12.8,cycling,1,0.26004053995851134
S,4.8,cycling,1,0.26599648952670635
S,12.8,cycling,1,0.28845951125357394
G1,1.6,unannotated,1,0.17552461594924823
G1,6.666666667,cycling,1,1.0
G0,2.666666667,arrested,1,0.1502675347725136
G0,2.133333333,arrested,1,0.1691634428329668
S,13.6,cycling,1,0.21225279447014514
S,15.2,cycling,1,0.28226876274861085
G1,2.933333333,cycling,1,0.1922009087268477
G0,5.6,arrested,1,1.0
G0,22.93333333,arrested,1,0.26188300153817945
G1,2.133333333,cycling,1,0.14043520138811358
G1,2.933333333,cycling,1,0.15529409104838693
S,5.6,cycling,1,0.30124975520475467
G1,0.26666666699999997,cycling,1,0.11745373179824609
G1,4.8,cycling,1,0.17803394654025081
G2,15.2,cycling,1,0.35480046928525194
S,5.333333333,cycling,1,0.24575754992507123
G0,0.8,arrested,1,0.16899067629629666
G1,3.2,unannotated,1,0.16092099198876056
S,5.8666666670000005,cycling,1,0.24017003684932464
G1,4.8,unannotated,1,0.11105439185486887
G1,1.8666666669999998,cycling,1,0.14761856596124165
G1,4.266666667,cycling,1,0.16165763444041237
S,12.26666667,cycling,1,0.3318309196316746
G1,4.8,cycling,1,0.17655710501487892
S,6.933333332999999,cycling,1,0.24096047463096767
G1,1.066666667,unannotated,1,0.13804955027489355
G1,2.666666667,cycling,1,0.15394986647833891
S,6.666666667,cycling,1,0.2253589135206134
G2,20.26666667,cycling,1,0.37898190410291066
S,6.933333332999999,cycling,1,0.1743146106253695
G1,4.266666667,cycling,1,0.16889240276284093
G2,12.53333333,cycling,1,0.28281444232231706
S,6.933333332999999,cycling,1,0.22313298138547188
G1,4.0,cycling,1,0.1994408258637273
S,12.8,cycling,1,0.300385196517244
S,5.6,cycling,1,0.33765718913740667
S,5.8666666670000005,cycling,1,0.2409840834633704
S,9.066666667,cycling,1,0.30704784898293525
G1,17.86666667,unannotated,1,0.2774648852786163
G2,14.66666667,cycling,1,0.2841868112200346
G2,16.8,cycling,1,0.3450970002929263
S,10.13333333,cycling,1,0.26288390371010323
G1,4.266666667,unannotated,1,0.19113347865389668
S,5.6,cycling,1,0.2198265930524311
S,8.0,cycling,1,1.0
G1,0.0,cycling,1,1.0
S,5.8666666670000005,cycling,1,0.22043312545800342
G0,19.73333333,arrested,1,0.2077480101215818
S,9.6,cycling,1,0.2668438409836614
S,9.066666667,cycling,1,0.22438279536312328
G1,0.533333333,cycling,1,0.15472529462258489
S,8.533333333,cycling,1,0.2305305373853279
G0,1.6,arrested,1,0.16639964750624098
G1,0.0,cycling,1,0.1093052047059669
G1,3.733333333,cycling,1,0.1815028930142191
G1,4.8,cycling,1,0.194390068297
S,7.466666667,cycling,1,0.19520418632207337
S,8.266666667,cycling,1,0.26230429610921835
G1,0.533333333,unannotated,1,0.1671239906230541
