N,d,r,scan_type,counts_path,amplitudes_path
40,10,27,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r27_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r27_XEB_amplitudes.json
40,10,28,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r28_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r28_XEB_amplitudes.json
40,10,29,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r29_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r29_XEB_amplitudes.json
40,10,2,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r2_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r2_XEB_amplitudes.json
40,10,30,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r30_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r30_XEB_amplitudes.json
40,10,31,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r31_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r31_XEB_amplitudes.json
40,10,32,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r32_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r32_XEB_amplitudes.json
40,10,33,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r33_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r33_XEB_amplitudes.json
40,10,34,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r34_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r34_XEB_amplitudes.json
40,10,35,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r35_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r35_XEB_amplitudes.json
40,10,36,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r36_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r36_XEB_amplitudes.json
40,10,37,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r37_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r37_XEB_amplitudes.json
40,10,38,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r38_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r38_XEB_amplitudes.json
40,10,39,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r39_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r39_XEB_amplitudes.json
40,10,3,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r3_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r3_XEB_amplitudes.json
40,10,40,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r40_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r40_XEB_amplitudes.json
40,10,41,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r41_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r41_XEB_amplitudes.json
40,10,42,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r42_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r42_XEB_amplitudes.json
40,10,43,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r43_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r43_XEB_amplitudes.json
40,10,44,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r44_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r44_XEB_amplitudes.json
40,10,45,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r45_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r45_XEB_amplitudes.json
40,10,46,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r46_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r46_XEB_amplitudes.json
40,10,47,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r47_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r47_XEB_amplitudes.json
40,10,48,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r48_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r48_XEB_amplitudes.json
40,10,49,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r49_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r49_XEB_amplitudes.json
40,10,4,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r4_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r4_XEB_amplitudes.json
40,10,50,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r50_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r50_XEB_amplitudes.json
40,10,5,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r5_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r5_XEB_amplitudes.json
40,10,6,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r6_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r6_XEB_amplitudes.json
40,10,7,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r7_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r7_XEB_amplitudes.json
40,10,8,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r8_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r8_XEB_amplitudes.json
40,10,9,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r9_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r9_XEB_amplitudes.json
40,12,10,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r10_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r10_XEB_amplitudes.json
40,12,11,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r11_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r11_XEB_amplitudes.json
40,12,12,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r12_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r12_XEB_amplitudes.json
40,12,13,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r13_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r13_XEB_amplitudes.json
40,12,14,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r14_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r14_XEB_amplitudes.json
40,12,15,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r15_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r15_XEB_amplitudes.json
40,12,16,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r16_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r16_XEB_amplitudes.json
40,12,17,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r17_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r17_XEB_amplitudes.json
40,12,18,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r18_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r18_XEB_amplitudes.json
40,12,19,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r19_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r19_XEB_amplitudes.json
40,12,1,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r1_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r1_XEB_amplitudes.json
40,12,20,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r20_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r20_XEB_amplitudes.json
40,12,21,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r21_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r21_XEB_amplitudes.json
40,12,22,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r22_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r22_XEB_amplitudes.json
40,12,23,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r23_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r23_XEB_amplitudes.json
40,12,24,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r24_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r24_XEB_amplitudes.json
40,12,25,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r25_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r25_XEB_amplitudes.json
40,12,26,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r26_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r26_XEB_amplitudes.json
40,12,27,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r27_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r27_XEB_amplitudes.json
40,12,28,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r28_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r28_XEB_amplitudes.json
40,12,29,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r29_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r29_XEB_amplitudes.json
40,12,2,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r2_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r2_XEB_amplitudes.json
40,12,30,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r30_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r30_XEB_amplitudes.json
40,12,31,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r31_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r31_XEB_amplitudes.json
40,12,32,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r32_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r32_XEB_amplitudes.json
40,12,33,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r33_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r33_XEB_amplitudes.json
40,12,34,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r34_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r34_XEB_amplitudes.json
40,12,35,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r35_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r35_XEB_amplitudes.json
40,12,36,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r36_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r36_XEB_amplitudes.json
40,12,37,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r37_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r37_XEB_amplitudes.json
40,12,38,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r38_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r38_XEB_amplitudes.json
40,12,39,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r39_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r39_XEB_amplitudes.json
40,12,3,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r3_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r3_XEB_amplitudes.json
40,12,40,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r40_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r40_XEB_amplitudes.json
40,12,41,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r41_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r41_XEB_amplitudes.json
40,12,42,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r42_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r42_XEB_amplitudes.json
40,12,43,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r43_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r43_XEB_amplitudes.json
40,12,44,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r44_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r44_XEB_amplitudes.json
40,12,45,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r45_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r45_XEB_amplitudes.json
40,12,46,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r46_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r46_XEB_amplitudes.json
40,12,47,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r47_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r47_XEB_amplitudes.json
40,12,48,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r48_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r48_XEB_amplitudes.json
40,12,49,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r49_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r49_XEB_amplitudes.json
40,12,4,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r4_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r4_XEB_amplitudes.json
40,12,50,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r50_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r50_XEB_amplitudes.json
40,12,5,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r5_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r5_XEB_amplitudes.json
40,12,6,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r6_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r6_XEB_amplitudes.json
40,12,7,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r7_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r7_XEB_amplitudes.json
40,12,8,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r8_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r8_XEB_amplitudes.json
40,12,9,depth_scan,data/results/N40_verification/N40_d12_XEB/N40_d12_r9_XEB_counts.json,data/amplitudes/N40_verification/N40_d12_XEB/N40_d12_r9_XEB_amplitudes.json
40,14,10,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r10_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r10_XEB_amplitudes.json
40,14,11,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r11_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r11_XEB_amplitudes.json
40,14,12,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r12_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r12_XEB_amplitudes.json
40,14,13,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r13_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r13_XEB_amplitudes.json
40,14,14,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r14_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r14_XEB_amplitudes.json
40,14,15,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r15_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r15_XEB_amplitudes.json
40,14,16,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r16_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r16_XEB_amplitudes.json
40,14,17,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r17_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r17_XEB_amplitudes.json
40,14,18,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r18_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r18_XEB_amplitudes.json
40,14,19,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r19_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r19_XEB_amplitudes.json
40,14,1,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r1_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r1_XEB_amplitudes.json
40,14,20,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r20_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r20_XEB_amplitudes.json
40,14,21,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r21_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r21_XEB_amplitudes.json
40,14,22,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r22_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r22_XEB_amplitudes.json
40,14,23,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r23_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r23_XEB_amplitudes.json
40,14,24,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r24_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r24_XEB_amplitudes.json
40,14,25,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r25_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r25_XEB_amplitudes.json
40,14,26,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r26_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r26_XEB_amplitudes.json
40,14,27,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r27_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r27_XEB_amplitudes.json
40,14,28,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r28_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r28_XEB_amplitudes.json
40,14,29,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r29_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r29_XEB_amplitudes.json
40,14,2,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r2_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r2_XEB_amplitudes.json
40,14,30,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r30_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r30_XEB_amplitudes.json
40,14,31,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r31_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r31_XEB_amplitudes.json
40,14,32,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r32_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r32_XEB_amplitudes.json
40,14,33,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r33_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r33_XEB_amplitudes.json
40,14,34,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r34_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r34_XEB_amplitudes.json
40,14,35,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r35_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r35_XEB_amplitudes.json
40,14,36,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r36_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r36_XEB_amplitudes.json
40,14,37,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r37_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r37_XEB_amplitudes.json
40,14,38,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r38_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r38_XEB_amplitudes.json
40,14,39,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r39_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r39_XEB_amplitudes.json
40,14,3,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r3_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r3_XEB_amplitudes.json
40,14,40,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r40_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r40_XEB_amplitudes.json
40,14,41,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r41_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r41_XEB_amplitudes.json
40,14,42,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r42_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r42_XEB_amplitudes.json
40,14,43,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r43_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r43_XEB_amplitudes.json
40,14,44,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r44_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r44_XEB_amplitudes.json
40,14,45,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r45_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r45_XEB_amplitudes.json
40,14,46,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r46_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r46_XEB_amplitudes.json
40,14,47,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r47_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r47_XEB_amplitudes.json
40,14,48,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r48_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r48_XEB_amplitudes.json
40,14,49,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r49_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r49_XEB_amplitudes.json
40,14,4,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r4_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r4_XEB_amplitudes.json
40,14,50,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r50_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r50_XEB_amplitudes.json
40,14,5,depth_scan,data/results/N40_verification/N40_d14_XEB/N40_d14_r5_XEB_counts.json,data/amplitudes/N40_verification/N40_d14_XEB/N40_d14_r5_XEB_amplitudes.json
