inner_element,outer_element,inner_category,outer_category,computed_mismatch,target_midpoint,range_lower,range_upper,within_range,distance_to_target,energy_bonus,composite_score
Cu,Na,MC,Ch2,0.3118279569892473,0.20500000000000002,0.19,0.22,False,0.1068279569892473,-0.0,0.1128279569892473
Ag,Cu,MC,BG,0.11111111111111106,0.09,0.08,0.1,False,0.021111111111111067,4.55,0.11411111111111107
Cu,Ag,MC,BG,0.11111111111111106,0.09,0.08,0.1,False,0.021111111111111067,4.55,0.11411111111111107
Rb,Cs,MC,BG,0.06415094339622639,0.09,0.08,0.1,False,0.02584905660377361,4.55,0.11884905660377361
Cs,Rb,MC,BG,0.06415094339622639,0.09,0.08,0.1,False,0.02584905660377361,4.55,0.11884905660377361
Rb,Cs,MC,MC,0.06415094339622639,0.04,0.03,0.05,False,0.024150943396226386,4.82,0.1205509433962264
Cs,Rb,MC,MC,0.06415094339622639,0.04,0.03,0.05,False,0.024150943396226386,4.82,0.1205509433962264
Ag,Cu,MC,Ch1,0.11111111111111106,0.14,0.12,0.16,False,0.02888888888888895,4.61,0.12508888888888894
Cu,Ag,MC,Ch1,0.11111111111111106,0.14,0.12,0.16,False,0.02888888888888895,4.61,0.12508888888888894
K,Rb,MC,Ch2,0.08467741935483869,0.20500000000000002,0.19,0.22,False,0.12032258064516133,-0.0,0.12632258064516133
Rb,K,MC,Ch2,0.08467741935483869,0.20500000000000002,0.19,0.22,False,0.12032258064516133,-0.0,0.12632258064516133
Na,Ni,MC,Ch2,0.33333333333333337,0.20500000000000002,0.19,0.22,False,0.12833333333333335,-0.0,0.13433333333333336
Ni,Na,MC,Ch2,0.33333333333333337,0.20500000000000002,0.19,0.22,False,0.12833333333333335,-0.0,0.13433333333333336
Na,K,MC,Ch1,0.1806167400881057,0.14,0.12,0.16,False,0.040616740088105674,4.61,0.13681674008810568
K,Na,MC,Ch1,0.1806167400881057,0.14,0.12,0.16,False,0.040616740088105674,4.61,0.13681674008810568
K,Rb,MC,MC,0.08467741935483869,0.04,0.03,0.05,False,0.04467741935483869,4.82,0.1410774193548387
Rb,K,MC,MC,0.08467741935483869,0.04,0.03,0.05,False,0.04467741935483869,4.82,0.1410774193548387
Ag,Ni,MC,BG,0.13888888888888887,0.09,0.08,0.1,False,0.04888888888888887,4.55,0.14188888888888887
Ni,Ag,MC,BG,0.13888888888888887,0.09,0.08,0.1,False,0.04888888888888887,4.55,0.14188888888888887
K,Cs,MC,BG,0.1433962264150943,0.09,0.08,0.1,False,0.05339622641509431,4.55,0.1463962264150943
Cs,K,MC,BG,0.1433962264150943,0.09,0.08,0.1,False,0.05339622641509431,4.55,0.1463962264150943
Rb,Cs,MC,Ch2,0.06415094339622639,0.20500000000000002,0.19,0.22,False,0.14084905660377361,-0.0,0.14684905660377362
Cs,Rb,MC,Ch2,0.06415094339622639,0.20500000000000002,0.19,0.22,False,0.14084905660377361,-0.0,0.14684905660377362
K,Rb,MC,Ch1,0.08467741935483869,0.14,0.12,0.16,False,0.05532258064516132,4.61,0.15152258064516133
Rb,K,MC,Ch1,0.08467741935483869,0.14,0.12,0.16,False,0.05532258064516132,4.61,0.15152258064516133
Cu,Ni,MC,BG,0.03125000000000003,0.09,0.08,0.1,False,0.05874999999999997,4.55,0.15174999999999997
Ni,Cu,MC,BG,0.03125000000000003,0.09,0.08,0.1,False,0.05874999999999997,4.55,0.15174999999999997
K,Ag,MC,Ch2,0.3656387665198238,0.20500000000000002,0.19,0.22,False,0.16063876651982378,-0.0,0.1666387665198238
Ag,K,MC,Ch2,0.3656387665198238,0.20500000000000002,0.19,0.22,False,0.16063876651982378,-0.0,0.1666387665198238
Ag,Cu,MC,MC,0.11111111111111106,0.04,0.03,0.05,False,0.07111111111111107,4.82,0.16751111111111108
Cu,Ag,MC,MC,0.11111111111111106,0.04,0.03,0.05,False,0.07111111111111107,4.82,0.16751111111111108
Rb,Cs,MC,Ch1,0.06415094339622639,0.14,0.12,0.16,False,0.07584905660377363,4.61,0.17204905660377362
Cs,Rb,MC,Ch1,0.06415094339622639,0.14,0.12,0.16,False,0.07584905660377363,4.61,0.17204905660377362
Cu,Ni,MC,Ch2,0.03125000000000003,0.20500000000000002,0.19,0.22,False,0.17375,-0.0,0.17975
Ni,Cu,MC,Ch2,0.03125000000000003,0.20500000000000002,0.19,0.22,False,0.17375,-0.0,0.17975
Na,Ag,MC,Ch1,0.2258064516129033,0.14,0.12,0.16,False,0.08580645161290329,4.61,0.1820064516129033
Ag,Na,MC,Ch1,0.2258064516129033,0.14,0.12,0.16,False,0.08580645161290329,4.61,0.1820064516129033
Na,K,MC,BG,0.1806167400881057,0.09,0.08,0.1,False,0.09061674008810569,4.55,0.1836167400881057
K,Na,MC,BG,0.1806167400881057,0.09,0.08,0.1,False,0.09061674008810569,4.55,0.1836167400881057
Ag,Ni,MC,MC,0.13888888888888887,0.04,0.03,0.05,False,0.09888888888888886,4.82,0.19528888888888887
Ni,Ag,MC,MC,0.13888888888888887,0.04,0.03,0.05,False,0.09888888888888886,4.82,0.19528888888888887
K,Cs,MC,MC,0.1433962264150943,0.04,0.03,0.05,False,0.1033962264150943,4.82,0.1997962264150943
Cs,K,MC,MC,0.1433962264150943,0.04,0.03,0.05,False,0.1033962264150943,4.82,0.1997962264150943
Cu,Ni,MC,Ch1,0.03125000000000003,0.14,0.12,0.16,False,0.10874999999999999,4.61,0.20495
Ni,Cu,MC,Ch1,0.03125000000000003,0.14,0.12,0.16,False,0.10874999999999999,4.61,0.20495
Na,Rb,MC,Ch1,0.24999999999999994,0.14,0.12,0.16,False,0.10999999999999993,4.61,0.20619999999999994
Rb,Na,MC,Ch1,0.24999999999999994,0.14,0.12,0.16,False,0.10999999999999993,4.61,0.20619999999999994
Rb,Ag,MC,Ch2,0.41935483870967744,0.20500000000000002,0.19,0.22,False,0.21435483870967742,-0.0,0.22035483870967743
Ag,Rb,MC,Ch2,0.41935483870967744,0.20500000000000002,0.19,0.22,False,0.21435483870967742,-0.0,0.22035483870967743
Na,Ag,MC,BG,0.2258064516129033,0.09,0.08,0.1,False,0.1358064516129033,4.55,0.2288064516129033
Ag,Na,MC,BG,0.2258064516129033,0.09,0.08,0.1,False,0.1358064516129033,4.55,0.2288064516129033
Na,K,MC,MC,0.1806167400881057,0.04,0.03,0.05,False,0.14061674008810568,4.82,0.2370167400881057
K,Na,MC,MC,0.1806167400881057,0.04,0.03,0.05,False,0.14061674008810568,4.82,0.2370167400881057
K,Cu,MC,Ch2,0.43612334801762115,0.20500000000000002,0.19,0.22,False,0.23112334801762113,-0.0,0.23712334801762114
Cu,K,MC,Ch2,0.43612334801762115,0.20500000000000002,0.19,0.22,False,0.23112334801762113,-0.0,0.23712334801762114
Na,Rb,MC,BG,0.24999999999999994,0.09,0.08,0.1,False,0.15999999999999995,4.55,0.25299999999999995
Rb,Na,MC,BG,0.24999999999999994,0.09,0.08,0.1,False,0.15999999999999995,4.55,0.25299999999999995
Na,Cs,MC,Ch1,0.29811320754716975,0.14,0.12,0.16,False,0.15811320754716973,4.61,0.25431320754716974
Cs,Na,MC,Ch1,0.29811320754716975,0.14,0.12,0.16,False,0.15811320754716973,4.61,0.25431320754716974
K,Ni,MC,Ch2,0.4537444933920705,0.20500000000000002,0.19,0.22,False,0.2487444933920705,-0.0,0.2547444933920705
Ni,K,MC,Ch2,0.4537444933920705,0.20500000000000002,0.19,0.22,False,0.2487444933920705,-0.0,0.2547444933920705
Cs,Ag,MC,Ch2,0.45660377358490567,0.20500000000000002,0.19,0.22,False,0.25160377358490565,-0.0,0.25760377358490566
Ag,Cs,MC,Ch2,0.45660377358490567,0.20500000000000002,0.19,0.22,False,0.25160377358490565,-0.0,0.25760377358490566
Na,Cu,MC,Ch1,0.3118279569892473,0.14,0.12,0.16,False,0.1718279569892473,4.61,0.2680279569892473
Cu,Na,MC,Ch1,0.3118279569892473,0.14,0.12,0.16,False,0.1718279569892473,4.61,0.2680279569892473
Na,Ag,MC,MC,0.2258064516129033,0.04,0.03,0.05,False,0.1858064516129033,4.82,0.2822064516129033
Ag,Na,MC,MC,0.2258064516129033,0.04,0.03,0.05,False,0.1858064516129033,4.82,0.2822064516129033
Rb,Cu,MC,Ch2,0.48387096774193544,0.20500000000000002,0.19,0.22,False,0.2788709677419354,-0.0,0.28487096774193543
Cu,Rb,MC,Ch2,0.48387096774193544,0.20500000000000002,0.19,0.22,False,0.2788709677419354,-0.0,0.28487096774193543
Na,Ni,MC,Ch1,0.33333333333333337,0.14,0.12,0.16,False,0.19333333333333336,4.61,0.28953333333333336
Ni,Na,MC,Ch1,0.33333333333333337,0.14,0.12,0.16,False,0.19333333333333336,4.61,0.28953333333333336
Rb,Ni,MC,Ch2,0.5,0.20500000000000002,0.19,0.22,False,0.295,-0.0,0.301
Ni,Rb,MC,Ch2,0.5,0.20500000000000002,0.19,0.22,False,0.295,-0.0,0.301
Na,Cs,MC,BG,0.29811320754716975,0.09,0.08,0.1,False,0.20811320754716975,4.55,0.30111320754716975
Cs,Na,MC,BG,0.29811320754716975,0.09,0.08,0.1,False,0.20811320754716975,4.55,0.30111320754716975
Na,Rb,MC,MC,0.24999999999999994,0.04,0.03,0.05,False,0.20999999999999994,4.82,0.30639999999999995
Rb,Na,MC,MC,0.24999999999999994,0.04,0.03,0.05,False,0.20999999999999994,4.82,0.30639999999999995
Na,Cu,MC,BG,0.3118279569892473,0.09,0.08,0.1,False,0.22182795698924732,4.55,0.3148279569892473
Cu,Na,MC,BG,0.3118279569892473,0.09,0.08,0.1,False,0.22182795698924732,4.55,0.3148279569892473
Cs,Cu,MC,Ch2,0.5169811320754717,0.20500000000000002,0.19,0.22,False,0.3119811320754717,-0.0,0.3179811320754717
Cu,Cs,MC,Ch2,0.5169811320754717,0.20500000000000002,0.19,0.22,False,0.3119811320754717,-0.0,0.3179811320754717
K,Ag,MC,Ch1,0.3656387665198238,0.14,0.12,0.16,False,0.22563876651982379,4.61,0.3218387665198238
Ag,K,MC,Ch1,0.3656387665198238,0.14,0.12,0.16,False,0.22563876651982379,4.61,0.3218387665198238
Cs,Ni,MC,Ch2,0.5320754716981132,0.20500000000000002,0.19,0.22,False,0.3270754716981132,-0.0,0.3330754716981132
Ni,Cs,MC,Ch2,0.5320754716981132,0.20500000000000002,0.19,0.22,False,0.3270754716981132,-0.0,0.3330754716981132
Na,Ni,MC,BG,0.33333333333333337,0.09,0.08,0.1,False,0.24333333333333337,4.55,0.3363333333333334
Ni,Na,MC,BG,0.33333333333333337,0.09,0.08,0.1,False,0.24333333333333337,4.55,0.3363333333333334
Na,Cs,MC,MC,0.29811320754716975,0.04,0.03,0.05,False,0.25811320754716977,4.82,0.35451320754716975
Cs,Na,MC,MC,0.29811320754716975,0.04,0.03,0.05,False,0.25811320754716977,4.82,0.35451320754716975
Na,Cu,MC,MC,0.3118279569892473,0.04,0.03,0.05,False,0.27182795698924733,4.82,0.3682279569892474
Cu,Na,MC,MC,0.3118279569892473,0.04,0.03,0.05,False,0.27182795698924733,4.82,0.3682279569892474
K,Ag,MC,BG,0.3656387665198238,0.09,0.08,0.1,False,0.2756387665198238,4.55,0.36863876651982375
Ag,K,MC,BG,0.3656387665198238,0.09,0.08,0.1,False,0.2756387665198238,4.55,0.36863876651982375
Rb,Ag,MC,Ch1,0.41935483870967744,0.14,0.12,0.16,False,0.2793548387096774,4.61,0.37555483870967743
Ag,Rb,MC,Ch1,0.41935483870967744,0.14,0.12,0.16,False,0.2793548387096774,4.61,0.37555483870967743
Na,Ni,MC,MC,0.33333333333333337,0.04,0.03,0.05,False,0.2933333333333334,4.82,0.3897333333333334
Ni,Na,MC,MC,0.33333333333333337,0.04,0.03,0.05,False,0.2933333333333334,4.82,0.3897333333333334
K,Cu,MC,Ch1,0.43612334801762115,0.14,0.12,0.16,False,0.29612334801762114,4.61,0.39232334801762114
Cu,K,MC,Ch1,0.43612334801762115,0.14,0.12,0.16,False,0.29612334801762114,4.61,0.39232334801762114
K,Ni,MC,Ch1,0.4537444933920705,0.14,0.12,0.16,False,0.3137444933920705,4.61,0.4099444933920705
Ni,K,MC,Ch1,0.4537444933920705,0.14,0.12,0.16,False,0.3137444933920705,4.61,0.4099444933920705
Cs,Ag,MC,Ch1,0.45660377358490567,0.14,0.12,0.16,False,0.31660377358490566,4.61,0.41280377358490566
Ag,Cs,MC,Ch1,0.45660377358490567,0.14,0.12,0.16,False,0.31660377358490566,4.61,0.41280377358490566
K,Ag,MC,MC,0.3656387665198238,0.04,0.03,0.05,False,0.3256387665198238,4.82,0.42203876651982386
Ag,K,MC,MC,0.3656387665198238,0.04,0.03,0.05,False,0.3256387665198238,4.82,0.42203876651982386
Rb,Ag,MC,BG,0.41935483870967744,0.09,0.08,0.1,False,0.3293548387096774,4.55,0.4223548387096774
Ag,Rb,MC,BG,0.41935483870967744,0.09,0.08,0.1,False,0.3293548387096774,4.55,0.4223548387096774
K,Cu,MC,BG,0.43612334801762115,0.09,0.08,0.1,False,0.3461233480176211,4.55,0.4391233480176211
Cu,K,MC,BG,0.43612334801762115,0.09,0.08,0.1,False,0.3461233480176211,4.55,0.4391233480176211
Rb,Cu,MC,Ch1,0.48387096774193544,0.14,0.12,0.16,False,0.34387096774193543,4.61,0.44007096774193544
Cu,Rb,MC,Ch1,0.48387096774193544,0.14,0.12,0.16,False,0.34387096774193543,4.61,0.44007096774193544
Rb,Ni,MC,Ch1,0.5,0.14,0.12,0.16,False,0.36,4.61,0.4562
Ni,Rb,MC,Ch1,0.5,0.14,0.12,0.16,False,0.36,4.61,0.4562
K,Ni,MC,BG,0.4537444933920705,0.09,0.08,0.1,False,0.3637444933920705,4.55,0.45674449339207046
Ni,K,MC,BG,0.4537444933920705,0.09,0.08,0.1,False,0.3637444933920705,4.55,0.45674449339207046
Cs,Ag,MC,BG,0.45660377358490567,0.09,0.08,0.1,False,0.3666037735849057,4.55,0.4596037735849057
Ag,Cs,MC,BG,0.45660377358490567,0.09,0.08,0.1,False,0.3666037735849057,4.55,0.4596037735849057
Cs,Cu,MC,Ch1,0.5169811320754717,0.14,0.12,0.16,False,0.3769811320754717,4.61,0.4731811320754717
Cu,Cs,MC,Ch1,0.5169811320754717,0.14,0.12,0.16,False,0.3769811320754717,4.61,0.4731811320754717
Rb,Ag,MC,MC,0.41935483870967744,0.04,0.03,0.05,False,0.37935483870967746,4.82,0.4757548387096775
Ag,Rb,MC,MC,0.41935483870967744,0.04,0.03,0.05,False,0.37935483870967746,4.82,0.4757548387096775
Rb,Cu,MC,BG,0.48387096774193544,0.09,0.08,0.1,False,0.3938709677419354,4.55,0.4868709677419354
Cu,Rb,MC,BG,0.48387096774193544,0.09,0.08,0.1,False,0.3938709677419354,4.55,0.4868709677419354
Cs,Ni,MC,Ch1,0.5320754716981132,0.14,0.12,0.16,False,0.3920754716981132,4.61,0.4882754716981132
Ni,Cs,MC,Ch1,0.5320754716981132,0.14,0.12,0.16,False,0.3920754716981132,4.61,0.4882754716981132
K,Cu,MC,MC,0.43612334801762115,0.04,0.03,0.05,False,0.39612334801762117,4.82,0.4925233480176212
Cu,K,MC,MC,0.43612334801762115,0.04,0.03,0.05,False,0.39612334801762117,4.82,0.4925233480176212
Rb,Ni,MC,BG,0.5,0.09,0.08,0.1,False,0.41000000000000003,4.55,0.503
Ni,Rb,MC,BG,0.5,0.09,0.08,0.1,False,0.41000000000000003,4.55,0.503
K,Ni,MC,MC,0.4537444933920705,0.04,0.03,0.05,False,0.41374449339207053,4.82,0.5101444933920706
Ni,K,MC,MC,0.4537444933920705,0.04,0.03,0.05,False,0.41374449339207053,4.82,0.5101444933920706
Cs,Ag,MC,MC,0.45660377358490567,0.04,0.03,0.05,False,0.4166037735849057,4.82,0.5130037735849057
Ag,Cs,MC,MC,0.45660377358490567,0.04,0.03,0.05,False,0.4166037735849057,4.82,0.5130037735849057
Cs,Cu,MC,BG,0.5169811320754717,0.09,0.08,0.1,False,0.4269811320754717,4.55,0.5199811320754717
Cu,Cs,MC,BG,0.5169811320754717,0.09,0.08,0.1,False,0.4269811320754717,4.55,0.5199811320754717
Cs,Ni,MC,BG,0.5320754716981132,0.09,0.08,0.1,False,0.44207547169811323,4.55,0.5350754716981132
Ni,Cs,MC,BG,0.5320754716981132,0.09,0.08,0.1,False,0.44207547169811323,4.55,0.5350754716981132
Rb,Cu,MC,MC,0.48387096774193544,0.04,0.03,0.05,False,0.44387096774193546,4.82,0.5402709677419355
Cu,Rb,MC,MC,0.48387096774193544,0.04,0.03,0.05,False,0.44387096774193546,4.82,0.5402709677419355
Rb,Ni,MC,MC,0.5,0.04,0.03,0.05,False,0.46,4.82,0.5564
Ni,Rb,MC,MC,0.5,0.04,0.03,0.05,False,0.46,4.82,0.5564
Cs,Cu,MC,MC,0.5169811320754717,0.04,0.03,0.05,False,0.4769811320754717,4.82,0.5733811320754717
Cu,Cs,MC,MC,0.5169811320754717,0.04,0.03,0.05,False,0.4769811320754717,4.82,0.5733811320754717
Cs,Ni,MC,MC,0.5320754716981132,0.04,0.03,0.05,False,0.4920754716981132,4.82,0.5884754716981132
Ni,Cs,MC,MC,0.5320754716981132,0.04,0.03,0.05,False,0.4920754716981132,4.82,0.5884754716981132
