T_K,D_s_bcs,D_s_nodal,D_s_power_n2,D_s_power_n2_5,D_s_power_n3,D_s_experimental
0.339393939,88.51533194,66.06060606,88.51533194,86.69967838,82.52939897,86.96873583
0.351515152,87.68307281,64.84848485,87.68307281,85.74304204,81.32816897,86.56179563
0.363636364,86.82200038,63.63636364,86.82200038,84.75423346,80.08955029,86.23125512
0.375757576,85.93215469,62.42424242,85.93215469,83.73338878,78.81366979,85.84777127
0.387878788,85.01357713,61.21212121,85.01357713,82.68064831,77.50065843,85.49012216
0.4,84.06631038,60.0,84.06631038,81.59615654,76.15065131,85.09568149
0.412121212,83.09039843,58.78787879,83.09039843,80.48006212,74.76378766,84.76724141
0.424242424,82.08588656,57.57575758,82.08588656,79.3325179,73.34021084,84.39167637
0.436363636,81.05282136,56.36363636,81.05282136,78.1536809,71.88006839,84.03429163
0.448484848,79.99125074,55.15151515,79.99125074,76.94371238,70.383512,83.64543728
0.460606061,78.90122389,53.93939394,78.90122389,75.70277777,68.85069754,83.31141588
0.472727273,77.78279132,52.72727273,77.78279132,74.43104673,67.28178507,82.94215815
0.484848485,76.63600481,51.51515152,76.63600481,73.1286931,65.67693884,82.58906769
0.496969697,75.46091744,50.3030303,75.46091744,71.79589495,64.03632733,82.21219578
0.509090909,74.25758358,49.09090909,74.25758358,70.43283456,62.36012321,81.88352058
0.521212121,73.02605886,47.87878788,73.02605886,69.03969841,60.64850342,81.5275011
0.533333333,71.7664002,46.66666667,71.7664002,67.61667723,58.90164912,81.18218313
0.545454545,70.47866578,45.45454545,70.47866578,66.16396599,57.11974577,80.81901917
0.557575758,69.16291506,44.24242424,69.16291506,64.68176391,55.30298307,80.50132829
0.56969697,67.81920877,43.03030303,67.81920877,63.17027448,53.45155505,80.15982059
0.581818182,66.44760892,41.81818182,66.44760892,61.62970545,51.56566005,79.82758348
0.593939394,65.04817877,40.60606061,65.04817877,60.06026888,49.64550071,79.48071873
0.606060606,63.62098284,39.39393939,63.62098284,58.46218114,47.69128401,79.18175019
0.618181818,62.16608686,38.18181818,62.16608686,56.83566295,45.70322127,78.86434509
0.63030303,60.68355783,36.96969697,60.68355783,55.18093932,43.6815282,78.54965966
0.642424242,59.17346395,35.75757576,59.17346395,53.49823966,41.6264249,78.22608919
0.654545455,57.63587468,34.54545455,57.63587468,51.78779772,39.53813589,77.93726146
0.666666667,56.0708607,33.33333333,56.0708607,50.04985167,37.41689014,77.63590579
0.678787879,54.47849394,32.12121212,54.47849394,48.28464407,35.2629211,77.33067875
0.690909091,52.85884756,30.90909091,52.85884756,46.4924219,33.07646673,77.0322857
0.703030303,51.21199597,29.6969697,51.21199597,44.67343658,30.85776951,76.75392832
0.715151515,49.53801481,28.48484848,49.53801481,42.82794402,28.60707648,76.46668539
0.727272727,47.83698097,27.27272727,47.83698097,40.95620461,26.32463928,76.17904318
0.739393939,46.10897259,26.06060606,46.10897259,39.05848326,24.01071415,75.88730533
0.751515152,44.35406905,24.84848485,44.35406905,37.13504941,21.66556197,75.62418817
0.763636364,42.57235096,23.63636364,42.57235096,35.18617703,19.2894483,75.35069755
0.775757576,40.76390016,22.42424242,40.76390016,33.21214469,16.8826434,75.07333259
0.787878788,38.92879972,21.21212121,38.92879972,31.21323551,14.44542227,74.79580643
0.8,37.06713395,20.0,37.06713395,29.18973722,11.97806469,74.54479454
0.812121212,35.17898837,18.78787879,35.17898837,27.14194219,9.48085528,74.28478615
0.824242424,33.26444974,17.57575758,33.26444974,25.07014741,6.95408352,74.02287045
0.836363636,31.32360604,16.36363636,31.32360604,22.97465456,4.39804377,73.76007138
0.848484848,29.35654647,15.15151515,29.35654647,20.85576998,1.81303531,73.52262866
0.860606061,27.36336145,13.93939394,27.36336145,18.71380478,0.0,73.27620927
0.872727273,25.34414259,12.72727273,25.34414259,16.54907481,0.0,73.02871197
0.884848485,23.29898276,11.51515152,23.29898276,14.36190073,0.0,72.78096725
0.896969697,21.22797602,10.3030303,21.22797602,12.15260806,0.0,72.5575413
0.909090909,19.13121766,9.09090909,19.13121766,9.9215272,0.0,72.3257142
0.921212121,17.00880419,7.87878788,17.00880419,7.66899347,0.0,72.09356017
0.933333333,14.86083331,6.66666667,14.86083331,5.39534715,0.0,71.86187116
0.945454545,12.68740394,5.45454545,12.68740394,3.10093354,0.0,71.65269923
0.957575758,10.48861619,4.24242424,10.48861619,0.78610296,0.0,71.43582852
0.96969697,8.26457134,3.03030303,8.26457134,0.0,0.0,71.21933266
0.981818182,6.01537186,1.81818182,6.01537186,0.0,0.0,71.00399612
0.993939394,3.74112139,0.60606061,3.74112139,0.0,0.0,70.81078262
1.00606061,1.44192472,0.0,1.44192472,0.0,0.0,70.61042098
1.01818182,0.0,0.0,0.0,0.0,0.0,70.41096667
1.03030303,0.0,0.0,0.0,0.0,0.0,70.2122495
1.04242424,0.0,0.0,0.0,0.0,0.0,70.03518254
1.05454545,0.0,0.0,0.0,0.0,0.0,69.85142911
1.06666667,0.0,0.0,0.0,0.0,0.0,69.66832566
1.07878788,0.0,0.0,0.0,0.0,0.0,69.48576598
