dataset,mu_ev,exclusion_prob,survival_prob,alpha_peak,tau_years
M33 X-7,1.3312159025043105e-20,1.7890055142985919e-06,0.9999982109944857,1.5593466305916685e-09,5000000.0
M33 X-7,1.400530545393217e-20,1.7890055298399899e-06,0.9999982109944702,1.640539737311734e-09,5000000.0
M33 X-7,1.4734543096198373e-20,1.789005546190608e-06,0.9999982109944539,1.7259604611950062e-09,5000000.0
M33 X-7,1.5501751173357655e-20,1.789005563392581e-06,0.9999982109944366,1.8158289286487419e-09,5000000.0
M33 X-7,1.6308906755493344e-20,1.7890055814902387e-06,0.9999982109944185,1.910376727769739e-09,5000000.0
M33 X-7,1.7158089856099995e-20,1.789005600530217e-06,0.9999982109943995,2.0098475051391582e-09,5000000.0
M33 X-7,1.80514887922111e-20,1.789005620561582e-06,0.9999982109943795,2.1144975936919067e-09,5000000.0
M33 X-7,1.8991405823619278e-20,1.7890056416359534e-06,0.9999982109943584,2.224596673278084e-09,5000000.0
M33 X-7,1.9980263085725508e-20,1.7890056638076402e-06,0.9999982109943362,2.340428465619256e-09,5000000.0
M33 X-7,2.102060883130167e-20,1.7890056871337773e-06,0.9999982109943129,2.462291465449917e-09,5000000.0
M33 X-7,2.2115123997254888e-20,1.7890057116744756e-06,0.9999982109942883,2.590499709728693e-09,5000000.0
M33 X-7,2.3266629113314675e-20,1.789005737492976e-06,0.9999982109942626,2.725383586901358e-09,5000000.0
M33 X-7,2.4478091570444402e-20,1.789005764655812e-06,0.9999982109942354,2.867290688300894e-09,5000000.0
M33 X-7,2.575263326771209e-20,1.7890057932329807e-06,0.9999982109942067,3.0165867038791425e-09,5000000.0
M33 X-7,2.7093538657320487e-20,1.7890058232981253e-06,0.9999982109941767,3.1736563645776476e-09,5000000.0
M33 X-7,2.8504263208534436e-20,1.7890058549287223e-06,0.9999982109941451,3.3389044337668815e-09,5000000.0
M33 X-7,2.998844231231025e-20,1.7890058882062833e-06,0.9999982109941118,3.5127567503079907e-09,5000000.0
M33 X-7,3.154990064958095e-20,1.7890059232165636e-06,0.9999982109940768,3.695661325925803e-09,5000000.0
M33 X-7,3.319266204733183e-20,1.789005960049783e-06,0.99999821099404,3.8880894997201435e-09,5000000.0
M33 X-7,3.4920959847872786e-20,1.7890059988008606e-06,0.9999982109940012,4.090537152791491e-09,5000000.0
M33 X-7,3.6739247818020665e-20,1.7890060395696554e-06,0.9999982109939605,4.30352598611008e-09,5000000.0
M33 X-7,3.8652211626312696e-20,1.7890060824612287e-06,0.9999982109939175,4.527604864922476e-09,5000000.0
M33 X-7,4.066478091781846e-20,1.7890061275861102e-06,0.9999982109938724,4.76335123315906e-09,5000000.0
M33 X-7,4.2782142017676215e-20,1.789006175060585e-06,0.9999982109938249,5.011372601488408e-09,5000000.0
M33 X-7,4.500975129608033e-20,1.7890062250069946e-06,0.999998210993775,5.272308112852084e-09,5000000.0
M33 X-7,4.735334922917121e-20,1.7890062775540484e-06,0.9999982109937224,5.5468301895153795e-09,5000000.0
M33 X-7,4.9818975192051443e-20,1.7890063328371595e-06,0.9999982109936671,5.83564626587713e-09,5000000.0
M33 X-7,5.2412983022060616e-20,1.7890063909987908e-06,0.999998210993609,6.139500611505346e-09,5000000.0
M33 X-7,5.514205739240325e-20,1.7890064521888223e-06,0.9999982109935478,6.459176249095175e-09,5000000.0
M33 X-7,5.801323103833379e-20,1.7890065165649397e-06,0.9999982109934834,6.795496972292883e-09,5000000.0
M33 X-7,6.103390288028647e-20,1.7890065842930388e-06,0.9999982109934157,7.149329468585255e-09,5000000.0
M33 X-7,6.421185709064758e-20,1.7890066555476526e-06,0.9999982109933444,7.521585552724482e-09,5000000.0
M33 X-7,6.755528315331668e-20,1.7890067305124028e-06,0.9999982109932695,7.913224516445361e-09,5000000.0
M33 X-7,7.107279696773412e-20,1.7890068093804707e-06,0.9999982109931906,8.325255600528187e-09,5000000.0
M33 X-7,7.477346305177611e-20,1.7890068923550984e-06,0.9999982109931076,8.758740595579698e-09,5000000.0
M33 X-7,7.866681790071574e-20,1.7890069796501085e-06,0.9999982109930203,9.21479657823215e-09,5000000.0
M33 X-7,8.276289456246369e-20,1.7890070714904578e-06,0.9999982109929285,9.694598789813765e-09,5000000.0
M33 X-7,8.707224849239904e-20,1.7890071681128177e-06,0.9999982109928319,1.0199383664906549e-08,5000000.0
M33 X-7,9.160598475443728e-20,1.7890072697661808e-06,0.9999982109927302,1.0730452017598323e-08,5000000.0
M33 X-7,9.637578663841069e-20,1.789007376712506e-06,0.9999982109926233,1.1289172393637374e-08,5000000.0
M33 X-7,1.0139394576752938e-19,1.78900748922739e-06,0.9999982109925107,1.1876984597130694e-08,5000000.0
M33 X-7,1.066733937734855e-19,1.7890076076007832e-06,0.9999982109923924,1.2495403400871278e-08,5000000.0
M33 X-7,1.1222773562085094e-19,1.7890077321377295e-06,0.9999982109922678,1.3146022449858753e-08,5000000.0
M33 X-7,1.1807128466661867e-19,1.7890078631591581e-06,0.9999982109921368,1.3830518368069556e-08,5000000.0
M33 X-7,1.2421909954526187e-19,1.7890080010027093e-06,0.999998210991999,1.4550655079062803e-08,5000000.0
M33 X-7,1.3068702297433424e-19,1.7890081460236022e-06,0.9999982109918539,1.5308288351552667e-08,5000000.0
M33 X-7,1.3749172258064205e-19,1.7890082985955522e-06,0.9999982109917014,1.6105370581664486e-08,5000000.0
M33 X-7,1.446507338521653e-19,1.7890084591117355e-06,0.9999982109915408,1.6943955824194777e-08,5000000.0
M33 X-7,1.521825053264387e-19,1.789008627985798e-06,0.999998210991372,1.78262050858435e-08,5000000.0
M33 X-7,1.6010644613183113e-19,1.7890088056529256e-06,0.9999982109911943,1.875439189405784e-08,5000000.0
M33 X-7,1.684429760042315e-19,1.789008992570963e-06,0.9999982109910074,1.9730908155837717e-08,5000000.0
M33 X-7,1.7721357790803658e-19,1.7890091892215958e-06,0.9999982109908108,2.0758270321601436e-08,5000000.0
M33 X-7,1.8644085339704852e-19,1.7890093961115883e-06,0.9999982109906039,2.1839125869996243e-08,5000000.0
M33 X-7,1.9614858085794373e-19,1.7890096137740928e-06,0.9999982109903862,2.297626013036466e-08,5000000.0
M33 X-7,2.0636177678638564e-19,1.7890098427700237e-06,0.9999982109901572,2.4172603460445704e-08,5000000.0
M33 X-7,2.1710676025372716e-19,1.7890100836894994e-06,0.9999982109899163,2.5431238797812244e-08,5000000.0
M33 X-7,2.284112207303821e-19,1.7890103371533666e-06,0.9999982109896628,2.675540960449861e-08,5000000.0
M33 X-7,2.4030428944069744e-19,1.789010603814799e-06,0.9999982109893962,2.8148528225297643e-08,5000000.0
M33 X-7,2.528166144331495e-19,1.7890108843609796e-06,0.9999982109891157,2.9614184681259708e-08,5000000.0
M33 X-7,2.6598043955937637e-19,1.7890111795148746e-06,0.9999982109888205,3.1156155921061156e-08,5000000.0
M33 X-7,2.7982968756551103e-19,1.7890114900370923e-06,0.9999982109885099,3.277841555407546e-08,5000000.0
M33 X-7,2.94400047510004e-19,1.789011816727847e-06,0.9999982109881833,3.448514409023636e-08,5000000.0
M33 X-7,3.0972906673314004e-19,1.7890121604290186e-06,0.9999982109878396,3.628073971307296e-08,5000000.0
M33 X-7,3.25856247615323e-19,1.789012522026324e-06,0.999998210987478,3.8169829613686804e-08,5000000.0
M33 X-7,3.42823149373396e-19,1.7890129024515983e-06,0.9999982109870975,4.015728191486943e-08,5000000.0
M33 X-7,3.6067349515740315e-19,1.7890133026851977e-06,0.9999982109866973,4.224821821609782e-08,5000000.0
M33 X-7,3.7945328472369576e-19,1.7890137237585242e-06,0.9999982109862763,4.4448026791726226e-08,5000000.0
M33 X-7,3.9921091297480534e-19,1.7890141667566847e-06,0.9999982109858332,4.6762376476393603e-08,5000000.0
M33 X-7,4.199972946715289e-19,1.7890146328212877e-06,0.9999982109853672,4.919723127342554e-08,5000000.0
M33 X-7,4.418659956385941e-19,1.7890151231533852e-06,0.9999982109848768,5.1758865723874834e-08,5000000.0
M33 X-7,4.648733708020276e-19,1.7890156390165667e-06,0.999998210984361,5.4453881075807375e-08,5000000.0
M33 X-7,4.89078709413959e-19,1.7890161817402173e-06,0.9999982109838182,5.728922229550283e-08,5000000.0
M33 X-7,5.145443878390945e-19,1.7890167527229421e-06,0.9999982109832473,6.027219596440681e-08,5000000.0
M33 X-7,5.413360302965375e-19,1.7890173534361736e-06,0.9999982109826465,6.341048910794858e-08,5000000.0
M33 X-7,5.695226779712843e-19,1.7890179854279599e-06,0.9999982109820146,6.671218900475764e-08,5000000.0
M33 X-7,5.991769669310613e-19,1.7890186503269569e-06,0.9999982109813497,7.018580402731184e-08,5000000.0
M33 X-7,6.303753153071294e-19,1.7890193498466244e-06,0.9999982109806501,7.38402855677387e-08,5000000.0
M33 X-7,6.631981202212662e-19,1.7890200857896438e-06,0.9999982109799143,7.768505110525534e-08,5000000.0
M33 X-7,6.977299649665552e-19,1.7890208600525607e-06,0.99999821097914,8.173000847470854e-08,5000000.0
M33 X-7,7.340598369757197e-19,1.7890216746306768e-06,0.9999982109783254,8.598558139873569e-08,5000000.0
M33 X-7,7.722813571388658e-19,1.7890225316231882e-06,0.9999982109774683,9.046273634936177e-08,5000000.0
M33 X-7,8.12493021061403e-19,1.789023433238599e-06,0.9999982109765667,9.517301080823303e-08,5000000.0
M33 X-7,8.547984528840423e-19,1.7890243818004107e-06,0.9999982109756183,1.0012854299833503e-07,5000000.0
M33 X-7,8.993066723187596e-19,1.789025379753112e-06,0.9999982109746203,1.053421031637896e-07,5000000.0
M33 X-7,9.46132375589078e-19,1.7890264296684788e-06,0.9999982109735703,1.1082712647836196e-07,5000000.0
M33 X-7,9.953962309984285e-19,1.7890275342522003e-06,0.9999982109724658,1.165977476674577e-07,5000000.0
M33 X-7,1.0472251898884355e-18,1.7890286963508561e-06,0.9999982109713037,1.2266883743284944e-07,5000000.0
M33 X-7,1.1017528137883828e-18,1.7890299189592507e-06,0.999998210970081,1.290560407739902e-07,5000000.0
M33 X-7,1.1591196185988857e-18,1.78903120522813e-06,0.9999982109687948,1.357758173046629e-07,5000000.0
M33 X-7,1.2194734366967433e-18,1.7890325584723082e-06,0.9999982109674416,1.4284548366886352e-07,5000000.0
M33 X-7,1.2829697978941475e-18,1.7890339821792046e-06,0.9999982109660178,1.5028325816522726e-07,5000000.0
M33 X-7,1.3497723302339474e-18,1.7890354800178357e-06,0.99999821096452,1.581083076949913e-07,5000000.0
M33 X-7,1.4200531816536816e-18,1.7890370558482722e-06,0.9999982109629442,1.6634079715446284e-07,5000000.0
M33 X-7,1.4939934636052623e-18,1.789038713731586e-06,0.9999982109612863,1.750019413993065e-07,5000000.0
M33 X-7,1.5717837177731612e-18,1.7890404579403206e-06,0.9999982109595421,1.8411405991452155e-07,5000000.0
M33 X-7,1.6536244070941854e-18,1.7890422929695006e-06,0.999998210957707,1.9370063433103513e-07,5000000.0
M33 X-7,1.739726432343799e-18,1.7890442235482196e-06,0.9999982109557765,2.0378636893708402e-07,5000000.0
M33 X-7,1.8303116756206166e-18,1.7890462546518298e-06,0.9999982109537453,2.1439725434036858e-07,5000000.0
M33 X-7,1.925613572129195e-18,1.7890483915147667e-06,0.9999982109516085,2.255606344449843e-07,5000000.0
M33 X-7,2.0258777117350213e-18,1.7890506396440406e-06,0.9999982109493604,2.3730527691578083e-07,5000000.0
M33 X-7,2.131362471841433e-18,1.7890530048334323e-06,0.9999982109469951,2.496614473116773e-07,5000000.0
M33 X-7,2.2423396832198497e-18,1.789055493178429e-06,0.9999982109445068,2.626609870790317e-07,5000000.0
M33 X-7,2.359095330508629e-18,1.7890581110919365e-06,0.9999982109418889,2.7633739560598873e-07,5000000.0
M33 X-7,2.4819302891862577e-18,1.7890608653208082e-06,0.9999982109391347,2.907259165493228e-07,5000000.0
M33 X-7,2.6111611009174516e-18,1.789063762963242e-06,0.9999982109362371,3.058636286561695e-07,5000000.0
M33 X-7,2.7471207892708144e-18,1.7890668114870748e-06,0.9999982109331885,3.2178954131476046e-07,5000000.0
M33 X-7,2.8901597179095e-18,1.7890700187490355e-06,0.9999982109299812,3.3854469508031984e-07,5000000.0
M33 X-7,3.0406464934670687e-18,1.789073393014999e-06,0.999998210926607,3.5617226743525117e-07,5000000.0
M33 X-7,3.1989689154345506e-18,1.7890769429812984e-06,0.9999982109230571,3.7471768405607657e-07,5000000.0
M33 X-7,3.3655349755070943e-18,1.7890806777971421e-06,0.9999982109193222,3.9422873587392473e-07,5000000.0
M33 X-7,3.5407739089652844e-18,1.789084607088203e-06,0.9999982109153929,4.147557022302045e-07,5000000.0
M33 X-7,3.72513730080021e-18,1.7890887409814365e-06,0.9999982109112591,4.3635148044479885e-07,5000000.0
M33 X-7,3.919100249433418e-18,1.7890930901311894e-06,0.9999982109069099,4.590717221307518e-07,5000000.0
M33 X-7,4.123162591029748e-18,1.7890976657466725e-06,0.9999982109023342,4.829749766066239e-07,5000000.0
M33 X-7,4.337850187559002e-18,1.7891024796208603e-06,0.9999982108975204,5.081228417761982e-07,5000000.0
M33 X-7,4.563716281924754e-18,1.7891075441609013e-06,0.9999982108924559,5.345801228642293e-07,5000000.0
M33 X-7,4.801342923653465e-18,1.7891128724201102e-06,0.9999982108871276,5.624149994174171e-07,5000000.0
M33 X-7,5.051342468816756e-18,1.7891184781316283e-06,0.9999982108815219,5.916992010008312e-07,5000000.0
M33 X-7,5.314359158053252e-18,1.7891243757438382e-06,0.9999982108756242,6.225081920426864e-07,5000000.0
M33 X-7,5.591070776755282e-18,1.7891305804576239e-06,0.9999982108694195,6.549213663036647e-07,5000000.0
M33 X-7,5.882190401699968e-18,1.7891371082655718e-06,0.9999982108628918,6.890222514720747e-07,5000000.0
M33 X-7,6.18846823862437e-18,1.7891439759932208e-06,0.999998210856024,7.24898724411927e-07,5000000.0
M33 X-7,6.510693555481468e-18,1.7891512013424523e-06,0.9999982108487987,7.626432376187787e-07,5000000.0
M33 X-7,6.849696716357426e-18,1.7891588029371537e-06,0.9999982108411971,8.023530574667381e-07,5000000.0
M33 X-7,7.20635132129306e-18,1.789166800371253e-06,0.9999982108331996,8.441305148607751e-07,5000000.0
M33 X-7,7.581576457522086e-18,1.7891752142592654e-06,0.9999982108247858,8.880832689400585e-07,5000000.0
M33 X-7,7.976339067929282e-18,1.7891840662894675e-06,0.9999982108159338,9.343245845120861e-07,5000000.0
M33 X-7,8.391656442830195e-18,1.789193379279853e-06,0.9999982108066208,9.829736239323326e-07,5000000.0
M33 X-7,8.82859884149515e-18,1.789203177237e-06,0.9999982107968227,1.0341557541817597e-06,5000000.0
M33 X-7,9.288292250172537e-18,1.7892134854180112e-06,0.9999982107865146,1.0880028699334406e-06,5000000.0
M33 X-7,9.771921283717997e-18,1.7892243303956825e-06,0.9999982107756696,1.144653733440758e-06,5000000.0
M33 X-7,1.028073223830869e-17,1.7892357401270746e-06,0.9999982107642599,1.2042543321232513e-06,5000000.0
M33 X-7,1.0816036303107094e-17,1.7892477440256587e-06,0.9999982107522559,1.2669582547713445e-06,5000000.0
M33 X-7,1.1379212939153186e-17,1.7892603730372278e-06,0.9999982107396269,1.3329270873397024e-06,5000000.0
M33 X-7,1.1971713434189656e-17,1.7892736597197667e-06,0.9999982107263403,1.4023308293488633e-06,5000000.0
M33 X-7,1.2595064642583615e-17,1.7892876383274937e-06,0.9999982107123617,1.4753483319685195e-06,5000000.0
M33 X-7,1.325087291997951e-17,1.789302344899284e-06,0.9999982106976552,1.5521677589110327e-06,5000000.0
M33 X-7,1.3940828262825815e-17,1.7893178173517115e-06,0.9999982106821826,1.632987071323252e-06,5000000.0
M33 X-7,1.4666708663439656e-17,1.7893340955769464e-06,0.9999982106659044,1.7180145379258045e-06,5000000.0
M33 X-7,1.543038469183568e-17,1.7893512215457653e-06,0.9999982106487785,1.8074692717148722e-06,5000000.0
M33 X-7,1.623382431612275e-17,1.789369239415936e-06,0.9999982106307606,1.9015817946090935e-06,5000000.0
M33 X-7,1.7079097973894304e-17,1.7893881956462682e-06,0.9999982106118044,2.0005946314971127e-06,5000000.0
M33 X-7,1.7968383907677302e-17,1.789408139116617e-06,0.9999982105918609,2.10476293521617e-06,5000000.0
M33 X-7,1.8903973778192233e-17,1.789429121254158e-06,0.9999982105708788,2.214355144072647e-06,5000000.0
M33 X-7,1.9888278569888036e-17,1.7894511961662581e-06,0.9999982105488038,2.329653673598823e-06,5000000.0
M33 X-7,2.092383480396979e-17,1.7894744207802935e-06,0.9999982105255792,2.4509556443284247e-06,5000000.0
M33 X-7,2.2013311074930414e-17,1.7894988549907684e-06,0.999998210501145,2.5785736474664636e-06,5000000.0
M33 X-7,2.3159514927431543e-17,1.7895245618141355e-06,0.9999982104754381,2.712836550426567e-06,5000000.0
M33 X-7,2.4365400091254562e-17,1.7895516075517034e-06,0.9999982104483924,2.8540903443115765e-06,5000000.0
M33 X-7,2.563407409296515e-17,1.7895800619610664e-06,0.9999982104199381,3.0026990355212463e-06,5000000.0
M33 X-7,2.6968806263907035e-17,1.789609998436507e-06,0.9999982103900016,3.1590455837847646e-06,5000000.0
M33 X-7,2.8373036165162115e-17,1.7896414941988306e-06,0.9999982103585058,3.3235328890354685e-06,5000000.0
M33 X-7,2.985038245118742e-17,1.789674630495142e-06,0.9999982103253695,3.496584829670862e-06,5000000.0
M33 X-7,3.140465219496749e-17,1.7897094928090788e-06,0.9999982102905072,3.6786473548731693e-06,5000000.0
M33 X-7,3.303985069871868e-17,1.7897461710820536e-06,0.999998210253829,3.870189633805996e-06,5000000.0
M33 X-7,3.476019181541974e-17,1.7897847599460872e-06,0.99999821021524,4.07170526464766e-06,5000000.0
M33 X-7,3.657010880777501e-17,1.789825358968842e-06,0.9999982101746411,4.283713546577769e-06,5000000.0
M33 X-7,3.847426577258498e-17,1.7898680729114992e-06,0.9999982101319271,4.506760817993945e-06,5000000.0
M33 X-7,4.04775696599733e-17,1.7899130120001573e-06,0.999998210086988,4.741421864408245e-06,5000000.0
M33 X-7,4.258518291843406e-17,1.7899602922114679e-06,0.9999982100397078,4.988301399650309e-06,5000000.0
M33 X-7,4.480253679829499e-17,1.7900100355732587e-06,0.9999982099899645,5.248035624195401e-06,5000000.0
M33 X-7,4.713534534786936e-17,1.7900623704809397e-06,0.9999982099376296,5.521293864631907e-06,5000000.0
M33 X-7,4.958962013837222e-17,1.7901174320305262e-06,0.9999982098825679,5.808780298494149e-06,5000000.0
M33 X-7,5.217168575554333e-17,1.7901753623691558e-06,0.9999982098246376,6.111235768904918e-06,5000000.0
M33 X-7,5.488819609789677e-17,1.7902363110640365e-06,0.9999982097636889,6.429439693703851e-06,5000000.0
M33 X-7,5.77461515235985e-17,1.7903004354907904e-06,0.9999982096995645,6.764212073981568e-06,5000000.0
M33 X-7,6.075291689016078e-17,1.7903679012422393e-06,0.9999982096320987,7.116415607195702e-06,5000000.0
M33 X-7,6.39162405334398e-17,1.7904388825587064e-06,0.9999982095611174,7.486957910314119e-06,5000000.0
M33 X-7,6.72442742348425e-17,1.790513562780987e-06,0.9999982094864373,7.876793858714007e-06,5000000.0
M33 X-7,7.074559422819907e-17,1.7905921348271915e-06,0.9999982094078652,8.286928046864314e-06,5000000.0
M33 X-7,7.442922330043758e-17,1.790674801694741e-06,0.9999982093251983,8.71841737713289e-06,5000000.0
M33 X-7,7.830465404301215e-17,1.7907617769888541e-06,0.999998209238223,9.172373783389497e-06,5000000.0
M33 X-7,8.238187331399601e-17,1.7908532854789445e-06,0.9999982091467146,9.649967096422469e-06,5000000.0
M33 X-7,8.66713879738926e-17,1.7909495636844246e-06,0.9999982090504363,1.0152428058554916e-05,5000000.0
M33 X-7,9.118425196146562e-17,1.791050860491491e-06,0.9999982089491395,1.0681051495226767e-05,5000000.0
M33 X-7,9.59320947793827e-17,1.791157437802561e-06,0.9999982088425622,1.1237199651718151e-05,5000000.0
M33 X-7,1.0092715146305697e-16,1.7912695712201112e-06,0.9999982087304288,1.1822305703610183e-05,5000000.0
M33 X-7,1.0618229410993868e-16,1.7913875507667807e-06,0.9999982086124493,1.2437877450032214e-05,5000000.0
M33 X-7,1.117110650504822e-16,1.791511681643688e-06,0.9999982084883183,1.3085501199210024e-05,5000000.0
M33 X-7,1.1752771174629476e-16,1.7916422850290353e-06,0.999998208357715,1.376684585633097e-05,5000000.0
M33 X-7,1.2364722350537125e-16,1.7917796989191826e-06,0.999998208220301,1.4483667224257133e-05,5000000.0
M33 X-7,1.3008537010905731e-16,1.7919242790144949e-06,0.999998208075721,1.5237812528172667e-05,5000000.0
M33 X-7,1.3685874245025204e-16,1.7920763996524074e-06,0.9999982079236004,1.603122517582173e-05,5000000.0
M33 X-7,1.4398479528760096e-16,1.792236454790268e-06,0.9999982077635452,1.6865949765607214e-05,5000000.0
M33 X-7,1.5148189222583472e-16,1.7924048590406986e-06,0.9999982075951409,1.774413735545356e-05,5000000.0
M33 X-7,1.593693530381776e-16,1.792582048762337e-06,0.9999982074179512,1.866805100601265e-05,5000000.0
M33 X-7,1.6766750345277008e-16,1.7927684832090062e-06,0.9999982072315168,1.9640071612496933e-05,5000000.0
M33 X-7,1.7639772753140453e-16,1.7929646457405325e-06,0.9999982070353542,2.0662704040168436e-05,5000000.0
M33 X-7,1.855825227755519e-16,1.7931710450986113e-06,0.9999982068289549,2.1738583579294448e-05,5000000.0
M33 X-7,1.9524555810168608e-16,1.793388216751326e-06,0.9999982066117833,2.2870482736204258e-05,5000000.0
M33 X-7,2.0541173483530643e-16,1.793616724310133e-06,0.9999982063832757,2.4061318377947123e-05,5000000.0
M33 X-7,2.1610725088083765e-16,1.7938571610233504e-06,0.999998206142839,2.5314159248963105e-05,5000000.0
M33 X-7,2.273596682327724e-16,1.7941101513504203e-06,0.9999982058898487,2.6632233879137067e-05,5000000.0
M33 X-7,2.3919798400202374e-16,1.7943763526214885e-06,0.9999982056236474,2.8018938903613933e-05,5000000.0
M33 X-7,2.516527051405399e-16,1.7946564567870903e-06,0.9999982053435432,2.947784781581731e-05,5000000.0
