file,region_code,region,dataset_name,method,author,unit,unit_type,n_records,start_min,end_max,median_duration_years
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,12_caucasus_middle_east,Caucasus & Middle East,caucasus_middle_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al,glaciological,Zemp et al.,mwe,mwe,301,1999.6666666666667,2024.75,0.08333333333325754
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_glaciological_WGMS-beta_WGMS.csv,12_caucasus_middle_east,Caucasus & Middle East,caucasus_middle_east_glaciological_WGMS-beta_WGMS,glaciological,WGMS,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,12_caucasus_middle_east,Caucasus & Middle East,caucasus_middle_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al,gravimetry,Jacob et al.,Gt,Gt,1,2003.0,2010.9166666666667,7.9166666666667425
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_gravimetry_Wouters_Wouters_et_al.csv,12_caucasus_middle_east,Caucasus & Middle East,caucasus_middle_east_gravimetry_Wouters_Wouters_et_al,gravimetry,Wouters et al.,Gt,Gt,236,2002.1666666666667,2021.8333333333333,0.08333333333325754
data/glambie/input/13_central_asia/central_asia_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,13_central_asia,Central Asia,central_asia_altimetry_Jakob_Gourmelen_Jakob_et_al,altimetry,Jakob et al.,m,m,100,2011.0,2019.3333333333333,0.08333333333325754
data/glambie/input/13_central_asia/central_asia_altimetry_Ke_Ke_et_al.csv,13_central_asia,Central Asia,central_asia_altimetry_Ke_Ke_et_al,altimetry,Ke et al.,m,m,1,2000.0833333333333,2021.1666666666667,21.083333333333485
data/glambie/input/13_central_asia/central_asia_altimetry_Treichler_ICESat_Treichler_et_al.csv,13_central_asia,Central Asia,central_asia_altimetry_Treichler_ICESat_Treichler_et_al,altimetry,Treichler et al.,m,m,1,2003.8333333333333,2008.8333333333333,5.0
data/glambie/input/13_central_asia/central_asia_altimetry_Treichler_snowfall_Treichler_et_al.csv,13_central_asia,Central Asia,central_asia_altimetry_Treichler_snowfall_Treichler_et_al,altimetry,Treichler et al.,m,m,1,2003.8333333333333,2008.8333333333333,5.0
data/glambie/input/13_central_asia/central_asia_combined_DUS-combined_Dussaillant_et_al.csv,13_central_asia,Central Asia,central_asia_combined_DUS-combined_Dussaillant_et_al,combined,Dussaillant et al.,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/13_central_asia/central_asia_combined_Huss_Huss_et_al.csv,13_central_asia,Central Asia,central_asia_combined_Huss_Huss_et_al,combined,Huss et al.,mwe,mwe,31,1990.75,2021.75,1.0
data/glambie/input/13_central_asia/central_asia_combined_Miles2021_Miles_et_al.csv,13_central_asia,Central Asia,central_asia_combined_Miles2021_Miles_et_al,combined,Miles et al.,mwe,mwe,1,2000.0,2017.0,17.0
data/glambie/input/13_central_asia/central_asia_demdiff_Brun_et_al_2017_Brun_et_al.csv,13_central_asia,Central Asia,central_asia_demdiff_Brun_et_al_2017_Brun_et_al,demdiff,Brun et al.,m,m,1,2000.6666666666667,2016.6666666666667,16.0
data/glambie/input/13_central_asia/central_asia_demdiff_ETH_Hugonnet_et_al.csv,13_central_asia,Central Asia,central_asia_demdiff_ETH_Hugonnet_et_al,demdiff,Hugonnet et al.,m,m,4,2000.0,2020.0,5.0
data/glambie/input/13_central_asia/central_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,13_central_asia,Central Asia,central_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al,glaciological,Zemp et al.,mwe,mwe,301,1999.6666666666667,2024.75,0.08333333333325754
data/glambie/input/13_central_asia/central_asia_glaciological_WGMS-beta_WGMS.csv,13_central_asia,Central Asia,central_asia_glaciological_WGMS-beta_WGMS,glaciological,WGMS,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/13_central_asia/central_asia_gravimetry_Harig_Group_Harig_et_al.csv,13_central_asia,Central Asia,central_asia_gravimetry_Harig_Group_Harig_et_al,gravimetry,Harig et al.,Gt,Gt,251,2002.25,2023.1666666666667,0.08333333333325754
data/glambie/input/13_central_asia/central_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,13_central_asia,Central Asia,central_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al,gravimetry,Jacob et al.,Gt,Gt,1,2003.0,2010.9166666666667,7.9166666666667425
data/glambie/input/13_central_asia/central_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,13_central_asia,Central Asia,central_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,gravimetry,Sasgen et al.,Gt,Gt,248,2002.25,2022.9166666666667,0.08333333333325754
data/glambie/input/13_central_asia/central_asia_gravimetry_Wouters_Wouters_et_al.csv,13_central_asia,Central Asia,central_asia_gravimetry_Wouters_Wouters_et_al,gravimetry,Wouters et al.,Gt,Gt,236,2002.1666666666667,2021.8333333333333,0.08333333333325754
data/glambie/input/14_south_asia_west/south_asia_west_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_altimetry_Jakob_Gourmelen_Jakob_et_al,altimetry,Jakob et al.,m,m,100,2011.0,2019.3333333333333,0.08333333333325754
data/glambie/input/14_south_asia_west/south_asia_west_altimetry_Ke_Ke_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_altimetry_Ke_Ke_et_al,altimetry,Ke et al.,m,m,1,2000.0833333333333,2021.1666666666667,21.083333333333485
data/glambie/input/14_south_asia_west/south_asia_west_altimetry_Treichler_ICESat_Treichler_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_altimetry_Treichler_ICESat_Treichler_et_al,altimetry,Treichler et al.,m,m,1,2003.8333333333333,2008.8333333333333,5.0
data/glambie/input/14_south_asia_west/south_asia_west_altimetry_Treichler_snowfall_Treichler_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_altimetry_Treichler_snowfall_Treichler_et_al,altimetry,Treichler et al.,m,m,1,2003.8333333333333,2008.8333333333333,5.0
data/glambie/input/14_south_asia_west/south_asia_west_combined_DUS-combined_Dussaillant_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_combined_DUS-combined_Dussaillant_et_al,combined,Dussaillant et al.,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/14_south_asia_west/south_asia_west_combined_Huss_Huss_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_combined_Huss_Huss_et_al,combined,Huss et al.,mwe,mwe,31,1990.75,2021.75,1.0
data/glambie/input/14_south_asia_west/south_asia_west_combined_Miles2021_Miles_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_combined_Miles2021_Miles_et_al,combined,Miles et al.,mwe,mwe,1,2000.0,2017.0,17.0
data/glambie/input/14_south_asia_west/south_asia_west_demdiff_Brun_et_al_2017_Brun_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_demdiff_Brun_et_al_2017_Brun_et_al,demdiff,Brun et al.,m,m,1,2000.6666666666667,2016.6666666666667,16.0
data/glambie/input/14_south_asia_west/south_asia_west_demdiff_ETH_Hugonnet_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_demdiff_ETH_Hugonnet_et_al,demdiff,Hugonnet et al.,m,m,4,2000.0,2020.0,5.0
data/glambie/input/14_south_asia_west/south_asia_west_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_glaciological_UZH_GlaciolSineWave_Zemp_et_al,glaciological,Zemp et al.,mwe,mwe,301,1999.6666666666667,2024.75,0.08333333333325754
data/glambie/input/14_south_asia_west/south_asia_west_glaciological_WGMS-beta_WGMS.csv,14_south_asia_west,South Asia West,south_asia_west_glaciological_WGMS-beta_WGMS,glaciological,WGMS,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/14_south_asia_west/south_asia_west_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_gravimetry_Jacob_2012_dmdt_Jacob_et_al,gravimetry,Jacob et al.,Gt,Gt,1,2003.0,2010.9166666666667,7.9166666666667425
data/glambie/input/14_south_asia_west/south_asia_west_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,gravimetry,Sasgen et al.,Gt,Gt,248,2002.25,2022.9166666666667,0.08333333333325754
data/glambie/input/14_south_asia_west/south_asia_west_gravimetry_Wouters_Wouters_et_al.csv,14_south_asia_west,South Asia West,south_asia_west_gravimetry_Wouters_Wouters_et_al,gravimetry,Wouters et al.,Gt,Gt,236,2002.1666666666667,2021.8333333333333,0.08333333333325754
data/glambie/input/15_south_asia_east/south_asia_east_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_altimetry_Jakob_Gourmelen_Jakob_et_al,altimetry,Jakob et al.,m,m,100,2011.0,2019.3333333333333,0.08333333333325754
data/glambie/input/15_south_asia_east/south_asia_east_altimetry_Ke_Ke_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_altimetry_Ke_Ke_et_al,altimetry,Ke et al.,m,m,1,2000.0833333333333,2021.1666666666667,21.083333333333485
data/glambie/input/15_south_asia_east/south_asia_east_altimetry_Treichler_ICESat_Treichler_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_altimetry_Treichler_ICESat_Treichler_et_al,altimetry,Treichler et al.,m,m,1,2003.8333333333333,2008.8333333333333,5.0
data/glambie/input/15_south_asia_east/south_asia_east_altimetry_Treichler_snowfall_Treichler_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_altimetry_Treichler_snowfall_Treichler_et_al,altimetry,Treichler et al.,m,m,1,2003.8333333333333,2008.8333333333333,5.0
data/glambie/input/15_south_asia_east/south_asia_east_combined_DUS-combined_Dussaillant_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_combined_DUS-combined_Dussaillant_et_al,combined,Dussaillant et al.,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/15_south_asia_east/south_asia_east_combined_Huss_Huss_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_combined_Huss_Huss_et_al,combined,Huss et al.,mwe,mwe,31,1990.75,2021.75,1.0
data/glambie/input/15_south_asia_east/south_asia_east_combined_Miles2021_Miles_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_combined_Miles2021_Miles_et_al,combined,Miles et al.,mwe,mwe,1,2000.0,2017.0,17.0
data/glambie/input/15_south_asia_east/south_asia_east_demdiff_Brun_et_al_2017_Brun_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_demdiff_Brun_et_al_2017_Brun_et_al,demdiff,Brun et al.,m,m,1,2000.6666666666667,2016.6666666666667,16.0
data/glambie/input/15_south_asia_east/south_asia_east_demdiff_ETH_Hugonnet_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_demdiff_ETH_Hugonnet_et_al,demdiff,Hugonnet et al.,m,m,4,2000.0,2020.0,5.0
data/glambie/input/15_south_asia_east/south_asia_east_demdiff_MountCryo_King_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_demdiff_MountCryo_King_et_al,demdiff,King et al.,m,m,1,2000.1666666666667,2015.5,15.333333333333258
data/glambie/input/15_south_asia_east/south_asia_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al,glaciological,Zemp et al.,mwe,mwe,301,1999.6666666666667,2024.75,0.08333333333325754
data/glambie/input/15_south_asia_east/south_asia_east_glaciological_WGMS-beta_WGMS.csv,15_south_asia_east,South Asia East,south_asia_east_glaciological_WGMS-beta_WGMS,glaciological,WGMS,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/15_south_asia_east/south_asia_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al,gravimetry,Jacob et al.,Gt,Gt,1,2003.0,2010.9166666666667,7.9166666666667425
data/glambie/input/15_south_asia_east/south_asia_east_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,gravimetry,Sasgen et al.,Gt,Gt,248,2002.25,2022.9166666666667,0.08333333333325754
data/glambie/input/15_south_asia_east/south_asia_east_gravimetry_Wouters_Wouters_et_al.csv,15_south_asia_east,South Asia East,south_asia_east_gravimetry_Wouters_Wouters_et_al,gravimetry,Wouters et al.,Gt,Gt,236,2002.1666666666667,2021.8333333333333,0.08333333333325754
data/glambie/input/16_low_latitudes/low_latitudes_combined_DUS-combined_Dussaillant_et_al.csv,16_low_latitudes,Low Latitudes,low_latitudes_combined_DUS-combined_Dussaillant_et_al,combined,Dussaillant et al.,mwe,mwe,24,2000.0,2024.0,1.0
data/glambie/input/16_low_latitudes/low_latitudes_combined_Huss_Huss_et_al.csv,16_low_latitudes,Low Latitudes,low_latitudes_combined_Huss_Huss_et_al,combined,Huss et al.,mwe,mwe,31,1990.25,2021.25,1.0
data/glambie/input/16_low_latitudes/low_latitudes_demdiff_Dussaillant2019_Dussaillant_et_al.csv,16_low_latitudes,Low Latitudes,low_latitudes_demdiff_Dussaillant2019_Dussaillant_et_al,demdiff,Dussaillant et al.,m,m,1,2000.25,2018.25,18.0
data/glambie/input/16_low_latitudes/low_latitudes_demdiff_ETH_Hugonnet_et_al.csv,16_low_latitudes,Low Latitudes,low_latitudes_demdiff_ETH_Hugonnet_et_al,demdiff,Hugonnet et al.,m,m,4,2000.0,2020.0,5.0
data/glambie/input/16_low_latitudes/low_latitudes_demdiff_FAU-GLACIER_Braun_et_al.csv,16_low_latitudes,Low Latitudes,low_latitudes_demdiff_FAU-GLACIER_Braun_et_al,demdiff,Braun et al.,m,m,1,2000.1666666666667,2012.9166666666667,12.75
data/glambie/input/16_low_latitudes/low_latitudes_demdiff_Seehaus_Seehaus_et_al.csv,16_low_latitudes,Low Latitudes,low_latitudes_demdiff_Seehaus_Seehaus_et_al,demdiff,Seehaus et al.,m,m,1,2000.1666666666667,2016.75,16.583333333333258
data/glambie/input/16_low_latitudes/low_latitudes_glaciological_WGMS-beta_WGMS.csv,16_low_latitudes,Low Latitudes,low_latitudes_glaciological_WGMS-beta_WGMS,glaciological,WGMS,mwe,mwe,25,2000.0,2025.0,1.0
data/glambie/input/16_low_latitudes/low_latitudes_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,16_low_latitudes,Low Latitudes,low_latitudes_gravimetry_Jacob_2012_dmdt_Jacob_et_al,gravimetry,Jacob et al.,Gt,Gt,1,2003.0,2010.9166666666667,7.9166666666667425
data/glambie/input/16_low_latitudes/low_latitudes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,16_low_latitudes,Low Latitudes,low_latitudes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,gravimetry,Sasgen et al.,Gt,Gt,248,2002.25,2022.9166666666667,0.08333333333325754
data/glambie/input/16_low_latitudes/low_latitudes_gravimetry_Wouters_Wouters_et_al.csv,16_low_latitudes,Low Latitudes,low_latitudes_gravimetry_Wouters_Wouters_et_al,gravimetry,Wouters et al.,Gt,Gt,236,2002.1666666666667,2021.8333333333333,0.08333333333325754
data/glambie/input/17_southern_andes/southern_andes_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,17_southern_andes,Southern Andes,southern_andes_altimetry_Jakob_Gourmelen_Jakob_et_al,altimetry,Jakob et al.,m,m,120,2010.6666666666667,2020.6666666666667,0.08333333333325754
data/glambie/input/17_southern_andes/southern_andes_combined_DUS-combined_Dussaillant_et_al.csv,17_southern_andes,Southern Andes,southern_andes_combined_DUS-combined_Dussaillant_et_al,combined,Dussaillant et al.,mwe,mwe,25,1999.25,2024.25,1.0
data/glambie/input/17_southern_andes/southern_andes_combined_Huss_Huss_et_al.csv,17_southern_andes,Southern Andes,southern_andes_combined_Huss_Huss_et_al,combined,Huss et al.,mwe,mwe,31,1990.25,2021.25,1.0
data/glambie/input/17_southern_andes/southern_andes_demdiff_DLR-IMF_Krieger_et_al.csv,17_southern_andes,Southern Andes,southern_andes_demdiff_DLR-IMF_Krieger_et_al,demdiff,Krieger et al.,m,m,2,2000.1666666666667,2016.1666666666667,8.0
data/glambie/input/17_southern_andes/southern_andes_demdiff_Dussaillant2019_Dussaillant_et_al.csv,17_southern_andes,Southern Andes,southern_andes_demdiff_Dussaillant2019_Dussaillant_et_al,demdiff,Dussaillant et al.,m,m,1,2000.25,2018.25,18.0
data/glambie/input/17_southern_andes/southern_andes_demdiff_ETH_Hugonnet_et_al.csv,17_southern_andes,Southern Andes,southern_andes_demdiff_ETH_Hugonnet_et_al,demdiff,Hugonnet et al.,m,m,4,2000.0,2020.0,5.0
data/glambie/input/17_southern_andes/southern_andes_demdiff_FAU-GLACIER_Braun_et_al.csv,17_southern_andes,Southern Andes,southern_andes_demdiff_FAU-GLACIER_Braun_et_al,demdiff,Braun et al.,m,m,1,2000.1666666666667,2012.75,12.583333333333258
data/glambie/input/17_southern_andes/southern_andes_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,17_southern_andes,Southern Andes,southern_andes_glaciological_UZH_GlaciolSineWave_Zemp_et_al,glaciological,Zemp et al.,mwe,mwe,301,1999.1666666666667,2024.25,0.08333333333325754
data/glambie/input/17_southern_andes/southern_andes_glaciological_WGMS-beta_WGMS.csv,17_southern_andes,Southern Andes,southern_andes_glaciological_WGMS-beta_WGMS,glaciological,WGMS,mwe,mwe,25,1999.25,2024.25,1.0
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Harig_Group_Harig_et_al.csv,17_southern_andes,Southern Andes,southern_andes_gravimetry_Harig_Group_Harig_et_al,gravimetry,Harig et al.,Gt,Gt,251,2002.25,2023.1666666666667,0.08333333333325754
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,17_southern_andes,Southern Andes,southern_andes_gravimetry_Jacob_2012_dmdt_Jacob_et_al,gravimetry,Jacob et al.,Gt,Gt,1,2003.0,2010.9166666666667,7.9166666666667425
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Richter_Richter_et_al.csv,17_southern_andes,Southern Andes,southern_andes_gravimetry_Richter_Richter_et_al,gravimetry,Richter et al.,Gt,Gt,184,2002.1666666666667,2017.5,0.08333333333325754
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,17_southern_andes,Southern Andes,southern_andes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,gravimetry,Sasgen et al.,Gt,Gt,248,2002.25,2022.9166666666667,0.08333333333325754
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Velicogna_Sutterley_et_al.csv,17_southern_andes,Southern Andes,southern_andes_gravimetry_Velicogna_Sutterley_et_al,gravimetry,Sutterley et al.,gt,Gt,251,2002.25,2023.1666666666667,0.08333333333325754
data/glambie/input/17_southern_andes/southern_andes_gravimetry_Wouters_Wouters_et_al.csv,17_southern_andes,Southern Andes,southern_andes_gravimetry_Wouters_Wouters_et_al,gravimetry,Wouters et al.,Gt,Gt,236,2002.1666666666667,2021.8333333333333,0.08333333333325754
data/glambie/input/18_new_zealand/new_zealand_combined_DUS-combined_Dussaillant_et_al.csv,18_new_zealand,New Zealand,new_zealand_combined_DUS-combined_Dussaillant_et_al,combined,Dussaillant et al.,mwe,mwe,25,1999.25,2024.25,1.0
data/glambie/input/18_new_zealand/new_zealand_combined_Huss_Huss_et_al.csv,18_new_zealand,New Zealand,new_zealand_combined_Huss_Huss_et_al,combined,Huss et al.,mwe,mwe,31,1990.25,2021.25,1.0
data/glambie/input/18_new_zealand/new_zealand_demdiff_ETH_Hugonnet_et_al.csv,18_new_zealand,New Zealand,new_zealand_demdiff_ETH_Hugonnet_et_al,demdiff,Hugonnet et al.,m,m,4,2000.0,2020.0,5.0
data/glambie/input/18_new_zealand/new_zealand_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,18_new_zealand,New Zealand,new_zealand_glaciological_UZH_GlaciolSineWave_Zemp_et_al,glaciological,Zemp et al.,mwe,mwe,301,1999.1666666666667,2024.25,0.08333333333325754
data/glambie/input/18_new_zealand/new_zealand_glaciological_WGMS-beta_WGMS.csv,18_new_zealand,New Zealand,new_zealand_glaciological_WGMS-beta_WGMS,glaciological,WGMS,mwe,mwe,24,2000.25,2024.25,1.0
data/glambie/input/18_new_zealand/new_zealand_gravimetry_Harig_Group_Harig_et_al.csv,18_new_zealand,New Zealand,new_zealand_gravimetry_Harig_Group_Harig_et_al,gravimetry,Harig et al.,Gt,Gt,251,2002.25,2023.1666666666667,0.08333333333325754
data/glambie/input/18_new_zealand/new_zealand_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,18_new_zealand,New Zealand,new_zealand_gravimetry_Jacob_2012_dmdt_Jacob_et_al,gravimetry,Jacob et al.,Gt,Gt,1,2003.0,2010.9166666666667,7.9166666666667425
data/glambie/input/18_new_zealand/new_zealand_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,18_new_zealand,New Zealand,new_zealand_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,gravimetry,Sasgen et al.,Gt,Gt,248,2002.25,2022.9166666666667,0.08333333333325754
data/glambie/input/18_new_zealand/new_zealand_gravimetry_Wouters_Wouters_et_al.csv,18_new_zealand,New Zealand,new_zealand_gravimetry_Wouters_Wouters_et_al,gravimetry,Wouters et al.,Gt,Gt,236,2002.1666666666667,2021.8333333333333,0.08333333333325754
data/glambie/input/19_antarctic_and_subantarctic/antarctic_and_subantarctic_altimetry_Gardner2013_icesat_Gardner_et_al.csv,19_antarctic_and_subantarctic,Antarctic & Subantarctic,antarctic_and_subantarctic_altimetry_Gardner2013_icesat_Gardner_et_al,altimetry,Gardner et al.,m,m,1,2003.75,2009.75,6.0
