repetition,cell_id,presented_peptide_count,unique_presented_peptides,unique_mutations,hla_count
1,55,26,11,2,1
1,56,37,22,5,1
1,57,19,14,6,1
1,58,26,18,6,1
1,59,25,15,4,1
1,60,28,19,4,1
1,61,34,21,4,1
1,62,25,17,4,1
1,63,28,20,6,1
1,64,37,19,7,1
1,65,37,16,3,1
1,66,28,16,2,1
1,67,35,18,4,1
1,68,30,19,4,1
1,69,29,12,3,1
1,70,29,19,3,1
1,71,26,14,4,1
1,72,38,25,3,1
1,73,23,15,4,1
1,74,23,16,4,1
1,75,25,15,2,1
1,76,32,26,6,1
1,77,25,15,2,1
1,78,25,16,3,1
1,79,30,20,6,1
1,80,37,22,4,1
1,81,19,14,5,1
1,82,21,17,5,1
1,83,32,21,5,1
1,84,34,21,4,1
1,85,28,19,5,1
1,86,34,19,3,1
1,87,23,14,4,1
1,88,40,19,3,1
1,89,29,16,4,1
1,90,28,18,5,1
1,91,31,19,6,1
1,92,23,13,4,1
1,93,26,10,1,1
1,94,36,24,6,1
1,95,32,17,5,1
1,96,29,16,5,1
1,97,14,11,3,1
1,98,29,17,5,1
1,99,24,19,7,1
2,0,35,20,4,1
2,1,32,14,3,1
2,2,28,20,6,1
2,3,41,23,5,1
2,4,25,19,5,1
2,5,28,11,2,1
2,6,30,19,3,1
2,7,27,13,3,1
2,8,20,15,5,1
2,9,29,17,5,1
2,10,32,19,4,1
2,11,30,17,4,1
2,12,26,19,6,1
2,13,24,19,5,1
2,14,29,21,5,1
2,15,28,17,3,1
2,16,28,13,2,1
2,17,22,17,5,1
2,18,38,28,4,1
2,19,24,15,4,1
2,20,34,26,6,1
2,21,21,10,1,1
2,22,28,16,4,1
2,23,35,21,3,1
2,24,25,16,5,1
2,25,25,17,4,1
2,26,31,16,2,1
2,27,22,16,4,1
2,28,32,19,5,1
2,29,27,16,4,1
2,30,35,20,3,1
2,31,24,20,7,1
2,32,29,18,4,1
2,33,20,7,1,1
2,34,29,16,5,1
2,35,41,23,3,1
2,36,28,17,5,1
2,37,29,17,4,1
2,38,30,19,3,1
2,39,28,16,2,1
2,40,32,23,7,1
2,41,25,13,2,1
2,42,20,17,4,1
2,43,26,9,2,1
2,44,30,19,3,1
2,45,38,27,5,1
2,46,26,18,4,1
2,47,25,15,3,1
2,48,30,18,3,1
2,49,29,18,6,1
2,50,33,22,5,1
2,51,39,18,2,1
2,52,22,13,3,1
2,53,23,15,2,1
2,54,30,18,3,1
2,55,31,20,4,1
2,56,27,20,3,1
2,57,31,16,4,1
2,58,28,20,4,1
2,59,29,13,2,1
2,60,33,22,4,1
2,61,2,2,1,1
2,62,29,22,6,1
2,63,27,20,4,1
2,64,24,17,4,1
2,65,28,15,3,1
2,66,28,15,2,1
2,67,16,13,3,1
2,68,24,17,4,1
2,69,22,13,4,1
2,70,24,15,5,1
2,71,31,24,6,1
2,72,28,14,2,1
2,73,19,10,2,1
2,74,19,15,7,1
2,75,26,20,5,1
2,76,29,24,6,1
2,77,30,18,4,1
2,78,24,20,5,1
2,79,24,12,2,1
2,80,30,18,3,1
2,81,18,13,4,1
2,82,24,13,2,1
2,83,39,21,4,1
2,84,29,16,3,1
2,85,36,20,3,1
2,86,27,17,4,1
2,87,27,13,3,1
2,88,23,14,2,1
2,89,28,18,4,1
2,90,25,19,6,1
2,91,32,21,4,1
2,92,31,13,2,1
2,93,29,17,3,1
2,94,24,12,2,1
2,95,34,20,5,1
2,96,20,10,2,1
2,97,27,19,6,1
2,98,25,12,2,1
2,99,34,10,2,1
3,0,34,19,4,1
3,1,38,20,4,1
3,2,28,12,3,1
3,3,36,17,2,1
3,4,26,18,5,1
3,5,24,17,5,1
3,6,22,10,2,1
3,7,41,25,5,1
3,8,27,19,5,1
3,9,36,19,4,1
3,10,26,14,3,1
3,11,32,18,4,1
3,12,32,21,5,1
3,13,27,10,2,1
3,14,34,17,4,1
3,15,26,16,4,1
3,16,33,15,3,1
3,17,21,18,4,1
3,18,30,19,4,1
3,19,23,11,2,1
3,20,23,17,4,1
3,21,25,19,5,1
3,22,24,14,3,1
3,23,35,17,5,1
3,24,22,18,5,1
3,25,29,17,2,1
3,26,26,17,5,1
3,27,29,17,3,1
3,28,22,13,4,1
3,29,26,17,5,1
3,30,26,17,3,1
3,31,18,17,5,1
3,32,34,24,3,1
3,33,33,21,4,1
3,34,35,25,7,1
3,35,21,15,3,1
3,36,19,13,5,1
3,37,31,21,5,1
3,38,24,12,3,1
3,39,13,11,4,1
3,40,31,20,3,1
3,41,19,13,4,1
3,42,34,14,2,1
3,43,26,11,2,1
3,44,36,21,4,1
3,45,28,20,6,1
3,46,26,14,3,1
3,47,19,14,3,1
3,48,30,18,4,1
3,49,34,23,4,1
3,50,22,15,3,1
3,51,37,25,5,1
3,52,31,20,4,1
3,53,32,15,2,1
3,54,33,17,3,1
3,55,32,17,3,1
3,56,27,20,8,1
3,57,31,21,3,1
3,58,27,16,3,1
3,59,25,15,4,1
3,60,28,20,4,1
3,61,27,13,4,1
3,62,23,11,2,1
3,63,28,18,6,1
3,64,29,18,4,1
3,65,30,26,7,1
3,66,28,22,5,1
3,67,24,19,4,1
3,68,24,16,5,1
3,69,31,18,3,1
3,70,2,2,1,1
3,71,31,18,5,1
3,72,31,21,6,1
3,73,23,17,4,1
3,74,21,16,4,1
3,75,25,17,4,1
3,76,29,12,3,1
3,77,24,17,6,1
3,78,14,11,5,1
3,79,34,24,5,1
3,80,28,18,5,1
3,81,23,14,3,1
3,82,34,19,2,1
3,83,30,17,3,1
3,84,38,21,4,1
3,85,18,9,3,1
3,86,24,16,3,1
3,87,22,16,4,1
3,88,37,20,5,1
3,89,31,19,4,1
3,90,26,15,3,1
3,91,42,23,5,1
3,92,30,20,5,1
3,93,27,24,6,1
3,94,27,20,4,1
3,95,21,15,4,1
3,96,29,20,4,1
3,97,33,19,5,1
3,98,31,20,4,1
3,99,33,18,5,1
4,0,30,22,5,1
4,1,24,15,3,1
4,2,27,17,3,1
4,3,35,18,3,1
4,4,14,10,2,1
4,5,24,19,5,1
4,6,34,21,4,1
4,7,32,20,4,1
4,8,27,16,4,1
4,9,24,14,4,1
4,10,28,14,4,1
4,11,25,13,3,1
4,12,32,21,2,1
4,13,26,17,4,1
4,14,28,18,4,1
4,15,31,15,3,1
4,16,42,26,7,1
4,17,23,19,5,1
4,18,19,13,5,1
4,19,22,11,3,1
4,20,31,24,6,1
4,21,26,7,2,1
4,22,20,15,5,1
4,23,20,15,4,1
4,24,27,15,3,1
4,25,27,13,2,1
4,26,31,13,2,1
4,27,31,19,6,1
4,28,19,11,4,1
4,29,36,21,4,1
4,30,27,20,6,1
4,31,31,22,5,1
4,32,34,21,5,1
4,33,30,22,3,1
4,34,32,22,5,1
4,35,27,21,5,1
4,36,24,16,4,1
4,37,30,19,4,1
4,38,24,15,4,1
4,39,24,16,3,1
4,40,13,9,2,1
4,41,31,22,6,1
4,42,24,14,3,1
4,43,36,22,4,1
4,44,27,14,3,1
4,45,26,16,5,1
4,46,32,16,3,1
4,47,23,11,2,1
4,48,26,18,4,1
4,49,29,13,2,1
4,50,26,13,2,1
4,51,26,19,5,1
4,52,35,24,3,1
4,53,31,20,5,1
4,54,27,17,5,1
4,55,21,10,3,1
4,56,34,16,5,1
4,57,24,14,3,1
4,58,27,15,4,1
4,59,22,15,5,1
4,60,26,19,5,1
4,61,25,18,5,1
4,62,35,22,3,1
4,63,29,18,3,1
4,64,32,18,4,1
4,65,30,19,4,1
4,66,24,18,4,1
4,67,27,18,4,1
4,68,35,18,3,1
4,69,15,11,5,1
4,70,18,9,2,1
4,71,28,21,5,1
4,72,30,16,4,1
4,73,20,14,3,1
4,74,24,15,4,1
4,75,18,12,1,1
4,76,24,17,4,1
4,77,36,23,5,1
4,78,23,14,4,1
4,79,23,15,3,1
4,80,34,19,3,1
4,81,26,22,8,1
4,82,29,17,4,1
4,83,25,17,4,1
4,84,26,18,5,1
4,85,30,20,5,1
4,86,35,17,2,1
4,87,28,18,5,1
4,88,20,17,5,1
4,89,28,15,3,1
4,90,29,18,5,1
4,91,31,21,4,1
4,92,20,12,3,1
4,93,29,18,4,1
4,94,32,16,4,1
4,95,35,19,3,1
4,96,32,21,5,1
4,97,28,23,6,1
4,98,19,9,4,1
4,99,26,17,5,1
5,0,27,14,2,1
5,1,29,17,3,1
5,2,37,23,6,1
5,3,37,22,6,1
5,4,38,19,5,1
5,5,33,18,3,1
5,6,26,16,4,1
5,7,29,19,3,1
5,8,37,25,5,1
5,9,28,14,4,1
5,10,32,23,4,1
5,11,28,18,5,1
5,13,27,15,4,1
5,14,33,23,5,1
5,15,27,19,3,1
5,16,28,14,3,1
5,17,30,20,6,1
5,18,22,16,4,1
5,19,22,11,3,1
5,20,39,26,4,1
5,21,25,13,2,1
5,22,30,18,4,1
5,23,31,19,4,1
5,24,25,17,5,1
5,25,23,13,2,1
5,26,24,16,4,1
5,27,30,15,3,1
5,28,31,14,2,1
5,29,28,11,3,1
5,30,28,21,6,1
5,31,39,24,5,1
5,32,35,24,3,1
5,33,22,15,4,1
5,34,28,19,4,1
5,35,29,21,4,1
5,36,34,16,4,1
5,37,21,12,4,1
5,38,34,20,4,1
5,39,22,14,4,1
5,40,24,12,4,1
5,41,25,17,5,1
5,42,37,16,3,1
5,43,36,20,4,1
5,44,31,18,3,1
5,45,22,15,4,1
5,46,41,21,5,1
5,47,30,16,3,1
5,48,24,21,5,1
5,49,35,20,5,1
5,50,30,18,4,1
5,51,36,18,2,1
5,52,30,11,2,1
5,53,31,21,6,1
5,54,26,15,3,1
5,55,27,15,3,1
5,56,27,15,3,1
5,57,31,15,3,1
5,58,29,17,5,1
5,59,36,24,5,1
5,60,30,22,4,1
5,61,27,16,3,1
5,62,33,17,3,1
5,63,29,16,2,1
5,64,18,10,2,1
5,65,30,20,5,1
5,66,23,17,5,1
5,67,28,18,2,1
5,68,29,12,4,1
5,69,23,17,3,1
5,70,29,14,3,1
5,72,21,15,4,1
5,73,30,19,4,1
5,74,28,18,4,1
5,75,29,21,4,1
5,76,29,19,5,1
5,77,16,11,3,1
5,78,25,11,3,1
5,79,12,10,4,1
5,80,24,17,4,1
5,81,32,22,5,1
5,82,24,15,4,1
5,83,25,12,3,1
5,84,26,20,5,1
5,85,27,18,6,1
5,86,33,23,6,1
5,87,40,24,5,1
5,88,30,21,5,1
5,89,35,23,6,1
5,90,32,21,3,1
5,91,25,18,4,1
5,92,37,20,3,1
5,93,25,15,5,1
5,94,34,19,4,1
5,95,21,15,5,1
5,96,29,10,3,1
5,97,24,14,4,1
5,98,24,15,5,1
5,99,36,21,5,1
6,0,22,10,2,1
6,1,21,17,6,1
6,2,30,16,3,1
6,3,25,18,4,1
6,4,31,22,7,1
6,5,33,21,4,1
6,6,33,22,6,1
6,7,36,10,1,1
6,8,32,26,5,1
6,9,21,11,3,1
6,10,21,17,4,1
6,11,27,13,2,1
6,12,28,22,6,1
6,13,39,19,5,1
6,14,27,20,6,1
6,15,35,19,4,1
6,16,31,21,6,1
6,17,28,18,3,1
6,18,21,12,3,1
6,19,26,20,5,1
6,20,30,25,5,1
6,21,20,11,4,1
6,22,7,6,2,1
6,23,26,17,5,1
6,24,23,18,5,1
6,25,33,21,5,1
6,26,26,17,3,1
6,27,36,20,6,1
6,28,30,19,4,1
6,29,28,15,3,1
6,30,23,13,3,1
6,31,26,23,7,1
6,32,25,12,2,1
6,33,32,16,2,1
6,34,34,14,3,1
6,35,31,18,6,1
6,36,24,11,1,1
6,37,28,17,3,1
6,38,26,15,2,1
6,39,23,13,3,1
6,40,24,17,3,1
6,41,31,21,3,1
6,42,24,15,4,1
6,43,31,21,6,1
6,44,28,17,4,1
6,45,35,19,6,1
6,46,31,22,5,1
6,47,34,20,4,1
6,48,34,18,2,1
6,49,27,18,4,1
6,50,36,26,7,1
6,51,35,15,3,1
6,52,31,16,2,1
6,53,21,12,3,1
6,54,25,16,4,1
6,55,31,22,5,1
6,56,29,21,5,1
6,57,41,28,5,1
6,58,45,26,5,1
6,59,35,21,5,1
6,60,28,19,4,1
6,61,33,17,2,1
6,62,30,17,4,1
6,63,26,20,6,1
6,64,23,16,5,1
6,65,29,19,5,1
6,66,24,13,2,1
6,67,30,21,6,1
6,68,23,16,5,1
6,69,32,18,4,1
6,70,24,12,4,1
6,71,29,17,5,1
6,72,36,17,4,1
6,73,38,18,3,1
6,74,28,18,4,1
6,75,32,20,3,1
6,76,26,15,2,1
6,77,27,19,6,1
6,78,28,20,6,1
6,79,28,18,4,1
6,80,28,10,3,1
6,81,22,14,4,1
6,82,37,25,6,1
6,83,24,16,4,1
6,84,23,16,4,1
6,85,28,18,4,1
6,86,18,11,1,1
6,87,30,19,3,1
6,88,19,13,4,1
6,89,29,19,3,1
6,90,27,11,3,1
6,91,33,21,3,1
6,92,34,18,5,1
6,93,19,11,4,1
6,94,29,19,4,1
6,95,30,24,4,1
6,96,31,25,6,1
6,97,25,12,5,1
6,98,29,18,4,1
6,99,25,13,4,1
7,0,23,14,5,1
7,1,29,19,4,1
7,2,33,19,4,1
7,3,28,19,4,1
7,4,33,19,3,1
7,5,21,15,4,1
7,6,35,18,5,1
7,7,27,19,5,1
7,8,22,19,4,1
7,9,32,16,4,1
7,10,36,17,3,1
7,11,24,16,4,1
7,12,28,16,3,1
7,13,35,19,4,1
7,14,26,19,5,1
7,15,34,27,7,1
7,16,27,21,6,1
7,17,28,12,1,1
7,18,31,16,4,1
7,19,29,16,4,1
7,20,21,14,4,1
7,21,29,19,5,1
7,22,29,23,6,1
7,23,24,14,2,1
7,24,30,13,2,1
7,25,22,16,4,1
7,26,22,15,3,1
7,27,28,21,5,1
7,28,32,20,5,1
7,29,23,17,4,1
7,30,28,18,4,1
7,31,20,13,4,1
7,32,28,20,4,1
7,33,27,14,3,1
7,34,29,16,3,1
7,35,24,18,3,1
7,36,18,9,2,1
7,37,35,25,5,1
7,38,26,15,4,1
7,39,36,21,4,1
7,40,31,20,6,1
7,41,25,13,3,1
7,42,37,26,6,1
7,43,21,14,3,1
7,44,28,24,5,1
7,45,33,21,4,1
7,46,37,17,2,1
7,47,27,16,5,1
7,48,19,9,2,1
7,49,30,19,3,1
7,50,39,24,4,1
7,51,25,16,5,1
7,52,34,25,7,1
7,53,30,16,5,1
7,54,28,15,5,1
7,55,37,17,2,1
7,56,25,12,4,1
7,57,29,19,6,1
7,58,38,25,5,1
7,59,36,21,4,1
7,60,32,18,3,1
7,61,27,14,4,1
7,62,23,17,4,1
7,63,26,14,4,1
7,64,30,24,6,1
7,65,30,15,4,1
7,66,32,22,6,1
7,67,24,21,7,1
7,68,32,15,4,1
7,69,28,17,3,1
7,70,38,24,5,1
7,71,33,17,3,1
7,72,35,17,2,1
7,73,33,21,4,1
7,74,30,15,3,1
7,75,33,20,4,1
7,76,28,13,3,1
7,77,35,22,6,1
7,78,25,15,3,1
7,79,30,19,4,1
7,80,29,18,4,1
7,81,37,26,6,1
7,82,25,13,2,1
7,83,28,18,5,1
7,84,38,23,4,1
7,85,25,17,4,1
7,86,36,24,4,1
7,87,38,27,5,1
7,88,26,18,4,1
7,89,26,17,3,1
7,90,28,18,3,1
7,91,31,16,3,1
7,92,23,16,4,1
7,93,25,17,4,1
7,94,32,24,5,1
7,95,37,17,4,1
7,96,23,18,4,1
7,97,21,17,5,1
7,98,30,12,3,1
7,99,35,24,4,1
8,0,23,15,3,1
8,1,31,22,7,1
8,2,21,16,5,1
8,3,26,10,1,1
8,4,25,17,4,1
8,5,33,16,2,1
8,6,27,17,4,1
8,7,22,16,5,1
8,8,20,17,3,1
8,9,33,23,7,1
8,10,26,19,4,1
8,11,21,15,4,1
8,12,35,20,2,1
8,13,34,18,4,1
8,14,20,16,5,1
8,15,26,15,4,1
8,16,27,20,6,1
8,17,33,16,2,1
8,18,33,15,2,1
8,19,20,15,4,1
8,20,34,20,3,1
8,21,24,15,3,1
8,22,39,21,3,1
8,23,28,21,3,1
8,24,32,20,5,1
8,25,37,17,3,1
8,26,37,25,5,1
8,27,31,18,4,1
8,28,20,11,4,1
8,29,22,12,1,1
8,30,21,18,5,1
8,31,24,15,3,1
8,32,35,21,6,1
8,33,19,17,5,1
8,34,29,18,5,1
8,35,27,13,3,1
8,36,27,16,3,1
8,38,27,19,3,1
8,39,2,2,1,1
8,40,24,17,3,1
8,41,26,14,3,1
8,42,30,14,2,1
8,43,23,16,4,1
8,44,35,25,5,1
8,45,33,20,4,1
8,46,26,15,4,1
8,47,46,30,5,1
8,48,25,13,5,1
8,49,32,22,3,1
8,50,23,16,3,1
8,51,29,24,7,1
8,52,24,13,4,1
8,53,15,9,2,1
8,54,25,15,2,1
8,55,29,17,4,1
8,56,20,14,4,1
8,57,27,17,3,1
8,58,29,20,5,1
8,59,28,18,4,1
8,60,25,18,4,1
8,61,29,18,3,1
8,62,22,18,5,1
8,63,28,20,3,1
8,64,28,18,4,1
8,65,33,18,2,1
8,66,32,10,1,1
8,67,24,18,4,1
8,68,42,15,3,1
8,69,30,23,6,1
8,70,37,21,4,1
8,71,29,21,5,1
8,72,24,17,4,1
8,73,24,12,2,1
8,74,24,18,4,1
8,75,20,16,6,1
8,76,24,10,2,1
8,77,22,13,3,1
8,78,33,20,5,1
8,79,19,9,1,1
8,80,33,23,7,1
8,81,29,18,3,1
8,82,35,24,6,1
8,83,32,20,4,1
8,84,29,18,5,1
8,85,25,14,4,1
8,86,31,17,3,1
8,87,37,20,4,1
8,88,37,20,5,1
8,89,20,9,2,1
8,90,27,19,4,1
8,91,38,19,3,1
8,92,19,14,4,1
8,93,33,20,4,1
8,94,15,11,4,1
8,95,36,16,2,1
8,96,24,22,5,1
8,97,28,15,2,1
8,98,34,26,6,1
8,99,24,15,3,1
9,0,31,16,4,1
9,1,39,17,3,1
9,2,23,15,4,1
9,3,31,20,4,1
9,4,34,17,4,1
9,5,26,10,2,1
9,6,31,14,4,1
9,7,26,16,4,1
9,8,20,15,4,1
9,9,25,14,2,1
9,10,34,26,7,1
9,11,24,8,1,1
9,12,24,17,5,1
9,13,30,24,6,1
9,14,18,12,3,1
9,15,21,16,5,1
9,16,25,20,6,1
9,17,41,19,4,1
9,18,26,20,4,1
9,19,28,16,6,1
9,20,22,16,3,1
9,21,27,20,6,1
9,22,32,21,5,1
9,23,27,15,2,1
9,24,32,18,4,1
9,25,31,22,5,1
9,26,31,19,4,1
9,27,25,18,5,1
9,28,21,12,3,1
9,29,44,30,6,1
9,30,30,23,5,1
9,31,27,16,4,1
9,32,35,21,4,1
9,33,34,20,4,1
9,34,30,22,4,1
9,35,27,23,3,1
9,36,32,20,5,1
9,37,22,16,2,1
9,38,32,22,6,1
9,39,30,12,2,1
9,40,22,15,4,1
9,41,20,12,2,1
9,42,27,18,3,1
9,43,22,12,2,1
9,44,35,19,5,1
9,45,6,5,1,1
9,46,23,12,3,1
9,47,22,12,3,1
9,48,34,19,5,1
9,49,27,14,4,1
9,50,30,22,5,1
9,51,31,20,5,1
9,52,25,13,2,1
9,53,25,17,4,1
9,54,28,17,4,1
9,55,35,17,3,1
9,56,31,22,6,1
9,57,26,14,4,1
9,58,33,16,3,1
9,59,34,16,3,1
9,60,34,21,4,1
9,61,39,20,5,1
9,62,29,20,4,1
9,63,33,16,3,1
9,64,26,15,3,1
9,65,35,19,4,1
9,66,35,21,4,1
9,67,22,15,3,1
9,68,32,18,5,1
9,69,32,20,4,1
9,70,25,19,5,1
9,71,29,16,3,1
9,72,29,21,5,1
9,73,22,16,5,1
9,74,31,16,4,1
9,75,24,19,5,1
9,76,28,18,4,1
9,77,25,17,4,1
9,78,31,20,5,1
9,79,25,15,6,1
9,80,27,17,4,1
9,81,24,18,7,1
9,82,28,14,2,1
9,83,28,19,4,1
9,84,37,21,3,1
9,85,27,16,4,1
9,86,23,13,3,1
9,87,24,16,3,1
9,88,34,20,7,1
9,89,32,20,6,1
9,90,21,16,5,1
9,91,32,16,2,1
9,92,25,17,5,1
9,93,26,10,2,1
9,94,36,19,4,1
9,95,28,16,4,1
9,96,29,24,5,1
9,97,31,26,6,1
9,98,28,17,5,1
9,99,33,17,3,1
