step,alpha,beta,sqrt_alpha,sqrt_one_minus_alpha
2.700000000000000000e+01,9.970281720161437988e-01,1.677274703979492188e-04,9.985129833221435547e-01,5.451447516679763794e-02
2.800000000000000000e+01,9.968560934066772461e-01,1.726150512695312500e-04,9.984267950057983398e-01,5.607055127620697021e-02
2.900000000000000000e+01,9.966791868209838867e-01,1.774430274963378906e-04,9.983382225036621094e-01,5.762649700045585632e-02
3.000000000000000000e+01,9.964975118637084961e-01,1.822710037231445312e-04,9.982472062110900879e-01,5.918182432651519775e-02
3.100000000000000000e+01,9.963110089302062988e-01,1.871585845947265625e-04,9.981538057327270508e-01,6.073706597089767456e-02
3.200000000000000000e+01,9.961195588111877441e-01,1.921653747558593750e-04,9.980579018592834473e-01,6.229318678379058838e-02
3.300000000000000000e+01,9.959233999252319336e-01,1.969337463378906250e-04,9.979596138000488281e-01,6.384825706481933594e-02
3.400000000000000000e+01,9.957224726676940918e-01,2.017617225646972656e-04,9.978589415550231934e-01,6.540280580520629883e-02
3.500000000000000000e+01,9.955165386199951172e-01,2.068281173706054688e-04,9.977557659149169922e-01,6.695865094661712646e-02
3.600000000000000000e+01,9.953060746192932129e-01,2.114176750183105469e-04,9.976502656936645508e-01,6.851223111152648926e-02
3.700000000000000000e+01,9.950905442237854004e-01,2.165436744689941406e-04,9.975422620773315430e-01,7.006751000881195068e-02
3.800000000000000000e+01,9.948703646659851074e-01,2.212524414062500000e-04,9.974318742752075195e-01,7.162147015333175659e-02
3.900000000000000000e+01,9.946452975273132324e-01,2.261996269226074219e-04,9.973190426826477051e-01,7.317583262920379639e-02
4.000000000000000000e+01,9.944153428077697754e-01,2.312064170837402344e-04,9.972037672996520996e-01,7.473056763410568237e-02
4.100000000000000000e+01,9.941806793212890625e-01,2.359747886657714844e-04,9.970861077308654785e-01,7.628447562456130981e-02
4.200000000000000000e+01,9.939413070678710938e-01,2.408027648925781250e-04,9.969660639762878418e-01,7.783760875463485718e-02
4.300000000000000000e+01,9.936969876289367676e-01,2.458095550537109375e-04,9.968435168266296387e-01,7.939151674509048462e-02
4.400000000000000000e+01,9.934479594230651855e-01,2.506375312805175781e-04,9.967185854911804199e-01,8.094467967748641968e-02
4.500000000000000000e+01,9.931941628456115723e-01,2.554655075073242188e-04,9.965912699699401855e-01,8.249749988317489624e-02
4.600000000000000000e+01,9.929355382919311523e-01,2.604126930236816406e-04,9.964615106582641602e-01,8.405034989118576050e-02
4.700000000000000000e+01,9.926720857620239258e-01,2.653002738952636719e-04,9.963293075561523438e-01,8.560323715209960938e-02
4.800000000000000000e+01,9.924039244651794434e-01,2.701282501220703125e-04,9.961947202682495117e-01,8.715546876192092896e-02
4.900000000000000000e+01,9.921309351921081543e-01,2.750754356384277344e-04,9.960576891899108887e-01,8.870775252580642700e-02
5.000000000000000000e+01,9.918531179428100586e-01,2.800226211547851562e-04,9.959182143211364746e-01,9.026008099317550659e-02
5.100000000000000000e+01,9.915705323219299316e-01,2.849102020263671875e-04,9.957763552665710449e-01,9.181213378906250000e-02
5.200000000000000000e+01,9.912831783294677734e-01,2.897977828979492188e-04,9.956320524215698242e-01,9.336391836404800415e-02
5.300000000000000000e+01,9.909911155700683594e-01,2.946257591247558594e-04,9.954853653907775879e-01,9.491514414548873901e-02
5.400000000000000000e+01,9.906942248344421387e-01,2.995729446411132812e-04,9.953362345695495605e-01,9.646644443273544312e-02
5.500000000000000000e+01,9.903926253318786621e-01,3.044605255126953125e-04,9.951847195625305176e-01,9.801721572875976562e-02
5.600000000000000000e+01,9.900861978530883789e-01,3.094077110290527344e-04,9.950307607650756836e-01,9.956807643175125122e-02
5.700000000000000000e+01,9.897751212120056152e-01,3.141760826110839844e-04,9.948744177818298340e-01,1.011181399226188660e-01
5.800000000000000000e+01,9.894591569900512695e-01,3.192424774169921875e-04,9.947156310081481934e-01,1.026686057448387146e-01
5.900000000000000000e+01,9.891384840011596680e-01,3.240704536437988281e-04,9.945544004440307617e-01,1.042185947299003601e-01
6.000000000000000000e+01,9.888130426406860352e-01,3.290176391601562500e-04,9.943907856941223145e-01,1.057684123516082764e-01
6.100000000000000000e+01,9.884829521179199219e-01,3.338456153869628906e-04,9.942247867584228516e-01,1.073175072669982910e-01
6.200000000000000000e+01,9.881480336189270020e-01,3.387928009033203125e-04,9.940563440322875977e-01,1.088667362928390503e-01
6.300000000000000000e+01,9.878082871437072754e-01,3.437995910644531250e-04,9.938854575157165527e-01,1.104160919785499573e-01
6.400000000000000000e+01,9.874638915061950684e-01,3.486275672912597656e-04,9.937121868133544922e-01,1.119647622108459473e-01
6.500000000000000000e+01,9.871148467063903809e-01,3.534555435180664062e-04,9.935365319252014160e-01,1.135127916932106018e-01
6.600000000000000000e+01,9.867609739303588867e-01,3.584623336791992188e-04,9.933584332466125488e-01,1.150609701871871948e-01
6.700000000000000000e+01,9.864023327827453613e-01,3.634691238403320312e-04,9.931778907775878906e-01,1.166090369224548340e-01
6.800000000000000000e+01,9.860391020774841309e-01,3.682374954223632812e-04,9.929950237274169922e-01,1.181562468409538269e-01
6.900000000000000000e+01,9.856709837913513184e-01,3.733038902282714844e-04,9.928096532821655273e-01,1.197038665413856506e-01
7.000000000000000000e+01,9.852982163429260254e-01,3.781914710998535156e-04,9.926218986511230469e-01,1.212509125471115112e-01
7.100000000000000000e+01,9.849207997322082520e-01,3.830194473266601562e-04,9.924317598342895508e-01,1.227973923087120056e-01
7.200000000000000000e+01,9.845385551452636719e-01,3.880858421325683594e-04,9.922391772270202637e-01,1.243440583348274231e-01
7.300000000000000000e+01,9.841517210006713867e-01,3.929138183593750000e-04,9.920442104339599609e-01,1.258899420499801636e-01
7.400000000000000000e+01,9.837601780891418457e-01,3.978610038757324219e-04,9.918468594551086426e-01,1.274355649948120117e-01
7.500000000000000000e+01,9.833639264106750488e-01,4.028081893920898438e-04,9.916470646858215332e-01,1.289809048175811768e-01
7.600000000000000000e+01,9.829629659652709961e-01,4.077553749084472656e-04,9.914448857307434082e-01,1.305259913206100464e-01
7.700000000000000000e+01,9.825572371482849121e-01,4.127621650695800781e-04,9.912402629852294922e-01,1.320710480213165283e-01
7.800000000000000000e+01,9.821469187736511230e-01,4.175901412963867188e-04,9.910332560539245605e-01,1.336154192686080933e-01
7.900000000000000000e+01,9.817318320274353027e-01,4.226565361022949219e-04,9.908238053321838379e-01,1.351597905158996582e-01
8.000000000000000000e+01,9.813120961189270020e-01,4.275441169738769531e-04,9.906119704246520996e-01,1.367037147283554077e-01
8.100000000000000000e+01,9.808877110481262207e-01,4.324913024902343750e-04,9.903977513313293457e-01,1.382472068071365356e-01
8.200000000000000000e+01,9.804586768150329590e-01,4.373788833618164062e-04,9.901811480522155762e-01,1.397902816534042358e-01
8.300000000000000000e+01,9.800249338150024414e-01,4.423856735229492188e-04,9.899621009826660156e-01,1.413331776857376099e-01
8.400000000000000000e+01,9.795864820480346680e-01,4.473924636840820312e-04,9.897406101226806641e-01,1.428758800029754639e-01
8.500000000000000000e+01,9.791435003280639648e-01,4.522204399108886719e-04,9.895167946815490723e-01,1.444177925586700439e-01
8.600000000000000000e+01,9.786957502365112305e-01,4.572868347167968750e-04,9.892905354499816895e-01,1.459597498178482056e-01
8.700000000000000000e+01,9.782434105873107910e-01,4.621744155883789062e-04,9.890618920326232910e-01,1.475011557340621948e-01
8.800000000000000000e+01,9.777863621711730957e-01,4.672408103942871094e-04,9.888308048248291016e-01,1.490423977375030518e-01
8.900000000000000000e+01,9.773247838020324707e-01,4.720687866210937500e-04,9.885973930358886719e-01,1.505829244852066040e-01
9.000000000000000000e+01,9.768585562705993652e-01,4.770159721374511719e-04,9.883615374565124512e-01,1.521231234073638916e-01
9.100000000000000000e+01,9.763875603675842285e-01,4.821419715881347656e-04,9.881232380867004395e-01,1.536633968353271484e-01
9.200000000000000000e+01,9.759120345115661621e-01,4.870295524597167969e-04,9.878826141357421875e-01,1.552029848098754883e-01
9.300000000000000000e+01,9.754318594932556152e-01,4.920363426208496094e-04,9.876395463943481445e-01,1.567422747611999512e-01
9.400000000000000000e+01,9.749470949172973633e-01,4.969835281372070312e-04,9.873940944671630859e-01,1.582810878753662109e-01
9.500000000000000000e+01,9.744576215744018555e-01,5.020499229431152344e-04,9.871461987495422363e-01,1.598198264837265015e-01
9.600000000000000000e+01,9.739636778831481934e-01,5.068778991699218750e-04,9.868959784507751465e-01,1.613577455282211304e-01
9.700000000000000000e+01,9.734650254249572754e-01,5.120038986206054688e-04,9.866433143615722656e-01,1.628955900669097900e-01
9.800000000000000000e+01,9.729617834091186523e-01,5.169510841369628906e-04,9.863882660865783691e-01,1.644330173730850220e-01
9.900000000000000000e+01,9.724540114402770996e-01,5.218982696533203125e-04,9.861308336257934570e-01,1.659698486328125000e-01
1.000000000000000000e+02,9.719416499137878418e-01,5.268454551696777344e-04,9.858710169792175293e-01,1.675062626600265503e-01
1.010000000000000000e+02,9.714247584342956543e-01,5.317926406860351562e-04,9.856088161468505859e-01,1.690421253442764282e-01
1.020000000000000000e+02,9.709031581878662109e-01,5.369186401367187500e-04,9.853441715240478516e-01,1.705779582262039185e-01
1.030000000000000000e+02,9.703769683837890625e-01,5.419850349426269531e-04,9.850771427154541016e-01,1.721134334802627563e-01
1.040000000000000000e+02,9.698462486267089844e-01,5.469322204589843750e-04,9.848077297210693359e-01,1.736483573913574219e-01
1.050000000000000000e+02,9.693109989166259766e-01,5.518794059753417969e-04,9.845359325408935547e-01,1.751827597618103027e-01
1.060000000000000000e+02,9.687712192535400391e-01,5.568861961364746094e-04,9.842617511749267578e-01,1.767166703939437866e-01
1.070000000000000000e+02,9.682268500328063965e-01,5.618929862976074219e-04,9.839851856231689453e-01,1.782502382993698120e-01
1.080000000000000000e+02,9.676779508590698242e-01,5.668997764587402344e-04,9.837062358856201172e-01,1.797833442687988281e-01
1.090000000000000000e+02,9.671244025230407715e-01,5.720257759094238281e-04,9.834248423576354980e-01,1.813162863254547119e-01
1.100000000000000000e+02,9.665664434432983398e-01,5.769133567810058594e-04,9.831411242485046387e-01,1.828484535217285156e-01
1.110000000000000000e+02,9.660040140151977539e-01,5.818605422973632812e-04,9.828550219535827637e-01,1.843800097703933716e-01
1.120000000000000000e+02,9.654368758201599121e-01,5.871057510375976562e-04,9.825664758682250977e-01,1.859115958213806152e-01
1.130000000000000000e+02,9.648652672767639160e-01,5.920529365539550781e-04,9.822755455970764160e-01,1.874426156282424927e-01
1.140000000000000000e+02,9.642892479896545410e-01,5.970001220703125000e-04,9.819822907447814941e-01,1.889728903770446777e-01
1.150000000000000000e+02,9.637085795402526855e-01,6.021857261657714844e-04,9.816865921020507812e-01,1.905030757188796997e-01
1.160000000000000000e+02,9.631235003471374512e-01,6.071329116821289062e-04,9.813885688781738281e-01,1.920325458049774170e-01
1.170000000000000000e+02,9.625338912010192871e-01,6.121993064880371094e-04,9.810881018638610840e-01,1.935616433620452881e-01
1.180000000000000000e+02,9.619396924972534180e-01,6.173253059387207031e-04,9.807852506637573242e-01,1.950905174016952515e-01
1.190000000000000000e+02,9.613412022590637207e-01,6.221532821655273438e-04,9.804800748825073242e-01,1.966184079647064209e-01
1.200000000000000000e+02,9.607381820678710938e-01,6.272792816162109375e-04,9.801725149154663086e-01,1.981459558010101318e-01
1.210000000000000000e+02,9.601305127143859863e-01,6.325244903564453125e-04,9.798625111579895020e-01,1.996734589338302612e-01
1.220000000000000000e+02,9.595185518264770508e-01,6.373524665832519531e-04,9.795501828193664551e-01,2.012000232934951782e-01
1.230000000000000000e+02,9.589021205902099609e-01,6.424188613891601562e-04,9.792354702949523926e-01,2.027261257171630859e-01
1.240000000000000000e+02,9.582811594009399414e-01,6.476044654846191406e-04,9.789183735847473145e-01,2.042519003152847290e-01
1.250000000000000000e+02,9.576557874679565430e-01,6.526112556457519531e-04,9.785988926887512207e-01,2.057770937681198120e-01
1.260000000000000000e+02,9.570259451866149902e-01,6.576776504516601562e-04,9.782770276069641113e-01,2.073018401861190796e-01
1.270000000000000000e+02,9.563916325569152832e-01,6.628036499023437500e-04,9.779527783393859863e-01,2.088261693716049194e-01
1.280000000000000000e+02,9.557528495788574219e-01,6.679296493530273438e-04,9.776261448860168457e-01,2.103500664234161377e-01
1.290000000000000000e+02,9.551097750663757324e-01,6.728172302246093750e-04,9.772971868515014648e-01,2.118731290102005005e-01
1.300000000000000000e+02,9.544622898101806641e-01,6.779432296752929688e-04,9.769658446311950684e-01,2.133956700563430786e-01
1.310000000000000000e+02,9.538102746009826660e-01,6.831288337707519531e-04,9.766321182250976562e-01,2.149179577827453613e-01
1.320000000000000000e+02,9.531539082527160645e-01,6.881356239318847656e-04,9.762960076332092285e-01,2.164395749568939209e-01
1.330000000000000000e+02,9.524930715560913086e-01,6.933212280273437500e-04,9.759575128555297852e-01,2.179608345031738281e-01
1.340000000000000000e+02,9.518279433250427246e-01,6.983280181884765625e-04,9.756166934967041016e-01,2.194813340902328491e-01
1.350000000000000000e+02,9.511584043502807617e-01,7.034540176391601562e-04,9.752734899520874023e-01,2.210013419389724731e-01
1.360000000000000000e+02,9.504843950271606445e-01,7.086396217346191406e-04,9.749279022216796875e-01,2.225210219621658325e-01
1.370000000000000000e+02,9.498061537742614746e-01,7.135868072509765625e-04,9.745799899101257324e-01,2.240398377180099487e-01
1.380000000000000000e+02,9.491233825683593750e-01,7.188320159912109375e-04,9.742296338081359863e-01,2.255584597587585449e-01
1.390000000000000000e+02,9.484363198280334473e-01,7.238984107971191406e-04,9.738769531250000000e-01,2.270763814449310303e-01
1.400000000000000000e+02,9.477449655532836914e-01,7.289648056030273438e-04,9.735219478607177734e-01,2.285936027765274048e-01
1.410000000000000000e+02,9.470492601394653320e-01,7.340908050537109375e-04,9.731645584106445312e-01,2.301102727651596069e-01
1.420000000000000000e+02,9.463491439819335938e-01,7.392764091491699219e-04,9.728047847747802734e-01,2.316265404224395752e-01
1.430000000000000000e+02,9.456446766853332520e-01,7.444024085998535156e-04,9.724426269531250000e-01,2.331422865390777588e-01
1.440000000000000000e+02,9.449359178543090820e-01,7.494688034057617188e-04,9.720781445503234863e-01,2.346573770046234131e-01
1.450000000000000000e+02,9.442228078842163086e-01,7.546544075012207031e-04,9.717112779617309570e-01,2.361719608306884766e-01
1.460000000000000000e+02,9.435054659843444824e-01,7.597208023071289062e-04,9.713420867919921875e-01,2.376857846975326538e-01
1.470000000000000000e+02,9.427837133407592773e-01,7.649660110473632812e-04,9.709705114364624023e-01,2.391992658376693726e-01
1.480000000000000000e+02,9.420576691627502441e-01,7.700920104980468750e-04,9.705965518951416016e-01,2.407121360301971436e-01
1.490000000000000000e+02,9.413273930549621582e-01,7.752180099487304688e-04,9.702202677726745605e-01,2.422242909669876099e-01
1.500000000000000000e+02,9.405928254127502441e-01,7.803440093994140625e-04,9.698416590690612793e-01,2.437358647584915161e-01
1.510000000000000000e+02,9.398539662361145020e-01,7.855296134948730469e-04,9.694606661796569824e-01,2.452468872070312500e-01
1.520000000000000000e+02,9.391108155250549316e-01,7.907152175903320312e-04,9.690772891044616699e-01,2.467573434114456177e-01
1.530000000000000000e+02,9.383633732795715332e-01,7.959008216857910156e-04,9.686915874481201172e-01,2.482672482728958130e-01
1.540000000000000000e+02,9.376116991043090820e-01,8.010268211364746094e-04,9.683035016059875488e-01,2.497764974832534790e-01
1.550000000000000000e+02,9.368557333946228027e-01,8.062720298767089844e-04,9.679130911827087402e-01,2.512852251529693604e-01
1.560000000000000000e+02,9.360956549644470215e-01,8.112788200378417969e-04,9.675203561782836914e-01,2.527930736541748047e-01
1.570000000000000000e+02,9.353312253952026367e-01,8.166432380676269531e-04,9.671252369880676270e-01,2.543005645275115967e-01
1.580000000000000000e+02,9.345626235008239746e-01,8.217692375183105469e-04,9.667277932167053223e-01,2.558073103427886963e-01
1.590000000000000000e+02,9.337897300720214844e-01,8.270144462585449219e-04,9.663279652595520020e-01,2.573135495185852051e-01
1.600000000000000000e+02,9.330126643180847168e-01,8.321404457092285156e-04,9.659258127212524414e-01,2.588191032409667969e-01
1.610000000000000000e+02,9.322314262390136719e-01,8.373260498046875000e-04,9.655213356018066406e-01,2.603239715099334717e-01
1.620000000000000000e+02,9.314459562301635742e-01,8.425712585449218750e-04,9.651144742965698242e-01,2.618282735347747803e-01
1.630000000000000000e+02,9.306563138961791992e-01,8.477568626403808594e-04,9.647052884101867676e-01,2.633318901062011719e-01
1.640000000000000000e+02,9.298624992370605469e-01,8.529424667358398438e-04,9.642937779426574707e-01,2.648348510265350342e-01
1.650000000000000000e+02,9.290644526481628418e-01,8.582472801208496094e-04,9.638798832893371582e-01,2.663372755050659180e-01
1.660000000000000000e+02,9.282622337341308594e-01,8.634924888610839844e-04,9.634636640548706055e-01,2.678390741348266602e-01
1.670000000000000000e+02,9.274559020996093750e-01,8.686184883117675781e-04,9.630451202392578125e-01,2.693401277065277100e-01
1.680000000000000000e+02,9.266454577445983887e-01,8.738636970520019531e-04,9.626242518424987793e-01,2.708404362201690674e-01
1.690000000000000000e+02,9.258307814598083496e-01,8.791685104370117188e-04,9.622009992599487305e-01,2.723402678966522217e-01
1.700000000000000000e+02,9.250120520591735840e-01,8.842945098876953125e-04,9.617754817008972168e-01,2.738392651081085205e-01
1.710000000000000000e+02,9.241891503334045410e-01,8.895993232727050781e-04,9.613475799560546875e-01,2.753376960754394531e-01
1.720000000000000000e+02,9.233620166778564453e-01,8.949637413024902344e-04,9.609172940254211426e-01,2.768356502056121826e-01
1.730000000000000000e+02,9.225309491157531738e-01,9.000301361083984375e-04,9.604847431182861328e-01,2.783326208591461182e-01
1.740000000000000000e+02,9.216957688331604004e-01,9.053349494934082031e-04,9.600498676300048828e-01,2.798289358615875244e-01
1.750000000000000000e+02,9.208563566207885742e-01,9.106993675231933594e-04,9.596126079559326172e-01,2.813248038291931152e-01
1.760000000000000000e+02,9.200130105018615723e-01,9.158253669738769531e-04,9.591730833053588867e-01,2.828197181224822998e-01
1.770000000000000000e+02,9.191654920578002930e-01,9.211897850036621094e-04,9.587311744689941406e-01,2.843140959739685059e-01
1.780000000000000000e+02,9.183138608932495117e-01,9.265542030334472656e-04,9.582869410514831543e-01,2.858078777790069580e-01
1.790000000000000000e+02,9.174581766128540039e-01,9.317994117736816406e-04,9.578403830528259277e-01,2.873009145259857178e-01
1.800000000000000000e+02,9.165986180305480957e-01,9.368658065795898438e-04,9.573915600776672363e-01,2.887929677963256836e-01
1.810000000000000000e+02,9.157348275184631348e-01,9.424090385437011719e-04,9.569403529167175293e-01,2.902846336364746094e-01
1.820000000000000000e+02,9.148670434951782227e-01,9.476542472839355469e-04,9.564868211746215820e-01,2.917755246162414551e-01
1.830000000000000000e+02,9.139952063560485840e-01,9.529590606689453125e-04,9.560309648513793945e-01,2.932657301425933838e-01
1.840000000000000000e+02,9.131193161010742188e-01,9.583234786987304688e-04,9.555727839469909668e-01,2.947553098201751709e-01
1.850000000000000000e+02,9.122395515441894531e-01,9.634494781494140625e-04,9.551123380661010742e-01,2.962439060211181641e-01
1.860000000000000000e+02,9.113556742668151855e-01,9.689331054687500000e-04,9.546495079994201660e-01,2.977319657802581787e-01
1.870000000000000000e+02,9.104679226875305176e-01,9.741187095642089844e-04,9.541844129562377930e-01,2.992191016674041748e-01
1.880000000000000000e+02,9.095759987831115723e-01,9.796619415283203125e-04,9.537169337272644043e-01,3.007058501243591309e-01
1.890000000000000000e+02,9.086802005767822266e-01,9.848475456237792969e-04,9.532471895217895508e-01,3.021916747093200684e-01
1.900000000000000000e+02,9.077804088592529297e-01,9.902119636535644531e-04,9.527751207351684570e-01,3.036767840385437012e-01
1.910000000000000000e+02,9.068766832351684570e-01,9.955167770385742188e-04,9.523007273674011230e-01,3.051611185073852539e-01
1.920000000000000000e+02,9.059689640998840332e-01,1.000940799713134766e-03,9.518240094184875488e-01,3.066447973251342773e-01
1.930000000000000000e+02,9.050573706626892090e-01,1.006186008453369141e-03,9.513450264930725098e-01,3.081276118755340576e-01
1.940000000000000000e+02,9.041417837142944336e-01,1.011610031127929688e-03,9.508637189865112305e-01,3.096097707748413086e-01
1.950000000000000000e+02,9.032223224639892578e-01,1.016914844512939453e-03,9.503800868988037109e-01,3.110910952091217041e-01
1.960000000000000000e+02,9.022988677024841309e-01,1.022398471832275391e-03,9.498941302299499512e-01,3.125717937946319580e-01
1.970000000000000000e+02,9.013715982437133789e-01,1.027703285217285156e-03,9.494059085845947266e-01,3.140515983104705811e-01
1.980000000000000000e+02,9.004403352737426758e-01,1.033186912536621094e-03,9.489153623580932617e-01,3.155307769775390625e-01
1.990000000000000000e+02,8.995051980018615723e-01,1.038551330566406250e-03,9.484224915504455566e-01,3.170091509819030762e-01
2.000000000000000000e+02,8.985662460327148438e-01,1.043856143951416016e-03,9.479273557662963867e-01,3.184866607189178467e-01
2.010000000000000000e+02,8.976234197616577148e-01,1.049280166625976562e-03,9.474298954010009766e-01,3.199633955955505371e-01
2.020000000000000000e+02,8.966766595840454102e-01,1.054763793945312500e-03,9.469301104545593262e-01,3.214394748210906982e-01
2.030000000000000000e+02,8.957260847091674805e-01,1.060128211975097656e-03,9.464280605316162109e-01,3.229147195816040039e-01
2.040000000000000000e+02,8.947716355323791504e-01,1.065552234649658203e-03,9.459236860275268555e-01,3.243892192840576172e-01
2.050000000000000000e+02,8.938133716583251953e-01,1.070976257324218750e-03,9.454170465469360352e-01,3.258628845214843750e-01
2.060000000000000000e+02,8.928512930870056152e-01,1.076400279998779297e-03,9.449080824851989746e-01,3.273357748985290527e-01
2.070000000000000000e+02,8.918853998184204102e-01,1.081824302673339844e-03,9.443968534469604492e-01,3.288078606128692627e-01
2.080000000000000000e+02,8.909158110618591309e-01,1.087129116058349609e-03,9.438833594322204590e-01,3.302789628505706787e-01
2.090000000000000000e+02,8.899422287940979004e-01,1.092791557312011719e-03,9.433674812316894531e-01,3.317495584487915039e-01
2.100000000000000000e+02,8.889650106430053711e-01,1.098096370697021484e-03,9.428493976593017578e-01,3.332191407680511475e-01
2.110000000000000000e+02,8.879839181900024414e-01,1.103639602661132812e-03,9.423289895057678223e-01,3.346880376338958740e-01
2.120000000000000000e+02,8.869990110397338867e-01,1.109123229980468750e-03,9.418062567710876465e-01,3.361561894416809082e-01
2.130000000000000000e+02,8.860104084014892578e-01,1.114547252655029297e-03,9.412812590599060059e-01,3.376234471797943115e-01
2.140000000000000000e+02,8.850181102752685547e-01,1.119971275329589844e-03,9.407539963722229004e-01,3.390898108482360840e-01
2.150000000000000000e+02,8.840220570564270020e-01,1.125454902648925781e-03,9.402244687080383301e-01,3.405553400516510010e-01
2.160000000000000000e+02,8.830221891403198242e-01,1.131057739257812500e-03,9.396926164627075195e-01,3.420201838016510010e-01
2.170000000000000000e+02,8.820186853408813477e-01,1.136422157287597656e-03,9.391584992408752441e-01,3.434840738773345947e-01
2.180000000000000000e+02,8.810114860534667969e-01,1.141905784606933594e-03,9.386221170425415039e-01,3.449471294879913330e-01
2.190000000000000000e+02,8.800004720687866211e-01,1.147568225860595703e-03,9.380834102630615234e-01,3.464094698429107666e-01
2.200000000000000000e+02,8.789858222007751465e-01,1.152992248535156250e-03,9.375424385070800781e-01,3.478709161281585693e-01
2.210000000000000000e+02,8.779674768447875977e-01,1.158535480499267578e-03,9.369992017745971680e-01,3.493315279483795166e-01
2.220000000000000000e+02,8.769455552101135254e-01,1.163959503173828125e-03,9.364537000656127930e-01,3.507911562919616699e-01
2.230000000000000000e+02,8.759199380874633789e-01,1.169562339782714844e-03,9.359059333801269531e-01,3.522500097751617432e-01
2.240000000000000000e+02,8.748905658721923828e-01,1.175165176391601562e-03,9.353558421134948730e-01,3.537081182003021240e-01
2.250000000000000000e+02,8.738576769828796387e-01,1.180589199066162109e-03,9.348035454750061035e-01,3.551652133464813232e-01
2.260000000000000000e+02,8.728210330009460449e-01,1.186311244964599609e-03,9.342489242553710938e-01,3.566215932369232178e-01
2.270000000000000000e+02,8.717809319496154785e-01,1.191675662994384766e-03,9.336920976638793945e-01,3.580769002437591553e-01
2.280000000000000000e+02,8.707370758056640625e-01,1.197397708892822266e-03,9.331329464912414551e-01,3.595315217971801758e-01
2.290000000000000000e+02,8.696896433830261230e-01,1.202940940856933594e-03,9.325715303421020508e-01,3.609852492809295654e-01
2.300000000000000000e+02,8.686386346817016602e-01,1.208484172821044922e-03,9.320078492164611816e-01,3.624380826950073242e-01
2.310000000000000000e+02,8.675841093063354492e-01,1.214027404785156250e-03,9.314419627189636230e-01,3.638899326324462891e-01
