protocol,N,d,r,missing,counts_path,aux_path
XEB,48,12,37,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r37_XEB_counts.json,
XEB,48,12,38,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r38_XEB_counts.json,
XEB,48,12,39,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r39_XEB_counts.json,
XEB,48,12,40,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r40_XEB_counts.json,
XEB,48,12,41,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r41_XEB_counts.json,
XEB,48,12,42,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r42_XEB_counts.json,
XEB,48,12,43,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r43_XEB_counts.json,
XEB,48,12,44,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r44_XEB_counts.json,
XEB,48,12,45,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r45_XEB_counts.json,
XEB,48,12,46,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r46_XEB_counts.json,
XEB,48,12,47,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r47_XEB_counts.json,
XEB,48,12,48,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r48_XEB_counts.json,
XEB,48,12,49,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r49_XEB_counts.json,
XEB,48,12,50,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r50_XEB_counts.json,
XEB,56,8,1,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r1_XEB_counts.json,
XEB,56,8,2,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r2_XEB_counts.json,
XEB,56,8,3,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r3_XEB_counts.json,
XEB,56,8,4,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r4_XEB_counts.json,
XEB,56,8,5,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r5_XEB_counts.json,
XEB,56,8,6,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r6_XEB_counts.json,
XEB,56,8,7,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r7_XEB_counts.json,
XEB,56,8,8,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r8_XEB_counts.json,
XEB,56,8,9,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r9_XEB_counts.json,
XEB,56,8,10,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r10_XEB_counts.json,
XEB,56,8,11,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r11_XEB_counts.json,
XEB,56,8,12,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r12_XEB_counts.json,
XEB,56,8,13,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r13_XEB_counts.json,
XEB,56,8,14,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r14_XEB_counts.json,
XEB,56,8,15,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r15_XEB_counts.json,
XEB,56,8,16,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r16_XEB_counts.json,
XEB,56,8,17,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r17_XEB_counts.json,
XEB,56,8,18,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r18_XEB_counts.json,
XEB,56,8,19,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r19_XEB_counts.json,
XEB,56,8,20,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r20_XEB_counts.json,
XEB,56,8,21,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r21_XEB_counts.json,
XEB,56,8,22,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r22_XEB_counts.json,
XEB,56,8,23,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r23_XEB_counts.json,
XEB,56,8,24,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r24_XEB_counts.json,
XEB,56,8,25,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r25_XEB_counts.json,
XEB,56,8,26,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r26_XEB_counts.json,
XEB,56,8,27,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r27_XEB_counts.json,
XEB,56,8,28,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r28_XEB_counts.json,
XEB,56,8,29,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r29_XEB_counts.json,
XEB,56,8,30,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r30_XEB_counts.json,
XEB,56,8,31,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r31_XEB_counts.json,
XEB,56,8,32,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r32_XEB_counts.json,
XEB,56,8,33,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r33_XEB_counts.json,
XEB,56,8,34,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r34_XEB_counts.json,
XEB,56,8,35,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r35_XEB_counts.json,
XEB,56,8,36,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r36_XEB_counts.json,
XEB,56,8,37,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r37_XEB_counts.json,
XEB,56,8,38,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r38_XEB_counts.json,
XEB,56,8,39,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r39_XEB_counts.json,
XEB,56,8,40,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r40_XEB_counts.json,
XEB,56,8,41,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r41_XEB_counts.json,
XEB,56,8,42,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r42_XEB_counts.json,
XEB,56,8,43,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r43_XEB_counts.json,
XEB,56,8,44,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r44_XEB_counts.json,
XEB,56,8,45,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r45_XEB_counts.json,
XEB,56,8,46,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r46_XEB_counts.json,
XEB,56,8,47,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r47_XEB_counts.json,
XEB,56,8,48,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r48_XEB_counts.json,
XEB,56,8,49,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r49_XEB_counts.json,
XEB,56,8,50,amplitudes,data/results/N56_depths/N56_d8_XEB/N56_d8_r50_XEB_counts.json,
XEB,56,10,1,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r1_XEB_counts.json,
XEB,56,10,2,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r2_XEB_counts.json,
XEB,56,10,3,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r3_XEB_counts.json,
XEB,56,10,4,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r4_XEB_counts.json,
XEB,56,10,5,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r5_XEB_counts.json,
XEB,56,10,6,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r6_XEB_counts.json,
XEB,56,10,7,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r7_XEB_counts.json,
XEB,56,10,8,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r8_XEB_counts.json,
XEB,56,10,9,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r9_XEB_counts.json,
XEB,56,10,10,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r10_XEB_counts.json,
XEB,56,10,11,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r11_XEB_counts.json,
XEB,56,10,12,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r12_XEB_counts.json,
XEB,56,10,13,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r13_XEB_counts.json,
XEB,56,10,14,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r14_XEB_counts.json,
XEB,56,10,15,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r15_XEB_counts.json,
XEB,56,10,16,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r16_XEB_counts.json,
XEB,56,10,17,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r17_XEB_counts.json,
XEB,56,10,18,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r18_XEB_counts.json,
XEB,56,10,19,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r19_XEB_counts.json,
XEB,56,10,20,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r20_XEB_counts.json,
XEB,56,10,21,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r21_XEB_counts.json,
XEB,56,10,22,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r22_XEB_counts.json,
XEB,56,10,23,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r23_XEB_counts.json,
XEB,56,10,24,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r24_XEB_counts.json,
XEB,56,10,25,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r25_XEB_counts.json,
XEB,56,10,26,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r26_XEB_counts.json,
XEB,56,10,27,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r27_XEB_counts.json,
XEB,56,10,28,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r28_XEB_counts.json,
XEB,56,10,29,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r29_XEB_counts.json,
XEB,56,10,30,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r30_XEB_counts.json,
XEB,56,10,31,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r31_XEB_counts.json,
XEB,56,10,32,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r32_XEB_counts.json,
XEB,56,10,33,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r33_XEB_counts.json,
XEB,56,10,34,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r34_XEB_counts.json,
XEB,56,10,35,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r35_XEB_counts.json,
XEB,56,10,36,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r36_XEB_counts.json,
XEB,56,10,37,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r37_XEB_counts.json,
XEB,56,10,38,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r38_XEB_counts.json,
XEB,56,10,39,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r39_XEB_counts.json,
XEB,56,10,40,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r40_XEB_counts.json,
XEB,56,10,41,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r41_XEB_counts.json,
XEB,56,10,42,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r42_XEB_counts.json,
XEB,56,10,43,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r43_XEB_counts.json,
XEB,56,10,44,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r44_XEB_counts.json,
XEB,56,10,45,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r45_XEB_counts.json,
XEB,56,10,46,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r46_XEB_counts.json,
XEB,56,10,47,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r47_XEB_counts.json,
XEB,56,10,48,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r48_XEB_counts.json,
XEB,56,10,49,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r49_XEB_counts.json,
XEB,56,10,50,amplitudes,data/results/N56_depths/N56_d10_XEB/N56_d10_r50_XEB_counts.json,
XEB,56,12,1,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r1_XEB_counts.json,
XEB,56,12,2,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r2_XEB_counts.json,
XEB,56,12,3,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r3_XEB_counts.json,
XEB,56,12,4,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r4_XEB_counts.json,
XEB,56,12,5,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r5_XEB_counts.json,
XEB,56,12,6,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r6_XEB_counts.json,
XEB,56,12,7,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r7_XEB_counts.json,
XEB,56,12,8,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r8_XEB_counts.json,
XEB,56,12,9,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r9_XEB_counts.json,
XEB,56,12,10,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r10_XEB_counts.json,
XEB,56,12,11,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r11_XEB_counts.json,
XEB,56,12,12,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r12_XEB_counts.json,
XEB,56,12,13,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r13_XEB_counts.json,
XEB,56,12,14,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r14_XEB_counts.json,
XEB,56,12,15,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r15_XEB_counts.json,
XEB,56,12,16,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r16_XEB_counts.json,
XEB,56,12,17,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r17_XEB_counts.json,
XEB,56,12,18,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r18_XEB_counts.json,
XEB,56,12,19,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r19_XEB_counts.json,
XEB,56,12,20,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r20_XEB_counts.json,
XEB,56,12,21,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r21_XEB_counts.json,
XEB,56,12,22,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r22_XEB_counts.json,
XEB,56,12,23,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r23_XEB_counts.json,
XEB,56,12,24,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r24_XEB_counts.json,
XEB,56,12,25,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r25_XEB_counts.json,
XEB,56,12,26,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r26_XEB_counts.json,
XEB,56,12,27,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r27_XEB_counts.json,
XEB,56,12,28,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r28_XEB_counts.json,
XEB,56,12,29,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r29_XEB_counts.json,
XEB,56,12,30,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r30_XEB_counts.json,
XEB,56,12,31,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r31_XEB_counts.json,
XEB,56,12,32,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r32_XEB_counts.json,
XEB,56,12,33,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r33_XEB_counts.json,
XEB,56,12,34,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r34_XEB_counts.json,
XEB,56,12,35,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r35_XEB_counts.json,
XEB,56,12,36,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r36_XEB_counts.json,
XEB,56,12,37,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r37_XEB_counts.json,
XEB,56,12,38,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r38_XEB_counts.json,
XEB,56,12,39,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r39_XEB_counts.json,
XEB,56,12,40,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r40_XEB_counts.json,
XEB,56,12,41,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r41_XEB_counts.json,
XEB,56,12,42,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r42_XEB_counts.json,
XEB,56,12,43,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r43_XEB_counts.json,
XEB,56,12,44,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r44_XEB_counts.json,
XEB,56,12,45,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r45_XEB_counts.json,
XEB,56,12,46,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r46_XEB_counts.json,
XEB,56,12,47,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r47_XEB_counts.json,
XEB,56,12,48,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r48_XEB_counts.json,
XEB,56,12,49,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r49_XEB_counts.json,
XEB,56,12,50,amplitudes,data/results/N_scan_depth12/N56_d12_XEB/N56_d12_r50_XEB_counts.json,
XEB,56,14,1,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r1_XEB_counts.json,
XEB,56,14,2,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r2_XEB_counts.json,
XEB,56,14,3,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r3_XEB_counts.json,
XEB,56,14,4,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r4_XEB_counts.json,
XEB,56,14,5,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r5_XEB_counts.json,
XEB,56,14,6,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r6_XEB_counts.json,
XEB,56,14,7,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r7_XEB_counts.json,
XEB,56,14,8,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r8_XEB_counts.json,
XEB,56,14,9,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r9_XEB_counts.json,
XEB,56,14,10,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r10_XEB_counts.json,
XEB,56,14,11,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r11_XEB_counts.json,
XEB,56,14,12,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r12_XEB_counts.json,
XEB,56,14,13,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r13_XEB_counts.json,
XEB,56,14,14,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r14_XEB_counts.json,
XEB,56,14,15,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r15_XEB_counts.json,
XEB,56,14,16,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r16_XEB_counts.json,
XEB,56,14,17,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r17_XEB_counts.json,
XEB,56,14,18,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r18_XEB_counts.json,
XEB,56,14,19,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r19_XEB_counts.json,
XEB,56,14,20,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r20_XEB_counts.json,
XEB,56,14,21,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r21_XEB_counts.json,
XEB,56,14,22,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r22_XEB_counts.json,
XEB,56,14,23,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r23_XEB_counts.json,
XEB,56,14,24,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r24_XEB_counts.json,
XEB,56,14,25,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r25_XEB_counts.json,
XEB,56,14,26,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r26_XEB_counts.json,
XEB,56,14,27,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r27_XEB_counts.json,
XEB,56,14,28,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r28_XEB_counts.json,
XEB,56,14,29,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r29_XEB_counts.json,
XEB,56,14,30,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r30_XEB_counts.json,
XEB,56,14,31,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r31_XEB_counts.json,
XEB,56,14,32,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r32_XEB_counts.json,
XEB,56,14,33,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r33_XEB_counts.json,
XEB,56,14,34,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r34_XEB_counts.json,
XEB,56,14,35,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r35_XEB_counts.json,
XEB,56,14,36,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r36_XEB_counts.json,
XEB,56,14,37,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r37_XEB_counts.json,
XEB,56,14,38,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r38_XEB_counts.json,
XEB,56,14,39,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r39_XEB_counts.json,
XEB,56,14,40,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r40_XEB_counts.json,
XEB,56,14,41,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r41_XEB_counts.json,
XEB,56,14,42,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r42_XEB_counts.json,
XEB,56,14,43,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r43_XEB_counts.json,
XEB,56,14,44,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r44_XEB_counts.json,
XEB,56,14,45,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r45_XEB_counts.json,
XEB,56,14,46,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r46_XEB_counts.json,
XEB,56,14,47,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r47_XEB_counts.json,
XEB,56,14,48,amplitudes,data/results/N56_depths/N56_d14_XEB/N56_d14_r48_XEB_counts.json,
