N,d,r,total_shots,unique_bitstrings,ideal_success_count,ideal_success_prob,ideal_success_std_error,wilson_low,wilson_high,counts_path,ideal_path,ideal_bitstring
16,12,13,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r13_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r13_MB_ideal_bitstring.json,1100000001000001
16,12,14,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r14_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r14_MB_ideal_bitstring.json,0000100111000001
16,12,15,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r15_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r15_MB_ideal_bitstring.json,0011110110111010
16,12,16,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r16_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r16_MB_ideal_bitstring.json,0100101010111001
16,12,17,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r17_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r17_MB_ideal_bitstring.json,1000111111100000
16,12,18,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r18_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r18_MB_ideal_bitstring.json,0100110101101001
16,12,19,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r19_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r19_MB_ideal_bitstring.json,1010110110001011
16,12,20,20,2,19,0.95,0.04873397172404484,0.8764073754756984,0.9807354816671586,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r20_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r20_MB_ideal_bitstring.json,0111100000011011
16,12,21,20,5,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r21_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r21_MB_ideal_bitstring.json,0000011100100000
16,12,22,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r22_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r22_MB_ideal_bitstring.json,0111010011001100
16,12,23,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r23_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r23_MB_ideal_bitstring.json,0001010111001011
16,12,24,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r24_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r24_MB_ideal_bitstring.json,1001100011001100
16,12,25,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r25_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r25_MB_ideal_bitstring.json,0101000000010001
16,12,26,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r26_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r26_MB_ideal_bitstring.json,0000001110101011
16,12,27,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r27_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r27_MB_ideal_bitstring.json,1000001010000110
16,12,28,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r28_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r28_MB_ideal_bitstring.json,1110011011110010
16,12,29,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r29_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r29_MB_ideal_bitstring.json,1001110011101001
16,12,30,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r30_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r30_MB_ideal_bitstring.json,1001011001100110
16,12,31,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r31_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r31_MB_ideal_bitstring.json,0011101110110101
16,12,32,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r32_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r32_MB_ideal_bitstring.json,0100100001001000
16,12,33,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r33_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r33_MB_ideal_bitstring.json,0010011110010011
16,12,34,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r34_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r34_MB_ideal_bitstring.json,0101111010001010
16,12,35,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r35_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r35_MB_ideal_bitstring.json,0101010111110101
16,12,36,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r36_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r36_MB_ideal_bitstring.json,0010011100011101
16,12,37,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r37_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r37_MB_ideal_bitstring.json,0001110000101001
16,12,38,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r38_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r38_MB_ideal_bitstring.json,0010100101101110
16,12,39,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r39_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r39_MB_ideal_bitstring.json,0001110110001101
16,12,40,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r40_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r40_MB_ideal_bitstring.json,0011000111101001
16,12,41,20,7,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r41_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r41_MB_ideal_bitstring.json,0000111100010000
16,12,42,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r42_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r42_MB_ideal_bitstring.json,0101111101110011
16,12,43,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r43_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r43_MB_ideal_bitstring.json,1110100011011010
16,12,44,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r44_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r44_MB_ideal_bitstring.json,0011111111000011
16,12,45,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r45_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r45_MB_ideal_bitstring.json,0110011100000110
16,12,46,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r46_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r46_MB_ideal_bitstring.json,1110011001111111
16,12,47,20,3,18,0.9,0.06708203932499368,0.812772280651065,0.9491324812536969,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r47_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r47_MB_ideal_bitstring.json,0101011001011101
16,12,48,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r48_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r48_MB_ideal_bitstring.json,1011111110010101
16,12,49,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r49_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r49_MB_ideal_bitstring.json,1101011100010001
16,12,50,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r50_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r50_MB_ideal_bitstring.json,1000110011101001
24,12,1,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r1_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r1_MB_ideal_bitstring.json,010110001001111001100110
24,12,2,20,14,7,0.35,0.1066536450385077,0.25281475095139694,0.46147096333431736,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r2_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r2_MB_ideal_bitstring.json,110011001001011000111010
24,12,3,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r3_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r3_MB_ideal_bitstring.json,011101000100101101011111
24,12,4,20,13,8,0.4,0.10954451150103323,0.29775140450359894,0.5117724050202106,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r4_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r4_MB_ideal_bitstring.json,010011011110000010111110
24,12,5,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r5_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r5_MB_ideal_bitstring.json,011110001111010001111100
24,12,6,20,12,9,0.45,0.11124297730643495,0.34379281665722494,0.5609690881046798,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r6_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r6_MB_ideal_bitstring.json,001010110011100111001001
24,12,7,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r7_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r7_MB_ideal_bitstring.json,000101100011110100010010
24,12,8,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r8_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r8_MB_ideal_bitstring.json,010000111100010101110010
24,12,9,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r9_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r9_MB_ideal_bitstring.json,110010001110000111010011
24,12,10,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r10_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r10_MB_ideal_bitstring.json,101010001011010010110011
24,12,11,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r11_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r11_MB_ideal_bitstring.json,010000110101100101010010
24,12,12,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r12_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r12_MB_ideal_bitstring.json,010011001000111010100011
24,12,13,20,11,10,0.5,0.11180339887498948,0.3908910548820038,0.6091089451179962,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r13_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r13_MB_ideal_bitstring.json,101110110111110001010100
24,12,14,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r14_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r14_MB_ideal_bitstring.json,011110111111111111010010
24,12,15,20,10,11,0.55,0.11124297730643495,0.43903091189532023,0.6562071833427751,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r15_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r15_MB_ideal_bitstring.json,111100101011100101010011
24,12,16,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r16_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r16_MB_ideal_bitstring.json,000101111110111000010001
24,12,17,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r17_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r17_MB_ideal_bitstring.json,100010101111000001010111
24,12,18,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r18_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r18_MB_ideal_bitstring.json,000000101001101001000101
24,12,19,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r19_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r19_MB_ideal_bitstring.json,000001010010011100101001
24,12,20,20,10,11,0.55,0.11124297730643495,0.43903091189532023,0.6562071833427751,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r20_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r20_MB_ideal_bitstring.json,011001101101110100011010
24,12,21,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r21_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r21_MB_ideal_bitstring.json,001111000100000011100100
24,12,22,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r22_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r22_MB_ideal_bitstring.json,001000100101111101110001
24,12,23,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r23_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r23_MB_ideal_bitstring.json,111110010011100000011010
24,12,24,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r24_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r24_MB_ideal_bitstring.json,100110001000110001010000
24,12,25,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r25_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r25_MB_ideal_bitstring.json,001011100001101100011011
24,12,26,20,11,9,0.45,0.11124297730643495,0.34379281665722494,0.5609690881046798,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r26_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r26_MB_ideal_bitstring.json,101111111101101100000000
24,12,27,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r27_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r27_MB_ideal_bitstring.json,111100100000010000111001
24,12,28,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r28_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r28_MB_ideal_bitstring.json,101010110111110110111110
24,12,29,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r29_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r29_MB_ideal_bitstring.json,101001000111100000010001
24,12,30,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r30_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r30_MB_ideal_bitstring.json,010011110010111001000010
24,12,31,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r31_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r31_MB_ideal_bitstring.json,100111010110111000101001
24,12,32,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r32_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r32_MB_ideal_bitstring.json,111000111011110111110001
24,12,33,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r33_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r33_MB_ideal_bitstring.json,001001111011001011011000
24,12,34,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r34_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r34_MB_ideal_bitstring.json,011110011000011110011111
24,12,35,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r35_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r35_MB_ideal_bitstring.json,111101101111111101011010
24,12,36,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r36_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r36_MB_ideal_bitstring.json,110000100111111000010010
24,12,37,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r37_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r37_MB_ideal_bitstring.json,001111011100001100101010
24,12,38,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r38_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r38_MB_ideal_bitstring.json,000111011100000011000001
24,12,39,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r39_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r39_MB_ideal_bitstring.json,101110010011001010010000
24,12,40,20,10,11,0.55,0.11124297730643495,0.43903091189532023,0.6562071833427751,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r40_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r40_MB_ideal_bitstring.json,010110111010010110101011
24,12,41,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r41_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r41_MB_ideal_bitstring.json,010010101101100011000011
24,12,42,20,8,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r42_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r42_MB_ideal_bitstring.json,011001111100101100101110
24,12,43,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r43_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r43_MB_ideal_bitstring.json,100010100111010010101111
24,12,44,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r44_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r44_MB_ideal_bitstring.json,100001110110100101011111
24,12,45,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r45_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r45_MB_ideal_bitstring.json,111110110110001100100101
24,12,46,20,7,13,0.65,0.1066536450385077,0.5385290366656827,0.7471852490486031,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r46_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r46_MB_ideal_bitstring.json,010101101100000011101110
24,12,47,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r47_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r47_MB_ideal_bitstring.json,011101010101101011010100
24,12,48,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r48_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r48_MB_ideal_bitstring.json,001001011111110011100001
24,12,49,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r49_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r49_MB_ideal_bitstring.json,011110101001001000010110
24,12,50,20,7,14,0.7,0.10246950765959599,0.590023699477481,0.7909286814748999,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r50_MB_counts.json,data/results/N_scan_depth12/N24_d12_MB/N24_d12_r50_MB_ideal_bitstring.json,110111000010001011111000
32,12,1,20,12,9,0.45,0.11124297730643495,0.34379281665722494,0.5609690881046798,data/results/N_scan_depth12/N32_d12_MB/N32_d12_r1_MB_counts.json,data/results/N_scan_depth12/N32_d12_MB/N32_d12_r1_MB_ideal_bitstring.json,11001010000101010010101110001000
32,12,2,20,13,8,0.4,0.10954451150103323,0.29775140450359894,0.5117724050202106,data/results/N_scan_depth12/N32_d12_MB/N32_d12_r2_MB_counts.json,data/results/N_scan_depth12/N32_d12_MB/N32_d12_r2_MB_ideal_bitstring.json,01011100111100100010100011001111
