frame,charge_state,energy,d1,d2,d3,mean_bond,pred_geometry_only,pred_geometry_plus_charge
28,1.0,0.7795411562218217,3.4241860299261657,3.4658473131349297,3.656120216468087,3.5153845198430607,0.9406420405716744,0.9406420405716887
29,1.0,0.7317686281042977,3.3182576292647443,3.338209426670532,3.543768499569545,3.400078518501607,0.7883088230852984,0.7883088230853161
30,-1.0,2.2307496353897167,1.9440940780231883,2.065735420226181,2.215528691566806,2.0751193966053916,2.053740642509246,2.0537406425092612
31,-1.0,3.270743808205827,1.8182496508681953,2.048112364678069,2.1180832962700356,1.9948151039387667,3.0368049188640454,3.036804918864064
32,-1.0,2.3505667825710357,1.976902012881515,2.068301451602093,2.084086017695038,2.0430964940595486,1.910730056484642,1.9107300564846597
33,-1.0,0.9887097186232641,2.174075791809883,2.2057491939222147,2.4093324577450064,2.263052481159035,1.0440972595058842,1.0440972595059037
34,-1.0,0.8319996380149202,2.220059589295148,2.3114432692923783,2.329263417767431,2.286922092118319,1.2089502378327195,1.2089502378327381
35,-1.0,2.0219163682579167,2.018989072196395,2.0932588847085785,2.1188723828791494,2.0770401132613743,1.7023107625808382,1.7023107625808365
36,-1.0,0.8483599016410732,2.217293240403768,2.250773150502065,2.411283448490088,2.2931166131319736,0.9738675838437452,0.9738675838437416
37,-1.0,0.4186093573472571,2.4433848667067255,2.5180901755697405,2.6276927678501276,2.529722603375531,0.6937570210773227,0.6937570210773316
38,-1.0,0.5386801759784974,2.3164709517886406,2.4683616612374544,2.4713855546925165,2.4187393892395375,1.1403925150364822,1.140392515036524
39,-1.0,0.5374196413712464,2.3684535134683005,2.3852665156554624,2.4675399993836895,2.4070866761691505,0.6688917251120134,0.668891725112033
40,-1.0,0.7285633215048,2.2569488240859923,2.3496613860477105,2.353631683021199,2.3200806310516335,1.1293076933729616,1.1293076933729793
41,-1.0,0.37537893458342664,2.5915380256091503,2.5921991204380745,2.6231964706522617,2.6023112055664956,0.3676720093701995,0.36767200937019595
42,-1.0,0.4348247034011328,2.6428156030579073,2.89799934471778,2.922632123674028,2.821149023816572,0.6211658477665942,0.6211658477666191
43,-1.0,0.44037560154552313,2.433434828039764,2.483314102375401,2.7672930472511363,2.5613473258887676,0.6516200385363167,0.6516200385363362
44,-1.0,0.38097627111418975,2.6082969808248757,2.6144366806261345,2.760223156160542,2.6609856058705175,0.36797885357952786,0.36797885357955806
45,-1.0,0.4041526407392486,2.741107828317436,2.7683626550696894,2.829628086577671,2.779699523321599,0.31644634655933856,0.3164463465593599
46,-1.0,0.4378626827466172,2.7943650731219543,2.7959348216189417,2.96159789063892,2.8506325951266054,0.3034871509974799,0.3034871509975261
47,-1.0,0.40825239726378526,2.6592699803195554,2.7009909499421694,2.9230859994752314,2.761115643245652,0.41774162180496965,0.41774162180499275
48,-1.0,0.5397093631459529,2.908187159456133,2.949257672633333,3.2593899325784017,3.038944921555956,0.4461738115668279,0.446173811566851
49,-1.0,0.5292271925526382,2.913846862315568,3.065064525966902,3.077691076529999,3.018867488270823,0.29965636953801145,0.29965636953804164
50,-1.0,0.5466827672095649,3.0140735501799827,3.0252116615919475,3.1086461292016745,3.0493104469912016,0.3376361462464228,0.3376361462464246
51,-1.0,0.6293976658534869,3.019510999069926,3.1206778020936508,3.48389686957813,3.208028556913902,0.5774419206543104,0.5774419206543229
52,-1.0,0.5415245060761227,2.9935073950091593,3.0358296924852284,3.0921864289202277,3.040507838804872,0.31794677983117836,0.31794677983120323
53,-1.0,0.6100385716148984,3.1431318262880663,3.1618680207213608,3.1681434322388253,3.1577144264160837,0.387099091823945,0.38709909182396984
54,-1.0,0.615661122945123,3.0575614220426446,3.1838954623238798,3.2678529821191646,3.1697699554952297,0.341723516673591,0.34172351667362477
55,-1.0,0.7585033983035367,3.3839161753184652,3.4922816518260613,3.493676077470546,3.456624634871691,0.5492405419907875,0.5492405419908124
56,-1.0,0.7680713903045681,3.3249012042398944,3.4881217867046614,3.6653037318498685,3.492775574264808,0.5858771255188344,0.585877125518877
57,-1.0,0.857254511685323,3.6999127835248236,3.7592134427814083,3.8250757218104403,3.761400649372224,1.3748134019816547,1.3748134019816405
58,-1.0,0.7795411562218217,3.4241860299261657,3.4658473131349297,3.656120216468087,3.5153845198430607,0.9406420405716744,0.9406420405717029
59,-1.0,0.7317686281042977,3.3182576292647443,3.338209426670532,3.543768499569545,3.400078518501607,0.7883088230852984,0.7883088230853161
