hour,demand_mw,wind_mw,gas_mw,nuclear_mw,storage_discharge_mw,storage_charge_mw,curtailment_mw,unserved_mw,mean_line_utilization,max_line_utilization
58,52617.72243935958,12182.05801398653,8047.356581977324,2400.0,0.0,0.0,10776.29669966516,29988.307843395727,0.554859408056609,1.0
59,49277.935345286154,11617.804242734646,8047.356581977324,2400.0,0.0,0.0,6777.873280255915,27212.77452057419,0.7102879708716614,1.0
60,60869.52900018201,12247.562359716541,8047.356581977324,2400.0,0.0,0.0,12885.643194882568,38174.610058488135,0.5385942176491028,1.0
61,78207.47610465092,12845.986712803577,8047.356581977324,2400.0,0.0,0.0,11573.467920379167,54914.13280987003,0.643154315380514,1.0
62,87844.79651734792,13745.964414174861,8047.356581977324,2400.0,0.0,0.0,12020.547668502055,63651.47552119574,0.6122865247749463,1.0
63,82313.05079525964,13294.092420508801,8047.356581977324,2400.0,0.0,0.0,5202.60515838621,58571.601792773516,0.5493516118501962,1.0
64,65809.8663629549,12391.388574426044,8047.356581977324,2400.0,0.0,0.0,8976.360256380354,42971.121206551536,0.6892750335195366,1.0
65,51002.76627633094,11553.887214998778,8047.356581977324,2400.0,0.0,0.0,9067.493973226696,29001.522479354837,0.8478109853129973,1.0
66,49383.00170011338,11702.807331806553,8047.356581977324,2400.0,0.0,0.0,13559.822237095044,27232.83778632951,0.6998371331859529,1.0
67,62514.39617427728,12411.990915330507,8047.356581977324,2400.0,0.0,0.0,16234.858387879225,39655.04867696944,0.6483900242589955,1.0
68,80840.71314971327,13198.966422194515,8047.356581977324,2400.0,0.0,0.0,8010.9706152441195,57194.39014554143,0.6192084930912312,1.0
69,90959.67878398545,13575.4963519106,8047.356581977324,2400.0,0.0,0.0,11487.86582724238,66936.8258500975,0.6267972626686118,1.0
70,85824.92187058723,12967.974183470626,8047.356581977324,2400.0,0.0,0.0,13215.966219111182,62409.59110513928,0.5787418702369184,1.0
71,70107.65485829388,12619.792268598709,8047.356581977324,2400.0,0.0,0.0,11181.259601050699,47040.50600771784,0.6132773389247761,1.0
72,56635.50363631498,11809.373068671897,8047.356581977324,2400.0,0.0,0.0,12399.374913879337,34378.77398566576,0.6748403804131381,1.0
73,56620.13790111875,11925.078445877945,8047.356581977324,2400.0,0.0,0.0,13131.478441730666,34247.70287326347,0.6397020442490023,1.0
74,71114.83016513872,12524.46212105666,8047.356581977324,2400.0,0.0,0.0,11520.5878538198,48143.011462104725,0.5995428238649619,1.0
75,90206.55415287826,13514.506773321324,8047.356581977324,2400.0,0.0,0.0,12205.163464019932,66244.69079757962,0.5671838238724398,1.0
76,100557.82680782868,13577.495565704625,8047.356581977324,2400.0,0.0,0.0,11444.297116820197,76532.97466014672,0.6996971424142262,1.0
77,95555.64859477608,13447.979254099242,8047.356581977324,2400.0,0.0,0.0,11459.809753978407,71660.31275869953,0.5994815362344947,1.0
78,80339.74298166155,12812.53512010634,8047.356581977324,2400.0,0.0,0.0,12744.987253652735,57079.85127957788,0.6403601633394822,1.0
79,67881.41898237847,12506.953378688508,8047.356581977324,2400.0,0.0,0.0,16689.660375635558,44927.10902171264,0.6157414479399156,1.0
80,69098.82128232636,12432.730754642143,8047.356581977324,2400.0,0.0,0.0,18059.494641799396,46218.73394570689,0.6631868920832623,1.0
81,84535.28396292054,12829.320346561606,8047.356581977324,2400.0,0.0,0.0,10157.314477993848,61258.6070343816,0.6001434054595828,1.0
82,103937.29134829603,13816.614935245194,8047.356581977324,2400.0,0.0,0.0,15913.692350169404,79673.3198310735,0.5621938120305507,1.0
83,114053.45174477737,14136.86119032865,8047.356581977324,2400.0,0.0,0.0,14200.631373681479,89469.23397247138,0.6337209249170339,1.0
84,108716.05971383513,13775.974154566446,8047.356581977324,2400.0,0.0,0.0,12173.01291865039,84492.72897729138,0.6024466369465741,1.0
85,93528.76260335391,13058.639158119198,8047.356581977324,2400.0,0.0,0.0,14168.330279870339,70022.76686325738,0.5084942824541876,1.0
86,81590.99056926268,12784.76497180045,8047.356581977324,2400.0,0.0,0.0,14517.360902161072,58358.8690154849,0.5865105841903119,1.0
87,83514.80138557771,12976.353667412915,8047.356581977324,2400.0,0.0,0.0,15384.423068242928,60091.09113618749,0.6572146888473018,1.0
88,99335.7908797986,13703.507435359172,8047.356581977324,2400.0,0.0,0.0,12608.457917124162,75184.9268624621,0.6074402281328872,1.0
89,118477.49677507051,15023.740860520375,8047.356581977324,2400.0,0.0,0.0,12211.784450589537,93006.39933257282,0.6089176143788536,1.0
90,127796.4484380248,14903.223500231172,8047.356581977324,2400.0,0.0,0.0,10046.20604864819,102445.86835581632,0.6097423423506566,1.0
91,121582.06440183186,14554.467088949981,8047.356581977324,2400.0,0.0,0.0,9122.374232119544,96580.24073090457,0.6050094660661373,1.0
92,105897.09353348776,13916.437219006155,8047.356581977324,2400.0,0.0,0.0,15297.062222274788,81533.29973250427,0.6301945274820617,1.0
93,93953.64653007101,13335.129099154801,8047.356581977324,2400.0,0.0,0.0,9430.219523227315,70171.1608489389,0.5468983300015284,1.0
94,96045.74790747778,13453.882058922174,8047.356581977324,2400.0,0.0,0.0,10838.555324903404,72144.50926657827,0.5169617083659329,1.0
95,111704.23495190933,14262.988220044717,8047.356581977324,2400.0,0.0,0.0,12362.19291261279,86993.8901498873,0.6380284258068981,1.0
96,130047.63779090693,15037.551529530403,8047.356581977324,2400.0,0.0,0.0,9452.152430539674,104562.72967939918,0.6635367759476459,1.0
97,138061.90147690583,15232.107153386909,8047.356581977324,2400.0,0.0,0.0,9825.989125338665,112382.4377415416,0.6433630083213854,1.0
98,130504.44865901557,15043.8295263169,8047.356581977324,2400.0,0.0,0.0,7661.805478320019,105013.26255072135,0.7620397587579519,1.0
99,113891.23614488583,14327.824913998362,8047.356581977324,2400.0,0.0,0.0,5776.043104570226,89116.05464891013,0.6306917281406945,1.0
100,101530.91737152977,13661.34927350204,8047.356581977324,2400.0,0.0,0.0,8692.171254909757,77422.21151605039,0.6230961234210376,1.0
101,103387.33641723628,13909.028750073696,8047.356581977324,2400.0,0.0,0.0,8973.98587123736,79030.95108518525,0.6022231573176533,1.0
102,118489.50562010828,14309.867436418303,8047.356581977324,2400.0,0.0,0.0,4749.462243629325,93732.28160171263,0.6242677472118772,1.0
103,135668.45240185832,15131.126421302573,8047.356581977324,2400.0,0.0,0.0,7797.996891564317,110089.96939857843,0.6608148829186894,1.0
104,142059.8827621259,15329.724625965231,8047.356581977324,2400.0,0.0,0.0,7074.258191047273,116282.80155418333,0.7129557938359335,1.0
105,132898.38010933058,15125.86696341426,8047.356581977324,2400.0,0.0,0.0,6253.228454790104,107325.15656393902,0.6813884906236953,1.0
106,115145.42415738238,14501.660772780993,8047.356581977324,2400.0,0.0,0.0,9389.6658412051,90196.40680262406,0.641901480540676,1.0
107,102188.70425681712,13743.483566011744,8047.356581977324,2400.0,0.0,0.0,11027.64341270967,77997.86410882806,0.6325149448894389,1.0
108,103648.896408315,14079.761406711494,8047.356581977324,2400.0,0.0,0.0,12155.028208624864,79121.77841962618,0.6519496674735467,1.0
109,118055.45606544595,14404.812001634105,8047.356581977324,2400.0,0.0,0.0,9310.89770717419,93203.28748183452,0.6642877239908288,1.0
110,133968.38372878337,14963.253544765816,8047.356581977324,2400.0,0.0,0.0,6896.592683295672,108557.77360204022,0.7326775941771586,1.0
111,138691.79150469476,15016.60365264478,8047.356581977324,2400.0,0.0,0.0,7932.160523955035,113227.83127007268,0.7120739881924559,1.0
112,127944.3730277552,14555.76322533071,8047.356581977324,2400.0,0.0,0.0,6388.567988253006,102941.25322044716,0.6917509906855488,1.0
113,109123.24847957573,13926.340979527264,8047.356581977324,2400.0,0.0,0.0,8462.48292439192,84749.55091807114,0.6629087968703078,1.0
114,95675.93147498724,13447.967212567779,8047.356581977324,2400.0,0.0,0.0,10200.194091615493,71780.60768044213,0.6289369727650487,1.0
115,96865.81793219053,13787.96242443295,8047.356581977324,2400.0,0.0,0.0,14295.27207575953,72630.49892578025,0.7021997624512244,1.0
116,110724.16345752699,13830.679351989576,8047.356581977324,2400.0,0.0,0.0,14092.485956362496,86446.12752356009,0.696437758311615,1.0
117,125555.1840756704,14691.780744786136,8047.356581977324,2400.0,0.0,0.0,15780.792478201953,100416.04674890696,0.7078899683175337,1.0
118,128848.19814809348,14984.452714258005,8047.356581977324,2400.0,0.0,0.0,11293.814106648853,103416.38885185814,0.6936397912673538,1.0
119,116810.68653688178,14076.704162181193,8047.356581977324,2400.0,0.0,0.0,11705.597251949855,92286.62579272324,0.5591742059219729,1.0
120,97263.35196354463,13502.069781459386,8047.356581977324,2400.0,0.0,0.0,10077.060118468604,73313.92560010792,0.5594806318147816,1.0
121,83692.71428987774,12890.090565759678,8047.356581977324,2400.0,0.0,0.0,16155.202684566702,60355.267142140736,0.5422435299917675,1.0
122,84989.80715061747,13157.980208064339,8047.356581977324,2400.0,0.0,0.0,12701.449491398496,61384.470360575826,0.5995157841310812,1.0
123,98688.32676251653,13740.0729804989,8047.356581977324,2400.0,0.0,0.0,13462.694583762614,74500.8972000403,0.5875334264800854,1.0
124,112850.94963468135,14056.644453932395,8047.356581977324,2400.0,0.0,0.0,13509.93863252369,88346.94859877166,0.686246667630027,1.0
125,115167.44877496787,14287.587146515827,8047.356581977324,2400.0,0.0,0.0,14546.270993319155,90432.50504647472,0.6115287433277844,1.0
126,102336.86503184249,13844.47060121951,8047.356581977324,2400.0,0.0,0.0,11961.202493531535,78045.03784864566,0.6180796792700122,1.0
127,82589.69784764646,12973.165184206311,8047.356581977324,2400.0,0.0,0.0,15689.502058836191,59169.176081462836,0.5427399257096936,1.0
128,69429.56219455296,12532.127375278109,8047.356581977324,2400.0,0.0,0.0,12811.158213136423,46450.07823729752,0.487893030519731,1.0
129,71359.63267112595,12421.070111238469,8047.356581977324,2400.0,0.0,0.0,14846.152014513564,48491.20597791015,0.6346634159437111,1.0
130,85416.5508632944,13258.497872659977,8047.356581977324,2400.0,0.0,0.0,10170.570851867986,61710.696408657124,0.4804178017240205,1.0
131,99435.30706257217,13645.71356782931,8047.356581977324,2400.0,0.0,0.0,7265.846893262062,75342.23691276553,0.5150348438547901,1.0
132,101320.4706143007,13871.312955652502,8047.356581977324,2400.0,0.0,0.0,11721.422590339782,77001.80107667089,0.5912167177071417,1.0
133,88264.21046624168,13394.50562799691,8047.356581977324,2400.0,0.0,0.0,13033.83294150171,64422.34825626743,0.6496192807877145,1.0
134,68892.06500471015,12462.041924767469,8047.356581977324,2400.0,0.0,0.0,12564.402823668352,45982.66649796535,0.6349271083736052,1.0
135,56702.53622268753,11728.144865260341,8047.356581977324,2400.0,0.0,0.0,9717.040011128784,34527.034775449865,0.5482776476229309,1.0
136,59795.83986745346,11834.209418590883,8047.356581977324,2400.0,0.0,0.0,13418.939134881628,37514.27386688526,0.5749422130663747,1.0
137,74712.7407283401,12962.361680426813,8047.356581977324,2400.0,0.0,0.0,9875.273847521676,51303.022465935945,0.598941733795278,1.0
138,89074.80974788018,13003.202081668942,8047.356581977324,2400.0,0.0,0.0,9625.316046779239,65624.25108423391,0.6300985534429661,1.0
139,91015.66282535729,13365.253063775948,8047.356581977324,2400.0,0.0,0.0,11026.68877809844,67203.05317960402,0.637708354502403,1.0
140,78221.79973499007,12937.623374537281,8047.356581977324,2400.0,0.0,0.0,8475.963985163049,54836.819778475474,0.5619217791874557,1.0
141,59698.93163280251,12067.63141626878,8047.356581977324,2400.0,0.0,0.0,7012.681885276126,37183.94363455641,0.5057509099962161,1.0
142,48918.81301906227,11737.291839481179,8047.356581977324,2400.0,0.0,0.0,7286.101022413684,26734.16459760378,0.5799533634574869,1.0
143,53564.85005496858,12112.568904862395,8047.356581977324,2400.0,0.0,0.0,9679.178190036453,31004.92456812885,0.475346495040483,1.0
144,69684.59771934318,12410.177964195496,8047.356581977324,2400.0,0.0,0.0,10580.636640197867,46827.06317317036,0.721170738947742,1.0
145,84701.66794013423,13047.062734467185,8047.356581977324,2400.0,0.0,0.0,13783.485658438,61207.24862368972,0.6670369286766892,1.0
146,86993.63964775876,13370.93790831013,8047.356581977324,2400.0,0.0,0.0,7602.260370887045,63175.34515747129,0.6997338758299346,1.0
147,74742.93040102781,12956.113136161643,8047.356581977324,2400.0,0.0,0.0,10761.174028166675,51339.46068288886,0.6628148326702813,1.0
148,57321.191076417315,12255.222423819914,8047.356581977324,2400.0,0.0,0.0,14249.328968469837,34618.61207062007,0.7076811921574752,1.0
149,48153.08393059395,11686.965360962204,8047.356581977324,2400.0,0.0,0.0,13762.379728482989,26018.761987654423,0.6798461245637906,1.0
150,54493.270258090415,11601.319759059013,8047.356581977324,2400.0,0.0,0.0,12423.560706110613,32444.59391705408,0.5983194282672163,1.0
151,71900.8519040033,12924.11563876665,8047.356581977324,2400.0,0.0,0.0,14291.973417065217,48529.37968325933,0.6886450822865077,1.0
152,87618.67213695297,13366.17597419072,8047.356581977324,2400.0,0.0,0.0,13732.447385639722,63805.13958078494,0.616989728039125,1.0
153,90284.3439445648,13600.025120669738,8047.356581977324,2400.0,0.0,0.0,13457.867681888494,66236.96224191773,0.7244751621486284,1.0
154,78578.62909424721,12746.052409379861,8047.356581977324,2400.0,0.0,0.0,13302.84233248783,55385.22010289004,0.6200729516115356,1.0
155,62225.94137619687,12012.171499964952,8047.356581977324,2400.0,0.0,0.0,14481.560068424998,39766.41329425459,0.6560375939740057,1.0
156,54585.170793725876,11941.825218406007,8047.356581977324,2400.0,0.0,0.0,11566.336508828965,32195.988993342544,0.6008587345404119,1.0
157,62472.51827543611,12336.831667358065,8047.356581977324,2400.0,0.0,0.0,13392.77704205116,39688.33002610072,0.5877115598161985,1.0
158,80965.69922625553,12841.259527372611,8047.356581977324,2400.0,0.0,0.0,13855.1161738283,57677.0831169056,0.6165798361401594,1.0
159,97145.84969868607,14113.222316064677,8047.356581977324,2400.0,0.0,0.0,12533.649599239432,72585.27080064408,0.600379123565641,1.0
160,99927.92236730369,13230.837248240587,8047.356581977324,2400.0,0.0,0.0,12765.783970448927,76249.72853708579,0.6203078913237081,1.0
161,88494.32528680332,13224.215185313024,8047.356581977324,2400.0,0.0,0.0,16541.323042075877,64822.75351951295,0.7237196480237086,1.0
162,72910.10946770178,12918.198832922875,8047.356581977324,2400.0,0.0,0.0,18517.616635750208,49544.55405280159,0.5564420066258644,1.0
163,66451.31678324127,12366.559598820635,8047.356581977324,2400.0,0.0,0.0,12957.108074784343,43637.40060244332,0.6120553728661673,1.0
164,75488.0560063963,12925.268593183526,8047.356581977324,2400.0,0.0,0.0,16112.905097630042,52115.43083123544,0.5732182069378354,1.0
165,94625.81105969734,13282.03377496011,8047.356581977324,2400.0,0.0,0.0,13212.714350202456,70896.42070275992,0.6154726489059452,1.0
166,110804.64385184164,13987.437910912893,8047.356581977324,2400.0,0.0,0.0,10837.40806800557,86369.84935895143,0.6141028241604417,1.0
167,113235.03081712824,14210.361045310792,8047.356581977324,2400.0,0.0,0.0,17185.29381688009,88577.31318984012,0.6298363024426098,1.0
