z1,z2,z3,z4,z5,z6,z7,z8
2.817889,-0.2577711,-0.118687615,0.22159779,-2.8465555,2.1836338,-0.7511869,-1.1142843
-0.37856653,-0.6508267,-1.1280476,0.57049304,-1.0588037,0.43912303,0.07159141,1.2663121
-3.0208027,-4.6704187,1.9885845,2.2732122,-1.2367591,-2.4702256,3.376588,-0.3928162
-0.8382528,-1.8454343,0.3048846,0.33651266,3.704772,-1.4598367,2.691772,3.2756984
-2.644562,1.4367629,1.0465108,-3.4206944,1.9022431,1.986541,1.674952,1.6388197
1.8871378,-1.241019,-1.9353727,2.0599573,1.6297218,-2.0669649,2.8359952,3.4225602
-0.7032054,-0.3029682,-0.029131096,-1.5743548,0.83798337,-3.8035722,0.07629129,-2.3574996
3.0551991,1.7244238,-1.2846744,2.474592,0.65320015,-1.232686,-3.4092598,2.4972782
-0.24438348,-0.1153059,0.5097401,-3.784968,0.83660537,-1.8817406,-0.8643406,-0.39449763
-1.2184922,2.598172,1.9398752,3.2433345,-3.92902,-0.40862298,0.37153953,-2.3296564
-0.44461134,4.073483,1.3429604,0.6270636,-4.0268188,3.1997306,0.2539416,-1.4610523
-0.18542203,-1.5292125,-1.2062962,-2.633534,2.1514416,0.18604061,0.38663423,0.21986271
-0.990766,-1.382787,0.43704352,0.8029374,2.9343853,0.08505491,-0.8667051,-2.042534
-1.4133836,0.20063642,0.527622,-2.4265819,0.31666183,1.6686308,1.6373981,0.48957723
-2.0288122,-0.3658774,-1.2149632,-1.9796853,0.698877,-0.5078714,0.092849724,-1.4559999
3.8912182,1.7366743,-0.75963914,0.049816035,-2.0297415,-0.80138016,0.78659135,-1.290741
0.82143974,-1.6611927,-2.1646395,0.96446335,-1.4442441,-0.049706686,-3.335621,2.6750045
2.0552645,-1.0619793,2.8021586,0.90127265,-1.6968337,0.29396597,2.9788475,-3.1164603
0.032096673,0.24306948,1.5632045,0.50677955,-1.1736689,1.7733215,0.1241774,2.7755804
-0.17507201,3.0219803,-1.4940536,7.970213,2.7720993,-1.5341569,-2.5880554,2.997
1.5127963,2.171452,-1.1846722,2.4041045,0.24956286,2.5761733,-0.89653724,1.4338357
-0.7099596,4.261306,2.6093528,0.33095172,-0.43148446,0.90481097,-1.022377,2.1477408
-0.83093786,-0.38959733,-0.3492772,-1.6244195,0.7797933,0.9526454,1.17691,2.7194686
-0.5950086,-1.8757585,-1.8473687,-1.2769669,-2.52275,-3.0519562,-2.361599,-1.8364089
-1.0623502,0.118439674,1.3073062,-3.1151333,-1.7999662,-1.6887999,-1.821039,-4.073391
-0.17455447,0.4757627,1.2755076,-0.1005438,1.4395956,1.9623239,1.9694091,2.2218835
2.253298,5.71242,-2.4797878,3.9584246,0.84454113,0.3888186,-1.7835352,2.4416928
4.012006,-3.5413566,1.50438,-1.5581926,0.46673653,-0.044466503,-2.3944314,-1.6878349
0.9403108,-0.5778417,0.75197107,-3.4913058,-2.8449137,-0.9756076,-2.0635219,-3.4343395
-0.58703655,4.1301465,-1.6226448,1.272037,-0.98670834,0.5456787,0.48180383,1.3103137
-2.9372888,-0.18991473,0.19653288,1.0866834,-2.0552263,-3.7664974,-0.0066545308,-1.6082381
-0.06335839,-1.11852,1.9962671,-2.9081762,-0.7656911,1.6139851,-0.22940446,3.3102338
3.566371,0.5979117,2.0813324,3.365273,-0.3072488,-0.58529055,2.6198113,0.06309227
-4.747725,3.934224,-0.6502695,2.866112,-0.99151623,2.0206208,1.8395852,-0.79934084
1.3266716,-0.3691914,-0.84163755,-1.5849055,-1.5344547,-0.64626825,1.0016892,2.350489
1.1760327,-0.9950126,1.669711,-1.2988585,-2.5388455,-0.7191166,1.2717708,-0.78840005
0.48177645,-2.1534398,0.07237673,0.113446675,1.2680321,-2.1056662,0.793211,-3.0235436
3.6194534,0.6594059,0.6942645,1.204005,-2.707568,0.21354482,1.992481,-2.0517879
-1.6189941,4.964531,-0.40347207,2.6060011,-4.9267716,4.024949,-6.450196,-4.9337354
-0.969758,3.0997915,0.7950918,0.42561164,-1.6479436,-0.037783414,0.2817703,-3.972417
-0.033436853,-0.6411357,-0.13469656,-5.8910494,-1.4270447,0.045491174,-0.15592743,3.008447
-3.7920017,0.0055173934,-0.5446903,1.7545431,-1.2276001,-6.3238463,0.30657655,-0.57833
0.7048212,-0.2808089,-0.2359493,-0.061910976,0.12494212,4.5207644,-2.7695136,4.5816836
5.7105837,2.6053593,4.806047,-0.45781365,-0.017774276,2.361326,-2.1393836,-1.78002
0.31146932,-1.3164468,-2.240409,-4.7481084,2.5090098,3.7518451,-5.107699,0.28585583
-1.5088755,0.20499948,2.477194,-1.134759,4.0115175,-1.8839577,0.041145436,2.5192654
-2.1718452,-1.3736558,1.1321136,1.7676831,-5.216559,1.7606668,1.1532397,-2.381363
1.0041196,-0.76639676,-2.7643812,1.0688269,2.1381,1.9577374,-1.2739012,1.1303037
0.29360047,-3.8538845,-1.4841745,0.95686805,0.04239884,1.5451006,-2.0284362,2.4005024
-1.1844636,-0.56244653,-1.1398389,1.4161509,-1.1256163,-0.22137567,0.25889698,3.5309563
0.23753673,1.1487476,3.3447912,4.432523,1.015972,-1.1994903,-2.2388911,-5.90029
1.6007956,0.6237014,-1.6524992,2.9374185,0.53928554,1.3810047,1.241121,0.070871115
-4.2033877,2.5299876,0.66153795,0.51487714,-2.1188204,-0.21995556,4.2327943,1.6590875
1.5428631,2.7339516,1.1644255,2.9706798,0.6356244,-1.048166,-0.7959426,4.0928464
5.211816,1.5187074,1.4265842,1.9373789,-4.4696155,2.7767067,0.5199557,-2.3624587
-1.7996501,0.16921352,-1.4444226,-2.6766865,2.1757205,1.2397594,-3.6267145,-3.7239735
1.0332932,3.239071,2.9280667,1.8573413,3.338175,-0.7767726,0.106085695,0.46724564
0.45431393,-0.6367004,-4.880124,0.84116155,2.5636013,0.67545515,-0.19436143,4.4314933
-1.8163009,-0.8538528,-1.6610123,1.9869924,2.0606961,4.1672435,2.2800233,1.9913594
-0.4020978,0.18177226,0.3356734,-1.4423581,-2.7123904,-1.2203617,-1.3718054,-2.8639696
0.6768419,-1.0370525,0.68120027,-3.2287056,1.230753,2.1856744,2.7989466,-0.9177982
0.65357727,0.249063,2.7706947,-1.9999125,-0.73271066,0.15804702,0.97000176,3.6655293
0.53757805,0.11867976,-1.7368722,-0.314652,1.1245792,-1.2147417,0.41435295,0.10441367
0.9068941,1.5992794,1.5292491,0.37974402,-0.7552647,-4.6796618,-0.30131656,2.396404
2.48507,-1.7678341,-1.3532662,0.1091769,-3.7448037,0.28178412,-0.5822699,1.5227499
-0.9212885,1.1855752,-0.5312003,0.88668257,0.3359714,1.7058221,-1.2159693,4.2210298
6.51306,4.126095,1.1373206,2.3819227,-0.9453037,-5.0441914,0.15202099,1.38292
-0.6948605,-0.51415753,0.22460651,1.4747088,-1.6414396,-3.631169,-0.91916823,4.2737665
-3.3971052,-0.37145665,1.7236603,0.6255246,1.1820006,-4.7758293,0.5245277,0.7888326
3.280811,0.46100804,-1.5825492,3.0711722,-0.7713697,2.3294842,-0.75099814,1.4866908
1.7644293,-1.1872851,0.8470108,-2.078788,-0.7108899,-0.74031824,-0.15316194,0.09639834
-3.1405191,-3.3677368,-0.013936449,0.48917034,-1.7564037,-0.12446219,0.4679168,-0.9337017
1.0709097,-1.5576804,-0.7394372,-4.4286966,-2.6695285,0.11588276,2.5705185,1.5297958
-0.77393293,1.4149615,-1.6034894,4.2098293,0.3343389,4.60902,1.0812454,4.256757
-0.266902,-2.2667286,3.692381,-1.6245358,-1.982552,0.26106906,-2.28122,3.1962614
0.5698789,-1.730393,-1.6647085,2.7658625,1.0058275,2.1847043,-1.9597294,-4.050942
-2.7875688,2.044671,-1.551718,-1.4435208,1.6478579,0.1436469,-0.8273334,-0.813492
3.6272907,-3.9948275,0.39267117,-3.634694,0.04579521,0.54940647,-0.5087543,-2.4968321
2.2238865,-2.0044458,6.461225,-4.8473463,-0.3248649,-1.805879,1.5648552,3.2138803
-0.81174076,-0.30628893,-0.43205044,-2.32186,1.7574457,1.990911,0.221238,1.6662315
-0.951414,-1.6953473,1.5040017,-1.9265625,-4.548834,-0.39460024,-0.2712204,-1.3455818
2.0899906,-0.50665516,0.105242476,-1.1025084,3.6013668,-0.745161,-2.0665834,-2.5480354
-2.829128,3.1395323,-1.5972614,2.295711,-0.6219039,-4.3570843,-0.42353618,2.5685532
-1.4358358,-2.1282654,0.12178797,-3.041163,0.70872134,-0.62740135,1.1321902,0.5270436
-0.32401294,0.11359745,0.832685,-2.4493024,-0.846224,-0.7740629,0.35341865,4.5411963
-0.9758408,-2.5462809,-1.8483968,0.88128805,-1.1177086,0.95567507,-1.3942735,5.866355
2.2986102,-3.4155688,-2.2296264,-1.5826778,-2.4888496,2.720976,2.0631588,1.6699523
-1.8588463,-1.9531951,-2.123816,-1.614949,-1.8192656,0.33592656,-0.0340562,-1.2953637
-1.7202172,-0.0828014,-2.0839481,2.198903,1.0593951,-2.4707687,4.946291,2.0031438
-1.0726373,2.1447344,-1.5729256,-4.178626,0.3125,0.04141146,2.1062734,2.0359344
1.8038385,-0.35428604,2.4349954,-1.1105181,2.3131526,-3.03289,-0.5707898,0.3559702
1.0559694,0.6445374,-2.238855,-2.8585703,-3.463849,1.1576842,-1.3166301,-1.3847404
-0.21477094,-1.3989303,-0.3156392,0.6020145,0.03039655,0.80139977,-2.685085,-0.32700938
-3.2496924,-0.8513162,0.74614275,1.3827392,-2.0242846,-0.7260993,-0.38104105,2.1855733
-0.3513991,-0.7377485,-0.44105217,0.14282158,-0.7063603,1.5231088,-1.0668496,1.9404664
1.6205949,-1.8257587,2.5233138,4.846747,-5.676657,-0.8351392,-2.576761,-3.178806
-0.29929736,-0.18240482,-2.7135363,-1.8106447,4.979278,-1.2234874,-0.14603552,-0.11068858
2.1142955,0.050046276,-2.6963723,-0.44412196,2.146198,-3.964694,1.6137205,5.213578
1.0200146,0.77939624,2.398901,-1.5721095,-2.743323,0.5949977,1.4577913,2.3184009
-0.6551981,-3.463284,-3.5150332,-1.1919174,0.51678205,-0.31520802,1.5075439,2.0709717
0.38541776,0.21450405,0.58170146,-3.4267352,0.05218246,-0.35309315,2.5647388,1.1734235
-3.6405294,-1.6132046,0.48341787,0.00022943318,-5.822307,2.0798855,0.9112363,3.549619
2.0992818,2.5833297,-0.7946561,0.07745201,-5.6193943,-6.7581005,-3.9970717,-3.202486
-0.2177284,0.9493095,5.11383,0.21180436,0.7796045,4.277285,1.1538748,-0.6715346
0.6683943,-1.89079,0.5841208,-0.87508875,-0.1441825,-3.6263742,2.4948475,2.2713046
-0.12644403,-0.1442614,0.82325965,2.259219,-3.2957346,-2.5192428,-2.8801775,2.4705215
1.0370144,-0.37220454,-0.5437969,0.719846,1.4198734,-0.2020962,-2.4679284,1.1756326
-1.3385593,0.05043369,-0.5675612,4.832286,0.46836373,0.65076,-4.302561,1.9234606
4.021707,-4.608109,-1.7299703,-3.4210875,-0.08114405,1.5266976,-3.8547978,-1.7489552
0.30729133,-2.957954,0.6182267,-1.6456637,0.6892853,-1.325746,2.6253824,0.2322508
2.5252955,2.9505396,-1.7998662,-1.4290097,-3.433538,0.25477368,2.3886857,-0.26294047
1.0305784,0.49543005,-1.1391855,-0.8308902,2.0183036,1.0356483,-2.9437163,0.3245489
2.44894,-1.4473715,-3.2807987,-0.765203,-5.7144976,0.6073801,-0.5152061,0.7341108
2.1145957,3.024297,-3.0978644,0.72257286,-1.4301167,1.725165,0.8437445,-1.0433809
-2.2847784,-2.4791694,1.7307049,2.8978314,-1.0615608,-1.0782511,-4.671243,1.9129512
-2.8174999,1.3539503,-0.3333527,-0.60265636,1.013524,-1.1078826,-2.250555,-0.38383806
0.32359532,-0.33023226,-0.5069963,-1.5128707,-2.0518749,1.4708103,-0.9754441,-1.8291212
-0.055823073,-1.627139,-2.3461854,0.16345564,-0.9511248,-1.6815757,-1.5346742,-0.26943934
0.24794322,-1.3870502,0.49828076,-1.0500441,3.1366725,-1.5651084,-1.0458907,-2.831673
-4.7101636,1.5829934,-1.9193939,-2.5863047,-3.6692035,-1.0012618,-2.7206357,0.06843885
5.149599,3.0080047,-0.33579773,2.0650353,0.87681425,-1.8850738,-0.20913632,0.5640793
-2.3361623,-1.7282783,1.1437141,-1.6530993,-0.98393667,1.5266397,-0.48441428,1.4167376
1.6287619,4.975241,4.3778872,1.6721649,-5.6191535,-1.715597,3.4957817,2.6300724
0.22381505,-0.20966966,-2.0555806,2.7561452,0.55416256,-1.7581391,-3.7029164,5.635531
0.03380253,-1.1697477,-0.2669695,-2.2076485,-0.24336156,1.2637783,4.422178,1.5428513
-1.5367742,-0.6510665,1.6136948,-1.1149551,-1.275107,-0.6494011,0.8021126,-2.2039933
2.211567,0.12519072,-1.4389298,2.2614272,-0.17322177,3.4506903,-3.431781,-2.5928378
-0.046328865,1.2060473,-0.36568624,0.118668415,-1.6596284,-0.7313525,-2.2623289,0.28828865
1.2437531,-0.4225375,-1.1415225,-1.1400975,-0.64230126,-0.5887364,-0.036639333,0.5112593
1.5460279,-1.4971799,-2.0087147,-1.6829367,0.36573076,-3.0700295,2.4189415,3.7767136
-0.44865444,-2.2553966,-1.5407962,-1.8292855,-2.2152274,0.7832269,-1.6774875,-0.791825
1.5590472,2.4443069,1.8557472,-0.5899702,0.2952365,2.479844,0.31174693,2.1639702
1.8939648,-0.64557207,-3.0589492,0.5000034,0.38733986,-3.5405307,2.1015701,-0.6757691
2.847892,-1.2623719,-0.7037617,-4.4631047,-3.3999195,-0.9661524,-1.4336874,1.1684977
0.17517352,-1.2762469,-1.3079062,-1.3714771,-2.2961407,-1.0552661,-2.1107154,-0.5900258
2.63418,2.3100169,-1.4006181,0.61141336,-2.1468124,-5.1443243,-2.30291,5.859155
3.2500758,2.691455,-1.3843977,-1.4702492,-1.0451124,-1.4177986,1.1193421,-0.27096948
2.9599462,1.9801116,-3.1091378,0.12384098,1.7498909,-3.1208756,-2.9714856,3.6456282
-0.30807677,-4.258969,-3.390122,6.7384887,-2.686257,1.0405599,-4.263969,0.7846687
-1.5229406,1.12423,-2.0868943,-1.2996794,0.48301098,-0.84593576,0.41423345,-0.6490984
2.9185817,-2.3745077,0.15004641,1.774493,-0.5238921,1.0677798,0.98634905,-2.9938939
1.0537591,3.5897973,-2.0731306,3.8654096,1.0375923,0.20321423,-2.1238892,-0.0558824
-2.5668275,1.0589664,1.8819379,-2.5234973,1.5675505,1.430126,-0.65629715,1.8861833
-3.5831118,1.5208323,4.740282,-1.0175385,2.110022,3.5994859,-4.2488203,2.0589018
3.1668725,0.17733034,-0.69826925,-1.6869072,-3.6781528,1.5393461,-1.4417278,-2.2167242
-1.7377017,0.07412334,-2.7629383,-1.9852698,-2.6706812,-1.026009,-0.96003234,-2.6128187
-1.5190173,0.3882009,-2.6796937,1.3018701,-1.2043997,1.8855158,-2.0233364,1.5029477
-0.78556883,-1.0428077,2.1425881,-2.7616909,1.6340423,-2.1357377,-1.409381,-1.7661358
0.82281464,0.64596266,-1.4384978,1.7133462,-1.0669539,2.6013381,2.6297095,-2.9322364
1.2983034,2.8498213,1.2107711,-0.6728624,-3.6603756,1.4746685,-1.4381354,3.140974
0.8702167,-1.8315171,2.5053227,-0.5971187,-0.6187598,1.4582095,3.1987731,-0.10439639
0.43688363,0.028953247,1.1921049,-0.78703165,2.7043562,2.4406629,0.24536018,0.8420736
1.9226407,-0.6600981,-0.27400947,2.091483,1.223331,-1.0420103,-1.2216561,2.827843
1.0478687,0.4590426,-4.8059077,-0.15541781,1.0383358,0.81888336,-2.2993152,-0.89517045
0.12962654,0.38719288,1.6859123,-1.1921765,-0.18037239,1.5271198,-0.6880756,3.427264
0.6297747,0.8819285,-0.8504205,3.5700855,-0.4983491,6.407631,-0.736154,1.3568007
-1.8454275,0.15456522,1.7680814,-3.3466055,2.3043427,0.7701354,2.4884906,3.6227643
-1.7123226,0.120451644,-4.0452924,1.6340008,-0.1378928,3.8877087,-4.417052,-0.7574939
0.48065498,1.9259038,-2.4157844,2.0391786,2.4908996,-2.4094424,-3.3183813,2.83199
-3.350083,-3.0728533,1.9650899,1.386646,-3.0853682,-1.4488034,4.7419004,-4.793581
-1.8043078,-1.0773801,-3.501868,1.1967618,-2.045476,-2.264629,4.9845624,0.0836182
0.26734808,-1.1645496,2.0443592,0.08301482,-1.9996346,-1.1192095,0.534984,-7.0208774
3.2837944,-1.488708,1.901203,-1.2996702,-0.6267913,-2.616352,-1.8451885,2.7130394
-0.4134318,0.23285718,-1.2669148,-2.0007772,-0.2454814,-2.1856313,0.3071019,-3.2095332
0.9201111,-1.835733,0.031386048,-0.5616107,1.0459108,-0.54803365,-0.7436359,1.432625
1.6146839,0.82704276,-0.0057577677,-0.062729254,2.673212,-1.8774389,-3.7133107,0.8097285
1.1428558,-0.8316714,2.6077638,-0.2944251,1.3835938,2.3516018,-5.327311,5.0323005
1.8640088,-2.494243,-1.8520291,-1.4645444,1.5764116,0.52440226,-4.684141,-2.7112808
-2.018264,2.2133772,1.3108162,-1.7752005,1.488934,1.5523069,1.7038012,2.4357584
-0.49419484,0.97123486,-0.14891653,-4.772737,1.4615042,1.8246733,-1.49039,0.753123
3.5230162,-0.2247842,4.635167,5.687119,-2.6337419,0.7985155,0.51127905,-0.38204837
-0.6840483,1.1221299,-3.7046132,2.3897245,1.6540338,-1.0221425,-3.7465768,2.8185356
1.9238117,3.4398608,0.1404147,-0.15087634,-2.1039326,-0.7816223,-1.4221795,-0.2412091
0.12385734,-1.3398733,0.68539757,-1.5274411,0.50395066,-0.65829176,0.6228149,-2.6104043
0.06967161,2.1672978,0.28517458,-2.52596,0.83053726,2.5676355,-1.4790206,-0.8742682
0.24673644,-3.2100573,1.2682163,-4.8713226,-3.2703192,3.0197387,-0.84610665,2.4985044
-1.4781497,5.369649,-2.0146153,-0.8258627,-1.0220829,-0.5184379,-1.1180634,3.0125299
1.1148856,0.026348863,2.0512476,2.1552927,-1.3804284,-0.90981734,1.5103018,-1.794805
-1.3604708,-2.1830328,-1.2617669,-1.262074,-2.5549026,0.04044112,-0.3236586,-0.5467223
0.7171725,3.2940183,-0.50950694,-0.2202874,2.0123405,2.8475945,-0.13222843,4.3078127
3.3009758,-1.2960958,-3.8986037,0.42203483,3.5578187,-1.2486358,-1.5869299,-3.3988445
-3.3348756,0.9866871,1.9073966,-4.3888755,1.1205236,-0.9441859,0.095182836,-4.636744
-1.688898,1.9287853,0.6357857,-2.2334676,2.3156967,0.32657686,-0.93903506,0.56839675
-0.5760051,-1.5330958,-2.1902256,1.4174881,-1.1620779,-2.4495168,2.3034942,3.1722589
-2.0600584,5.627259,-4.6918106,-1.8431606,3.9107528,3.5630004,4.370306,2.9355917
0.5203684,-0.10024582,1.046736,-2.361638,1.2263283,0.21072695,-3.227764,0.6063446
-1.4570934,0.045152064,-0.5820555,-1.413029,-2.989872,1.2265542,-0.6909021,0.31780803
1.2989678,-2.9975607,-0.065045804,2.4690971,-4.9423947,-0.193782,-4.0448112,-1.1275562
-0.5834449,0.30601642,1.3106701,1.0039977,1.4274496,-2.9654105,-3.4638531,3.9116852
-1.0699077,-1.1682074,-3.632997,2.2913609,3.1764514,2.9336495,2.4898841,-3.756676
1.6105288,0.21657829,-2.948483,-1.5849053,-2.0585604,-1.1948512,-2.2900012,0.09599826
-4.0813813,0.24923865,1.05206,-2.202865,1.6177016,-1.6931385,0.86220163,-0.8977868
1.1192046,1.0069982,1.1025691,-1.0673243,-0.28692943,0.1905804,-3.5042617,-0.93568915
0.7471875,0.19809155,-1.0753573,-0.4324051,-1.2852838,2.5964935,-1.8707746,1.0633558
1.9163669,-2.7014089,1.2529911,-4.4692965,-2.2597873,-0.6463437,-0.74963367,1.8050213
1.6933458,0.25479668,2.616136,0.34729445,-1.320066,0.032026842,-1.1502763,-0.43991536
4.6134477,3.25384,3.3209357,-3.7227693,-2.9668875,2.627131,2.4321744,1.5308648
-4.0589604,-0.1500904,-3.922469,-0.42722452,-0.77628726,-1.7611853,-0.96205115,0.9859494
-4.1429706,-3.022418,-1.8647105,-0.59847623,0.710314,-0.31814462,0.083095685,-3.2025266
-0.84934425,4.2465916,-2.347293,5.437106,0.69900596,-1.355158,-0.8921074,1.5242503
2.018682,-2.0924175,-0.90713096,-1.5117394,-3.380859,-1.3937303,2.1472394,0.35550362
-0.19062763,3.0659127,0.5945435,3.5566716,-6.8891377,3.2356632,-0.22574072,-0.89948374
-1.1655549,-2.834073,-2.084443,2.7133758,-3.3835514,0.8288407,0.22600824,0.04642407
3.615765,-2.367487,-0.21712469,0.009137563,-0.08837854,0.48648208,-0.7419378,0.6443761
-2.062066,-1.5401648,-0.011863451,-2.467949,0.2999567,-1.9493053,1.7262428,-0.9925916
0.8146882,1.2836679,2.8404233,-0.98877895,-1.9604071,1.4957082,3.2462575,0.6367615
-1.8071276,-2.2227056,-0.7071654,0.007781379,-0.21954316,-0.81496745,4.5043974,-3.5574985
-1.7384471,4.077693,-2.1882286,4.892066,-1.3756361,3.2461894,0.58030456,1.5760187
0.5532243,3.0553932,-1.0988982,1.7359083,-1.7705775,4.895404,-3.2399368,2.933313
3.4405282,1.9379091,-1.2777168,-2.609644,-3.9662454,1.700252,-3.5645506,4.0178204
0.24801025,0.5333052,0.69460714,-2.6699119,-1.3488723,-3.5359564,-1.9086771,-1.1839151
2.8131623,-4.050408,-0.5347549,-1.8797284,-2.6882014,1.3983878,3.7188058,1.7493432
-1.6465992,1.2234695,-1.4826871,2.3896217,-5.229062,1.2260432,-2.4616666,-0.8780019
-0.8765553,3.9995556,-0.44913664,-0.13284764,-2.6790388,-1.262659,1.1602595,-0.10930119
-3.2877414,3.1471653,0.08725835,-2.4890518,-1.3749477,1.4328831,3.9304752,0.5589862
-1.0916929,1.0582062,0.12742779,-2.9009333,0.9003538,0.26625708,4.775223,3.387943
-4.520605,-0.77705956,1.6104497,-4.781123,-0.015288863,0.40160143,-0.12315573,2.2465189
-0.52619827,-1.9491367,-0.7158165,-0.017797261,-2.2497056,1.4039239,-0.27343237,3.1335099
1.9391456,-0.64325184,-0.06447628,-5.516632,-1.2779969,-2.9675996,0.96117795,-2.1716797
3.319852,5.556568,3.1782665,4.446428,2.705183,0.9544391,-1.3619926,2.3313775
-1.1835812,1.3087167,0.74628675,1.014423,-5.1652865,-2.2949886,-3.2860389,-0.63434196
1.6806287,2.508935,3.451216,1.4663541,-2.5202882,1.1371626,1.4199717,-0.5012908
0.57376355,1.8859701,-1.0007031,0.49306276,0.56469756,1.4401224,2.0947707,-0.6130709
0.51203305,-1.1667951,-2.9365869,-0.12662366,-0.7917469,-2.3013628,-2.276304,-2.968346
-0.05770592,-2.329472,0.2459851,-0.3401927,-1.0317429,2.0916858,0.41938156,1.5825701
3.5379486,-3.2393348,-1.0841596,1.962728,-3.4295204,-4.078856,0.3074608,0.26271755
2.8357167,-2.7437575,2.1713543,-1.3902019,-4.0091996,-1.4437621,4.051168,-0.84251326
-1.4583602,0.9965794,-0.08922422,0.05843743,-0.12886176,-2.5356464,-1.8069689,-2.076346
0.042511813,3.4136088,1.1806575,-3.904978,1.7491462,-2.7097175,2.4505284,-3.0650613
1.718047,-4.4855795,2.2777562,1.260521,0.529468,-3.1146526,-0.16388895,2.8800936
-0.94523585,0.6514136,-0.7846419,2.4296951,-1.1895056,-4.523775,-0.22089715,3.7115555
1.6776606,-1.2858636,-1.8165777,0.62040794,0.16711456,-1.8333955,-0.16034861,-3.2598577
-0.0010131784,1.0961105,0.9005758,-1.9642979,-0.46983215,1.2960898,-2.3790963,3.5561678
-0.08930527,1.5736285,-0.31792393,0.009736039,-0.8066776,1.9198567,-0.50058085,1.8729377
-3.4544399,-1.5219079,-0.57431024,-1.4407879,-0.6199326,0.4991393,0.2633128,-1.3182625
-0.5843519,-3.1729574,0.48457137,0.048220508,-0.9072928,1.5494047,0.16240579,2.9172971
0.7168164,0.8950478,0.21377657,0.94347024,5.1897836,-0.15511075,1.2407796,-6.0280237
1.6238155,-4.8143377,0.26330352,0.41176382,-1.6210945,-1.2328265,0.4671033,0.33538026
2.6735268,-1.3885422,-3.0894308,-0.68709755,-4.12978,-0.44395584,-2.386176,-0.09306835
1.2534624,-2.2042875,-4.6238904,1.5535046,-1.1552448,0.9173559,-1.6525275,-4.6875277
2.3088396,4.4720836,0.20137325,0.4279532,0.804266,3.3735638,-2.2153912,2.6971507
-2.6031961,-2.059347,-0.81587243,1.8916192,-1.7817931,1.1992539,0.5294601,-0.9680865
1.3797934,-6.049931,-1.8747243,-0.55445254,-1.5836868,0.3189128,1.6067644,1.1827351
-0.745465,0.8958933,-1.7809788,0.41870418,-3.1016273,1.4440455,-1.6051193,-1.2099926
0.54046,-1.7314292,-1.0820483,0.73376447,0.15015057,-0.61977875,0.61413634,0.7839983
-3.4560013,0.43617547,-3.983508,4.508501,-2.8119388,3.7309356,-2.6343472,3.2128117
-0.31689757,-3.4814537,-0.15716952,-2.5000365,1.7821994,-1.0483512,0.25605512,-0.094905764
0.8949223,-1.1131259,0.7023699,-0.93807024,-2.5370073,-1.8366895,-2.7331746,0.58352864
-1.1426859,-0.0285304,-2.237041,-1.5687225,-0.22397536,-1.3994938,0.8846933,-0.6735143
-4.306781,-0.15912765,0.5705758,-1.4170005,-0.097380266,1.3625009,2.253557,1.1078622
-0.117694244,2.2751482,-0.07977064,0.35995597,1.8912655,-4.720977,1.0329472,1.1478891
