hour,Bus1__Bus2,Bus2__Bus3,Bus3__Bus4,Bus4__Bus5,Bus6__Bus7,Bus7__Bus8,Bus8__Bus9,Bus9__Bus10,Bus10__Bus11,Bus11__Bus12,Bus12__Bus13,Bus13__Bus14,Bus14__Bus15,Bus15__Bus16,Bus16__Bus17,Bus17__Bus18,Bus18__Bus19,Bus19__Bus20,Bus1__Bus6,Bus2__Bus7,Bus3__Bus8,Bus4__Bus9,Bus5__Bus10
21,-2452.1787620623177,-4548.170425673393,-5000.0,-2153.793982334239,-4818.558673060876,-2747.1117733587716,678.9867170182488,2647.2415608269466,5000.0,-4626.508307552422,-4089.3761907207627,-5000.0,-4133.323242608522,-3399.834071095672,-2536.053969004676,-1720.2083655424394,-1198.0295133250547,-440.7153357165753,1500.0,1500.0,1500.0,1500.0,1500.0
22,-2349.9784266120814,-4895.48851043043,-4789.493187176586,-2814.7335912164554,2325.851565829662,4362.364949934229,-1.24637015958524,978.790875370104,3491.2363031603118,-5000.0,-5000.0,-5000.0,-3958.811881520237,-3164.4233308904295,-2372.6538967146444,-1614.1483499601627,-1185.7150968915357,-518.0253597963583,1500.0,1500.0,1500.0,1500.0,1500.0
23,-2233.4720320951305,-4635.674231285977,-5000.0,-5000.0,-4995.281824813437,-2966.3314314549607,-257.1823675140413,1674.8531970278054,4201.392428270461,5000.0,-1857.867240396572,-5000.0,-2952.189376274873,-3358.2673855509274,-2446.0700499693485,-1679.1879986166286,-1221.3043910604947,-500.3714918897922,1500.0,1500.0,1500.0,1500.0,1500.0
24,-2190.0884253584786,-4538.926919194624,-5000.0,-3244.014347309626,2292.8854438489243,4316.961837738872,1329.0275384116721,3470.9091228835377,246.75788886135706,1011.7454838175563,1534.2027063814148,-5000.0,-3876.565104103727,-3047.267592139745,-2203.717270734278,-1443.5943334400754,-1045.0794913143882,-409.8468357664133,1500.0,1500.0,1500.0,1500.0,1500.0
25,-2250.79572995047,-4674.306823849352,-5000.0,-5000.0,771.4754111224888,2785.996690655083,-730.9021160125294,1260.5556207354766,3670.5204620144195,4381.642846662748,5000.0,-2633.2704594663373,-634.3005552924342,-3248.879948414412,-2440.3129537693285,-1712.0410763578047,-1239.8998791613485,-515.9602124072962,1500.0,1500.0,1500.0,1500.0,1500.0
26,-2366.532584035475,-4932.404994676941,-5000.0,-4550.266289240239,2354.221875224279,4395.803905118888,-163.2933104445956,689.3946055949336,3169.659798862015,3923.050232831839,4501.896005353007,5000.0,-2321.2325745294265,-3347.0093495844994,-2518.654891346352,-1765.124710003518,-1212.3629378160322,-500.57617776426196,1500.0,1500.0,1500.0,1500.0,1500.0
27,-2445.581612976235,-5000.0,-5000.0,-4115.853114362885,2219.9846049372954,4102.466461294156,-1210.2855358301404,833.4209857282895,3374.3267803002927,4102.5197160418575,-5000.0,-5000.0,-3964.3617328279524,-3074.3940731643415,-2233.546031182894,-1522.910857839921,-1032.4935709166339,-444.14826662673477,1500.0,1500.0,1500.0,1500.0,1500.0
28,-2423.4272840398307,-5000.0,-5000.0,-3012.2381106097932,2268.181415409301,3523.958614315259,-1550.5915415173422,525.4610208736703,2953.377622899151,3838.428473892097,4586.190275116928,5000.0,-2883.005142450783,-3155.3697821153064,-2345.834241106938,-1609.482420820208,-1053.5115966287558,-438.37429371333747,1500.0,1500.0,1500.0,1500.0,1500.0
29,-2311.905267568781,-4810.583725481926,-5000.0,-4565.070456804383,788.3625263043014,2759.0183460518547,-1339.3595508213984,763.5851294841259,3143.282300853386,-5000.0,-4455.063323510775,-5000.0,-3885.10870786128,-3101.070784852868,-2382.4490886359226,-1633.9778412454934,-1110.186105174942,-460.7207084230595,1500.0,1500.0,1500.0,1500.0,1500.0
30,-2190.2187388041957,-4539.217523792785,-5000.0,-3254.858562735879,2369.3379800278226,4339.570861004505,1440.3812714280125,-2956.7964548744235,-560.0053650786763,238.82927807106034,874.5431387544754,-5000.0,-4159.918012537579,-3202.205788724359,-2339.6507027346033,-1586.290708766438,-1028.4474517257086,-390.2496652835516,1500.0,1500.0,1500.0,1500.0,1500.0
31,-2144.6620314484667,-4437.624103698565,-5000.0,-3800.001338016463,2282.8394954298074,-1334.2898702103248,2132.3861239465814,-1909.7114963074291,555.6547320067903,1385.5600844343207,2033.2479307800468,2539.5573998995287,-2355.2703487682193,-3139.3205221836506,-2269.1455157661503,-1510.0270825998896,-1018.682437635156,-436.8398052093062,1500.0,1500.0,1500.0,1500.0,1500.0
32,-2202.9484500799554,-4567.605328363867,-5000.0,-5000.0,-4671.232370842065,-2672.0608037090024,-5000.0,-5000.0,-2643.930861369923,-5000.0,-4321.825412878137,-5000.0,-3038.9842205404248,-3194.6689394972127,-2366.7496229358276,-1592.1634199738146,-1033.4798804403636,-382.93452976256503,1500.0,1500.0,1500.0,1500.0,1500.0
33,-2313.1476521642653,-4813.35429665473,-5000.0,-2907.319879430611,2366.0667701561806,4332.483624616248,267.08043288459476,2332.580470742327,-1897.7877217024247,-5000.0,-4373.318267866598,-5000.0,-3979.5935760909806,-3066.6950777776146,-2338.8910392064718,-1529.4531722220781,-1120.4167235315135,-488.00882158204604,1500.0,1500.0,1500.0,1500.0,1500.0
34,-2383.270355099792,-4969.730945253223,-5000.0,-3797.719103930638,2190.744055887879,4187.087634260591,5000.0,5000.0,3562.7570520222453,4366.554840606108,5000.0,5000.0,-2388.5550459074702,-3136.556264186019,-2371.923404902188,-1533.8062445557498,-982.0055692465321,-382.93452976256503,1500.0,1500.0,1500.0,1500.0,1500.0
35,-2351.358636248282,-4898.566437381861,-4275.478466281046,-1687.268161152267,2143.3954239102986,4038.8575363976806,-254.0523193991403,1863.2584657434954,-2693.31601299299,-1837.3987288805247,-1244.231166745808,-824.1361484835461,-4000.572982777582,-3111.9036174169505,-2346.6034949391233,-1574.8425683428204,-1094.3441518045456,-533.9366969225757,1500.0,1500.0,1500.0,1500.0,1500.0
36,-2232.711812703218,-4633.978909289958,-5000.0,-2184.413263598803,1705.7420011102336,3756.3470191982437,572.1402028993316,2624.6455908027838,5000.0,-2228.483733592755,-5000.0,-5000.0,-2908.810418566195,-3255.802103312156,-2468.2125127642075,-1713.5559694679541,-1092.053026349301,-451.306505075986,1500.0,1500.0,1500.0,1500.0,1500.0
37,-2108.287820266473,-4356.508045675475,-5000.0,-3825.10991557984,-3784.2227241709347,-1842.6175499367123,-306.2401434850608,1748.553871438743,4198.232792417425,5000.0,-663.4319311330855,-290.9556663765652,1801.2908156025696,2655.667581204025,2101.3051738272766,2875.0575658689063,3472.6353437446037,-467.1829700359085,1500.0,1500.0,1500.0,1500.0,1500.0
38,-2063.1114898665,-4255.762882580132,-5000.0,-1182.7894553828025,2169.4716109377423,-594.364245819057,2959.408025999789,5000.0,2834.5161030156823,3681.532875501467,-1479.0165333505847,-5000.0,-3924.0514492428747,-3104.028360278633,-2395.0328203892313,-1582.279226218644,-1004.354598926725,-457.0154207945552,1500.0,1500.0,1500.0,1500.0,1500.0
39,-2121.5879954257907,-4386.168009283829,-5000.0,-3278.3651820120267,-570.4789201986864,1335.6908558716664,-859.486400261686,1195.5769632149904,3554.9179922052354,4439.570505207996,5000.0,-1430.9843842716164,625.7196856551072,1442.2571888689727,2188.361917606946,-1644.455614151876,-1019.4580271444775,-485.0775223745486,1500.0,1500.0,1500.0,1500.0,1500.0
40,-2228.976271472997,-4625.648491410593,-5000.0,-1796.2369480807733,2210.5262262501474,4206.295461419606,5000.0,3259.794759637387,-270.12943747089594,602.6699867945454,1189.7660972157364,1605.7098127372383,-4040.2234594020892,-3244.1921805080083,-2481.3835720624347,-1660.6054242923374,-1166.1476629857298,-581.674519881898,1500.0,1500.0,1500.0,1500.0,1500.0
41,-2293.1290131986066,-4768.7118693108905,-3901.8153333230903,-220.81043765154323,-5000.0,-3079.3239359817126,551.5281166511413,2460.596230661031,4779.03969896129,2712.2582906637817,3267.940441935084,-5000.0,-3964.4467899775764,-3174.289059553278,-2361.928224821694,-1557.0520715334314,-936.0646675546077,-397.5624056444749,1500.0,1500.0,1500.0,1500.0,1500.0
42,-2254.716309162528,-4683.049884400089,-3752.3277457986596,-1252.3596038271319,-693.1334852678574,1258.3063068047222,5000.0,-126.75484718813641,1094.2994767738537,1929.6796757449856,2531.8556370463994,2906.513049754549,5000.0,-1434.9857198142254,-2571.6617367945028,-1715.151424191361,-1144.2603228758398,-596.689093394386,1500.0,1500.0,1500.0,1500.0,1500.0
43,-2132.4612945808535,-4410.41593484712,-5000.0,-1555.3956044268887,-4015.8657348635206,-1927.3992502944284,686.4535676731339,2606.51722573809,5000.0,-1042.406569768853,-510.2958816306109,-168.02294764292674,1978.0673100649992,2752.1660672825265,-2550.724886886488,-1653.690298492822,-1151.4165483674924,-560.0669479144308,1500.0,1500.0,1500.0,1500.0,1500.0
44,-2008.9431268645824,-4134.965099384372,-2286.794025760701,-1208.0499019547183,-2641.9526754962417,-5000.0,-1365.8157105383716,-667.433704416379,-2382.9090149008825,-1547.2730475308617,-1112.1055698107139,-784.3445112489126,-4067.201990043578,-3234.4884624893575,-2481.845115371395,-1556.666418688213,-996.5760621196673,-492.343197847531,1500.0,1500.0,1500.0,1500.0,1500.0
45,-1967.7771683506476,-3067.8791393089195,648.3946694825898,1027.790005805519,2150.804357154272,4176.349347766303,3421.843087849671,2423.353002030009,5000.0,3913.3712741874024,-311.8957904466897,-5000.0,-4129.7791569694655,-3267.9728465304065,-2442.924747167906,-1569.2563794982589,-1132.4220583562314,-507.44532057396646,1500.0,1500.0,1500.0,1500.0,1500.0
46,-2030.0057372586734,-3027.173059533873,817.8630838686593,296.5286095331247,2243.381688344022,-219.31522194036006,3404.1911202921647,400.3153457991757,-1440.3798830308501,-1499.0425563968065,-1040.2681371736198,-502.3805694575849,-4075.038405930557,-3327.402634820288,-2544.9603438636423,-1659.4482623872154,-1219.8012205262949,-652.3428761397809,1500.0,1500.0,1500.0,1500.0,1500.0
47,-2138.1338974320483,-4423.066083594464,-2406.7725748485614,-66.58737792880345,2096.3480415791237,4158.2344019263755,5000.0,910.6350839498546,3312.0325182080296,4145.208686773791,-1727.393162722561,-1260.6000055373888,942.9683801237679,1721.3770934473532,2448.893799409695,3311.748968206546,3751.055003497122,-527.1904871761908,1500.0,1500.0,1500.0,1500.0,1500.0
48,-2199.965789844143,-2069.488655769713,-1399.7817961655478,-218.44506669040618,2096.3480415791237,-1833.7538182215494,1804.8182805837396,2571.0557887781583,5000.0,-1803.133682088468,-1344.5409791209095,-907.0652763487933,-4068.3520542335255,-3286.293049034399,-2435.943353706717,-1526.959910931375,-1094.419714978947,-521.2368943258343,1500.0,1500.0,1500.0,1500.0,1500.0
49,-2158.862322886257,-3776.0701865028004,-1387.4914911074889,-1047.9762691211122,-4376.910168362034,-2300.627109884116,-4800.127279616581,-5000.0,-2481.1946621631714,-1623.9279448573825,-1072.686828678612,-636.1930962737606,-4084.7909394894477,-3312.4319303642224,-2486.9695769479513,-1619.1639494946767,-1223.1154661664968,-638.6043784674421,1500.0,1500.0,1500.0,1500.0,1500.0
50,-2036.9226929552497,-2557.0871416933496,-1569.1223738945414,-869.0905053250088,-1301.6700732191139,-3705.4551307391175,-159.93220936427952,-3293.5981552243456,-815.8361662094767,87.34375843773341,-5000.0,-5000.0,-2873.600155978026,-3326.366366028835,-2547.0242742022283,-1610.155403137689,-1109.375266254263,-599.8320983578305,1500.0,1500.0,1500.0,1500.0,1500.0
51,-1918.2091711567539,-1789.003323223364,989.3007182998764,344.339770848738,-1954.5255052410957,118.18299023757527,3626.018832914818,1729.1584299087162,759.4921432687638,1704.9273779025666,-1955.8132178683823,-5000.0,-2924.7697397223637,-3239.3009391472415,-2450.5601013322166,-1635.2962190119229,-1216.7918878083165,-535.4791962700779,1500.0,1500.0,1500.0,1500.0,1500.0
52,-1884.7882269071783,-3858.0943235919617,-4516.466188822744,-1613.4991496046098,-1644.4733842987762,-2842.203616353892,519.5344672136794,2462.6801823914907,5000.0,4472.825254458521,5000.0,2933.678251657884,5000.0,2058.2247531297135,-1261.8212939721034,-1652.7516560164927,-1210.6019447423882,-590.9949199772464,1500.0,1500.0,1500.0,1500.0,1500.0
53,-1954.288733040162,-3042.3822767377883,-2459.901381071809,-2005.092164084951,-2292.732848539912,-4036.6968390626944,-459.0821198920621,1403.1932019478236,3869.253462261172,-257.04548553557197,229.11818290944575,777.4554272098685,2902.4926548535914,-784.6848516198329,-2474.204370556444,-1566.4586791021475,-1175.9615358028855,-525.03140910002,1500.0,1500.0,1500.0,1500.0,1500.0
54,-2066.522840987205,-3038.1758171854035,-2379.4090728732563,-2094.3244053637445,2109.1594632469223,170.53952690884717,-1624.71441626272,-5000.0,-5000.0,-4160.855946651331,-5000.0,-5000.0,-4196.896919931288,-3425.0103534265118,-2569.5376283184314,-1675.598922218379,-1313.576596351334,-625.96957354408,1500.0,1500.0,1500.0,1500.0,1500.0
55,-2129.3567138736307,-3537.5274716806302,-3697.908663761991,-2828.14902265614,-3945.4913959841724,-1791.4443919960386,-1268.4111715447216,681.3050863328635,3247.038993086787,4116.509665145768,4612.039210773607,-1685.6049937228927,462.9517184076112,1236.5752024626672,2107.629148690672,3117.974238252553,3544.1742896060177,-617.1824599132733,1500.0,1500.0,1500.0,1500.0,1500.0
56,-2088.9029452015616,-4313.278939134354,-3709.1661911856922,-2919.010289976075,2186.534522398322,264.85815682049815,-1685.9976979546564,317.16297187979853,2810.4060828212014,3645.7275019187355,4158.514475481363,-1706.5652028307036,393.39374181463836,1086.995251001877,2036.435520876183,-1629.8731076067988,-1267.850781739754,-582.6296291669905,1500.0,1500.0,1500.0,1500.0,1500.0
57,-1970.5869373598434,-4049.429144313237,-3827.5554843105656,-2972.661774860868,-2377.604707535061,-4364.277738294824,-730.0749720914819,1251.370532577862,3461.5484991014655,-931.5999617336656,-405.71356386910975,-5000.0,-3018.9773267923706,-3363.255408920547,-2437.410886814324,-1632.5189095390597,-1222.8881132920633,-564.9405410011927,1500.0,1500.0,1500.0,1500.0,1500.0
58,-1859.8173480634844,-2796.6124523012145,-3051.9315401118956,-2862.990268437028,2229.444879826163,1326.194067647817,1472.3853727312767,3423.255107937136,5000.0,1834.7858580558914,2364.3463582698782,2923.268404560934,4224.287217247045,5000.0,1999.355566038474,2838.5975931124735,3200.619918979519,1200.9573024835909,1500.0,1500.0,1500.0,1500.0,1500.0
59,-1836.9787819003236,-3751.4772014824525,-3291.492721888122,-1589.2167820264012,2246.411076585609,4276.797116757976,4670.362403810433,3403.135063459007,5000.0,2052.079267409023,-369.30806494402555,187.61083107348372,-1436.6817962680332,-698.5486076624413,232.3693866652818,-1627.0051191703674,-1107.5635090447877,-526.0856761452674,1500.0,1500.0,1500.0,1500.0,1500.0
60,-1916.2459241363053,-3928.246343685082,-5000.0,-3872.1886470223417,-1836.247490170479,260.8468320944794,-128.77439646221637,-2080.8689780787145,457.85639097745434,-3275.9510689549015,-2764.7104168476226,-2254.720735238757,-250.3026300331876,-3269.8409959894857,-2434.1164831541296,-1616.6037432531402,-1145.1313516433975,-455.8925731287941,1500.0,1500.0,1500.0,1500.0,1500.0
61,-2034.8085273577708,-4192.646056826949,-5000.0,-3779.834855540725,-891.1848371690198,1145.9328693731372,-362.92346144093244,-3452.72881381134,-984.9641248700109,-206.7992035112311,317.48042720469493,-5000.0,-4196.055783734155,-3311.6271633387128,-2402.5286543590205,-1633.523756855931,-1195.1237211478378,-526.1854816353543,1500.0,1500.0,1500.0,1500.0,1500.0
62,-2100.711704321219,-4339.612980720525,-5000.0,-4004.3582501999567,2288.1949211402452,4351.459369460666,2275.7592545934904,-1410.1893604643892,1061.8030095391314,-4670.911180422686,-4137.681641016606,-3609.2216638934397,-1504.0897013065878,-766.9691226517652,212.8611513827409,1058.9679834272847,-1320.8343441582565,-596.8351051154132,1500.0,1500.0,1500.0,1500.0,1500.0
63,-2062.8838017893822,-3843.9739578379817,-4180.436941743737,-2697.849010236828,-1151.4167124792743,-3891.2023226700558,-429.37328530112336,1612.9406474613452,4161.323098898513,-1258.7523171286011,-647.8129077190761,-51.58505879758104,-3925.617755785832,-3207.4546557801323,-2330.521522626991,-1567.1836509695686,-1158.5053257862219,-430.9639197701317,1500.0,1500.0,1500.0,1500.0,1500.0
64,-1950.0295811629003,-4003.5853543344174,-4653.401948418141,-3180.881157478447,2284.0347444580793,498.6826324772496,3988.3331792623935,2528.347901974811,5000.0,5000.0,975.3810457288782,1426.1198484680908,3448.2463758871118,-62.86213930388112,-2386.9157532547824,-1610.4483816213346,-1122.0108398206653,-453.39091722126886,1500.0,1500.0,1500.0,1500.0,1500.0
65,-1848.773744941182,-3777.780477218535,-5000.0,-5000.0,2317.0382773656484,4374.153444351547,4616.929869336896,3383.704790474692,5000.0,2160.9020756066147,2590.1012049826345,3021.9815557696684,5000.0,2494.099236180721,-428.23175815428795,-1631.6431452022302,-1149.537295166093,-482.87297621874404,1500.0,1500.0,1500.0,1500.0,1500.0
66,-1837.6972603028844,-3753.0794392739163,-5000.0,-4552.617658613819,-1042.7946023209074,-429.0706470597934,3018.719272213617,5000.0,4691.583879775961,1693.2230790432095,2312.4317798667175,2817.3021702602923,1212.0890846981465,333.88618661752207,-2496.8564010560394,-1640.8447674581666,-1144.3396894826342,-450.9793087208209,1500.0,1500.0,1500.0,1500.0,1500.0
67,-1927.4940686218774,-3953.3301904846358,-5000.0,-5000.0,2364.1313325052615,744.8172724573615,3981.0895952081532,2024.4525606229636,1048.3662586491919,1759.4886432975209,-2023.3814894529642,-1533.8207834751784,-4084.284547670075,-3180.0896082844038,-2353.290593632427,-1604.7118205647175,-1046.5172706670987,-397.4098591481388,1500.0,1500.0,1500.0,1500.0,1500.0
68,-2052.8154711487873,-4232.80231726274,-5000.0,-4419.589553519198,2261.22562554017,1516.3547083097737,5000.0,1906.232541445088,-11.941520640561976,768.128052242987,-4303.574723181775,-3818.2817267063765,-4235.696241612185,-3460.9869354277325,-2622.227481695605,-1768.781964636204,-1226.4784630185159,-496.85665119795704,1500.0,1500.0,1500.0,1500.0,1500.0
69,-2122.0122970635816,-4387.114220216023,-5000.0,-4294.597683554689,2386.34602000818,4426.287756658357,2090.245894334586,-1323.5897531281175,1058.2546841725184,1855.4488077535711,2447.1732874529293,2925.066960086016,5000.0,3399.503268640906,-2546.0167365426505,-1744.6459991143765,-1213.850651459251,-552.522988383219,1500.0,1500.0,1500.0,1500.0,1500.0
70,-2086.8991349981034,-4308.810356051748,-5000.0,-5000.0,-3486.4029764986303,-1445.2545933704218,2090.4414144682864,-1383.879994438706,1041.4681786307124,1752.5905632790414,2425.620852688319,419.3984629134493,-3864.840110653531,-3036.0785520880563,-2198.19892369425,-1412.8921234714726,-969.260256208082,-443.6991063893829,1500.0,1500.0,1500.0,1500.0,1500.0
71,-1979.4192770151453,-4069.12564226269,-5000.0,-3671.245264794201,2222.194657343656,33.72491043377704,-961.6356337677735,825.9421948772538,-564.5685577291579,-5000.0,-4331.64993846252,-3813.944090616689,-1794.995061134342,-3170.683743889739,-2299.448737662892,-1517.5856862512223,-1030.0843285142669,-387.7345058425135,1500.0,1500.0,1500.0,1500.0,1500.0
72,-1887.2922616166873,-3863.6784288739177,-5000.0,-4207.786527841339,-1517.9875835359271,476.2703861506375,402.3146277508199,2424.691245763975,4824.228630896907,1340.8137827581813,1925.673761875917,-1933.3692530847434,-4046.5166624322214,-3075.422820777713,-2305.92967498757,-1518.9581221161816,-981.5584402882055,-382.93452976256503,1500.0,1500.0,1500.0,1500.0,1500.0
