a_like,b_like
5.809911091807242300e+00,5.676688679925473657e+00
5.682653905828911611e+00,5.943506794421107742e+00
5.337674380328413015e+00,5.843940466161797964e+00
5.214512442300658357e+00,5.962485884208376774e+00
5.290929707954053818e+00,5.643368764598156062e+00
5.389588288710578823e+00,5.414571152607165594e+00
5.108739815832685771e+00,5.524437137076925630e+00
5.318516399898738811e+00,5.652167134711177710e+00
5.391016344395666238e+00,5.896663097162355704e+00
5.246503452402175860e+00,6.029087948105006589e+00
5.850927211669699979e+00,5.180870534535959138e+00
5.688694702673850578e+00,5.186401989977678539e+00
5.298210733262798122e+00,5.948180197531377722e+00
5.503227302762774720e+00,5.199578288423313488e+00
5.310341278060760395e+00,5.317570534689130213e+00
5.718303352925453886e+00,5.435061541440011190e+00
5.370778192105640336e+00,5.868709677783696677e+00
6.069204223187949943e+00,5.094673371732484135e+00
5.573750543891560660e+00,5.608242363613157977e+00
4.824931219936661186e+00,5.502272082310604162e+00
5.747422526993900327e+00,5.500127379281414264e+00
6.110343376593949216e+00,5.446161594439097087e+00
5.581506734299137129e+00,5.745216067190096254e+00
5.780210544476114265e+00,5.542953951583045047e+00
5.326961625165393954e+00,5.785418136085661800e+00
5.514514292398358997e+00,5.617354608313046782e+00
5.683437416625826799e+00,5.315227119202182493e+00
5.617476353204073014e+00,5.555964192473550334e+00
5.126489782437001708e+00,5.547328611823008515e+00
5.794640460315057418e+00,5.751949107663398841e+00
5.544869349876813125e+00,5.223401898780434927e+00
5.617234764268885350e+00,5.710084188215138745e+00
5.739548744052975771e+00,5.754084139928819397e+00
5.474539400107478748e+00,5.846610738983176070e+00
5.788153943293412595e+00,6.040670471822790155e+00
5.230806918658673865e+00,5.131441373728974575e+00
5.095316443903463721e+00,5.777911719496801268e+00
5.715344868046637217e+00,5.770907524894155038e+00
5.659901929128162479e+00,4.969311267434992629e+00
5.735996416283018817e+00,5.048775345855657903e+00
5.512240256348193590e+00,5.704281989560583632e+00
5.224687849599507494e+00,5.334538007923174341e+00
6.031594369266588984e+00,5.047424020904802688e+00
5.699547853423516663e+00,5.502315701662853442e+00
5.390848121203643650e+00,5.692318687761422247e+00
5.393374317017243236e+00,5.720253985166542599e+00
5.287622984464987574e+00,5.510320306716804950e+00
