Country,ISO3,centroid_lon,centroid_lat,tc_basin,Mang_Ha_2020,Risk_Pop_2020,Risk_Stock_2020,Ben_Pop_2020,Ben_Stock_2020,mangrove_area_ha_2020,service_population_benefit_2020,service_property_benefit_2020,tc_baseline_exposure,ssp245_slr_mean_mm_yr,ssp245_tc_regime_multiplier,ssp245_tc_shifted_exposure,ssp245_risk_index,ssp245_mangrove_area_risk_ha_equiv,ssp245_service_population_exposure,ssp245_service_property_exposure,ssp245_priority_score,ssp370_slr_mean_mm_yr,ssp370_tc_regime_multiplier,ssp370_tc_shifted_exposure,ssp370_risk_index,ssp370_mangrove_area_risk_ha_equiv,ssp370_service_population_exposure,ssp370_service_property_exposure,ssp370_priority_score,ssp585_slr_mean_mm_yr,ssp585_tc_regime_multiplier,ssp585_tc_shifted_exposure,ssp585_risk_index,ssp585_mangrove_area_risk_ha_equiv,ssp585_service_population_exposure,ssp585_service_property_exposure,ssp585_priority_score
Belize,BLZ,-88.49765,17.18987650000011,atlantic_east_pacific,68012,3252,14005376.0,5925.0,20171289.0,68012,5925.0,20171289.0,4.338570768328923,10.066666666666668,1.1,4.772427845161816,0.6736251407137938,45814.59307022654,3991.228958729228,13587887.3910036,0.2749703257510384,11.200000000000001,1.18,5.119513506628129,0.6762839350670452,45995.42299177988,4006.982315272243,13641518.700294603,0.276033843492339,12.333333333333334,1.25,5.423213460411153,0.6869728958204284,46722.40059053898,4070.3144077360384,13857128.816760754,0.2803094277936923
Bermuda,BMU,-64.75737000000001,32.32138400000005,atlantic_east_pacific,21,0,0.0,0.0,0.0,21,0.0,0.0,0.11762659364360062,5.866666666666667,1.1,0.1293892530079607,0.2960980237967776,6.218058499732329,0.0,0.0,0.11844058256465212,6.722222222222223,1.18,0.13879938049944873,0.2957950815388456,6.211696712315757,0.0,0.0,0.11831940566147933,7.377777777777777,1.25,0.14703324205450077,0.29092142774398433,6.109349982623671,0.0,0.0,0.11636994414353483
Brazil,BRA,-51.92527949999996,-14.235003500000005,atlantic_east_pacific,1138408,348868,2319344780.0,265511.0,1002668479.0,1138408,265511.0,1002668479.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.11888402346113132,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.11888402346113132,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.11888402346113132
Barbados,BRB,-59.543198000000004,13.193887499999999,atlantic_east_pacific,11,0,0.0,0.0,0.0,11,0.0,0.0,2.1987701861043036,6.544444444444444,1.1,2.418647204714734,0.4130477094487165,4.543524803935881,0.0,0.0,0.16521977030245716,7.5,1.18,2.5945488196030784,0.42158027004127263,4.637382970453999,0.0,0.0,0.16863279453947963,8.5,1.25,2.7484627326303794,0.4351209343971523,4.786330278368675,0.0,0.0,0.1740490602818315
Brunei Darussalam,BRN,114.72766899999999,4.535276499999981,west_pacific,18707,4636,56058429.0,1602.0,9281843.0,18707,1602.0,9281843.0,0.22132316437974728,6.277777777777779,0.98,0.21689670109215234,0.3197010481060321,5980.647506919543,512.1610790658634,2967414.9354556375,0.12949507075123554,7.544444444444444,0.95,0.2102570061607599,0.3340196159629705,6248.504955819289,535.0994247726787,3100317.6342885857,0.13522249789401086,8.666666666666668,0.92,0.2036173112293675,0.34294243997239837,6415.424224563656,549.3937888357822,3183137.8858607262,0.13879162749778204
China,CHN,104.19539650000004,35.86166000000006,other,24926,16077932,124137014007.0,764842.0,7632534942.0,24926,764842.0,7632534942.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24335437447093733,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.24335437447093733,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.24335437447093733
Côte d'Ivoire,CIV,-5.547080999999935,7.539988999999991,other,6453,82261,98886688.0,32548.0,12765872.0,6453,32548.0,12765872.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002549591754924093,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.002549591754924093,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.002549591754924093
Cameroon,CMR,12.35472200000001,7.369722000000081,other,211303,9922,13652327.0,159861.0,88430743.0,211303,159861.0,88430743.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02552749609002282,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.02552749609002282,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.02552749609002282
"Congo, The Democratic Republic of the",COD,21.758664000000067,-4.0383339999999635,indian,36328,0,0.0,0.004043,5.0,36328,0.004043,5.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0024939323462406775,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0024939323462406775,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0024939323462406775
Congo,COG,14.892134500000001,-0.6531944999999999,other,2500,1001,9054302.0,1510.0,2081811.0,2500,1510.0,2081811.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0003083277630469477,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0003083277630469477,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0003083277630469477
Colombia,COL,-74.29733249999998,4.570868500000046,atlantic_east_pacific,289936,71822,242069107.0,15055.0,85285326.0,289936,15055.0,85285326.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.022959184414830677,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.022959184414830677,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.022959184414830677
Comoros,COM,43.872219,-11.875000999999969,indian,97,0,0.0,0.0,0.0,97,0.0,0.0,5.2596602323316235,6.988888888888889,1.03,5.417450039301572,0.544221860740218,52.78952049180115,0.0,0.0,0.21769533491660445,8.344444444444445,1.07,5.627836448594837,0.5719221687389506,55.47645036767821,0.0,0.0,0.22877545811609748,9.444444444444445,1.12,5.890819460211419,0.5934104393538076,57.560812617319336,0.0,0.0,0.23737076636204024
Costa Rica,CRI,-84.23639649999993,9.619639500000005,atlantic_east_pacific,37034,4394,36007873.0,2729.0,16020972.0,37034,2729.0,16020972.0,0.7072753702229025,6.922222222222223,1.1,0.7780029072451928,0.3721234175590844,13781.218645883131,1015.5248065187413,5961778.853258399,0.1519601602840625,8.222222222222223,1.18,0.8345849368630249,0.38674924041050074,14322.871369362485,1055.4386770802564,6196098.751637901,0.15781048942462905,9.244444444444445,1.25,0.8840942127786282,0.3916501051227821,14504.369993117112,1068.8131368800723,6274615.367969149,0.1597708353095416
Cayman Islands,CYM,-80.56695549999998,19.513469500000014,atlantic_east_pacific,4432,0,0.0,0.0,0.0,4432,0.0,0.0,5.147257823441133,7.2,1.1,5.661983605785246,0.5636038591108601,2497.892303579332,0.0,0.0,0.22574574197259195,8.211111111111112,1.18,6.073764231660537,0.5828940396870761,2583.386383893121,0.0,0.0,0.23346181420307835,9.311111111111112,1.25,6.434072279301416,0.6093087752765076,2700.4564920254816,0.0,0.0,0.24402770843885097
Djibouti,DJI,42.590275000000005,11.825137999999999,indian,779,4169,910603.0,6547.0,1037285.0,779,6547.0,1037285.0,0.04178898838038332,5.977777777777778,1.03,0.04304265803179482,0.298475422194503,232.51235388951784,1954.1185891074113,309604.07831102505,0.11982722432209399,7.300000000000001,1.07,0.044714217567010155,0.3172400732105628,247.13001703102842,2076.9707593095545,329068.36934021866,0.12733308472851793,8.577777777777778,1.12,0.04680366698602932,0.3334289285073325,259.74113530721206,2182.959194937506,345860.8261067284,0.1338086268472258
Dominica,DMA,-61.3709755,15.414999,atlantic_east_pacific,1,0,0.0,0.0,0.0,1,0.0,0.0,1.6481697975452385,5.666666666666667,1.1,1.8129867772997625,0.3474150140958357,0.3474150140958357,0.0,0.0,0.13896600563833428,6.622222222222224,1.18,1.9448403611033813,0.3592525875044833,0.3592525875044833,0.0,0.0,0.14370103500179332,7.633333333333333,1.25,2.060212246931548,0.3749436303877326,0.3749436303877326,0.0,0.0,0.14997745215509303
Dominican Republic,DOM,-70.16265099999995,18.735693000000026,atlantic_east_pacific,19270,42807,211021863.0,6554.0,15004277.0,19270,6554.0,15004277.0,1.345471477960535,6.722222222222223,1.1,1.4800186257565886,0.38772959468712764,7471.54928962095,2541.1797635794346,5817602.239783391,0.15716470973982197,7.644444444444445,1.18,1.5876563439934313,0.3900358399424544,7515.990635691096,2556.294894982846,5852205.78242425,0.15808720784195268,8.711111111111112,1.25,1.6818393474506688,0.40194700410755974,7745.518769152676,2634.3606649209464,6030924.188949964,0.16285167350799482
Ecuador,ECU,-83.43998750000003,-1.785677000000021,atlantic_east_pacific,162785,30509,143295722.0,16398.0,145772481.0,162785,16398.0,145772481.0,0.0,6.133333333333334,1.1,0.0,0.304635761589404,49590.132450331126,4995.417218543046,44407510.76821192,0.13774238497515656,7.622222222222224,1.18,0.0,0.32949087415946204,53636.17195004803,5402.991354466859,48030702.19308357,0.14768443000317977,8.488888888888889,1.25,0.0,0.32817869415807555,53422.568728522325,5381.474226804123,47839422.45876288,0.14715955800262517
Egypt,EGY,30.802497999999986,26.820553000000046,indian,266,19801,23473652.0,4174.0,2127151.0,266,4174.0,2127151.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0003011929361734987,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0003011929361734987,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0003011929361734987
Fiji,FJI,1.4210854715202004e-14,-16.578192499999943,other,48811,5564,27088891.0,3911.0,18594698.0,48811,3911.0,18594698.0,0.0,7.011111111111112,1.0,0.0,0.34823399558498896,16997.649558498895,1361.9431567328918,6475305.981236204,0.143344706662855,8.488888888888889,1.02,0.0,0.366954851104707,17911.433237271853,1435.160422670509,6823414.635926993,0.15083304887074223,9.455555555555556,1.03,0.0,0.3655498281786941,17842.85266323024,1429.6653780068725,6797288.658934707,0.15027103970033706
Gabon,GAB,11.609443500000111,-0.8036894999999902,other,194197,2162,5069257.0,1557.0,3320704.0,194197,1557.0,3320704.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013503789626142935,1.8111111111111111,1.02,0.0,0.07829010566762727,15203.703650336212,121.89769452449566,259978.26705091255,0.04481983189319384,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.013503789626142935
Ghana,GHA,-1.0231945,7.946527,other,18391,59157,249967863.0,18397.0,109352669.0,18391,18397.0,109352669.0,0.0,6.311111111111112,1.0,0.0,0.31346578366445915,5764.949227373068,5766.830022075055,34278320.08388521,0.13051592252262534,7.611111111111112,1.02,0.0,0.3290105667627281,6050.833333333333,6052.807396733909,35978183.60470701,0.13673383576193293,8.744444444444445,1.03,0.0,0.3380584192439862,6217.232388316151,6219.260738831615,36967590.42225085,0.14035297675443617
Guinea,GIN,-11.363824,9.9381945,other,253417,7795,9351624.0,21210.0,30338541.0,253417,21210.0,30338541.0,0.0,6.300000000000001,1.0,0.0,0.3129139072847682,79297.7036423841,6636.903973509933,9493351.40562914,0.14451294993132838,7.311111111111112,1.02,0.0,0.3160422670509126,80090.48318924112,6703.256484149856,9588261.276657062,0.14576429383778614,8.477777777777778,1.03,0.0,0.32774914089347074,83057.20403780068,6951.559278350514,9943430.748711338,0.15044704337480938
Gambia,GMB,-15.31014,13.443182,atlantic_east_pacific,74425,2784,1684971.0,1687.0,1323843.0,74425,1687.0,1323843.0,0.023370930617830916,6.155555555555556,1.1,0.02570802367961401,0.3066747949593395,22824.271614848843,517.3603790964057,405989.2805833569,0.12790583779890113,7.2666666666666675,1.18,0.02757769812904048,0.3151560216726318,23455.48691298562,531.6682085617298,417217.09319916187,0.13129832848421805,8.377777777777778,1.25,0.029213663272288644,0.32501529466215423,24189.26330523083,548.3008020950542,430269.22273143026,0.13524203768002702
Guinea-Bissau,GNB,-15.180413499999986,11.803748999999982,atlantic_east_pacific,297832,2443,1774430.0,2711.0,1585206.0,297832,2711.0,1585206.0,0.041694157900268924,6.222222222222222,1.1,0.04586357369029582,0.31071932995120577,92542.15947802752,842.3601034977188,492554.1461546311,0.14492365772423052,7.311111111111112,1.18,0.049199106322317325,0.31788869737607117,94677.42651691003,861.7962585865289,503919.07041273225,0.14779140469417665,8.433333333333334,1.25,0.052117697375336156,0.32805067360801193,97703.9882220214,889.3453761513204,520027.8961074622,0.15185619518695295
Equatorial Guinea,GNQ,8.48458249999996,1.1419439999999668,other,33795,3803,8258813.0,1290.0,13360149.0,33795,1290.0,13360149.0,0.0,6.933333333333334,1.0,0.0,0.3443708609271523,11638.013245033111,444.2384105960265,4600846.013245033,0.14048870068576969,8.455555555555556,1.02,0.0,0.36551392891450524,12352.543227665705,471.51296829971176,4883320.551873198,0.14894592788071087,9.644444444444446,1.03,0.0,0.37285223367697595,12600.541237113403,480.97938144329896,4981361.396907217,0.15188124978569914
Grenada,GRD,-61.60417149999995,12.26277600000003,atlantic_east_pacific,209,1594,36869182.0,623.0,18227371.0,209,623.0,18227371.0,1.964731705811941,6.811111111111112,1.1,2.161204876393135,0.4169267632462137,87.13769351845866,259.74537350239115,7599478.793517902,0.16729652834136707,7.911111111111111,1.18,2.3183834128580902,0.42898722412237467,89.6583298415763,267.2590406282394,7819309.288338672,0.17212071269183146,8.966666666666667,1.25,2.455914632264926,0.4418248941775703,92.3414028831122,275.2569090726263,8053306.263210314,0.17725578071390974
Guatemala,GTM,-90.23075850000001,15.783471,atlantic_east_pacific,29554,1684,7753412.0,996.0,4470789.0,29554,996.0,4470789.0,0.6233235064280547,8.78888888888889,1.1,0.6856558570708602,0.4614789820873902,13638.54983661073,459.63306615904065,2063175.1568475012,0.1867918540337172,10.011111111111113,1.18,0.7355217375851045,0.46036091385001693,13605.5064479234,458.5194701946169,2058176.5096706033,0.18634462673876792,11.011111111111113,1.25,0.7791543830350683,0.455882283292553,13473.14500042811,454.0587541593828,2038153.4974392296,0.18455317451578232
Guyana,GUY,-58.93017949999998,4.860415500000045,atlantic_east_pacific,38703,56761,34969608.0,33613.0,14078963.0,38703,33613.0,14078963.0,0.005832971840033965,6.522222222222223,1.1,0.006416269024037362,0.3241848644134696,12546.926807394515,10896.825847529954,4564186.7112372555,0.1345299676951795,7.633333333333333,1.18,0.006882906771240079,0.3302294953496295,12780.87215851671,11100.004027187095,4649288.8465361055,0.13694782006964346,8.8,1.25,0.007291214800042457,0.340488746021784,13177.935937281105,11444.848220030224,4793728.457157094,0.14105152033850524
Hong Kong,HKG,114.10651750000005,22.372077623448575,west_pacific,546,57102,243074683.0,18509.0,54590872.0,546,18509.0,54590872.0,2.0634785589986313,7.344444444444445,0.98,2.0222089878186584,0.4383600362635264,239.3445797998854,8113.60591120161,23930456.629577525,0.17781966437094546,8.577777777777778,0.95,1.9603046310486996,0.44436705956638717,242.6244145232474,8224.78990551426,24258385.269805018,0.18022247369208977,9.733333333333334,0.92,1.898400274278741,0.4498584090816234,245.62269135856636,8326.429293691768,24558162.82829854,0.18241901349818426
Honduras,HND,-86.24190499999995,15.19999900000002,atlantic_east_pacific,85226,6683,22392815.0,2721.0,8215556.0,85226,2721.0,8215556.0,2.6694154229822744,8.622222222222224,1.1,2.936356965280502,0.5350833308573438,45603.011955647984,1455.9617432628327,4396007.069325036,0.22024765141991334,9.8,1.18,3.1499101991190837,0.5418464767567553,46179.407828071235,1474.3642632551314,4451570.073197822,0.22295290977967797,10.933333333333334,1.25,3.336769278727843,0.5519920662901356,47044.0758416431,1501.970412375459,4534921.732162322,0.22701114559303007
Haiti,HTI,-73.04834,19.057499000000007,atlantic_east_pacific,18837,29641,75816106.0,32354.0,88657453.0,18837,32354.0,88657453.0,1.6543857723702922,7.0777777777777775,1.1,1.8198243496073214,0.4177520712370798,7869.195765892872,13515.95051280448,37036834.62135405,0.17247868131280297,8.066666666666668,1.18,1.9521752113969446,0.42196782420224455,7948.6079044976805,13652.34698423942,37410592.54172276,0.17416498249886886,9.166666666666668,1.25,2.067982215462865,0.43452309476446604,8185.111536078247,14058.560208009534,38523710.85149519,0.17918709072375746
Indonesia,IDN,118.00752250000005,-2.5080560000000105,west_pacific,2913232,783119,2608833271.0,489596.0,1550664018.0,2913232,489596.0,1550664018.0,0.14426219854894282,6.388888888888889,0.98,0.14137695457796395,0.32247233681466153,939436.7307232501,157881.16621511104,500046249.4988724,0.39627888230070096,7.588888888888889,0.95,0.13704908862149567,0.33319337046162606,970669.5890166638,163130.14140453027,516670970.6109876,0.4005672957594867,8.844444444444445,0.92,0.1327212226650274,0.3470678171177953,1011089.070997709,169923.0149896041,538185575.8103696,0.40611707442195444
India,IND,82.75998700000002,21.12582900000001,indian,492571,1210902,1698438651.0,1144050.0,1587476843.0,492571,1144050.0,1587476843.0,0.005341447241528779,5.122222222222223,1.03,0.0055016906587746425,0.25461516740359225,125416.04762315484,291292.4822680797,404195682.1297711,0.23954964577369678,6.222222222222222,1.07,0.005715348548435794,0.26918663779230306,132593.53136399252,307962.9729662843,427327553.94030976,0.24537823392918112,7.477777777777778,1.12,0.005982420910512233,0.2893211871248299,142511.22646326458,330997.9041301616,459290684.74993724,0.25343205366219185
"Iran, Islamic Republic of",IRN,53.68804550000007,32.427907499999975,indian,10286,60448,331228543.0,2788.0,26222184.0,10286,2788.0,26222184.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0015450026035956636,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0015450026035956636,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0015450026035956636
Jamaica,JAM,-77.297508,18.109581,atlantic_east_pacific,9767,9981,163076058.0,2804.0,40149921.0,9767,2804.0,40149921.0,4.136832208966277,6.788888888888889,1.1,4.550515429862905,0.5027482390108631,4910.3420504191,1409.70606218646,20185302.07917527,0.20297449586014,7.855555555555556,1.18,4.881462006580207,0.5227773945695088,5105.966812760392,1465.8678143729026,20989471.092551608,0.21098615808359827,8.977777777777778,1.25,5.171040261207846,0.5474752033136557,5347.190310764476,1535.1204700914907,21981086.162502214,0.22086528158125704
Japan,JPN,138.4505235000001,34.868607000000054,west_pacific,1016,33178,1273881731.0,2485.0,392369031.0,1016,2485.0,392369031.0,0.11967091280639183,9.933333333333334,0.98,0.117277494550264,0.4976441422920961,505.6064485687696,1236.6456935958588,195260149.89397585,0.2095441260117084,11.566666666666668,0.95,0.11368736716607224,0.5042666588483875,512.3349253899617,1253.102647238243,197858620.29794937,0.21219313263422498,12.933333333333335,0.92,0.11009723978188049,0.5042666588483875,512.3349253899617,1253.102647238243,197858620.29794937,0.21219313263422498
Kenya,KEN,37.90619300000009,-0.023559499999976197,indian,56260,15358,16215720.0,34183.0,28889528.0,56260,34183.0,28889528.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.00648047532694403,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.00648047532694403,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.00648047532694403
Cambodia,KHM,104.99096300000011,12.565678499999962,west_pacific,69351,92456,115114355.0,71430.0,109160155.0,69351,71430.0,109160155.0,0.0778063538551395,6.044444444444444,0.98,0.07625022677803671,0.3029948011574222,21012.99245506839,21642.91864667467,33074959.45853839,0.13270848430787488,7.177777777777777,0.95,0.07391603616238251,0.3130526288956515,21710.512866542325,22361.349282016385,34172873.493406795,0.13673161540316658,8.411111111111111,0.92,0.07158184554672833,0.3279458719113878,22743.374162926655,23425.17363063043,35798622.20945724,0.1426889126094611
Saint Kitts and Nevis,KNA,-62.69903199999999,17.251247000000006,atlantic_east_pacific,35,0,0.0,0.0,0.0,35,0.0,0.0,1.4827841261412484,5.844444444444445,1.1,1.6310625387553734,0.3496264716705305,12.236926508468567,0.0,0.0,0.13985292284631207,6.822222222222223,1.18,1.749685268846673,0.36057399816893126,12.620089935912594,0.0,0.0,0.14423193344567237,7.911111111111111,1.25,1.8534801576765605,0.3776708597173376,13.218480090106816,0.0,0.0,0.1510706780650349
Liberia,LBR,-9.429499,6.4280550000000005,other,19726,11220,7794388.0,5823.0,5240208.0,19726,5823.0,5240208.0,0.0,6.433333333333334,1.0,0.0,0.31953642384105957,6303.175496688741,1860.6605960264899,1674437.3245033112,0.12962309232638902,7.566666666666667,1.02,0.0,0.32708933717579247,6452.1642651296825,1904.6412103746395,1714016.1613832852,0.13264425766028218,8.744444444444445,1.03,0.0,0.3380584192439862,6668.540378006872,1968.5141752577317,1771496.4329896905,0.13703189048755968
Saint Lucia,LCA,-60.978893,13.909444,atlantic_east_pacific,162,1108,24666533.0,1933.0,31297014.0,162,1933.0,31297014.0,2.018350598090823,6.111111111111112,1.1,2.2201856578999055,0.3843043242573594,62.25730052969222,742.8602587894757,12027577.816543117,0.15465812330544107,7.111111111111112,1.18,2.381653705747171,0.3967796100438389,64.2782968271019,766.9749862147405,12418017.010456566,0.15964823762003288,8.077777777777778,1.25,2.5229382476135287,0.41005803601442503,66.42940183433686,792.6421836158836,12833592.093955964,0.16495960800826734
Sri Lanka,LKA,80.77179750000002,7.873054000000053,indian,18119,45376,164516359.0,3985.0,18904169.0,18119,3985.0,18904169.0,0.15543881140983937,6.177777777777778,1.03,0.16010197575213456,0.3126679184115293,5665.2300136984995,1245.9816548699444,5910727.170529761,0.12702333781573077,7.5,1.07,0.16631952820852813,0.33044942366580793,5987.413107400774,1316.8409533082447,6246871.750931033,0.13413593991744222,8.822222222222223,1.12,0.1740914687790201,0.3478119544754618,6302.004803140892,1386.0306385847152,6575095.967624436,0.14108095224130376
Macao,MAC,113.543873,22.1987455,west_pacific,122,0,0.0,0.0,0.0,122,0.0,0.0,1.972890116093759,5.644444444444445,0.98,1.9334323137718838,0.35069317634843683,42.78456751450929,0.0,0.0,0.14028557746731832,6.888888888888889,0.95,1.874245610289071,0.36813056144045864,44.91192849573596,0.0,0.0,0.14726053150412702,8.044444444444444,0.92,1.8150589068062584,0.38133653903931775,46.52305776279677,0.0,0.0,0.1525429225436707
