model_id,validation_loss,fold,seed,batch_size,n_iters,pc1,pc2,pc3,centroid_distance,loss_rank,centroid_loss_spearman_r,centroid_loss_spearman_p
016,5.289695978164673,1,0,4,250000,-21.438305959262212,8.762620931391012,-2.978275005513858,36.42177284332243,17.0,0.1896278511404562,0.18718221890648906
017,5.291881955332226,1,0,4,250000,5.963005458160717,5.178695106238411,2.1883303087015626,22.048959644688605,18.0,0.1896278511404562,0.18718221890648906
018,5.292151803771655,1,0,4,250000,4.211518236079039,3.564038930032387,-2.64308261360556,24.07055441016247,19.0,0.1896278511404562,0.18718221890648906
019,5.29551562666893,1,0,4,250000,1.2613978021807026,3.727209473390046,0.17365773267779716,24.570898510509394,20.0,0.1896278511404562,0.18718221890648906
020,5.295636506544219,1,0,4,250000,6.1514042843485095,5.790012687752781,0.01843114674852046,22.012703441034255,21.0,0.1896278511404562,0.18718221890648906
021,5.29688036441803,1,0,4,250000,-17.706492698017954,5.8578097052075755,20.11508506708921,37.16332949591827,22.0,0.1896278511404562,0.18718221890648906
022,5.298010347617997,1,0,4,250000,-1.780903726949556,-0.7383488288249082,-2.565390922969852,27.531154433693946,23.0,0.1896278511404562,0.18718221890648906
023,5.298870379726092,1,0,4,250000,-1.5133311346220273,-0.7305871252914674,2.445764057552343,26.07444672553873,24.0,0.1896278511404562,0.18718221890648906
024,5.299407965607113,1,0,4,250000,2.7912926563377884,2.7037723179665285,0.11796096204431979,25.903587766936575,25.0,0.1896278511404562,0.18718221890648906
025,5.300875248180495,1,0,4,250000,3.5064785016497564,2.122401189862888,-4.266075732751447,26.45742996951692,26.0,0.1896278511404562,0.18718221890648906
026,5.303517358170615,1,0,4,250000,-11.864978975871113,-4.6594552463758925,-18.7127087209911,35.01431089377653,27.0,0.1896278511404562,0.18718221890648906
027,5.306977753837903,1,0,4,250000,7.141024304391967,3.3485722311246278,1.7128111345126351,22.441495365900902,28.0,0.1896278511404562,0.18718221890648906
028,5.308157533407211,1,0,4,250000,3.0611195495402326,2.7490430205103262,-0.8259278079115328,24.864297323295737,29.0,0.1896278511404562,0.18718221890648906
029,5.318766688307126,1,0,4,250000,-12.090574929981702,0.2137208136836976,0.11173937323794755,29.80429264722505,30.0,0.1896278511404562,0.18718221890648906
030,5.3195354839166,1,0,4,250000,4.630851489173123,-2.127012266036536,3.54325344947259,24.26192490645288,31.0,0.1896278511404562,0.18718221890648906
031,5.3196239637004,1,0,4,250000,5.3362573947004375,0.06808094558144995,0.44628651170406014,22.74745202580255,32.0,0.1896278511404562,0.18718221890648906
032,5.3243887854946985,1,0,4,250000,4.693420455240843,-11.671498475064402,-5.5973453935001025,31.18941498446697,33.0,0.1896278511404562,0.18718221890648906
033,5.328959698478381,1,0,4,250000,0.6275974043314986,0.4273825569544992,-0.5115522657124355,27.04895487695596,34.0,0.1896278511404562,0.18718221890648906
034,5.330954548385408,1,0,4,250000,8.953248058708807,3.0459855050209566,-0.24149572870723546,22.05741351370345,35.0,0.1896278511404562,0.18718221890648906
035,5.33160486486223,1,0,4,250000,-6.140910183702813,4.230153119239928,-1.4578140672629822,31.103331562456475,36.0,0.1896278511404562,0.18718221890648906
036,5.332136740287145,1,0,4,250000,1.4943038296932942,8.728710935376116,-2.5021732582155516,27.08576131063185,37.0,0.1896278511404562,0.18718221890648906
037,5.332739220725165,1,0,4,250000,1.7857827440463203,0.7578658280141983,4.117637777885619,22.951483994303004,38.0,0.1896278511404562,0.18718221890648906
038,5.335818338725302,1,0,4,250000,2.4185383882028924,1.1989967159903703,-2.205022613251962,26.886283458906238,39.0,0.1896278511404562,0.18718221890648906
039,5.355444838603337,1,0,4,250000,-4.724207488722845,-12.66978394821261,-1.4904742218332705,30.22596391936431,40.0,0.1896278511404562,0.18718221890648906
040,5.359657613767518,1,0,4,250000,3.4236434517360466,-1.6227747802775063,-2.65670343138402,21.94082247623123,41.0,0.1896278511404562,0.18718221890648906
041,5.359666627314356,1,0,4,250000,1.6497373883601514,-4.91055596835738,-3.4493694533230324,26.360177404163135,42.0,0.1896278511404562,0.18718221890648906
042,5.366370586885346,1,0,4,250000,-8.292799301781395,-6.755374246304101,-0.8086828132829046,28.15873298409007,43.0,0.1896278511404562,0.18718221890648906
043,5.3715731253226595,1,0,4,250000,-0.06024817521615487,-1.3041671931223855,-1.7393307698743075,22.200659034833517,44.0,0.1896278511404562,0.18718221890648906
044,5.378605905506346,1,0,4,250000,-7.675440050407483,-18.962921340080825,11.811998665418214,34.33597337002493,45.0,0.1896278511404562,0.18718221890648906
045,5.383891855676969,1,0,4,250000,-2.205906448059985,-2.472088015565203,-6.480486333982507,26.233066880064758,46.0,0.1896278511404562,0.18718221890648906
046,5.417977909247081,1,0,4,250000,6.410273281551716,-17.63003210339656,3.8676832245749067,34.39641405125917,47.0,0.1896278511404562,0.18718221890648906
047,5.418262915478812,1,0,4,250000,7.513013511651827,-1.0323868325585794,4.465871612358306,25.068131022866933,48.0,0.1896278511404562,0.18718221890648906
048,5.427841342157787,1,0,4,250000,-0.22020354635546632,-9.566803097807343,2.545934571793057,28.845050493931275,49.0,0.1896278511404562,0.18718221890648906
049,5.677851685219341,1,0,4,250000,2.4062135758286542,-9.163740354858488,4.067993760168254,28.563439598736977,50.0,0.1896278511404562,0.18718221890648906
