cell_type,cluster,n_models,mean_validation_loss,std_validation_loss,min_validation_loss,max_validation_loss
Mi2,2,9,5.2828751622158805,0.06621064281841314,5.136557016107771,5.378605905506346
Mi2,3,13,5.304977033128087,0.06167510288582004,5.191043282548587,5.417977909247081
Mi2,4,8,5.372563697397709,0.12318948575149058,5.277487738264932,5.677851685219341
Mi3,0,22,5.314990863956586,0.05036023869010515,5.220126933521694,5.418262915478812
Mi3,1,19,5.322301020050606,0.09759925809956115,5.191043282548587,5.677851685219341
Mi3,2,3,5.341478550323733,0.01315596182418256,5.328959698478381,5.359657613767518
Mi3,3,6,5.272920453162105,0.06601256193091481,5.136557016107771,5.332739220725165
Mi4,0,38,5.300052996049499,0.05345168869754097,5.136557016107771,5.427841342157787
Mi4,1,12,5.359455242339108,0.10661982804615687,5.251272684997982,5.677851685219341
Mi9,0,26,5.32254091102598,0.08397308317193722,5.220126933521694,5.677851685219341
Mi9,1,24,5.305392211303115,0.06129000271145884,5.136557016107771,5.427841342157787
R1,0,23,5.319538683059135,0.03893608847904072,5.259884989923901,5.417977909247081
R1,1,13,5.339227745548272,0.11005365436302467,5.247156386574109,5.677851685219341
R1,2,14,5.2825804539616135,0.06657253798922515,5.136557016107771,5.418262915478812
R2,0,33,5.310411793515337,0.08608698201315698,5.136557016107771,5.677851685219341
R2,1,17,5.321875739526125,0.042790302403198366,5.260432350966665,5.417977909247081
R3,0,13,5.319194193451834,0.029199135480303576,5.259884989923901,5.366370586885346
R3,1,19,5.315132550764502,0.10589958854401164,5.136557016107771,5.677851685219341
R3,2,11,5.295593670973874,0.05278358585897463,5.191043282548587,5.383891855676969
R3,3,7,5.332414771119753,0.0476330407518799,5.283142609728707,5.418262915478812
R4,0,17,5.294355831796827,0.03582693484960489,5.220126933521694,5.355444838603337
R4,1,12,5.340913250766419,0.11714182898419645,5.191043282548587,5.677851685219341
R4,2,14,5.316357894549293,0.037539422032884254,5.269997964302699,5.383891855676969
R4,3,7,5.3130654406452935,0.08913582976350189,5.136557016107771,5.418262915478812
R5,0,16,5.306034877068466,0.06546541903541647,5.136557016107771,5.418262915478812
R5,1,22,5.304243642648663,0.031600286902157625,5.259884989923901,5.383891855676969
R5,2,12,5.343796548882016,0.12002257182081294,5.191043282548587,5.677851685219341
R6,0,17,5.303378293619437,0.036053388416403334,5.220126933521694,5.359657613767518
R6,1,15,5.304545205058874,0.04491770847102538,5.191043282548587,5.383891855676969
R6,2,7,5.324269936671333,0.056566966720401346,5.251272684997982,5.427841342157787
R6,3,11,5.338179830348853,0.13210872375805685,5.136557016107771,5.677851685219341
R7,0,14,5.3024771217079385,0.048814102881903285,5.191043282548587,5.383891855676969
R7,1,6,5.30121474933845,0.03500085786697014,5.247156386574109,5.355444838603337
R7,2,13,5.353743489736165,0.1057979038268724,5.259884989923901,5.677851685219341
R7,3,11,5.27948057501003,0.05942043228716495,5.136557016107771,5.3715731253226595
R7,4,6,5.333426144387986,0.047192830985378464,5.277487738264932,5.418262915478812
R8,0,9,5.295290112127493,0.04247252721395526,5.220126933521694,5.383891855676969
R8,1,12,5.3577545069985915,0.10323247972044787,5.277487738264932,5.677851685219341
R8,2,8,5.323770097560352,0.0487804348251912,5.271915788451831,5.427841342157787
R8,3,14,5.304120412539868,0.06687683969273435,5.136557016107771,5.417977909247081
R8,4,7,5.273852158396963,0.04116412209563478,5.191043282548587,5.328959698478381
T1,0,23,5.2987081287563695,0.06117334998634609,5.136557016107771,5.427841342157787
T1,1,12,5.327157064720436,0.04994472774896211,5.262506523066097,5.418262915478812
T1,2,15,5.327953667993899,0.10026246578211019,5.220126933521694,5.677851685219341
T2,0,9,5.362456451595566,0.12610898503424278,5.191043282548587,5.677851685219341
T2,1,14,5.318391472810791,0.05129159849504083,5.259884989923901,5.427841342157787
T2,2,13,5.297664534841847,0.03649909623084793,5.220126933521694,5.359666627314356
T2,3,14,5.294732080092506,0.0596528112027625,5.136557016107771,5.383891855676969
T2a,0,5,5.287576542960273,0.06417315122341853,5.191043282548587,5.383891855676969
T2a,1,17,5.315367258452121,0.04645950734178677,5.220126933521694,5.418262915478812
T2a,2,15,5.308757541135506,0.06360951224666861,5.136557016107771,5.427841342157787
T2a,3,13,5.329614425571555,0.10816160966059259,5.247156386574109,5.677851685219341
T3,0,32,5.315739946077681,0.08795058170982117,5.136557016107771,5.677851685219341
T3,1,18,5.311766582414693,0.04045028294157696,5.247156386574109,5.427841342157787
T4a,0,19,5.350526618765808,0.08484874977211668,5.281195715069771,5.677851685219341
T4a,1,23,5.283493568067965,0.05606030722247774,5.136557016107771,5.427841342157787
T4a,2,8,5.316889866979586,0.051571400216066154,5.251272684997982,5.417977909247081
T4b,0,11,5.324247770538235,0.05055632940611117,5.251272684997982,5.418262915478812
T4b,1,16,5.3132605013541045,0.0479104322638421,5.220126933521694,5.417977909247081
T4b,2,8,5.306374396094018,0.15224965605050647,5.136557016107771,5.677851685219341
T4b,3,15,5.3123725394407915,0.04100246444648152,5.262506523066097,5.427841342157787
T4c,0,12,5.357196428019691,0.10592165513853767,5.269997964302699,5.677851685219341
T4c,1,31,5.297368897171858,0.056368025189871405,5.136557016107771,5.427841342157787
T4c,2,7,5.31581197276948,0.043175999224203794,5.251272684997982,5.3715731253226595
T4d,0,13,5.345723686055241,0.053316144083563805,5.271915788451831,5.427841342157787
T4d,1,23,5.286838864502699,0.036140431822590836,5.191043282548587,5.366370586885346
T4d,2,9,5.316310231884321,0.0414372188818556,5.251272684997982,5.3715731253226595
T4d,3,5,5.355396573742231,0.17666515777811245,5.136557016107771,5.677851685219341
T5a,0,10,5.3061779797077175,0.060329305007085714,5.247156386574109,5.427841342157787
T5a,1,11,5.304394568156715,0.06353097442511024,5.136557016107771,5.378605905506346
T5a,2,6,5.378117588107233,0.1382530361274321,5.281195715069771,5.677851685219341
T5a,3,23,5.305941355761122,0.04841127372024703,5.191043282548587,5.418262915478812
T5b,0,12,5.2866933028455145,0.05436750185132229,5.136557016107771,5.378605905506346
T5b,1,24,5.331937187316793,0.09063247311841269,5.191043282548587,5.677851685219341
T5b,2,14,5.307761759157219,0.04419290158249778,5.220126933521694,5.417977909247081
T5c,0,10,5.322271277838284,0.049736709989668684,5.251272684997982,5.418262915478812
T5c,1,9,5.315053662216222,0.04844498076594831,5.259884989923901,5.417977909247081
T5c,2,7,5.288132094911167,0.07095836738128848,5.136557016107771,5.366370586885346
T5c,3,24,5.318348181468469,0.08902978555600655,5.191043282548587,5.677851685219341
T5d,0,5,5.315426101618343,0.04177129337528875,5.251272684997982,5.378605905506346
T5d,1,14,5.2838330484098845,0.03960371911438019,5.191043282548587,5.332739220725165
T5d,2,21,5.312614215744866,0.05990950420758298,5.136557016107771,5.427841342157787
T5d,3,10,5.3599785041477945,0.11712490293223232,5.270350093642871,5.677851685219341
Tm1,0,7,5.3312636379684735,0.04722028689448319,5.270350093642871,5.418262915478812
Tm1,1,30,5.322116126340848,0.08083231753320336,5.220126933521694,5.677851685219341
Tm1,2,13,5.287165192457346,0.06331879834739527,5.136557016107771,5.366370586885346
Tm16,0,5,5.314850990639792,0.031324434404468415,5.262506523066097,5.359666627314356
Tm16,1,6,5.3454925710404355,0.04619841653721996,5.283142609728707,5.427841342157787
Tm16,2,25,5.289657738142544,0.05256465271048096,5.136557016107771,5.418262915478812
Tm16,3,14,5.344773066067506,0.10567972035386236,5.247156386574109,5.677851685219341
Tm2,0,35,5.320146193059663,0.0762092478921164,5.220126933521694,5.677851685219341
Tm2,1,8,5.284751707274053,0.06571696885978563,5.136557016107771,5.355444838603337
Tm2,2,7,5.31890662038137,0.06655782610101055,5.191043282548587,5.417977909247081
Tm20,0,6,5.30089108645916,0.09165310254418926,5.136557016107771,5.417977909247081
Tm20,1,35,5.305981099747476,0.04848615438728555,5.191043282548587,5.427841342157787
Tm20,2,9,5.355643527559293,0.11813159725090192,5.259884989923901,5.677851685219341
Tm28,0,15,5.3525855826007,0.09687389544473583,5.251272684997982,5.677851685219341
Tm28,1,19,5.288510067682517,0.04109969196093876,5.191043282548587,5.378605905506346
Tm28,2,16,5.309062608310747,0.06578275925598592,5.136557016107771,5.427841342157787
Tm3,0,11,5.309428044792377,0.037259820293790234,5.271915788451831,5.418262915478812
Tm3,1,13,5.311053893122917,0.0326976231652641,5.259884989923901,5.3715731253226595
Tm3,2,26,5.318002602101391,0.09751512382168663,5.136557016107771,5.677851685219341
Tm30,-99999,1,5.269997964302699,0.0,5.269997964302699,5.269997964302699
Tm30,0,25,5.320758602817854,0.04918579068962142,5.251272684997982,5.427841342157787
Tm30,1,11,5.3104203107080075,0.026976122280092732,5.259884989923901,5.359657613767518
Tm30,2,13,5.308606946570242,0.12560174976548644,5.136557016107771,5.677851685219341
Tm4,0,11,5.284630187834153,0.06019362090549131,5.136557016107771,5.378605905506346
Tm4,1,13,5.321656230805266,0.05062800379706494,5.251272684997982,5.417977909247081
Tm4,2,12,5.336819438194787,0.11076565989278568,5.247156386574109,5.677851685219341
Tm4,3,14,5.311512888069191,0.05357023181000303,5.191043282548587,5.427841342157787
Tm5Y,0,14,5.355558115101997,0.10000838121633966,5.259884989923901,5.677851685219341
Tm5Y,1,9,5.299902277044308,0.027828718456159654,5.247156386574109,5.332136740287145
Tm5Y,2,13,5.293111657739704,0.06287818054496855,5.136557016107771,5.418262915478812
Tm5Y,3,14,5.302006507321956,0.05677248824503442,5.191043282548587,5.427841342157787
Tm5a,0,2,5.317344359225697,0.01847397949960472,5.298870379726092,5.335818338725302
Tm5a,1,15,5.342759358110251,0.10828963423566537,5.220126933521694,5.677851685219341
Tm5a,2,13,5.3036280664113855,0.04865821289677572,5.191043282548587,5.383891855676969
Tm5a,3,20,5.299611640224854,0.05091132766619452,5.136557016107771,5.378605905506346
Tm5b,0,9,5.304457800991742,0.05358599299113139,5.191043282548587,5.383891855676969
Tm5b,1,15,5.297392179899745,0.038020456984826194,5.220126933521694,5.359666627314356
Tm5b,2,11,5.321011811795861,0.12460322137843098,5.136557016107771,5.677851685219341
Tm5b,3,15,5.332222928051595,0.05679067129476994,5.247156386574109,5.427841342157787
Tm5c,0,34,5.315795627733071,0.07714766478893477,5.191043282548587,5.677851685219341
Tm5c,1,16,5.311151588439113,0.06826836770651322,5.136557016107771,5.427841342157787
Tm9,0,19,5.288609863460413,0.05422104837485757,5.136557016107771,5.359666627314356
Tm9,1,16,5.350877441983256,0.09834516024229116,5.247156386574109,5.677851685219341
Tm9,2,15,5.307856685364688,0.04617926590780044,5.251272684997982,5.417977909247081
TmY10,0,15,5.356619595046396,0.09642250140904009,5.251272684997982,5.677851685219341
TmY10,1,10,5.295327289071348,0.046163204118113324,5.247156386574109,5.418262915478812
TmY10,2,15,5.309075146472013,0.06113825177960389,5.136557016107771,5.427841342157787
TmY10,3,10,5.277678274446064,0.04005078312082237,5.191043282548587,5.332136740287145
TmY13,0,11,5.334030648975661,0.07046418478798183,5.136557016107771,5.427841342157787
TmY13,1,26,5.310611796493713,0.08677684477252448,5.191043282548587,5.677851685219341
TmY13,2,3,5.319648857469912,0.0712766403154696,5.251272684997982,5.417977909247081
TmY13,3,10,5.300628633797169,0.022200911580199066,5.269997964302699,5.335818338725302
TmY14,0,8,5.3272176749176445,0.045174914510837785,5.289695978164673,5.427841342157787
TmY14,1,14,5.3003371299968824,0.035310260491799514,5.247156386574109,5.378605905506346
TmY14,2,16,5.3409449699231315,0.11069142417105411,5.136557016107771,5.677851685219341
TmY14,3,12,5.286491334990219,0.04343300690591748,5.191043282548587,5.355444838603337
TmY15,0,24,5.307517539433859,0.04881623623199078,5.220126933521694,5.427841342157787
TmY15,1,26,5.320579069674523,0.09153434707815096,5.136557016107771,5.677851685219341
TmY18,0,14,5.332035307964635,0.11814171908655675,5.136557016107771,5.677851685219341
TmY18,1,29,5.311903770913109,0.04290501403543472,5.220126933521694,5.418262915478812
TmY18,2,7,5.288824727137883,0.05245648987067261,5.191043282548587,5.359666627314356
TmY3,0,13,5.331136650891385,0.05119050118010217,5.220126933521694,5.427841342157787
TmY3,1,22,5.29784682347919,0.040668207465499054,5.191043282548587,5.418262915478812
TmY3,2,9,5.328278376180449,0.05047835499229655,5.251272684997982,5.417977909247081
TmY3,3,6,5.31726079903267,0.16947335675996425,5.136557016107771,5.677851685219341
TmY4,0,10,5.3812137436535625,0.10659182320929188,5.28523435195287,5.677851685219341
TmY4,1,20,5.2910018329819035,0.047787369459963695,5.191043282548587,5.417977909247081
TmY4,2,15,5.2957347466989795,0.05602638886576277,5.136557016107771,5.427841342157787
TmY4,3,5,5.329456292258369,0.04204603699075685,5.251272684997982,5.3715731253226595
TmY5a,0,8,5.281516280646125,0.07927665955174802,5.136557016107771,5.427841342157787
TmY5a,1,16,5.352062477419773,0.09583853826635147,5.251272684997982,5.677851685219341
TmY5a,2,26,5.301167187464033,0.04115004414448189,5.191043282548587,5.418262915478812
TmY9,0,33,5.310655595377239,0.05195861441245485,5.191043282548587,5.427841342157787
TmY9,1,17,5.321402477088317,0.10481855594858058,5.136557016107771,5.677851685219341
