path,connectome_type,connectome_file,connectome_extent,neuron_model,activation,rest_init_mean,rest_init_std,tau_value,syn_sign_type,syn_strength_scale,dataset_type,dataset_tasks,dataset_dt,dataset_n_frames,decoder_type,decoder_kernel_size,decoder_const_weight,decoder_dropout,batch_size,n_iters,fold
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/010/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/011/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/012/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/013/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/014/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/015/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/016/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/017/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/018/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/019/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/020/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/021/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/022/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/023/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/024/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/025/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/026/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/027/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/028/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/029/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/030/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/031/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/032/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/033/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/034/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/035/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/036/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/037/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/038/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/039/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/040/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/041/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/042/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/043/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/044/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/045/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/046/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/047/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/048/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/049/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
