task_index,task_name,placeholder,annotator,score
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),momentum_creation_op,Yasaman,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_Fourier_Transformation,Haining,0
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_Fourier_Transformation,Will,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_Fourier_Transformation,Yasaman,0
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_variable,Haining,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_variable,Will,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_variable,Yasaman,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),entire_real|first_Brillouin_Zone,Haining,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),entire_real|first_Brillouin_Zone,Yasaman,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),second_nonint_symbol,Haining,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),second_nonint_symbol,Will,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),second_nonint_symbol,Yasaman,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_variables,Haining,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_variables,Will,2
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_variables,Yasaman,2
8,Particle-hole transformation,hole_op,Haining,2
8,Particle-hole transformation,hole_op,Will,2
8,Particle-hole transformation,hole_op,Yasaman,2
8,Particle-hole transformation,particle_op,Haining,2
8,Particle-hole transformation,particle_op,Will,2
8,Particle-hole transformation,particle_op,Yasaman,2
8,Particle-hole transformation,particle_creation_op,Haining,2
8,Particle-hole transformation,particle_creation_op,Will,2
8,Particle-hole transformation,particle_creation_op,Yasaman,2
8,Particle-hole transformation,hole_creation_op,Haining,2
8,Particle-hole transformation,hole_creation_op,Will,2
8,Particle-hole transformation,hole_creation_op,Yasaman,0
8,Particle-hole transformation,particle_annihilation_op,Haining,2
8,Particle-hole transformation,particle_annihilation_op,Will,2
8,Particle-hole transformation,particle_annihilation_op,Yasaman,2
8,Particle-hole transformation,hole_annihilation_op,Haining,2
8,Particle-hole transformation,hole_annihilation_op,Will,2
8,Particle-hole transformation,hole_annihilation_op,Yasaman,0
8,Particle-hole transformation,second_nonint_symbol,Haining,2
8,Particle-hole transformation,second_nonint_symbol,Will,2
8,Particle-hole transformation,second_nonint_symbol,Yasaman,2
8,Particle-hole transformation,definition_of_variables,Haining,2
8,Particle-hole transformation,definition_of_variables,Will,2
8,Particle-hole transformation,definition_of_variables,Yasaman,1
9,Simplify the Hamiltonian in the particle-hole basis,second_nonint_symbol,Haining,2
9,Simplify the Hamiltonian in the particle-hole basis,second_nonint_symbol,Will,2
9,Simplify the Hamiltonian in the particle-hole basis,second_nonint_symbol,Yasaman,2
9,Simplify the Hamiltonian in the particle-hole basis,hole_op,Haining,2
9,Simplify the Hamiltonian in the particle-hole basis,hole_op,Will,2
9,Simplify the Hamiltonian in the particle-hole basis,hole_op,Yasaman,2
9,Simplify the Hamiltonian in the particle-hole basis,index_1,Haining,2
9,Simplify the Hamiltonian in the particle-hole basis,index_1,Will,2
9,Simplify the Hamiltonian in the particle-hole basis,index_1,Yasaman,2
9,Simplify the Hamiltonian in the particle-hole basis,index_2,Haining,2
9,Simplify the Hamiltonian in the particle-hole basis,index_2,Will,2
9,Simplify the Hamiltonian in the particle-hole basis,index_2,Yasaman,2
9,Simplify the Hamiltonian in the particle-hole basis,op,Haining,2
9,Simplify the Hamiltonian in the particle-hole basis,op,Will,1
9,Simplify the Hamiltonian in the particle-hole basis,op,Yasaman,2
9,Simplify the Hamiltonian in the particle-hole basis,Ham_op,Haining,2
9,Simplify the Hamiltonian in the particle-hole basis,Ham_op,Will,2
9,Simplify the Hamiltonian in the particle-hole basis,Ham_op,Yasaman,2
9,Simplify the Hamiltonian in the particle-hole basis,definition_of_variables,Haining,1
9,Simplify the Hamiltonian in the particle-hole basis,definition_of_variables,Will,2
9,Simplify the Hamiltonian in the particle-hole basis,definition_of_variables,Yasaman,2
10,Construct interaction Hamiltonian (momentum space),second_int_symbol,Haining,2
10,Construct interaction Hamiltonian (momentum space),second_int_symbol,Will,2
10,Construct interaction Hamiltonian (momentum space),second_int_symbol,Yasaman,2
10,Construct interaction Hamiltonian (momentum space),index_of_operator,Haining,0
10,Construct interaction Hamiltonian (momentum space),index_of_operator,Will,0
10,Construct interaction Hamiltonian (momentum space),index_of_operator,Yasaman,0
10,Construct interaction Hamiltonian (momentum space),momentum,Haining,0
10,Construct interaction Hamiltonian (momentum space),momentum,Will,0
10,Construct interaction Hamiltonian (momentum space),momentum,Yasaman,0
10,Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",Haining,2
10,Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",Yasaman,2
10,Construct interaction Hamiltonian (momentum space),interaction,Haining,2
10,Construct interaction Hamiltonian (momentum space),interaction,Will,2
10,Construct interaction Hamiltonian (momentum space),interaction,Yasaman,2
10,Construct interaction Hamiltonian (momentum space),int_form,Haining,2
10,Construct interaction Hamiltonian (momentum space),int_form,Will,2
10,Construct interaction Hamiltonian (momentum space),int_form,Yasaman,2
10,Construct interaction Hamiltonian (momentum space),normalization_factor,Haining,2
10,Construct interaction Hamiltonian (momentum space),normalization_factor,Will,2
10,Construct interaction Hamiltonian (momentum space),normalization_factor,Yasaman,2
10,Construct interaction Hamiltonian (momentum space),op,Haining,2
10,Construct interaction Hamiltonian (momentum space),op,Yasaman,2
10,Construct interaction Hamiltonian (momentum space),definition_of_variables,Haining,2
10,Construct interaction Hamiltonian (momentum space),definition_of_variables,Will,2
10,Construct interaction Hamiltonian (momentum space),definition_of_variables,Yasaman,2
11,Wick's theorem,second_int_symbol,Haining,2
11,Wick's theorem,second_int_symbol,Will,2
11,Wick's theorem,second_int_symbol,Yasaman,2
11,Wick's theorem,Hartree_Fock_symbol,Haining,2
11,Wick's theorem,Hartree_Fock_symbol,Will,2
11,Wick's theorem,Hartree_Fock_symbol,Yasaman,2
11,Wick's theorem,definition_of_variables,Haining,2
11,Wick's theorem,definition_of_variables,Will,2
11,Wick's theorem,definition_of_variables,Yasaman,2
12,Extract quadratic term,Hartree_Fock_term_symbol,Haining,2
12,Extract quadratic term,Hartree_Fock_term_symbol,Will,2
12,Extract quadratic term,Hartree_Fock_term_symbol,Yasaman,2
12,Extract quadratic term,bilinear_op,Haining,2
12,Extract quadratic term,bilinear_op,Will,2
12,Extract quadratic term,bilinear_op,Yasaman,2
12,Extract quadratic term,Hartree_Fock_second_quantized_symbol,Haining,2
12,Extract quadratic term,Hartree_Fock_second_quantized_symbol,Will,2
12,Extract quadratic term,Hartree_Fock_second_quantized_symbol,Yasaman,2
12,Extract quadratic term,definition_of_variables,Haining,2
12,Extract quadratic term,definition_of_variables,Will,2
12,Extract quadratic term,definition_of_variables,Yasaman,2
13,Swap the index to combine Hartree and Fock terms,Hartree_Fock_second_quantized_symbol,Haining,2
13,Swap the index to combine Hartree and Fock terms,Hartree_Fock_second_quantized_symbol,Will,2
13,Swap the index to combine Hartree and Fock terms,Hartree_Fock_second_quantized_symbol,Yasaman,2
13,Swap the index to combine Hartree and Fock terms,expected_value,Haining,2
13,Swap the index to combine Hartree and Fock terms,expected_value,Yasaman,2
13,Swap the index to combine Hartree and Fock terms,expression_Hartree_1,Haining,1
13,Swap the index to combine Hartree and Fock terms,expression_Hartree_1,Yasaman,1
13,Swap the index to combine Hartree and Fock terms,expression_Hartree_2,Haining,1
13,Swap the index to combine Hartree and Fock terms,expression_Hartree_2,Yasaman,1
