run_id,validation_loss,validation_loss_duplicate,duplicate_abs_diff,status,checkpoint_size_bytes,network_bias_mean,network_time_const_mean,network_syn_strength_mean,decoder_output_bias_mean,dataset_type,tasks,n_frames,dt,batch_size,n_iters,fold,seed,decoder_type,connectome_type,connectome_file,activation,syn_strength_scale,rank
017,5.291881955332226,5.291881955332226,0.0,manually written,49378,0.39018622040748596,0.05839906632900238,0.034235600382089615,0.20959113538265228,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,18
018,5.292151803771655,5.292151803771655,0.0,manually written,49378,0.4038352966308594,0.048483435064554214,0.030543804168701172,0.10328298807144165,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,19
019,5.29551562666893,5.29551562666893,0.0,manually written,49378,0.4754379689693451,0.044080641120672226,0.03784782811999321,0.1728924959897995,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,20
020,5.295636506544219,5.295636506544219,0.0,manually written,49378,0.3847907483577728,0.04652118310332298,0.034073010087013245,0.14002396166324615,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,21
021,5.29688036441803,5.29688036441803,0.0,manually written,49378,0.5217517614364624,0.04205264896154404,0.03799445554614067,0.28761646151542664,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,22
022,5.298010347617997,5.298010347617997,0.0,manually written,49378,0.45449477434158325,0.039207033812999725,0.03878001496195793,0.03620614856481552,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,23
023,5.298870379726092,5.298870379726092,0.0,manually written,49378,0.4563007056713104,0.04729252681136131,0.03212239220738411,0.12070862203836441,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,24
024,5.299407965607113,5.299407965607113,0.0,manually written,49378,0.4409295916557312,0.04091178625822067,0.04083980247378349,0.21527785062789917,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,25
025,5.300875248180495,5.300875248180495,0.0,manually written,49378,0.4371546506881714,0.042077697813510895,0.03842197358608246,0.24205535650253296,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,26
026,5.303517358170615,5.303517358170615,0.0,manually written,49378,0.46733570098876953,0.04990242421627045,0.04065357521176338,0.24273794889450073,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,27
027,5.306977753837903,5.306977753837903,0.0,manually written,49378,0.373404860496521,0.04536348581314087,0.03328227251768112,0.218669593334198,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,28
028,5.308157533407211,5.308157533407211,0.0,manually written,49378,0.39236825704574585,0.039420317858457565,0.038656674325466156,0.24216486513614655,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,29
029,5.318766688307126,5.318766688307126,0.0,manually written,49378,0.5191893577575684,0.03219600021839142,0.03487871587276459,0.3120461106300354,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,30
030,5.3195354839166,5.3195354839166,0.0,manually written,49378,0.37646499276161194,0.04438935965299606,0.030836712568998337,0.19750861823558807,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,31
031,5.3196239637004,5.3196239637004,0.0,manually written,49378,0.34925219416618347,0.05597664788365364,0.03009098209440708,0.2779398262500763,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,32
032,5.3243887854946985,5.3243887854946985,0.0,manually written,49378,0.3348844647407532,0.03956737369298935,0.04084032401442528,0.21376000344753265,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,33
033,5.328959698478381,5.328959698478381,0.0,manually written,49378,0.47814705967903137,0.04035703465342522,0.03640076890587807,0.2557273209095001,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,34
034,5.330954548385408,5.330954548385408,0.0,manually written,49378,0.33511611819267273,0.05058014765381813,0.0334443636238575,0.23696666955947876,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,35
035,5.33160486486223,5.33160486486223,0.0,manually written,49378,0.5242418646812439,0.045782383531332016,0.03626316413283348,0.2684939205646515,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,36
036,5.332136740287145,5.332136740287145,0.0,manually written,49378,0.4639406204223633,0.03633980453014374,0.038686640560626984,0.18360739946365356,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,37
037,5.332739220725165,5.332739220725165,0.0,manually written,49378,0.48767754435539246,0.045833468437194824,0.0315154567360878,0.25497278571128845,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,38
038,5.335818338725302,5.335818338725302,0.0,manually written,49378,0.4680114686489105,0.04649555683135986,0.036166734993457794,0.19882123172283173,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,39
039,5.355444838603337,5.355444838603337,0.0,manually written,49378,0.4469866454601288,0.0420583076775074,0.037867847830057144,0.05281125381588936,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,40
040,5.359657613767518,5.359657613767518,0.0,manually written,49378,0.4240935742855072,0.055278632789850235,0.030518336221575737,0.24324637651443481,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,41
041,5.359666627314356,5.359666627314356,0.0,manually written,49378,0.39767009019851685,0.042657554149627686,0.03896182030439377,0.189315065741539,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,42
042,5.366370586885346,5.366370586885346,0.0,manually written,49378,0.413950115442276,0.042571060359478,0.034776706248521805,0.10232450813055038,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,43
043,5.3715731253226595,5.3715731253226595,0.0,manually written,49378,0.43546369671821594,0.039841342717409134,0.0283525288105011,0.1407410204410553,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,44
044,5.378605905506346,5.378605905506346,0.0,manually written,49378,0.39824366569519043,0.041927777230739594,0.04223477095365524,0.059983376413583755,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,45
045,5.383891855676969,5.383891855676969,0.0,manually written,49378,0.44338786602020264,0.04717109724879265,0.031432151794433594,0.13799114525318146,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,46
046,5.417977909247081,5.417977909247081,0.0,manually written,49378,0.22146686911582947,0.051427241414785385,0.039318475872278214,0.2611734867095947,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,47
047,5.418262915478812,5.418262915478812,0.0,manually written,49378,0.3262411952018738,0.05879565328359604,0.033639632165431976,0.2416236400604248,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,48
048,5.427841342157787,5.427841342157787,0.0,manually written,49378,0.3713083565235138,0.05153607577085495,0.039177604019641876,0.0496024452149868,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,49
049,5.677851685219341,5.677851685219341,0.0,manually written,49378,0.3133085370063782,0.04285182058811188,0.024177804589271545,0.014761085622012615,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,50
