cell_type,family,suffix,pickle_path,pickle_load_success,pickle_type,pickle_error
Tm5a,Tm,5a,data/flow/0000/umap_and_clustering/Tm5a.pickle,True,GaussianMixtureClustering,
Tm5b,Tm,5b,data/flow/0000/umap_and_clustering/Tm5b.pickle,True,GaussianMixtureClustering,
Tm5c,Tm,5c,data/flow/0000/umap_and_clustering/Tm5c.pickle,True,GaussianMixtureClustering,
Tm9,Tm,9,data/flow/0000/umap_and_clustering/Tm9.pickle,True,GaussianMixtureClustering,
TmY10,TmY,10,data/flow/0000/umap_and_clustering/TmY10.pickle,True,GaussianMixtureClustering,
TmY13,TmY,13,data/flow/0000/umap_and_clustering/TmY13.pickle,True,GaussianMixtureClustering,
TmY14,TmY,14,data/flow/0000/umap_and_clustering/TmY14.pickle,True,GaussianMixtureClustering,
TmY15,TmY,15,data/flow/0000/umap_and_clustering/TmY15.pickle,True,GaussianMixtureClustering,
TmY18,TmY,18,data/flow/0000/umap_and_clustering/TmY18.pickle,True,GaussianMixtureClustering,
TmY3,TmY,3,data/flow/0000/umap_and_clustering/TmY3.pickle,True,GaussianMixtureClustering,
TmY4,TmY,4,data/flow/0000/umap_and_clustering/TmY4.pickle,True,GaussianMixtureClustering,
TmY5a,TmY,5a,data/flow/0000/umap_and_clustering/TmY5a.pickle,True,GaussianMixtureClustering,
TmY9,TmY,9,data/flow/0000/umap_and_clustering/TmY9.pickle,True,GaussianMixtureClustering,
