task,placeholder,llm,human,llm_str,human_str,comparable,mismatch,scores
Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,parabolic,,parabolic,,False,False,"{'Haining': 2, 'Will': 0, 'Yasaman': 2}"
Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,electrons,holes,electrons,holes,True,True,"{'Haining': 0, 'Will': 0, 'Yasaman': 0}"
Define each term in Kinetic Hamiltonian (continuum version),"In addition, a shift of {momentum_shift} in the momentum ${k_symbol}$ for {shifted_Ek}, respectively.",True,,True,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,"$\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$",$+\kappa$ and $-\kappa$,"$\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$",$+\kappa$ and $-\kappa$,True,True,"{'Haining': 1, 'Will': 0, 'Yasaman': 1}"
Define each term in Kinetic Hamiltonian (continuum version),k_symbol,\bm{k},,\bm{k},,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,$\bm{k}-\tau \bm{\kappa}$,"$E_{t,+K}$ and $E_{t,-K}$",$\bm{k}-\tau \bm{\kappa}$,"$E_{t,+K}$ and $E_{t,-K}$",True,True,"{'Haining': 0, 'Will': 1, 'Yasaman': 1}"
Define each term in Kinetic Hamiltonian (continuum version),r_symbol,\bm{r},,\bm{r},,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Define each term in Kinetic Hamiltonian (continuum version),kinetic_symbol,$\hat{\mathcal{H}}_0$,,$\hat{\mathcal{H}}_0$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Define each term in Kinetic Hamiltonian (continuum version),definition_of_variables,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the  moir\'e Brillouin zone, the $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$",,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the  moir\'e Brillouin zone, the $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 1}"
Define each term in Kinetic Hamiltonian (continuum version),expression_kinetic,,"$H_{Kinetic}(r) = \begin{pmatrix} E_{+K,b} & 0 & 0 & 0 \\ 0 & E_{+K,t} & 0 & 0 \\ 0 & 0 & E_{-K,b} & 0 \\ 0 & 0 & 0 & E_{-K,t} \end{pmatrix}$",,"$H_{Kinetic}(r) = \begin{pmatrix} E_{+K,b} & 0 & 0 & 0 \\ 0 & E_{+K,t} & 0 & 0 \\ 0 & 0 & E_{-K,b} & 0 \\ 0 & 0 & 0 & E_{-K,t} \end{pmatrix}$",True,True,{}
Construct Potential Hamiltonian (continuum version),potential_symbol,$H_{\tau}$,,$H_{\tau}$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Construct Potential Hamiltonian (continuum version),real|momentum,momentum,real,momentum,real,True,True,"{'Haining': 0, 'Will': 0, 'Yasaman': 0}"
Construct Potential Hamiltonian (continuum version),single-particle|second-quantized,second-quantized,single-particle,second-quantized,single-particle,True,True,"{'Haining': 0, 'Will': 0, 'Yasaman': 2}"
Construct Potential Hamiltonian (continuum version),diagonal_potential,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,$\Delta_l(r)$,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,$\Delta_l(r)$,True,True,"{'Haining': 0, 'Will': 1, 'Yasaman': 0}"
Construct Potential Hamiltonian (continuum version),potential_degrees_of_freedom,the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$),$t$ and $b$,the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$),$t$ and $b$,True,True,"{'Haining': 1, 'Will': 1, 'Yasaman': 2}"
Construct Potential Hamiltonian (continuum version),offdiagonal_potential,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$",,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Construct Potential Hamiltonian (continuum version),definition_of_variables,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moir\'e Brillouin zone, the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), and the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moir\'e Brillouin zone, the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), and the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 1}"
Define each term in Potential Hamiltonian (continuum version),potential_symbol,$H_{\tau}$,,$H_{\tau}$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 0}"
Define each term in Potential Hamiltonian (continuum version),Potential_variables,"$\Delta_{\mathfrak{b}}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$, $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$, and $V_{z\mathfrak{t}}$","the intralayer potential $\Delta_l(r)$ and interlayer tunneling $\Delta_{T,\tau}(r)$","$\Delta_{\mathfrak{b}}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$, $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$, and $V_{z\mathfrak{t}}$","the intralayer potential $\Delta_l(r)$ and interlayer tunneling $\Delta_{T,\tau}(r)$",True,True,"{'Haining': 1, 'Will': 1, 'Yasaman': 1}"
Define each term in Potential Hamiltonian (continuum version),expression_diag,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,"$\Delta_t(r) = V_{zt}$ and $\Delta_b(r)$ is $2V_b\sum_{j=1,3,5} \cos(g_j \cdot r  +\psi_b)$",$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,"$\Delta_t(r) = V_{zt}$ and $\Delta_b(r)$ is $2V_b\sum_{j=1,3,5} \cos(g_j \cdot r  +\psi_b)$",True,True,"{'Haining': 1, 'Will': 2, 'Yasaman': 1}"
Define each term in Potential Hamiltonian (continuum version),expression_offdiag,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$","$\Delta_{T,+K}(r)=w(1+\omega^{1}e^{i g_2 \cdot r} + \omega^{2} e^{i g_3 \cdot r})$ and $\Delta_{T,-K}(r)=-w(1+\omega^{-1}e^{-i g_2 \cdot r} + \omega^{-2} e^{-i g_3 \cdot r})$.","$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$","$\Delta_{T,+K}(r)=w(1+\omega^{1}e^{i g_2 \cdot r} + \omega^{2} e^{i g_3 \cdot r})$ and $\Delta_{T,-K}(r)=-w(1+\omega^{-1}e^{-i g_2 \cdot r} + \omega^{-2} e^{-i g_3 \cdot r})$.",True,True,"{'Haining': 1, 'Will': 2, 'Yasaman': 2}"
Define each term in Potential Hamiltonian (continuum version),definition_of_variables,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone, $m_{\mathfrak{b}}$ and $m_{\mathfrak{t}}$ are the effective masses of the bottom and top layer respectively with values $(0.65,0.35)m_e$ where $m_e$ is the rest electron mass, $\Delta_{\mathfrak{b}}(\bm{r})$ and $\Delta_{\text{T},\tau}(\bm{r})$ are the intralayer potential and interlayer tunneling term respectively, $V_{z\mathfrak{t}}$ is a band offset, and $V_{\mathfrak{b}}$ and $w$ are theoretical parameters that can be adjusted to study different phases.",,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone, $m_{\mathfrak{b}}$ and $m_{\mathfrak{t}}$ are the effective masses of the bottom and top layer respectively with values $(0.65,0.35)m_e$ where $m_e$ is the rest electron mass, $\Delta_{\mathfrak{b}}(\bm{r})$ and $\Delta_{\text{T},\tau}(\bm{r})$ are the intralayer potential and interlayer tunneling term respectively, $V_{z\mathfrak{t}}$ is a band offset, and $V_{\mathfrak{b}}$ and $w$ are theoretical parameters that can be adjusted to study different phases.",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 1}"
Define each term in Potential Hamiltonian (continuum version),expression_Potential,,"$H_{Potential}(r) = \begin{pmatrix} \Delta_b(r) & \Delta_{T,+K}(r) & 0 & 0 \\ \Delta_{T,+K}^*(r) & \Delta_t(r) & 0 & 0 \\ 0 & 0 & \Delta_b(r) & \Delta_{T,-K}(r) \\ 0 & 0 & \Delta_{T,-K}^*(r) & \Delta_t(r) \end{pmatrix}$",,"$H_{Potential}(r) = \begin{pmatrix} \Delta_b(r) & \Delta_{T,+K}(r) & 0 & 0 \\ \Delta_{T,+K}^*(r) & \Delta_t(r) & 0 & 0 \\ 0 & 0 & \Delta_b(r) & \Delta_{T,-K}(r) \\ 0 & 0 & \Delta_{T,-K}^*(r) & \Delta_t(r) \end{pmatrix}$",True,True,{}
"Convert from single-particle to second-quantized form, return in matrix",real|momentum,real,,real,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in matrix",nonint_symbol,$\hat{\mathcal{H}}_0$,,$\hat{\mathcal{H}}_0$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in matrix",kinetic_symbol,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$,,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$,,False,False,"{'Haining': 2, 'Will': 1, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in matrix",potential_symbol,"$\Delta_{\mathfrak{b},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}^\dag(\bm{r})$, $\Delta_\mathfrak{t,\tau}(\bm{r})$, and $V_{z\mathfrak{t}}$",,"$\Delta_{\mathfrak{b},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}^\dag(\bm{r})$, $\Delta_\mathfrak{t,\tau}(\bm{r})$, and $V_{z\mathfrak{t}}$",,False,False,"{'Haining': 2, 'Will': 1, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in matrix",$r$|$k$,$r$,,$r$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in matrix",second_nonint_symbol,,$\hat{H}^{0}$,,$\hat{H}^{0}$,True,True,"{'Haining': 0, 'Will': 0, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in matrix",definition_of_variables,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. Note that the spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. Note that the spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 1}"
"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",second_nonint_symbol,$\hat{\mathcal{H}}_0$,,$\hat{\mathcal{H}}_0$,,False,False,"{'Haining': 2, 'Will': 0, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",matrix_element_symbol,$H_{\tau}$,,$H_{\tau}$,,False,False,"{'Haining': 2, 'Will': 0, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",basis_symbol,$\Psi_{\tau}$,,$\Psi_{\tau}$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",definition_of_variables,"$\hat{\mathcal{H}}_0$ is the second-quantized form Hamiltonian, $H_{\tau}$ is the matrix element, and $\Psi_{\tau}$ is the basis. $\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",,"$\hat{\mathcal{H}}_0$ is the second-quantized form Hamiltonian, $H_{\tau}$ is the matrix element, and $\Psi_{\tau}$ is the basis. $\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",expression_second_nonint,,$\hat{H}^{0} = \int dr \vec{\psi}^\dagger(r) H^{0}(r) \vec{\psi}(r)$,,$\hat{H}^{0} = \int dr \vec{\psi}^\dagger(r) H^{0}(r) \vec{\psi}(r)$,True,True,{}
Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_creation_op,$\Psi_{\tau}^\dagger(\bm{r})$,,$\Psi_{\tau}^\dagger(\bm{r})$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Convert noninteracting Hamiltonian in real space to momentum space (continuum version),momentum_creation_op,"$c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger$",,"$c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_Fourier_Transformation,"$\hat{\mathcal{H}}_0=\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)} c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger c_{\bm{k}_{\beta},l_{\beta},\tau}$","$c_{\tau,l}^\dagger(k)= \frac{1}{\sqrt{V}} \int dr \psi_{\tau,l}^\dagger(r) e^{i k \cdot r}$","$\hat{\mathcal{H}}_0=\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)} c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger c_{\bm{k}_{\beta},l_{\beta},\tau}$","$c_{\tau,l}^\dagger(k)= \frac{1}{\sqrt{V}} \int dr \psi_{\tau,l}^\dagger(r) e^{i k \cdot r}$",True,True,"{'Haining': 0, 'Will': 2, 'Yasaman': 0}"
Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_variable,$\bm{r}$,,$\bm{r}$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Convert noninteracting Hamiltonian in real space to momentum space (continuum version),entire_real|first_Brillouin_Zone,entire real space,,entire real space,,False,False,"{'Haining': 2, 'Will': '(?)', 'Yasaman': 2}"
Convert noninteracting Hamiltonian in real space to momentum space (continuum version),second_nonint_symbol,$\hat{\mathcal{H}}_0$,,$\hat{\mathcal{H}}_0$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_variables,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent. $h^{(\tau)}$ is the Hamiltonian $H_{\tau}$ expanded in the plane-wave basis, and the momentum $\bm{k}$ is defined in the extended Brillouin zone that spans the full momentum space, i.e., $\bm{k} \in \mathbb{R}^2$. The subscripts $\alpha,\beta$ are index for momenta. Due to Bloch's theorem, $h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)}$ is nonzero only when $\bm{k}_{\alpha}-\bm{k}_{\beta}$ is equal to the linear combination of any multiples of one of the moir\'e reciprocal lattice vectors (including the zero vector).",,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent. $h^{(\tau)}$ is the Hamiltonian $H_{\tau}$ expanded in the plane-wave basis, and the momentum $\bm{k}$ is defined in the extended Brillouin zone that spans the full momentum space, i.e., $\bm{k} \in \mathbb{R}^2$. The subscripts $\alpha,\beta$ are index for momenta. Due to Bloch's theorem, $h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)}$ is nonzero only when $\bm{k}_{\alpha}-\bm{k}_{\beta}$ is equal to the linear combination of any multiples of one of the moir\'e reciprocal lattice vectors (including the zero vector).",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Particle-hole transformation,hole_op,"$b_{\bm{k},l,\tau}$",,"$b_{\bm{k},l,\tau}$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Particle-hole transformation,particle_op,"$c_{\bm{k},l,\tau}^\dagger$",,"$c_{\bm{k},l,\tau}^\dagger$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Particle-hole transformation,particle_creation_op,"$c_{\bm{k},l,\tau}^\dagger$",,"$c_{\bm{k},l,\tau}^\dagger$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Particle-hole transformation,hole_creation_op,"$b_{\bm{k},l,\tau}$",,"$b_{\bm{k},l,\tau}$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 0}"
Particle-hole transformation,particle_annihilation_op,"$c_{\bm{k},l,\tau}$",,"$c_{\bm{k},l,\tau}$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Particle-hole transformation,hole_annihilation_op,"$b_{\bm{k},l,\tau}^\dagger$",,"$b_{\bm{k},l,\tau}^\dagger$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 0}"
Particle-hole transformation,second_nonint_symbol,$\hat{\mathcal{H}}_0$,,$\hat{\mathcal{H}}_0$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Particle-hole transformation,definition_of_variables,"The hole operator is defined as $b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$. The Hamiltonian in the hole basis is represented as $\hat{\mathcal{H}}_0$.",,"The hole operator is defined as $b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$. The Hamiltonian in the hole basis is represented as $\hat{\mathcal{H}}_0$.",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 1}"
Particle-hole transformation,expression_particle_Ham,,"$\hat{H}^{0} = \sum_{\tau, l_1, l_2, k_1, k_2} c_{\tau,l_1}^\dagger(k_1) H^{0}_{\tau,l_1,\tau,l_2}(k_1,k_2) c_{\tau,l_2}(k_2)$",,"$\hat{H}^{0} = \sum_{\tau, l_1, l_2, k_1, k_2} c_{\tau,l_1}^\dagger(k_1) H^{0}_{\tau,l_1,\tau,l_2}(k_1,k_2) c_{\tau,l_2}(k_2)$",True,True,{}
Simplify the Hamiltonian in the particle-hole basis,second_nonint_symbol,$\hat{\mathcal{H}}_0$,,$\hat{\mathcal{H}}_0$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Simplify the Hamiltonian in the particle-hole basis,hole_op,"$b_{\bm{k},l,\tau}$",,"$b_{\bm{k},l,\tau}$",,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Simplify the Hamiltonian in the particle-hole basis,index_1,$\bm{k}_{\alpha}$,,$\bm{k}_{\alpha}$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Simplify the Hamiltonian in the particle-hole basis,index_2,$\bm{k}_{\beta}$,,$\bm{k}_{\beta}$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
Simplify the Hamiltonian in the particle-hole basis,op,"$b_{\bm{k},l,\tau}$",,"$b_{\bm{k},l,\tau}$",,False,False,"{'Haining': 2, 'Will': 1, 'Yasaman': 2}"
